NORM SPECTRA FILE NAME,DEPTH,ESTIMATED DEPTH [VISUAL],NEEDS RECALCULATION,,
spec-10431-58137-0135norm.dr16,[0.25],[0.20],N,Gray ,"Done visual inspection, needs cross reference"
spec-10728-58248-0740norm.dr16,[0.42],[0.25],N,Yellow,Difficulty with visual inspection
spec-11277-58450-0622norm.dr16,"[0.37, 0.19]","[0.25, 0.13]",Y,,
spec-11395-58488-0418norm.dr16,[0.58],[0.48],Y,,
spec-11634-58484-0334norm.dr16,[0.34],[0.25],Y,,
spec-4419-55867-0178norm.dr16,[0.4],[0.25],Y,0.4 looks good. Why do you think we need to correct it?,
spec-4485-55836-0092norm.dr16,[0.78],[0.54],Y,,
spec-4538-55860-0660norm.dr16,[0.36],[0.19],Y,,
spec-4663-55893-0248norm.dr16,[0.3],[0.23],N,,
spec-4663-55893-0854norm.dr16,[0.66],[0.36],Y,,
spec-5039-56220-0625norm.dr16,[0.3],[0.22],N,,
spec-5144-55829-0475norm.dr16,"[0.37, 0.33]","[0.29, 0.24]",Y,,
spec-5174-56047-0344norm.dr16,[0.72],[0.32],Y,,
spec-5179-55957-0836norm.dr16,[0.22],[0.22],N,,
spec-5187-56074-0092norm.dr16,[0.26],[0.25],N,,
spec-5212-56016-0348norm.dr16,[0.36],[0.36],N,,
spec-5288-55865-0958norm.dr16,[0.34],[0.30],Y,,
spec-5320-55999-0336norm.dr16,[0.22],[0.16],N,,
spec-5338-56002-0157norm.dr16,[0.33],[0.26],N,,
spec-5356-55979-0586norm.dr16,[0.28],[0.24],Y,,
spec-5372-55978-0742norm.dr16,"[0.42, 0.29]","[0.27, 0.39]",N,,
spec-5372-55978-0916norm.dr16,[0.45],[0.31],Y,,
spec-5374-55947-0608norm.dr16,[0.5],[0.24],Y,,
spec-5391-56000-0254norm.dr16,[0.23],[0.23],N,,
spec-5394-56001-0990norm.dr16,[0.28],[0.21],Y,,
spec-5415-55982-0013norm.dr16,[0.58],[0.42],Y,,
spec-5421-55980-0918norm.dr16,[0.33],[0.30],Y,,
spec-5427-56001-0204norm.dr16,[0.36],[0.24],Y,,
spec-5430-56000-0964norm.dr16,"[0.62, 0.49]","[0.35, 0.45]",Y,,
spec-5454-56015-0104norm.dr16,[0.45],[0.45],N,,
spec-5465-55988-0798norm.dr16,"[0.64, 0.28]","[0.21, 0.42]",Y,,
spec-5476-55986-0599norm.dr16,[0.37],[0.26],N,,
spec-5483-56017-0061norm.dr16,[0.73],[0.40],Y,,
spec-5486-56030-0078norm.dr16,[0.35],[0.20],Y,,
spec-5494-55857-0549norm.dr16,[0.26],[0.24],N,,
spec-5712-56602-0074norm.dr16,[0.4],[0.31],Y,,
spec-5745-55998-0657norm.dr16,[0.36],[0.26],N,,
spec-5778-56328-0973norm.dr16,"[0.25, 0.27]","[0.20, 0.15]",Y,,
spec-5807-56329-0778norm.dr16,[0.16],[0.19],N,,
spec-5809-56353-0704norm.dr16,[0.35],[0.24],Y,,
spec-5868-56045-0372norm.dr16,[0.42],[0.23],Y,,
spec-5896-56047-0658norm.dr16,[0.39],[0.32],N,,
spec-5998-56087-0294norm.dr16,[0.45],[0.29],Y,,
spec-6045-56072-0455norm.dr16,[0.31],[0.31],N,,
spec-6122-56246-0696norm.dr16,[0.32],[0.29],N,,
spec-6138-56598-0754norm.dr16,[0.49],[0.21],Y,,
spec-6142-56219-0893norm.dr16,[0.34],[0.31],N,,
spec-6182-56190-0657norm.dr16,[0.58],[0.3?],Y,,
spec-6199-56220-0264norm.dr16,[0.44],[[0.38],N,,
spec-6257-56274-0490norm.dr16,[0.31],[0.21],Y,,
spec-6313-56460-0295norm.dr16,[0.26],[0.26],N,,
spec-6318-56186-0342norm.dr16,[0.28],[0.28],N,,
spec-6389-56270-0061norm.dr16,[0.42],[0.29],N,,
spec-6402-56334-0966norm.dr16,[0.44],[0.32],Y,,
spec-6405-56342-0814norm.dr16,[0.39],[0.34],N,,
spec-6412-56358-0454norm.dr16,"[0.37, 0.31]",[0.23],Y,,
spec-6422-56328-0988norm.dr16,"[0.45, 0.32]",[0.31],Y,,
spec-6433-56339-0278norm.dr16,[0.36],[0.26],N,,
spec-6442-56369-0246norm.dr16,[0.41],[0.32],Y,,
spec-6447-56362-0854norm.dr16,"[0.36, 0.28]","[0.13, 0.27]",Y,,
spec-6456-56339-0894norm.dr16,[0.32],"[0.20, 0.28]",Y,,
spec-6621-56366-0502norm.dr16,[0.26],[0.20],N,,
spec-6640-56385-0896norm.dr16,[0.58],[0.38],Y,,
spec-6670-56389-0168norm.dr16,[0.4],[0.4]?,N,This one looks good to me originally,
spec-6674-56416-0693norm.dr16,"[0.52, 0.51, 0.68, 0.39]","[0.35, 0.31, 0.42]",Y,,
spec-6674-56416-0964norm.dr16,[0.32],[0.32],N,,
spec-6727-56369-0773norm.dr16,"[0.5, 0.25]","[0.19, 0.28]",Y,,
spec-6729-56419-0322norm.dr16,[0.69],[0.26],Y,,
spec-6754-56414-0240norm.dr16,"[0.43, 0.51]","[0.33, 0.21]",Y,,
spec-6754-56414-0561norm.dr16,[0.36],[0.36],N,,
spec-6806-56419-0302norm.dr16,[0.52],[0.29],Y,,
spec-6969-56420-0959norm.dr16,"[0.46, 0.24]",[0.24],Y,,
spec-6976-56448-0440norm.dr16,[0.53],[0.25],Y,,
spec-6983-56447-0896norm.dr16,"[0.87, 0.24]","[0.12, 0.28]",Y,,
spec-7083-56722-0348norm.dr16,"[0.29, 0.28, 0.32]","[0.25, 0.20, 0.19]",N,,
spec-7089-56661-0060norm.dr16,[0.48],[0.24],Y,,
spec-7098-56661-0163norm.dr16,[0.45],[0.35],Y,,
spec-7148-56591-0664norm.dr16,[0.52],[0.18],Y,,
spec-7391-56781-0721norm.dr16,[0.45],[0.22],Y,,
spec-7597-56973-0699norm.dr16,[0.49],[0.35],Y,,
spec-7622-56987-0113norm.dr16,[0.51],[0.19],Y,,
spec-7667-57580-0430norm.dr16,[0.31],[0.25],N,,
spec-7673-57329-0103norm.dr16,[0.83],[0.58],Y,,
spec-7678-57282-0598norm.dr16,"[0.39, 0.35]","[0.28, 0.32]",N,,
spec-7694-57359-0006norm.dr16,[0.33],[0.21],Y,,
spec-7701-57356-0794norm.dr16,[0.78],[0.34],Y,,
spec-7861-57281-0472norm.dr16,[0.34],[0.30],N,,
spec-8059-57895-0912norm.dr16,[0.29],[0.29],N,,
spec-8205-58143-0500norm.dr16,[0.5],[0.4?],N,,
spec-8374-57783-0919norm.dr16,"[0.4, 0.9]","[0.21, 0.29]",Y,,
spec-8381-57512-0320norm.dr16,"[0.53, 0.33]","[0.20, 0.41]",N,,
spec-8396-57837-0736norm.dr16,"[0.33, 0.44]","[0.33, 0.30]",N,,
spec-8507-57878-0108norm.dr16,[0.33],[0.23],N,,
spec-8524-57656-0969norm.dr16,[0.28],[0.21],N,,
spec-8839-57846-0634norm.dr16,"[0.32, 0.57]","[0.38, 0.22]",N,,
