SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
1,J2318_59188_UZ3_RPnorm_SiIVfit_spectra.txt,J2318_59188_UZ3_RPnorm_SiIVfit_spectra.txt,0,0
2,J2318_59188_UZ3_RP2norm_SiIVfit_spectra.txt,J2318_59188_UZ3_RP2norm_SiIVfit_spectra.txt,0,0
3,J2318_59188_DZ3_RPnorm_SiIVfit_spectra.txt,J2318_59188_DZ3_RPnorm_SiIVfit_spectra.txt,0,0
4,J2318_59188_DZ3_RP2norm_SiIVfit_spectra.txt,J2318_59188_DZ3_RP2norm_SiIVfit_spectra.txt,0,0
5,J2318_60251_UZ2_RPnorm_SiIVfit_spectra.txt,J2318_60251_UZ2_RPnorm_SiIVfit_spectra.txt,0,0
6,J2318_60251_UZ2_RP2norm_SiIVfit_spectra.txt,J2318_60251_UZ2_RP2norm_SiIVfit_spectra.txt,0,0
7,J2318_60251_DZ2_RPnorm_SiIVfit_spectra.txt,J2318_60251_DZ2_RPnorm_SiIVfit_spectra.txt,0,0
8,J2318_60251_DZ2_RP2norm_SiIVfit_spectra.txt,J2318_60251_DZ2_RP2norm_SiIVfit_spectra.txt,0,0
9,J2318_59188_UZ3_RPnorm_SiIVfit_spectra_up0.5err.txt,J2318_59188_UZ3_RPnorm_SiIVfit_spectra_up0.5err.txt,0,0
10,J2318_59188_UZ3_RP2norm_SiIVfit_spectra_up0.5err.txt,J2318_59188_UZ3_RP2norm_SiIVfit_spectra_up0.5err.txt,0,0
11,J2318_59188_DZ3_RPnorm_SiIVfit_spectra_up0.5err.txt,J2318_59188_DZ3_RPnorm_SiIVfit_spectra_up0.5err.txt,0,0
12,J2318_59188_DZ3_RP2norm_SiIVfit_spectra_up0.5err.txt,J2318_59188_DZ3_RP2norm_SiIVfit_spectra_up0.5err.txt,0,0
13,J2318_60251_UZ2_RPnorm_SiIVfit_spectra_up0.5err.txt,J2318_60251_UZ2_RPnorm_SiIVfit_spectra_up0.5err.txt,0,0
14,J2318_60251_UZ2_RP2norm_SiIVfit_spectra_up0.5err.txt,J2318_60251_UZ2_RP2norm_SiIVfit_spectra_up0.5err.txt,0,0
15,J2318_60251_DZ2_RPnorm_SiIVfit_spectra_up0.5err.txt,J2318_60251_DZ2_RPnorm_SiIVfit_spectra_up0.5err.txt,0,0
16,J2318_60251_DZ2_RP2norm_SiIVfit_spectra_up0.5err.txt,J2318_60251_DZ2_RP2norm_SiIVfit_spectra_up0.5err.txt,0,0
17,J2318_59188_UZ3_RPnorm_SiIVfit_spectra_down0.5err.txt,J2318_59188_UZ3_RPnorm_SiIVfit_spectra_down0.5err.txt,0,0
18,J2318_59188_UZ3_RP2norm_SiIVfit_spectra_down0.5err.txt,J2318_59188_UZ3_RP2norm_SiIVfit_spectra_down0.5err.txt,0,0
19,J2318_59188_DZ3_RPnorm_SiIVfit_spectra_down0.5err.txt,J2318_59188_DZ3_RPnorm_SiIVfit_spectra_down0.5err.txt,0,0
20,J2318_59188_DZ3_RP2norm_SiIVfit_spectra_down0.5err.txt,J2318_59188_DZ3_RP2norm_SiIVfit_spectra_down0.5err.txt,0,0
21,J2318_60251_UZ2_RPnorm_SiIVfit_spectra_down0.5err.txt,J2318_60251_UZ2_RPnorm_SiIVfit_spectra_down0.5err.txt,0,0
22,J2318_60251_UZ2_RP2norm_SiIVfit_spectra_down0.5err.txt,J2318_60251_UZ2_RP2norm_SiIVfit_spectra_down0.5err.txt,0,0
23,J2318_60251_DZ2_RPnorm_SiIVfit_spectra_down0.5err.txt,J2318_60251_DZ2_RPnorm_SiIVfit_spectra_down0.5err.txt,0,0
24,J2318_60251_DZ2_RP2norm_SiIVfit_spectra_down0.5err.txt,J2318_60251_DZ2_RP2norm_SiIVfit_spectra_down0.5err.txt,0,0
