SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
1,J2318_57328_UM1_(UZ2+UM1)RPnorm_fit_spectra.txt,J2318_57328_UM1_(UZ2+UM1)RPnorm_fit_spectra.txt,0,0
2,J2318_57328_UM1_(UZ2+UM1)RP2norm_fit_spectra.txt,J2318_57328_UM1_(UZ2+UM1)RP2norm_fit_spectra.txt,0,0
3,J2318_57328_DM1_(UZ2+DM1)RPnorm_fit_spectra.txt,J2318_57328_DM1_(UZ2+DM1)RPnorm_fit_spectra.txt,0,0
4,J2318_57328_DM1_(UZ2+DM1)RP2norm_fit_spectra.txt,J2318_57328_DM1_(UZ2+DM1)RP2norm_fit_spectra.txt,0,0
5,J2318_59188_UM3_(UZ2+UM3)RPnorm_fit_spectra.txt,J2318_59188_UM3_(UZ2+UM3)RPnorm_fit_spectra.txt,0,0
6,J2318_59188_UM3_(UZ2+UM3)RP2norm_fit_spectra.txt,J2318_59188_UM3_(UZ2+UM3)RP2norm_fit_spectra.txt,0,0
7,J2318_59188_DM3_(UZ2+DM3)RPnorm_fit_spectra.txt,J2318_59188_DM3_(UZ2+DM3)RPnorm_fit_spectra.txt,0,0
8,J2318_59188_DM3_(UZ2+DM3)RP2norm_fit_spectra.txt,J2318_59188_DM3_(UZ2+DM3)RP2norm_fit_spectra.txt,0,0
9,J2318_57328_UZ1_RPnorm_(added_fluxdiff)_fit_spectra.txt,J2318_57328_UZ1_RPnorm_(added_fluxdiff)_fit_spectra.txt,0,0
10,J2318_57328_UZ1_RP2norm_(added_fluxdiff)_fit_spectra.txt,J2318_57328_UZ1_RP2norm_(added_fluxdiff)_fit_spectra.txt,0,0
11,J2318_57328_DZ1_RPnorm_(added_fluxdiff)_fit_spectra.txt,J2318_57328_DZ1_RPnorm_(added_fluxdiff)_fit_spectra.txt,0,0
12,J2318_57328_DZ1_RP2norm_(added_fluxdiff)_fit_spectra.txt,J2318_57328_DZ1_RP2norm_(added_fluxdiff)_fit_spectra.txt,0,0
13,J2318_59188_UZ3_RPnorm_(added_fluxdiff)_fit_spectra.txt,J2318_59188_UZ3_RPnorm_(added_fluxdiff)_fit_spectra.txt,0,0
14,J2318_59188_UZ3_RP2norm_(added_fluxdiff)_fit_spectra.txt,J2318_59188_UZ3_RP2norm_(added_fluxdiff)_fit_spectra.txt,0,0
15,J2318_59188_DZ3_RPnorm_(added_fluxdiff)_fit_spectra.txt,J2318_59188_DZ3_RPnorm_(added_fluxdiff)_fit_spectra.txt,0,0
16,J2318_59188_DZ3_RP2norm_(added_fluxdiff)_fit_spectra.txt,J2318_59188_DZ3_RP2norm_(added_fluxdiff)_fit_spectra.txt,0,0
17,J2318_57328_UZ1_RPnorm_(sub_fluxdiff)_fit_spectra.txt,J2318_57328_UZ1_RPnorm_(sub_fluxdiff)_fit_spectra.txt,0,0
18,J2318_57328_UZ1_RP2norm_(sub_fluxdiff)_fit_spectra.txt,J2318_57328_UZ1_RP2norm_(sub_fluxdiff)_fit_spectra.txt,0,0
19,J2318_57328_DZ1_RPnorm_(sub_fluxdiff)_fit_spectra.txt,J2318_57328_DZ1_RPnorm_(sub_fluxdiff)_fit_spectra.txt,0,0
20,J2318_57328_DZ1_RP2norm_(sub_fluxdiff)_fit_spectra.txt,J2318_57328_DZ1_RP2norm_(sub_fluxdiff)_fit_spectra.txt,0,0
21,J2318_59188_UZ3_RPnorm_(sub_fluxdiff)_fit_spectra.txt,J2318_59188_UZ3_RPnorm_(sub_fluxdiff)_fit_spectra.txt,0,0
22,J2318_59188_UZ3_RP2norm_(sub_fluxdiff)_fit_spectra.txt,J2318_59188_UZ3_RP2norm_(sub_fluxdiff)_fit_spectra.txt,0,0
23,J2318_59188_DZ3_RPnorm_(sub_fluxdiff)_fit_spectra.txt,J2318_59188_DZ3_RPnorm_(sub_fluxdiff)_fit_spectra.txt,0,0
24,J2318_59188_DZ3_RP2norm_(sub_fluxdiff)_fit_spectra.txt,J2318_59188_DZ3_RP2norm_(sub_fluxdiff)_fit_spectra.txt,0,0
25,J2318_57328_UZ1_RPnorm_divided_fit_spectra.txt,J2318_57328_UZ1_RPnorm_divided_fit_spectra.txt,0,0
26,J2318_57328_UZ1_RP2norm_divided_fit_spectra.txt,J2318_57328_UZ1_RP2norm_divided_fit_spectra.txt,0,0
27,J2318_57328_DZ1_RPnorm_divided_fit_spectra.txt,J2318_57328_DZ1_RPnorm_divided_fit_spectra.txt,0,0
28,J2318_57328_DZ1_RP2norm_divided_fit_spectra.txt,J2318_57328_DZ1_RP2norm_divided_fit_spectra.txt,0,0
29,J2318_59188_UZ3_RPnorm_divided_fit_spectra.txt,J2318_59188_UZ3_RPnorm_divided_fit_spectra.txt,0,0
30,J2318_59188_UZ3_RP2norm_divided_fit_spectra.txt,J2318_59188_UZ3_RP2norm_divided_fit_spectra.txt,0,0
31,J2318_59188_DZ3_RPnorm_divided_fit_spectra.txt,J2318_59188_DZ3_RPnorm_divided_fit_spectra.txt,0,0
32,J2318_59188_DZ3_RP2norm_divided_fit_spectra.txt,J2318_59188_DZ3_RP2norm_divided_fit_spectra.txt,0,0
33,J2318_57328_UZ1_RPnorm_shiftup_sigma_fit_spectra.txt,J2318_57328_UZ1_RPnorm_shiftup_sigma_fit_spectra.txt,0,0
34,J2318_57328_UZ1_RP2norm_shiftup_sigma_fit_spectra.txt,J2318_57328_UZ1_RP2norm_shiftup_sigma_fit_spectra.txt,0,0
35,J2318_57328_DZ1_RPnorm_shiftup_sigma_fit_spectra.txt,J2318_57328_DZ1_RPnorm_shiftup_sigma_fit_spectra.txt,0,0
36,J2318_57328_DZ1_RP2norm_shiftup_sigma_fit_spectra.txt,J2318_57328_DZ1_RP2norm_shiftup_sigma_fit_spectra.txt,0,0
37,J2318_59188_UZ3_RPnorm_shiftup_sigma_fit_spectra.txt,J2318_59188_UZ3_RPnorm_shiftup_sigma_fit_spectra.txt,0,0
38,J2318_59188_UZ3_RP2norm_shiftup_sigma_fit_spectra.txt,J2318_59188_UZ3_RP2norm_shiftup_sigma_fit_spectra.txt,0,0
39,J2318_59188_DZ3_RPnorm_shiftup_sigma_fit_spectra.txt,J2318_59188_DZ3_RPnorm_shiftup_sigma_fit_spectra.txt,0,0
40,J2318_59188_DZ3_RP2norm_shiftup_sigma_fit_spectra.txt,J2318_59188_DZ3_RP2norm_shiftup_sigma_fit_spectra.txt,0,0
41,J2318_57328_UZ1_RPnorm_shiftdown_sigma_fit_spectra.txt,J2318_57328_UZ1_RPnorm_shiftdown_sigma_fit_spectra.txt,0,0
42,J2318_57328_UZ1_RP2norm_shiftdown_sigma_fit_spectra.txt,J2318_57328_UZ1_RP2norm_shiftdown_sigma_fit_spectra.txt,0,0
43,J2318_57328_DZ1_RPnorm_shiftdown_sigma_fit_spectra.txt,J2318_57328_DZ1_RPnorm_shiftdown_sigma_fit_spectra.txt,0,0
44,J2318_57328_DZ1_RP2norm_shiftdown_sigma_fit_spectra.txt,J2318_57328_DZ1_RP2norm_shiftdown_sigma_fit_spectra.txt,0,0
45,J2318_59188_UZ3_RPnorm_shiftdown_sigma_fit_spectra.txt,J2318_59188_UZ3_RPnorm_shiftdown_sigma_fit_spectra.txt,0,0
46,J2318_59188_UZ3_RP2norm_shiftdown_sigma_fit_spectra.txt,J2318_59188_UZ3_RP2norm_shiftdown_sigma_fit_spectra.txt,0,0
47,J2318_59188_DZ3_RPnorm_shiftdown_sigma_fit_spectra.txt,J2318_59188_DZ3_RPnorm_shiftdown_sigma_fit_spectra.txt,0,0
48,J2318_59188_DZ3_RP2norm_shiftdown_sigma_fit_spectra.txt,J2318_59188_DZ3_RP2norm_shiftdown_sigma_fit_spectra.txt,0,0
49,J2318_57328_UZ1_RPnorm_add_0.5err_fit_spectra.txt,J2318_57328_UZ1_RPnorm_add_0.5err_fit_spectra.txt,0,0
50,J2318_57328_UZ1_RP2norm_add_0.5err_fit_spectra.txt,J2318_57328_UZ1_RP2norm_add_0.5err_fit_spectra.txt,0,0
51,J2318_57328_DZ1_RPnorm_add_0.5err_fit_spectra.txt,J2318_57328_DZ1_RPnorm_add_0.5err_fit_spectra.txt,0,0
52,J2318_57328_DZ1_RP2norm_add_0.5err_fit_spectra.txt,J2318_57328_DZ1_RP2norm_add_0.5err_fit_spectra.txt,0,0
53,J2318_59188_UZ3_RPnorm_add_0.5err_fit_spectra.txt,J2318_59188_UZ3_RPnorm_add_0.5err_fit_spectra.txt,0,0
54,J2318_59188_UZ3_RP2norm_add_0.5err_fit_spectra.txt,J2318_59188_UZ3_RP2norm_add_0.5err_fit_spectra.txt,0,0
55,J2318_59188_DZ3_RPnorm_add_0.5err_fit_spectra.txt,J2318_59188_DZ3_RPnorm_add_0.5err_fit_spectra.txt,0,0
56,J2318_59188_DZ3_RP2norm_add_0.5err_fit_spectra.txt,J2318_59188_DZ3_RP2norm_add_0.5err_fit_spectra.txt,0,0
57,J2318_60251_UZ2_RPnorm_add_0.5err_fit_spectra.txt,J2318_60251_UZ2_RPnorm_add_0.5err_fit_spectra.txt,0,0
58,J2318_60251_UZ2_RP2norm_add_0.5err_fit_spectra.txt,J2318_60251_UZ2_RP2norm_add_0.5err_fit_spectra.txt,0,0
59,J2318_60251_DZ2_RPnorm_add_0.5err_fit_spectra.txt,J2318_60251_DZ2_RPnorm_add_0.5err_fit_spectra.txt,0,0
60,J2318_60251_DZ2_RP2norm_add_0.5err_fit_spectra.txt,J2318_60251_DZ2_RP2norm_add_0.5err_fit_spectra.txt,0,0
61,J2318_57328_UZ1_RPnorm_sub_0.5err_fit_spectra.txt,J2318_57328_UZ1_RPnorm_sub_0.5err_fit_spectra.txt,0,0
62,J2318_57328_UZ1_RP2norm_sub_0.5err_fit_spectra.txt,J2318_57328_UZ1_RP2norm_sub_0.5err_fit_spectra.txt,0,0
63,J2318_57328_DZ1_RPnorm_sub_0.5err_fit_spectra.txt,J2318_57328_DZ1_RPnorm_sub_0.5err_fit_spectra.txt,0,0
64,J2318_57328_DZ1_RP2norm_sub_0.5err_fit_spectra.txt,J2318_57328_DZ1_RP2norm_sub_0.5err_fit_spectra.txt,0,0
65,J2318_59188_UZ3_RPnorm_sub_0.5err_fit_spectra.txt,J2318_59188_UZ3_RPnorm_sub_0.5err_fit_spectra.txt,0,0
66,J2318_59188_UZ3_RP2norm_sub_0.5err_fit_spectra.txt,J2318_59188_UZ3_RP2norm_sub_0.5err_fit_spectra.txt,0,0
67,J2318_59188_DZ3_RPnorm_sub_0.5err_fit_spectra.txt,J2318_59188_DZ3_RPnorm_sub_0.5err_fit_spectra.txt,0,0
68,J2318_59188_DZ3_RP2norm_sub_0.5err_fit_spectra.txt,J2318_59188_DZ3_RP2norm_sub_0.5err_fit_spectra.txt,0,0
69,J2318_60251_UZ2_RPnorm_sub_0.5err_fit_spectra.txt,J2318_60251_UZ2_RPnorm_sub_0.5err_fit_spectra.txt,0,0
70,J2318_60251_UZ2_RP2norm_sub_0.5err_fit_spectra.txt,J2318_60251_UZ2_RP2norm_sub_0.5err_fit_spectra.txt,0,0
71,J2318_60251_DZ2_RPnorm_sub_0.5err_fit_spectra.txt,J2318_60251_DZ2_RPnorm_sub_0.5err_fit_spectra.txt,0,0
72,J2318_60251_DZ2_RP2norm_sub_0.5err_fit_spectra.txt,J2318_60251_DZ2_RP2norm_sub_0.5err_fit_spectra.txt,0,0
