SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
1,J2318_57328_UZ1_RPnorm_fit_spectra.txt,J2318_57328_UZ1_RPnorm_fit_spectra.txt,0,0
2,J2318_57328_UZ1_RP2norm_fit_spectra.txt,J2318_57328_UZ1_RP2norm_fit_spectra.txt,0,0
3,J2318_57328_DZ1_RPnorm_fit_spectra.txt,J2318_57328_DZ1_RPnorm_fit_spectra.txt,0,0
4,J2318_57328_DZ1_RP2norm_fit_spectra.txt,J2318_57328_DZ1_RP2norm_fit_spectra.txt,0,0
5,J2318_59188_UZ3_RPnorm_fit_spectra.txt,J2318_59188_UZ3_RPnorm_fit_spectra.txt,0,0
6,J2318_59188_UZ3_RP2norm_fit_spectra.txt,J2318_59188_UZ3_RP2norm_fit_spectra.txt,0,0
7,J2318_59188_DZ3_RPnorm_fit_spectra.txt,J2318_59188_DZ3_RPnorm_fit_spectra.txt,0,0
8,J2318_59188_DZ3_RP2norm_fit_spectra.txt,J2318_59188_DZ3_RP2norm_fit_spectra.txt,0,0
9,J2318_60251_UZ2_RPnorm_fit_spectra.txt,J2318_60251_UZ2_RPnorm_fit_spectra.txt,0,0
10,J2318_60251_UZ2_RP2norm_fit_spectra.txt,J2318_60251_UZ2_RP2norm_fit_spectra.txt,0,0
11,J2318_60251_DZ2_RPnorm_fit_spectra.txt,J2318_60251_DZ2_RPnorm_fit_spectra.txt,0,0
12,J2318_60251_DZ2_RP2norm_fit_spectra.txt,J2318_60251_DZ2_RP2norm_fit_spectra.txt,0,0
