#wavelengths flux error
9.823729643022212485e+02 1.000000000000000000e+00 1.570610534010683790e-01
9.825994399282237737e+02 1.000000000000000000e+00 1.556582491284904390e-01
9.828256436747233238e+02 1.000000000000000000e+00 1.511005047054984340e-01
9.830515755417198989e+02 1.000000000000000000e+00 1.466166401622801541e-01
9.832783230472253990e+02 1.000000000000000000e+00 1.414925417712217248e-01
9.835045267937249491e+02 1.000000000000000000e+00 1.322177899624194797e-01
9.837312742992305630e+02 1.000000000000000000e+00 1.227925399674114071e-01
9.839577499252330881e+02 1.000000000000000000e+00 1.194078680929050312e-01
9.841844974307387020e+02 1.000000000000000000e+00 1.148107935427055554e-01
9.844109730567412271e+02 1.000000000000000000e+00 1.095938218908611428e-01
9.846379924417498160e+02 1.000000000000000000e+00 1.079799623463122416e-01
9.848644680677523411e+02 1.000000000000000000e+00 1.080244567464708622e-01
9.850909436937548662e+02 1.000000000000000000e+00 1.034160480553249772e-01
9.853182349582665438e+02 1.000000000000000000e+00 1.000085662213554272e-01
9.855449824637720440e+02 1.000000000000000000e+00 9.979754921565410497e-02
9.857722737282834942e+02 1.000000000000000000e+00 1.020964900548030907e-01
9.859990212337891080e+02 1.000000000000000000e+00 1.049536291358351137e-01
9.862263124983006719e+02 9.999999999999998890e-01 1.098777349537548437e-01
9.864530600038062857e+02 9.999999999999998890e-01 1.165805888366170245e-01
9.866800793888148746e+02 9.999999999999998890e-01 1.209189955928138965e-01
9.869076425328294135e+02 9.999999999999998890e-01 1.212497594553377522e-01
9.871346619178380024e+02 9.999999999999998890e-01 1.196044930259802519e-01
9.873622250618526550e+02 9.999999999999997780e-01 1.186176031235735701e-01
9.875895163263641052e+02 9.999999999999997780e-01 1.160799896889242733e-01
9.878170794703786441e+02 9.999999999999996669e-01 1.151713615559551845e-01
9.880443707348903217e+02 9.999999999999995559e-01 1.138213848272992129e-01
9.882716619994017719e+02 9.999999999999994449e-01 1.111697244439060206e-01
9.884997689024223746e+02 9.999999999999993339e-01 1.090877278504899517e-01
9.887270601669340522e+02 9.999999999999992228e-01 1.068947728110305750e-01
9.889551670699545411e+02 9.999999999999990008e-01 1.042659436454240612e-01
9.891824583344661050e+02 9.999999999999987788e-01 1.027133565405159293e-01
9.894105652374867077e+02 9.999999999999984457e-01 1.039696405335514551e-01
9.896384002610043353e+02 9.999999999999981126e-01 1.022336889097297113e-01
9.898659634050188743e+02 9.999999999999975575e-01 1.012256305056957462e-01
