#wavelengths flux error
9.823729643022212485e+02 1.000000000000000000e+00 4.004360876081656806e-01
9.825994399282237737e+02 1.000000000000000000e+00 3.775981564667292845e-01
9.828256436747233238e+02 1.000000000000000000e+00 3.498390306869480493e-01
9.830515755417198989e+02 1.000000000000000000e+00 3.379885932670568804e-01
9.832783230472253990e+02 1.000000000000000000e+00 3.082257502392324877e-01
9.835045267937249491e+02 1.000000000000000000e+00 3.389850268859749272e-01
9.837312742992305630e+02 1.000000000000000000e+00 3.131488676430487228e-01
9.839577499252330881e+02 1.000000000000000000e+00 2.594137484556959805e-01
9.841844974307387020e+02 1.000000000000000000e+00 2.391182737284804627e-01
9.844109730567412271e+02 1.000000000000000000e+00 2.663922193021497353e-01
9.846379924417498160e+02 1.000000000000000000e+00 2.697856576071291923e-01
9.848644680677523411e+02 1.000000000000000000e+00 -2.414529273128445674e-01
9.850909436937548662e+02 1.000000000000000000e+00 2.437180648427410001e-01
9.853182349582665438e+02 1.000000000000000000e+00 2.396162655084701498e-01
9.855449824637720440e+02 1.000000000000000000e+00 2.160193564908349240e-01
9.857722737282834942e+02 1.000000000000000000e+00 2.221861512242306880e-01
9.859990212337891080e+02 1.000000000000000000e+00 2.382972939074292085e-01
9.862263124983006719e+02 1.000000000000000000e+00 2.787660671270273394e-01
9.864530600038062857e+02 1.000000000000000000e+00 -2.817825505796484054e-01
9.866800793888148746e+02 1.000000000000000000e+00 2.696097041275360429e-01
9.869076425328294135e+02 1.000000000000000000e+00 2.958849671549330096e-01
9.871346619178380024e+02 1.000000000000000000e+00 2.822905938625261957e-01
9.873622250618526550e+02 1.000000000000000000e+00 2.820211761474720746e-01
9.875895163263641052e+02 1.000000000000000000e+00 2.655455882014344793e-01
9.878170794703786441e+02 1.000000000000000000e+00 2.579822235587995727e-01
9.880443707348903217e+02 1.000000000000000000e+00 2.630201952753447592e-01
9.882716619994017719e+02 1.000000000000000000e+00 2.711736606243376202e-01
9.884997689024223746e+02 1.000000000000000000e+00 2.636600427039000882e-01
9.887270601669340522e+02 1.000000000000000000e+00 2.369310010129534183e-01
9.889551670699545411e+02 1.000000000000000000e+00 2.353041803305579716e-01
9.891824583344661050e+02 1.000000000000000000e+00 2.375343106376391900e-01
9.894105652374867077e+02 1.000000000000000000e+00 2.355002099656493542e-01
9.896384002610043353e+02 1.000000000000000000e+00 2.426699544323744628e-01
9.898659634050188743e+02 1.000000000000000000e+00 2.536089167845250181e-01
9.900940703080394769e+02 1.000000000000000000e+00 2.177900692260003324e-01
9.903219053315571045e+02 1.000000000000000000e+00 2.256215960570539525e-01
9.905502841140805685e+02 1.000000000000000000e+00 2.340072629365233803e-01
9.907781191375981962e+02 1.000000000000000000e+00 2.234228743508821780e-01
9.910064979201217739e+02 1.000000000000000000e+00 2.189345369482981751e-01
9.912346048231423765e+02 1.000000000000000000e+00 2.351402718034003025e-01
9.914627117261629792e+02 1.000000000000000000e+00 2.123482567837871315e-01
9.916913623881895319e+02 1.000000000000000000e+00 2.107650425707680297e-01
9.919194692912100209e+02 1.000000000000000000e+00 2.199019777872752990e-01
9.921481199532366873e+02 1.000000000000000000e+00 2.310587980597782476e-01
9.923764987357602649e+02 1.000000000000000000e+00 2.231328110503909834e-01
9.926051493977868176e+02 1.000000000000000000e+00 2.043920840818443940e-01
9.928335281803103953e+02 1.000000000000000000e+00 2.031695604767332353e-01
9.930619069628340867e+02 1.000000000000000000e+00 1.800139362050617309e-01
9.932911013838665895e+02 1.000000000000000000e+00 1.999364366014589334e-01
9.935194801663902808e+02 1.000000000000000000e+00 2.103256244597573321e-01
9.937486745874227836e+02 1.000000000000000000e+00 1.976401116942110847e-01
9.939773252494493363e+02 1.000000000000000000e+00 1.962724053689305082e-01
9.942065196704820664e+02 1.000000000000000000e+00 1.929246413750281552e-01
9.944351703325086191e+02 1.000000000000000000e+00 1.970224323765782382e-01
9.946638209945351718e+02 1.000000000000000000e+00 2.054949071917280545e-01
9.948932872950707633e+02 1.000000000000000000e+00 2.055654131195692458e-01
9.951222098366004047e+02 1.000000000000000000e+00 2.057001332596236631e-01
9.953516761371359962e+02 1.000000000000000000e+00 2.094736271349384449e-01
9.955805986786655239e+02 1.000000000000000000e+00 2.025710986457713858e-01
9.958100649792011154e+02 1.000000000000000000e+00 2.302550443260296398e-01
9.960392594002338456e+02 1.000000000000000000e+00 2.248078905827161633e-01
9.962684538212663483e+02 1.000000000000000000e+00 2.144242768894166484e-01
9.964981920013049148e+02 1.000000000000000000e+00 2.081156985314611130e-01
9.967273864223376449e+02 1.000000000000000000e+00 2.083824478776137579e-01
9.969571246023762114e+02 1.000000000000000000e+00 2.097463262518610150e-01
9.971865909029118029e+02 1.000000000000000000e+00 1.941714236820088757e-01
9.974166009624533444e+02 1.000000000000000000e+00 1.962748788418063051e-01
9.976460672629890496e+02 1.000000000000000000e+00 1.941840891332902441e-01
9.978755335635246411e+02 1.000000000000000000e+00 1.852600429633264878e-01
9.981055436230661826e+02 1.000000000000000000e+00 1.774106198638949194e-01
9.983352818031047491e+02 1.000000000000000000e+00 1.895686016559850473e-01
9.985652918626464043e+02 1.000000000000000000e+00 1.967892886287334331e-01
9.987950300426850845e+02 1.000000000000000000e+00 2.121286821992463267e-01
9.990255838612326897e+02 1.000000000000000000e+00 2.093646649678925220e-01
9.992553220412712562e+02 1.000000000000000000e+00 2.002389773132261519e-01
9.994850602213099364e+02 1.000000000000000000e+00 1.962373271986830869e-01
9.997156140398575417e+02 1.000000000000000000e+00 1.964165396463040947e-01
9.999456240993990832e+02 1.000000000000000000e+00 1.897810478353422481e-01
1.000176177917946688e+03 1.000000000000000000e+00 1.835113629943253000e-01
1.000406187977488344e+03 1.000000000000000000e+00 1.811746767239843237e-01
1.000637013675539038e+03 1.000000000000000000e+00 1.660748533304114705e-01
1.000867295614583554e+03 1.000000000000000000e+00 1.594567402956830193e-01
1.001097305674125209e+03 1.000000000000000000e+00 1.591212636998767249e-01
1.001328403251678765e+03 1.000000000000000000e+00 1.429624629319412032e-01
1.001558685190723509e+03 1.000000000000000000e+00 1.385047116605306050e-01
1.001789510888773975e+03 1.000000000000000000e+00 1.506675670293998182e-01
1.002020064707321694e+03 1.000000000000000000e+00 1.528419006754972442e-01
1.002251162284875363e+03 1.000000000000000000e+00 1.505534382973748031e-01
1.002481716103422968e+03 1.000000000000000000e+00 1.512794689744755838e-01
1.002712813680976524e+03 1.000000000000000000e+00 1.456904821792671390e-01
1.002943639379027218e+03 1.000000000000000000e+00 1.531115209113206588e-01
1.003174193197574823e+03 1.000000000000000000e+00 1.512819851266638538e-01
1.003405562654631467e+03 1.000000000000000000e+00 1.637104271012828627e-01
1.003636388352682047e+03 1.000000000000000000e+00 1.715087053752202551e-01
1.003867757809738691e+03 1.000000000000000000e+00 1.750991025340075113e-01
1.004098855387292247e+03 1.000000000000000000e+00 1.803102326327555294e-01
1.004330224844349004e+03 1.000000000000000000e+00 1.613634189417134934e-01
1.004561322421902560e+03 1.000000000000000000e+00 1.535821469271874684e-01
1.004792419999456115e+03 1.000000000000000000e+00 1.525376643936384724e-01
1.005024061336015848e+03 1.000000000000000000e+00 1.595719976873959667e-01
1.005255430793072378e+03 1.000000000000000000e+00 1.571780065207179777e-01
1.005487072129632111e+03 1.000000000000000000e+00 1.494875829842147730e-01
1.005718441586688641e+03 1.000000000000000000e+00 1.596827603544629381e-01
1.005950354802751349e+03 1.000000000000000000e+00 1.527508739694041773e-01
