#wavelengths flux error
9.823729643022212485e+02 1.000000000000000000e+00 3.814545694741861559e-01
9.825994399282237737e+02 1.000000000000000000e+00 3.614822320904682029e-01
9.828256436747233238e+02 1.000000000000000000e+00 3.333582082885215292e-01
9.830515755417198989e+02 1.000000000000000000e+00 3.208320373406291504e-01
9.832783230472253990e+02 1.000000000000000000e+00 2.943311701122006685e-01
9.835045267937249491e+02 1.000000000000000000e+00 3.219524210677632281e-01
9.837312742992305630e+02 1.000000000000000000e+00 2.994390975437491442e-01
9.839577499252330881e+02 1.000000000000000000e+00 2.469429954529193394e-01
9.841844974307387020e+02 1.000000000000000000e+00 2.293207773160547136e-01
9.844109730567412271e+02 1.000000000000000000e+00 2.545943114199328838e-01
9.846379924417498160e+02 1.000000000000000000e+00 2.540840494367305191e-01
9.848644680677523411e+02 1.000000000000000000e+00 -2.313291616979117893e-01
9.850909436937548662e+02 1.000000000000000000e+00 2.297824435225830630e-01
9.853182349582665438e+02 1.000000000000000000e+00 2.298667478914336038e-01
9.855449824637720440e+02 1.000000000000000000e+00 2.068175954897225333e-01
9.857722737282834942e+02 1.000000000000000000e+00 2.127629925877717043e-01
9.859990212337891080e+02 1.000000000000000000e+00 2.287585012000006579e-01
9.862263124983006719e+02 1.000000000000000000e+00 2.637979392875828832e-01
9.864530600038062857e+02 1.000000000000000000e+00 -2.705882756628415486e-01
9.866800793888148746e+02 1.000000000000000000e+00 2.561070392612898039e-01
9.869076425328294135e+02 1.000000000000000000e+00 2.812709509473889646e-01
9.871346619178380024e+02 1.000000000000000000e+00 2.691029977970716969e-01
9.873622250618526550e+02 1.000000000000000000e+00 2.674760146310453113e-01
9.875895163263641052e+02 1.000000000000000000e+00 2.534215026459583631e-01
9.878170794703786441e+02 1.000000000000000000e+00 2.467855721680780046e-01
9.880443707348903217e+02 1.000000000000000000e+00 2.513484766228106793e-01
9.882716619994017719e+02 1.000000000000000000e+00 2.582387498640108525e-01
9.884997689024223746e+02 1.000000000000000000e+00 2.515962384079075687e-01
9.887270601669340522e+02 1.000000000000000000e+00 2.273481356217102733e-01
9.889551670699545411e+02 1.000000000000000000e+00 2.260175261035682337e-01
9.891824583344661050e+02 1.000000000000000000e+00 2.272776104605721825e-01
9.894105652374867077e+02 1.000000000000000000e+00 2.262853679549252650e-01
9.896384002610043353e+02 1.000000000000000000e+00 2.316436924652224005e-01
9.898659634050188743e+02 1.000000000000000000e+00 2.424163611781655070e-01
9.900940703080394769e+02 1.000000000000000000e+00 2.095410361066553373e-01
9.903219053315571045e+02 1.000000000000000000e+00 2.167333844701551382e-01
