#wavelengths flux error
9.844109730567412271e+02 9.999999993453934088e-01 8.241922843874273374e-02
9.846379924417498160e+02 9.999999992038745011e-01 8.217574970135933798e-02
9.848644680677523411e+02 9.999999990332206767e-01 8.217929866393916538e-02
9.850909436937548662e+02 9.999999988272048057e-01 8.214333421737969598e-02
9.853182349582665438e+02 9.999999985777834333e-01 8.112237941485080095e-02
9.855449824637720440e+02 9.999999982779076424e-01 7.962850856284366119e-02
9.857722737282834942e+02 9.999999979160230090e-01 7.913446875155180638e-02
9.859990212337891080e+02 9.999999974818649662e-01 7.787816699452446145e-02
9.862263124983006719e+02 9.999999969590525062e-01 7.627589596469612487e-02
9.864530600038062857e+02 9.999999963331699382e-01 7.559959358735823809e-02
9.866800793888148746e+02 9.999999955820796371e-01 7.625514675690323041e-02
9.869076425328294135e+02 9.999999946803282969e-01 7.636656698636658247e-02
9.871346619178380024e+02 9.999999936040326887e-01 7.714899528146711150e-02
9.873622250618526550e+02 9.999999923146167813e-01 7.854566370892113181e-02
9.875895163263641052e+02 9.999999907769165919e-01 7.861579741830618251e-02
9.878170794703786441e+02 9.999999889406991915e-01 7.799063185387741792e-02
9.880443707348903217e+02 9.999999867556138566e-01 7.805739632551600415e-02
9.882716619994017719e+02 9.999999841553290914e-01 7.832525649301538828e-02
9.884997689024223746e+02 9.999999810521964516e-01 7.800038387129858142e-02
9.887270601669340522e+02 9.999999773794365776e-01 7.862789660651144097e-02
9.889551670699545411e+02 9.999999730058771741e-01 7.896662820519616266e-02
9.891824583344661050e+02 9.999999678406400472e-01 7.825613986343313289e-02
9.894105652374867077e+02 9.999999617030840282e-01 7.681674610929069280e-02
9.896384002610043353e+02 9.999999544513750172e-01 7.562747307556681731e-02
9.898659634050188743e+02 9.999999458942329111e-01 7.515867640758447377e-02
9.900940703080394769e+02 9.999999357702912262e-01 7.399291982106602494e-02
9.903219053315571045e+02 9.999999238472806473e-01 7.294759037832147797e-02
9.905502841140805685e+02 9.999999097689582506e-01 7.216242521211405081e-02
9.907781191375981962e+02 9.999998932428576515e-01 7.152055714367448747e-02
9.910064979201217739e+02 9.999998737715988240e-01 7.034084549975187783e-02
9.912346048231423765e+02 9.999998509349380393e-01 6.858444044355380131e-02
9.914627117261629792e+02 9.999998241508362140e-01 6.712150094440168246e-02
9.916913623881895319e+02 9.999997926901373901e-01 6.720939817748465550e-02
9.919194692912100209e+02 9.999997559521459634e-01 6.756228618005899467e-02
9.921481199532366873e+02 9.999997128932918145e-01 6.857121487955360195e-02
9.923764987357602649e+02 9.999996626563143476e-01 7.028664672003455405e-02
9.926051493977868176e+02 9.999996039686266380e-01 7.093719701795972443e-02
