#wavelengths flux error
9.844109730567412271e+02 1.000000000000000000e+00 1.954660775427366215e-01
9.846379924417498160e+02 1.000000000000000000e+00 1.998596214614214162e-01
9.848644680677523411e+02 1.000000000000000000e+00 1.943814179711527979e-01
9.850909436937548662e+02 1.000000000000000000e+00 1.927959997976745610e-01
9.853182349582665438e+02 1.000000000000000000e+00 1.947539141778764082e-01
9.855449824637720440e+02 1.000000000000000000e+00 1.962387981086803623e-01
9.857722737282834942e+02 1.000000000000000000e+00 1.871026170468849670e-01
9.859990212337891080e+02 1.000000000000000000e+00 1.778650704368419100e-01
9.862263124983006719e+02 1.000000000000000000e+00 1.866897730985231374e-01
9.864530600038062857e+02 1.000000000000000000e+00 1.796969553993507385e-01
9.866800793888148746e+02 1.000000000000000000e+00 1.749274550545150408e-01
9.869076425328294135e+02 1.000000000000000000e+00 1.787348431923864445e-01
9.871346619178380024e+02 1.000000000000000000e+00 1.865885746429236935e-01
9.873622250618526550e+02 1.000000000000000000e+00 1.874319266489520019e-01
9.875895163263641052e+02 1.000000000000000000e+00 1.891554293013975041e-01
9.878170794703786441e+02 1.000000000000000000e+00 1.915282671158427263e-01
9.880443707348903217e+02 1.000000000000000000e+00 1.791493207604405724e-01
9.882716619994017719e+02 1.000000000000000000e+00 1.787385833389498191e-01
9.884997689024223746e+02 1.000000000000000000e+00 1.882065411690106993e-01
9.887270601669340522e+02 1.000000000000000000e+00 1.928948802427657427e-01
9.889551670699545411e+02 1.000000000000000000e+00 1.867807782815901763e-01
9.891824583344661050e+02 1.000000000000000000e+00 1.862775809300905028e-01
9.894105652374867077e+02 1.000000000000000000e+00 1.821445908747711673e-01
9.896384002610043353e+02 1.000000000000000000e+00 1.803172299114220722e-01
9.898659634050188743e+02 1.000000000000000000e+00 1.753073239844945286e-01
9.900940703080394769e+02 1.000000000000000000e+00 1.725216572332306797e-01
9.903219053315571045e+02 1.000000000000000000e+00 1.803387409402673058e-01
9.905502841140805685e+02 1.000000000000000000e+00 1.684985910377401475e-01
9.907781191375981962e+02 1.000000000000000000e+00 1.678009416165654744e-01
9.910064979201217739e+02 1.000000000000000000e+00 1.660758281602792430e-01
9.912346048231423765e+02 1.000000000000000000e+00 1.654496332812139536e-01
9.914627117261629792e+02 1.000000000000000000e+00 1.650667729987230770e-01
9.916913623881895319e+02 1.000000000000000000e+00 1.496395483045258601e-01
9.919194692912100209e+02 1.000000000000000000e+00 1.507764762104087108e-01
9.921481199532366873e+02 1.000000000000000000e+00 1.673906748054846960e-01
9.923764987357602649e+02 1.000000000000000000e+00 1.699589655304774016e-01
9.926051493977868176e+02 1.000000000000000000e+00 1.798533269462540274e-01
9.928335281803103953e+02 1.000000000000000000e+00 1.683469401656340070e-01
9.930619069628340867e+02 1.000000000000000000e+00 1.565552480855145201e-01
9.932911013838665895e+02 1.000000000000000000e+00 1.539539759690730092e-01
9.935194801663902808e+02 1.000000000000000000e+00 1.645769622619501216e-01
9.937486745874227836e+02 1.000000000000000000e+00 1.633293634618832590e-01
9.939773252494493363e+02 1.000000000000000000e+00 1.611885676870382089e-01
9.942065196704820664e+02 1.000000000000000000e+00 1.579480467606859673e-01
9.944351703325086191e+02 1.000000000000000000e+00 1.623967450578061300e-01
9.946638209945351718e+02 1.000000000000000000e+00 1.610460507165516475e-01
9.948932872950707633e+02 1.000000000000000000e+00 1.559956063996301157e-01
9.951222098366004047e+02 1.000000000000000000e+00 1.655820637949632357e-01
9.953516761371359962e+02 1.000000000000000000e+00 1.658404874968814613e-01
9.955805986786655239e+02 1.000000000000000000e+00 1.690112183086145414e-01
9.958100649792011154e+02 1.000000000000000000e+00 1.666442103037033551e-01
9.960392594002338456e+02 1.000000000000000000e+00 1.698757191304164360e-01
9.962684538212663483e+02 1.000000000000000000e+00 1.654040999208740703e-01
9.964981920013049148e+02 1.000000000000000000e+00 1.626307015077841367e-01
9.967273864223376449e+02 1.000000000000000000e+00 1.548725183082690360e-01
9.969571246023762114e+02 1.000000000000000000e+00 1.559050997098924696e-01
9.971865909029118029e+02 1.000000000000000000e+00 1.609268329584496449e-01
9.974166009624533444e+02 1.000000000000000000e+00 1.563745626000984934e-01
9.976460672629890496e+02 1.000000000000000000e+00 1.504497754906182483e-01
9.978755335635246411e+02 1.000000000000000000e+00 1.487785204387871985e-01
9.981055436230661826e+02 1.000000000000000000e+00 1.455745228546856951e-01
9.983352818031047491e+02 1.000000000000000000e+00 1.401803966506254828e-01
9.985652918626464043e+02 1.000000000000000000e+00 1.410124994357102035e-01
9.987950300426850845e+02 1.000000000000000000e+00 1.437234204778790880e-01
9.990255838612326897e+02 1.000000000000000000e+00 1.491973022652849923e-01
9.992553220412712562e+02 1.000000000000000000e+00 1.449119293502426908e-01
9.994850602213099364e+02 1.000000000000000000e+00 1.438758549746032567e-01
9.997156140398575417e+02 1.000000000000000000e+00 1.451865844311137355e-01
9.999456240993990832e+02 1.000000000000000000e+00 1.451097827507090710e-01
1.000176177917946688e+03 1.000000000000000000e+00 1.481238586132850310e-01
1.000406187977488344e+03 1.000000000000000000e+00 1.434216391827348169e-01
1.000637013675539038e+03 1.000000000000000000e+00 1.410838561959307791e-01
1.000867295614583554e+03 1.000000000000000000e+00 1.437415778665634969e-01
1.001097305674125209e+03 1.000000000000000000e+00 1.369332333308400373e-01
1.001328403251678765e+03 1.000000000000000000e+00 1.239421820812015851e-01
1.001558685190723509e+03 1.000000000000000000e+00 1.232805768749894448e-01
1.001789510888773975e+03 1.000000000000000000e+00 1.156179179807090146e-01
1.002020064707321694e+03 1.000000000000000000e+00 1.175803503028847175e-01
1.002251162284875363e+03 1.000000000000000000e+00 1.334953141082136918e-01
1.002481716103422968e+03 1.000000000000000000e+00 1.387184460717802992e-01
1.002712813680976524e+03 1.000000000000000000e+00 1.281688141164974704e-01
1.002943639379027218e+03 1.000000000000000000e+00 1.282764192522194979e-01
1.003174193197574823e+03 1.000000000000000000e+00 1.364930958659731075e-01
1.003405562654631467e+03 1.000000000000000000e+00 1.395532069898892114e-01
1.003636388352682047e+03 1.000000000000000000e+00 1.403118092508595927e-01
1.003867757809738691e+03 1.000000000000000000e+00 1.386085120307756491e-01
1.004098855387292247e+03 1.000000000000000000e+00 1.421553237138038495e-01
1.004330224844349004e+03 1.000000000000000000e+00 1.469703122706426113e-01
1.004561322421902560e+03 1.000000000000000000e+00 1.423341433340632456e-01
1.004792419999456115e+03 1.000000000000000000e+00 1.479817594790741320e-01
1.005024061336015848e+03 1.000000000000000000e+00 1.382335769850998874e-01
