#wavelengths flux error
9.844109730567412271e+02 1.000000000000000000e+00 1.867306809582447991e-01
9.846379924417498160e+02 1.000000000000000000e+00 1.910356114494283497e-01
9.848644680677523411e+02 1.000000000000000000e+00 1.864865356733630686e-01
9.850909436937548662e+02 1.000000000000000000e+00 1.841517014592333468e-01
9.853182349582665438e+02 1.000000000000000000e+00 1.869113959995043484e-01
9.855449824637720440e+02 1.000000000000000000e+00 1.863758241461379583e-01
9.857722737282834942e+02 1.000000000000000000e+00 1.795170753684315612e-01
9.859990212337891080e+02 1.000000000000000000e+00 1.707230104468602794e-01
9.862263124983006719e+02 1.000000000000000000e+00 1.784660294600680930e-01
9.864530600038062857e+02 1.000000000000000000e+00 1.724076890289033548e-01
9.866800793888148746e+02 1.000000000000000000e+00 1.676696390755366139e-01
9.869076425328294135e+02 1.000000000000000000e+00 1.714573533478746248e-01
9.871346619178380024e+02 1.000000000000000000e+00 1.784193347734046586e-01
9.873622250618526550e+02 1.000000000000000000e+00 1.798224109794107073e-01
9.875895163263641052e+02 1.000000000000000000e+00 1.816536962684758283e-01
9.878170794703786441e+02 9.999999999999998890e-01 1.830503265443326755e-01
9.880443707348903217e+02 9.999999999999998890e-01 1.721778794032771398e-01
9.882716619994017719e+02 9.999999999999998890e-01 1.716621785711430204e-01
9.884997689024223746e+02 9.999999999999997780e-01 1.806073033248491722e-01
9.887270601669340522e+02 9.999999999999996669e-01 1.849766992419153433e-01
9.889551670699545411e+02 9.999999999999995559e-01 1.791168028335015094e-01
9.891824583344661050e+02 9.999999999999993339e-01 1.790049222125542072e-01
9.894105652374867077e+02 9.999999999999991118e-01 1.751567779874050046e-01
9.896384002610043353e+02 9.999999999999986677e-01 1.728351727501664936e-01
9.898659634050188743e+02 9.999999999999980016e-01 1.685594004547004976e-01
9.900940703080394769e+02 9.999999999999971134e-01 1.658370265021765488e-01
9.903219053315571045e+02 9.999999999999958922e-01 1.732262905459197311e-01
9.905502841140805685e+02 9.999999999999941158e-01 1.621678676588522439e-01
9.907781191375981962e+02 9.999999999999914513e-01 1.610201191079818350e-01
9.910064979201217739e+02 9.999999999999877875e-01 1.597837069594439108e-01
9.912346048231423765e+02 9.999999999999825695e-01 1.587167272331103662e-01
9.914627117261629792e+02 9.999999999999751310e-01 1.586733787702011567e-01
9.916913623881895319e+02 9.999999999999644729e-01 1.441186996576555579e-01
9.919194692912100209e+02 9.999999999999495959e-01 1.449144605299689248e-01
9.921481199532366873e+02 9.999999999999285016e-01 1.609194858427273056e-01
9.923764987357602649e+02 9.999999999998988587e-01 1.633310904959374699e-01
9.926051493977868176e+02 9.999999999998571143e-01 1.726513660587669086e-01
9.928335281803103953e+02 9.999999999997988276e-01 1.617275390821414360e-01
9.930619069628340867e+02 9.999999999997172262e-01 1.506941780738098313e-01
9.932911013838665895e+02 9.999999999996030953e-01 1.481595537299572607e-01
9.935194801663902808e+02 9.999999999994448885e-01 1.580339391004285110e-01
9.937486745874227836e+02 9.999999999992243982e-01 1.572442291386190738e-01
9.939773252494493363e+02 9.999999999989195310e-01 1.550803600588182563e-01
9.942065196704820664e+02 9.999999999984972021e-01 1.515551265802038416e-01
9.944351703325086191e+02 9.999999999979161114e-01 1.557846625611946090e-01
9.946638209945351718e+02 9.999999999971167508e-01 1.547722968520715559e-01
9.948932872950707633e+02 9.999999999960154096e-01 1.500354809010249479e-01
9.951222098366004047e+02 9.999999999945099471e-01 1.589095919426805337e-01
9.953516761371359962e+02 9.999999999924471528e-01 1.590407357471751715e-01
9.955805986786655239e+02 9.999999999896408420e-01 1.623007200521890681e-01
9.958100649792011154e+02 9.999999999858135702e-01 1.599397993437979559e-01
9.960392594002338456e+02 9.999999999806232776e-01 1.627577158838126592e-01
9.962684538212663483e+02 9.999999999735944556e-01 1.586021872752957085e-01
9.964981920013049148e+02 9.999999999640712955e-01 1.557671219496443160e-01
9.967273864223376449e+02 9.999999999512603210e-01 1.487563756721499986e-01
9.969571246023762114e+02 9.999999999339841406e-01 1.495159563496641364e-01
9.971865909029118029e+02 9.999999999108195592e-01 1.540064357273498996e-01
9.974166009624533444e+02 9.999999998797157730e-01 1.502042070690262632e-01
9.976460672629890496e+02 9.999999998382471667e-01 1.445276685852542042e-01
9.978755335635246411e+02 9.999999997829760456e-01 1.428693340022953173e-01
9.981055436230661826e+02 9.999999997092797743e-01 1.399558179822936455e-01
9.983352818031047491e+02 9.999999996115791490e-01 1.351356493466430164e-01
9.985652918626464043e+02 9.999999994820498728e-01 1.360216360212552489e-01
9.987950300426850845e+02 9.999999993111318153e-01 1.381157905487196413e-01
9.990255838612326897e+02 9.999999990849809395e-01 1.429499788302550645e-01
9.992553220412712562e+02 9.999999987885715980e-01 1.392221495636362105e-01
9.994850602213099364e+02 9.999999983997893693e-01 1.381141348722642881e-01
9.997156140398575417e+02 9.999999978889793084e-01 1.393365864536287579e-01
9.999456240993990832e+02 9.999999972232750389e-01 1.394596187880029203e-01
1.000176177917946688e+03 9.999999963536251313e-01 1.424216568321320098e-01
1.000406187977488344e+03 9.999999952255871349e-01 1.377213220411984129e-01
1.000637013675539038e+03 9.999999937569168384e-01 1.357467402473928331e-01
1.000867295614583554e+03 9.999999918602462401e-01 1.379801566855999029e-01
1.001097305674125209e+03 9.999999894148269286e-01 1.318263667302663478e-01
1.001328403251678765e+03 9.999999862491849578e-01 1.197912757754189123e-01
1.001558685190723509e+03 9.999999821940381839e-01 1.191838971779207307e-01
1.001789510888773975e+03 9.999999769816876327e-01 1.118882125131146210e-01
1.002020064707321694e+03 9.999999703204670576e-01 1.138041857572776039e-01
1.002251162284875363e+03 9.999999617963211129e-01 1.284690749222874295e-01
1.002481716103422968e+03 9.999999509654622365e-01 1.333152092582892967e-01
1.002712813680976524e+03 9.999999371711181251e-01 1.236990616819218652e-01
1.002943639379027218e+03 9.999999197037182652e-01 1.238757349713338618e-01
1.003174193197574823e+03 9.999998976437878273e-01 1.315283952665166900e-01
1.003405562654631467e+03 9.999998697104479639e-01 1.345221854537790862e-01
1.003636388352682047e+03 9.999998346270695393e-01 1.352668468674990965e-01
1.003867757809738691e+03 9.999997904600689269e-01 1.337964565746268264e-01
1.004098855387292247e+03 9.999997351787327515e-01 1.371473965659052996e-01
1.004330224844349004e+03 9.999996659879818450e-01 1.413287310706524413e-01
1.004561322421902560e+03 9.999995797982341728e-01 1.372676571796036804e-01
1.004792419999456115e+03 9.999994725765058989e-01 1.422479791010503036e-01
1.005024061336015848e+03 9.999993391606177839e-01 1.333595151904640175e-01
1.005255430793072378e+03 9.999991741125793254e-01 1.314780665997086762e-01
1.005487072129632111e+03 9.999989699410071209e-01 1.363141404307108284e-01
1.005718441586688641e+03 9.999987185704306558e-01 1.400515267072276471e-01
1.005950354802751349e+03 9.999984087017981249e-01 1.348295718951843802e-01
1.006181724259807993e+03 9.999980294302107664e-01 1.315117690743921874e-01
1.006413365596367612e+03 9.999975647429294456e-01 1.358459258708565043e-01
1.006645278812430320e+03 9.999969966406778710e-01 1.339860898317391524e-01
1.006876920148989825e+03 9.999963054116313144e-01 1.407595571497348708e-01
1.007109105244555622e+03 9.999954633383453251e-01 1.407790049403102317e-01
1.007340746581115241e+03 9.999944447846413897e-01 1.359391171036811452e-01
1.007573203556183785e+03 9.999932083646110303e-01 1.359786749002994954e-01
1.007804844892743404e+03 9.999917216342483206e-01 1.322290792910686408e-01
1.008036758108806112e+03 9.999899302410748536e-01 1.373789842313482557e-01
1.008269215083874769e+03 9.999877737715087145e-01 1.337642074343648180e-01
1.008501128299937363e+03 9.999851962759144230e-01 1.339415051792162692e-01
1.008733585275006021e+03 9.999821085987031788e-01 1.332520498034391321e-01
1.008965770370571818e+03 9.999784313729007668e-01 1.274561784602280534e-01
1.009198499225143337e+03 9.999740469044506863e-01 1.280737417111524890e-01
