#wavelengths flux error
9.760599222424621075e+02 1.000000000000000000e+00 2.020066396032391964e-01
9.762850384709495302e+02 1.000000000000000000e+00 1.984989228352938839e-01
9.765093390609281414e+02 1.000000000000000000e+00 1.979321289033834086e-01
9.767341834099125890e+02 1.000000000000000000e+00 2.005554574631751019e-01
9.769592996384001253e+02 1.000000000000000000e+00 2.044085004617187673e-01
9.771841439873848003e+02 1.000000000000000000e+00 2.032307384902284075e-01
9.774095320953753117e+02 1.000000000000000000e+00 1.970159898183146963e-01
9.776343764443598729e+02 1.000000000000000000e+00 1.957933561225196628e-01
9.778597645523503843e+02 1.000000000000000000e+00 1.912258772936108464e-01
9.780846089013348319e+02 1.000000000000000000e+00 1.887970926484031919e-01
9.783097251298223682e+02 1.000000000000000000e+00 1.930889768597382483e-01
9.785353851173159683e+02 1.000000000000000000e+00 1.996678204018281499e-01
9.787605013458035046e+02 1.000000000000000000e+00 1.963116550017351414e-01
9.789861613332971046e+02 1.000000000000000000e+00 1.924479248618778116e-01
9.792112775617846410e+02 1.000000000000000000e+00 1.873098375001928939e-01
9.794372094287811024e+02 1.000000000000000000e+00 1.822602472549407771e-01
9.796623256572686387e+02 1.000000000000000000e+00 1.783041479975813193e-01
9.798877137652591500e+02 1.000000000000000000e+00 1.774962376120057250e-01
9.801139175117587001e+02 1.000000000000000000e+00 1.823705614976816325e-01
9.803393056197493252e+02 1.000000000000000000e+00 1.838860513999035773e-01
9.805652374867459002e+02 1.000000000000000000e+00 1.836379797607338715e-01
9.807908974742393866e+02 1.000000000000000000e+00 1.871574645424550765e-01
9.810171012207389367e+02 1.000000000000000000e+00 1.925884316305245814e-01
9.812427612082324231e+02 1.000000000000000000e+00 1.903925176341515757e-01
9.814684211957260231e+02 1.000000000000000000e+00 1.868940779927328877e-01
9.816948968217285483e+02 1.000000000000000000e+00 1.794810053542289785e-01
9.819205568092220346e+02 1.000000000000000000e+00 1.699502296998436357e-01
9.821470324352246735e+02 1.000000000000000000e+00 1.638989859893389966e-01
9.823729643022212485e+02 1.000000000000000000e+00 1.655331666774876032e-01
9.825994399282237737e+02 1.000000000000000000e+00 1.706581786013879332e-01
9.828256436747233238e+02 1.000000000000000000e+00 1.785690865324333632e-01
9.830515755417198989e+02 1.000000000000000000e+00 1.899745451237133398e-01
9.832783230472253990e+02 1.000000000000000000e+00 2.020381277508316031e-01
9.835045267937249491e+02 1.000000000000000000e+00 2.033892418839854666e-01
9.837312742992305630e+02 1.000000000000000000e+00 2.046361078259836541e-01
9.839577499252330881e+02 1.000000000000000000e+00 2.089581661828554537e-01
9.841844974307387020e+02 1.000000000000000000e+00 2.081396635529632333e-01
9.844109730567412271e+02 1.000000000000000000e+00 2.001829728710513012e-01
9.846379924417498160e+02 1.000000000000000000e+00 1.973108807529325714e-01
9.848644680677523411e+02 1.000000000000000000e+00 1.930445503928031326e-01
9.850909436937548662e+02 1.000000000000000000e+00 1.892281605842991155e-01
9.853182349582665438e+02 1.000000000000000000e+00 1.863712147057568214e-01
9.855449824637720440e+02 1.000000000000000000e+00 1.824542733115289139e-01
9.857722737282834942e+02 1.000000000000000000e+00 1.760665492032184587e-01
9.859990212337891080e+02 1.000000000000000000e+00 1.756994311886821147e-01
9.862263124983006719e+02 1.000000000000000000e+00 1.743432340991168672e-01
9.864530600038062857e+02 1.000000000000000000e+00 1.700998014178461137e-01
9.866800793888148746e+02 1.000000000000000000e+00 1.742083284999072224e-01
9.869076425328294135e+02 1.000000000000000000e+00 1.831242145946109512e-01
9.871346619178380024e+02 1.000000000000000000e+00 1.853052099461721947e-01
9.873622250618526550e+02 1.000000000000000000e+00 1.882428251715800860e-01
9.875895163263641052e+02 1.000000000000000000e+00 1.947159860917996865e-01
9.878170794703786441e+02 1.000000000000000000e+00 1.971841963122108743e-01
9.880443707348903217e+02 1.000000000000000000e+00 1.948193439238588287e-01
9.882716619994017719e+02 1.000000000000000000e+00 1.980207270616694826e-01
9.884997689024223746e+02 1.000000000000000000e+00 2.062779544793416353e-01
9.887270601669340522e+02 1.000000000000000000e+00 2.174384220459337769e-01
9.889551670699545411e+02 1.000000000000000000e+00 2.239117970841385530e-01
9.891824583344661050e+02 1.000000000000000000e+00 2.306536952393557771e-01
9.894105652374867077e+02 1.000000000000000000e+00 2.339102466265002289e-01
9.896384002610043353e+02 1.000000000000000000e+00 2.286317997532423540e-01
9.898659634050188743e+02 1.000000000000000000e+00 2.206616754195599162e-01
9.900940703080394769e+02 1.000000000000000000e+00 2.150796198371061063e-01
9.903219053315571045e+02 1.000000000000000000e+00 2.086640261881514968e-01
9.905502841140805685e+02 1.000000000000000000e+00 2.012546366401040399e-01
9.907781191375981962e+02 1.000000000000000000e+00 1.924718988281171050e-01
9.910064979201217739e+02 1.000000000000000000e+00 1.880384529677643357e-01
9.912346048231423765e+02 1.000000000000000000e+00 1.852244145248541363e-01
9.914627117261629792e+02 1.000000000000000000e+00 1.844996045752462788e-01
9.916913623881895319e+02 1.000000000000000000e+00 1.785285907035586150e-01
9.919194692912100209e+02 1.000000000000000000e+00 1.813645466646380822e-01
9.921481199532366873e+02 1.000000000000000000e+00 1.845136567002929051e-01
9.923764987357602649e+02 1.000000000000000000e+00 1.849409148384852930e-01
9.926051493977868176e+02 1.000000000000000000e+00 1.860947126960005860e-01
9.928335281803103953e+02 1.000000000000000000e+00 1.909108678052550134e-01
9.930619069628340867e+02 1.000000000000000000e+00 1.853417581891833588e-01
9.932911013838665895e+02 1.000000000000000000e+00 1.794680555600777772e-01
9.935194801663902808e+02 1.000000000000000000e+00 1.777026685550756324e-01
9.937486745874227836e+02 1.000000000000000000e+00 1.776522628009503113e-01
9.939773252494493363e+02 1.000000000000000000e+00 1.800076967819142226e-01
9.942065196704820664e+02 1.000000000000000000e+00 1.846168200433383477e-01
9.944351703325086191e+02 1.000000000000000000e+00 1.871261829999720516e-01
9.946638209945351718e+02 1.000000000000000000e+00 1.845541332819431724e-01
9.948932872950707633e+02 1.000000000000000000e+00 1.802067336506723016e-01
9.951222098366004047e+02 1.000000000000000000e+00 1.776933123900499567e-01
9.953516761371359962e+02 1.000000000000000000e+00 1.773948225899829312e-01
9.955805986786655239e+02 1.000000000000000000e+00 1.786560559671524773e-01
9.958100649792011154e+02 1.000000000000000000e+00 1.815716575259521404e-01
9.960392594002338456e+02 1.000000000000000000e+00 1.870146066359141268e-01
9.962684538212663483e+02 1.000000000000000000e+00 1.858379539791878976e-01
9.964981920013049148e+02 1.000000000000000000e+00 1.779040053956704726e-01
9.967273864223376449e+02 1.000000000000000000e+00 1.751425943918639982e-01
9.969571246023762114e+02 1.000000000000000000e+00 1.739366610201327490e-01
9.971865909029118029e+02 1.000000000000000000e+00 1.674655076441345924e-01
9.974166009624533444e+02 1.000000000000000000e+00 1.628609070442557372e-01
9.976460672629890496e+02 1.000000000000000000e+00 1.655184725418439029e-01
9.978755335635246411e+02 1.000000000000000000e+00 1.642977979488282059e-01
9.981055436230661826e+02 1.000000000000000000e+00 1.620820763575870904e-01
9.983352818031047491e+02 1.000000000000000000e+00 1.642573523234153177e-01
9.985652918626464043e+02 1.000000000000000000e+00 1.691907556902152721e-01
9.987950300426850845e+02 1.000000000000000000e+00 1.656776381116495389e-01
9.990255838612326897e+02 1.000000000000000000e+00 1.556292756907972641e-01
9.992553220412712562e+02 1.000000000000000000e+00 1.511563141506964969e-01
9.994850602213099364e+02 1.000000000000000000e+00 1.498701496441834369e-01
9.997156140398575417e+02 1.000000000000000000e+00 1.452671178450916367e-01
9.999456240993990832e+02 1.000000000000000000e+00 1.444751964814233181e-01
1.000176177917946688e+03 1.000000000000000000e+00 1.521463304479646894e-01
1.000406187977488344e+03 1.000000000000000000e+00 1.558811228959003370e-01
1.000637013675539038e+03 1.000000000000000000e+00 1.552099809366040972e-01
1.000867295614583554e+03 1.000000000000000000e+00 1.551751142543490447e-01
1.001097305674125209e+03 1.000000000000000000e+00 1.538759880194684737e-01
1.001328403251678765e+03 1.000000000000000000e+00 1.506200059736763353e-01
1.001558685190723509e+03 1.000000000000000000e+00 1.478001624708836503e-01
1.001789510888773975e+03 1.000000000000000000e+00 1.459263833664600218e-01
1.002020064707321694e+03 1.000000000000000000e+00 1.468492294753270533e-01
1.002251162284875363e+03 1.000000000000000000e+00 1.447576805137779921e-01
1.002481716103422968e+03 1.000000000000000000e+00 1.441891727087541153e-01
1.002712813680976524e+03 1.000000000000000000e+00 1.464800869187477539e-01
1.002943639379027218e+03 1.000000000000000000e+00 1.490549934616774708e-01
1.003174193197574823e+03 1.000000000000000000e+00 1.496930508588552311e-01
1.003405562654631467e+03 1.000000000000000000e+00 1.527439713813198707e-01
1.003636388352682047e+03 1.000000000000000000e+00 1.498347152266012172e-01
1.003867757809738691e+03 1.000000000000000000e+00 1.482568339576703365e-01
1.004098855387292247e+03 1.000000000000000000e+00 1.445712635646354827e-01
1.004330224844349004e+03 1.000000000000000000e+00 1.436410228250903642e-01
1.004561322421902560e+03 1.000000000000000000e+00 1.458907824881698900e-01
1.004792419999456115e+03 1.000000000000000000e+00 1.505313981018019664e-01
1.005024061336015848e+03 1.000000000000000000e+00 1.495345639733855481e-01
1.005255430793072378e+03 1.000000000000000000e+00 1.461555626666864172e-01
1.005487072129632111e+03 1.000000000000000000e+00 1.445043025099773948e-01
1.005718441586688641e+03 1.000000000000000000e+00 1.420044243612414436e-01
1.005950354802751349e+03 1.000000000000000000e+00 1.417743954241157400e-01
1.006181724259807993e+03 1.000000000000000000e+00 1.455689287325584169e-01
1.006413365596367612e+03 1.000000000000000000e+00 1.528880195200195691e-01
1.006645278812430320e+03 1.000000000000000000e+00 1.582282795031157430e-01
1.006876920148989825e+03 1.000000000000000000e+00 1.617140450973481303e-01
1.007109105244555622e+03 1.000000000000000000e+00 1.616114497646476689e-01
1.007340746581115241e+03 1.000000000000000000e+00 1.582278603368769410e-01
1.007573203556183785e+03 1.000000000000000000e+00 1.550313323966473478e-01
1.007804844892743404e+03 1.000000000000000000e+00 1.539331918456040837e-01
1.008036758108806112e+03 1.000000000000000000e+00 1.544166335147672542e-01
1.008269215083874769e+03 1.000000000000000000e+00 1.561653284164872257e-01
1.008501128299937363e+03 1.000000000000000000e+00 1.576168010440569256e-01
1.008733585275006021e+03 1.000000000000000000e+00 1.591487634315448818e-01
1.008965770370571818e+03 1.000000000000000000e+00 1.576983807836564444e-01
1.009198499225143337e+03 1.000000000000000000e+00 1.541674910824382128e-01
1.009430684320709020e+03 1.000000000000000000e+00 1.503853562842707714e-01
1.009662869416274702e+03 1.000000000000000000e+00 1.447164531827350720e-01
1.009895598270846222e+03 1.000000000000000000e+00 1.413477405419456268e-01
1.010128055245914879e+03 1.000000000000000000e+00 1.383446512158686970e-01
1.010360784100486626e+03 1.000000000000000000e+00 1.352758077199518461e-01
1.010593241075555284e+03 1.000000000000000000e+00 1.322597031958797908e-01
1.010826241809630005e+03 1.000000000000000000e+00 1.328329488056700369e-01
1.011058970664201524e+03 1.000000000000000000e+00 1.333262755113818199e-01
1.011291427639270182e+03 1.000000000000000000e+00 1.278259942360360502e-01
1.011524700252847879e+03 1.000000000000000000e+00 1.234544296425319765e-01
1.011757429107419512e+03 1.000000000000000000e+00 1.232553210295681545e-01
1.011990701720997208e+03 1.000000000000000000e+00 1.217733225593586599e-01
1.012223430575568955e+03 1.000000000000000000e+00 1.204552287745231098e-01
1.012456975068649513e+03 1.000000000000000000e+00 1.257979219238775370e-01
1.012689975802724234e+03 1.000000000000000000e+00 1.338541662623819462e-01
