#wavelengths flux error
9.760599222424621075e+02 1.000000000000000000e+00 1.905014279937997101e-01
9.762850384709495302e+02 1.000000000000000000e+00 1.872508439798968027e-01
9.765093390609281414e+02 1.000000000000000000e+00 1.867406744455674672e-01
9.767341834099125890e+02 1.000000000000000000e+00 1.892631350239900589e-01
9.769592996384001253e+02 1.000000000000000000e+00 1.929195884411953610e-01
9.771841439873848003e+02 1.000000000000000000e+00 1.918470806670588280e-01
9.774095320953753117e+02 1.000000000000000000e+00 1.860285153356128762e-01
9.776343764443598729e+02 1.000000000000000000e+00 1.849026461460006876e-01
9.778597645523503843e+02 1.000000000000000000e+00 1.806259863290997913e-01
9.780846089013348319e+02 1.000000000000000000e+00 1.783694247345158912e-01
9.783097251298223682e+02 1.000000000000000000e+00 1.824479140688849144e-01
9.785353851173159683e+02 1.000000000000000000e+00 1.886888713718962440e-01
9.787605013458035046e+02 1.000000000000000000e+00 1.855559470982680870e-01
9.789861613332971046e+02 1.000000000000000000e+00 1.819331439409356543e-01
9.792112775617846410e+02 1.000000000000000000e+00 1.771083217065501092e-01
9.794372094287811024e+02 1.000000000000000000e+00 1.723637735157216300e-01
9.796623256572686387e+02 1.000000000000000000e+00 1.686545511411404463e-01
9.798877137652591500e+02 1.000000000000000000e+00 1.679164818304723639e-01
9.801139175117587001e+02 1.000000000000000000e+00 1.725538025008753751e-01
9.803393056197493252e+02 1.000000000000000000e+00 1.740127680013894562e-01
9.805652374867459002e+02 1.000000000000000000e+00 1.738229182684170593e-01
9.807908974742393866e+02 1.000000000000000000e+00 1.771735880219134640e-01
9.810171012207389367e+02 1.000000000000000000e+00 1.823384956426945536e-01
9.812427612082324231e+02 1.000000000000000000e+00 1.802947598426884179e-01
9.814684211957260231e+02 1.000000000000000000e+00 1.770201888771918974e-01
9.816948968217285483e+02 1.000000000000000000e+00 1.700393818727922168e-01
9.819205568092220346e+02 1.000000000000000000e+00 1.610540191868819193e-01
9.821470324352246735e+02 1.000000000000000000e+00 1.553494328754615461e-01
9.823729643022212485e+02 1.000000000000000000e+00 1.569277168378179210e-01
9.825994399282237737e+02 1.000000000000000000e+00 1.618121965528643014e-01
9.828256436747233238e+02 1.000000000000000000e+00 1.693406436505592028e-01
9.830515755417198989e+02 1.000000000000000000e+00 1.801803717852323850e-01
9.832783230472253990e+02 1.000000000000000000e+00 1.916257117740860216e-01
9.835045267937249491e+02 1.000000000000000000e+00 1.929463043397417477e-01
9.837312742992305630e+02 1.000000000000000000e+00 1.941773939493779411e-01
9.839577499252330881e+02 1.000000000000000000e+00 1.983027456262272947e-01
9.841844974307387020e+02 1.000000000000000000e+00 1.975528803134310174e-01
9.844109730567412271e+02 1.000000000000000000e+00 1.900509038114008564e-01
9.846379924417498160e+02 1.000000000000000000e+00 1.873647071522611951e-01
9.848644680677523411e+02 1.000000000000000000e+00 1.833443509307768060e-01
9.850909436937548662e+02 1.000000000000000000e+00 1.797504302678922528e-01
