NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,MAX DEPTH,AVERAGE DEPTH,VCENTRAL
spec-1589-52972-0430norm.dr16,0.0,[],[],[],[],[],[],[]
spec-10431-58137-0135norm.dr16,196.97,"[149.42, 31.0, 2.22, 14.33]",[-37190.96072 -42818.29739 -45721.71    -56244.82753],[-40381.02541 -44574.85895 -46261.04939 -56976.91903],"[448.7, 163.28, 52.78, 64.62]","[0.25, 0.27, 0.26, 0.25]","[0.1406505897395477, 0.09294197177849745, 0.09794938375706058, 0.08811964950975369]",[-38674.01920246 -43625.22769358 -46016.14607947 -56658.56330042]
spec-5187-56074-0092norm.dr16,805.44,"[803.8, 1.63]",[-36295.95398 -46519.47824],[-45508.38933 -47058.18675],"[1669.94, 60.39]","[0.26, 0.13]","[0.18122457495824115, 0.11208021196998208]",[-40616.76216113 -46793.51685808]
spec-10720-58250-0895norm.dr16,1026.07,"[984.77, 41.29]",[-35615.60619 -53297.87925],[-43145.18427 -54633.7822 ],"[1665.12, 195.73]","[0.36, 0.22]","[0.22113540307667026, 0.14653091446297242]",[-39333.31369793 -53942.84726908]
spec-2745-54231-0564norm.dr16,962.81,"[37.74, 31.05, 1.49, 21.63, 360.97, 86.87, 19.39, 156.79, 3.92, 18.37, 61.57]","[-31495.4861  -34223.43204 -35517.19944 -37965.03875 -39254.83091
 -44061.05718 -45815.64073 -48978.87661 -52933.83258 -53936.4985
 -55004.54406 -56070.94792]","[-32109.77415 -34768.29455 -36061.66585 -38983.35885 -41965.25794
 -45006.16687 -46354.78061 -50522.87236 -53468.75449 -54470.58322
 -55737.82138]","[217.01, 67.01, 44.78, 173.4, 597.13, 239.6, 71.21, 311.45, 52.88, 85.76, 222.58]","[0.58, 0.51, 0.19, 0.65, 0.81, 0.56, 0.36, 0.59, 0.51, 0.52, 0.89]","[0.35327524592677395, 0.12291420371407354, 0.08228637448763487, 0.17020362575067394, 0.22025676124384477, 0.2535497565404401, 0.1321521452796116, 0.20162759418940307, 0.09895640574623553, 0.16054500887740752, 0.3034209541733503]","[-31875.78468782 -34623.15547375 -35804.5516629  -38389.9629056
 -40396.98508126 -44541.72483283 -46148.80675945 -49661.42326196
 -53219.1091861  -54356.23671213 -55350.11603948]"
spec-5454-56015-0104norm.dr16,495.34,"[483.35, 11.99]",[-38032.85982 -48710.08028],[-41355.96903 -49516.15349],"[765.15, 82.77]","[0.45, 0.21]","[0.23022706454648723, 0.1026800098857323]",[-39592.20684159 -49196.48061283]
spec-5778-56328-0973norm.dr16,298.64,"[97.1, 9.95, 191.6]",[-38066.41777 -41186.30156 -45781.55356],[-40779.92626 -41795.68768 -49213.53761],"[316.72, 81.29, 507.54]","[0.25, 0.18, 0.27]","[0.11673685072179685, 0.13343190579645003, 0.14789288967289949]",[-39582.77738566 -41505.07583117 -47507.00193233]
spec-9602-58131-0454norm.dr16,91.89,"[9.67, 82.22]",[-40712.14046 -47128.94629],[-41524.87328 -48944.96733],"[67.03, 262.87]","[0.21, 0.31]","[0.0824485468243496, 0.14475532806882643]",[-41075.02506098 -48031.77248431]
spec-1374-53083-0381norm.dr16,0,[],[],[],[],[],[],[]
spec-6621-56366-0502norm.dr16,164.91,[164.91],[-34775.08032],[-38311.36582],[495.76],[0.26],[0.14020938307821812],[-36599.59561533]
