NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-10431-58137-0135norm.dr16,36.03,[np.float64(36.03)],[-37190.96072],[-40381.02541],[np.float64(172.42)],[np.float64(0.18)]
spec-10728-58248-0740norm.dr16,137.55,[np.float64(137.55)],[-53221.35367],[-56290.7884],[np.float64(284.7)],[np.float64(0.22)]
spec-11277-58450-0622norm.dr16,310.72,"[np.float64(295.1), np.float64(15.63)]",[-37686.95465 -45472.1019 ],[-42567.92729 -47896.98798],"[np.float64(569.28), np.float64(56.53)]","[np.float64(0.27), np.float64(0.1)]"
spec-11395-58488-0418norm.dr16,3307.61,[np.float64(3307.61)],[-29933.35948],[-47777.46782],[np.float64(3516.79)],[np.float64(0.38)]
spec-11634-58484-0334norm.dr16,120.84,[np.float64(120.84)],[-43801.36768],[-47913.53964],[np.float64(313.37)],[np.float64(0.18)]
spec-4419-55867-0178norm.dr16,271.57,[np.float64(271.57)],[-35496.14147],[-39572.99625],[np.float64(550.22)],[np.float64(0.34)]
spec-4485-55836-0092norm.dr16,658.75,[np.float64(658.75)],[-30041.34],[-36313.96954],[np.float64(982.59)],[np.float64(0.3)]
spec-4538-55860-0660norm.dr16,9.94,[np.float64(9.94)],[-40679.78385],[-43319.0206],[np.float64(113.95)],[np.float64(0.14)]
spec-4663-55893-0248norm.dr16,125.73,[np.float64(125.73)],[-33637.26727],[-37176.62098],[np.float64(242.05)],[np.float64(0.19)]
spec-4663-55893-0854norm.dr16,289.0,[np.float64(289.0)],[-37822.46963],[-41349.33362],[np.float64(668.28)],[np.float64(0.36)]
spec-5039-56220-0625norm.dr16,73.57,[np.float64(73.57)],[-36857.85529],[-40116.74668],[np.float64(257.98)],[np.float64(0.22)]
spec-5144-55829-0475norm.dr16,669.43,"[np.float64(252.25), np.float64(417.18)]",[-29961.89382 -36030.95384],[-33988.35604 -42205.5018 ],"[np.float64(492.44), np.float64(614.17)]","[np.float64(0.23), np.float64(0.22)]"
spec-5174-56047-0344norm.dr16,1304.93,[np.float64(1304.93)],[-34305.92351],[-41844.23204],[np.float64(1505.88)],[np.float64(0.29)]
spec-5179-55957-0836norm.dr16,16.74,[np.float64(16.74)],[-46367.17191],[-48856.84528],[np.float64(127.14)],[np.float64(0.17)]
spec-5187-56074-0092norm.dr16,627.64,[np.float64(627.64)],[-36372.1932],[-45583.97917],[np.float64(846.86)],[np.float64(0.22)]
spec-5212-56016-0348norm.dr16,113.64,[np.float64(113.64)],[-35942.09495],[-38728.30842],[np.float64(454.34)],[np.float64(0.33)]
spec-5288-55865-0958norm.dr16,145.25,[np.float64(145.25)],[-36900.82525],[-39956.0373],[np.float64(286.85)],[np.float64(0.22)]
spec-5320-55999-0336norm.dr16,23.74,[np.float64(23.74)],[-45872.34712],[-48363.15782],[np.float64(127.05)],[np.float64(0.15)]
spec-5338-56002-0157norm.dr16,55.97,[np.float64(55.97)],[-56577.32957],[-59102.93196],[np.float64(330.3)],[np.float64(0.24)]
spec-5356-55979-0586norm.dr16,85.39,[np.float64(85.39)],[-35046.31101],[-38310.11327],[np.float64(192.78)],[np.float64(0.2)]
spec-5372-55978-0742norm.dr16,355.05,"[np.float64(180.2), np.float64(174.85)]",[-31662.62725 -36772.29781],[-35139.30343 -40980.13571],"[np.float64(496.02), np.float64(376.39)]","[np.float64(0.33), np.float64(0.19)]"
spec-5372-55978-0916norm.dr16,1524.57,[np.float64(1524.57)],[-39565.65096],[-54442.87357],[np.float64(1593.86)],[np.float64(0.18)]
spec-5374-55947-0608norm.dr16,228.13,[np.float64(228.13)],[-32222.74415],[-38145.32759],[np.float64(358.53)],[np.float64(0.18)]
spec-5391-56000-0254norm.dr16,173.39,[np.float64(173.39)],[-32642.49693],[-38223.64705],[np.float64(212.2)],[np.float64(0.2)]
spec-5394-56001-0990norm.dr16,135.33,[np.float64(135.33)],[-45632.67722],[-49535.4367],[np.float64(257.27)],[np.float64(0.2)]
spec-5415-55982-0013norm.dr16,1875.99,[np.float64(1875.99)],[-32377.56019],[-41283.17311],[np.float64(2196.0)],[np.float64(0.51)]
spec-5421-55980-0918norm.dr16,20.62,[np.float64(20.62)],[-53918.0452],[-56851.67565],[np.float64(195.41)],[np.float64(0.24)]
spec-5427-56001-0204norm.dr16,72.06,[np.float64(72.06)],[-45434.24122],[-49002.01878],[np.float64(373.12)],[np.float64(0.26)]
spec-5430-56000-0964norm.dr16,2333.42,"[np.float64(2157.35), np.float64(176.07)]",[-38673.96819 -54500.09125],[-51959.71884 -58162.6625 ],"[np.float64(2611.05), np.float64(396.81)]","[np.float64(0.44), np.float64(0.32)]"
spec-5454-56015-0104norm.dr16,109.92,[np.float64(109.92)],[-38231.52113],[-41554.03618],[np.float64(508.35)],[np.float64(0.36)]
spec-5465-55988-0798norm.dr16,2160.64,"[np.float64(2145.16), np.float64(15.48)]",[-31602.50585 -54975.68178],[-42409.65116 -57373.3975 ],"[np.float64(2440.57), np.float64(145.36)]","[np.float64(0.57), np.float64(0.17)]"
spec-5476-55986-0599norm.dr16,789.95,[np.float64(789.95)],[-33855.64745],[-41938.35759],[np.float64(970.12)],[np.float64(0.28)]
spec-5483-56017-0061norm.dr16,2703.25,[np.float64(2703.25)],[-35028.70873],[-47016.39162],[np.float64(2882.93)],[np.float64(0.49)]
spec-5486-56030-0078norm.dr16,370.19,[np.float64(370.19)],[-34135.12971],[-40523.01356],[np.float64(489.84)],[np.float64(0.22)]
spec-5494-55857-0549norm.dr16,39.68,[np.float64(39.68)],[-37404.92935],[-40187.82348],[np.float64(203.24)],[np.float64(0.21)]
spec-5712-56602-0074norm.dr16,448.13,[np.float64(448.13)],[-44816.40527],[-49595.7566],[np.float64(557.98)],[np.float64(0.29)]
spec-5745-55998-0657norm.dr16,214.84,[np.float64(214.84)],[-34768.20243],[-39118.95992],[np.float64(343.89)],[np.float64(0.19)]
spec-5778-56328-0973norm.dr16,139.64,"[np.float64(41.99), np.float64(97.66)]",[-37801.00908 -45517.89704],[-40582.83489 -49018.13831],"[np.float64(101.74), np.float64(200.22)]","[np.float64(0.14), np.float64(0.17)]"
spec-5807-56329-0778norm.dr16,1.53,[np.float64(1.53)],[-41348.62332],[-43378.17873],[np.float64(71.08)],[np.float64(0.13)]
spec-5809-56353-0704norm.dr16,53.09,[np.float64(53.09)],[-37854.11438],[-40839.09867],[np.float64(240.6)],[np.float64(0.2)]
spec-5868-56045-0372norm.dr16,113.73,[np.float64(113.73)],[-45289.56442],[-48790.62756],[np.float64(323.4)],[np.float64(0.19)]
spec-5896-56047-0658norm.dr16,1303.59,[np.float64(1303.59)],[-33503.91814],[-43888.19979],[np.float64(1497.62)],[np.float64(0.29)]
spec-5998-56087-0294norm.dr16,176.12,[np.float64(176.12)],[-35508.79454],[-39042.68985],[np.float64(342.8)],[np.float64(0.2)]
spec-6045-56072-0455norm.dr16,28.8,[np.float64(28.8)],[-44740.09439],[-47705.15271],[np.float64(245.38)],[np.float64(0.26)]
spec-6122-56246-0696norm.dr16,216.99,[np.float64(216.99)],[-46216.79234],[-50117.1391],[np.float64(473.2)],[np.float64(0.22)]
spec-6138-56598-0754norm.dr16,31.23,[np.float64(31.23)],[-39737.01677],[-42040.43076],[np.float64(178.29)],[np.float64(0.22)]
spec-6142-56219-0893norm.dr16,31.39,[np.float64(31.39)],[-38607.95027],[-41590.91986],[np.float64(267.64)],[np.float64(0.25)]
spec-6182-56190-0657norm.dr16,27.53,[np.float64(27.53)],[-33434.85851],[-35682.5159],[np.float64(409.55)],[np.float64(0.34)]
spec-6199-56220-0264norm.dr16,2207.49,[np.float64(2207.49)],[-31693.4921],[-42905.6779],[np.float64(2408.15)],[np.float64(0.4)]
spec-6257-56274-0490norm.dr16,76.16,[np.float64(76.16)],[-46692.48316],[-50053.96362],[np.float64(229.32)],[np.float64(0.18)]
spec-6313-56460-0295norm.dr16,35.08,[np.float64(35.08)],[-46745.26592],[-49233.92631],[np.float64(179.87)],[np.float64(0.19)]
spec-6318-56186-0342norm.dr16,16.67,[np.float64(16.67)],[-32773.03768],[-35498.38751],[np.float64(195.83)],[np.float64(0.21)]
spec-6389-56270-0061norm.dr16,2047.89,[np.float64(2047.89)],[-38667.20618],[-55893.88029],[np.float64(2127.68)],[np.float64(0.25)]
spec-6402-56334-0966norm.dr16,419.06,[np.float64(419.06)],[-43865.8906],[-50731.31614],[np.float64(527.44)],[np.float64(0.23)]
spec-6405-56342-0814norm.dr16,1787.56,[np.float64(1787.56)],[-36743.92046],[-49652.5981],[np.float64(1999.55)],[np.float64(0.34)]
spec-6412-56358-0454norm.dr16,59.55,"[np.float64(38.78), np.float64(20.77)]",[-36278.76517 -39810.37083],[-38928.43293 -42181.19647],"[np.float64(163.1), np.float64(158.53)]","[np.float64(0.18), np.float64(0.19)]"
