NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-1589-52972-0430norm.dr16,0,[],[],[],[],[]
spec-10431-58137-0135norm.dr16,125.28,"[112.8, 12.48]",[-37190.96072 -42818.29739],[-40381.02541 -44574.85895],"[172.42, 40.42]","[0.25, 0.27]"
spec-5187-56074-0092norm.dr16,743.31,[743.31],[-36372.1932],[-45583.97917],[846.86],[0.26]
spec-10720-58250-0895norm.dr16,965.46,"[940.64, 24.83]",[-35623.76917 -53239.28484],[-43220.95462 -54708.58473],"[1011.84, 66.6]","[0.36, 0.22]"
spec-2745-54231-0564norm.dr16,444.09,"[13.86, 208.08, 93.28]",[-38027.83918 -39453.27951 -49041.04099 -56199.26551],[-39181.85528 -42163.21077 -50719.04333],"[110.87, 443.07, 249.02]","[0.65, 0.81, 0.59]"
spec-5454-56015-0104norm.dr16,392.66,[392.66],[-38231.52113],[-41554.03618],[508.35],[0.45]
spec-5778-56328-0973norm.dr16,237.93,"[76.1, 161.83]",[-37936.84518 -45517.89704],[-40582.83489 -49018.13831],"[101.74, 200.22]","[0.25, 0.27]"
spec-9602-58131-0454norm.dr16,59.97,[59.97],[-46865.79336],[-48749.50924],[119.91],[0.31]
spec-1374-53083-0381norm.dr16,0,[],[],[],[],[]
spec-6621-56366-0502norm.dr16,143.31,[143.31],[-34514.3775],[-38051.42022],[176.22],[0.26]
spec-1793-53883-0520norm.dr16,3419.43,[3419.43],[-32104.59127],[-43650.69846],[3487.03],[0.65]
spec-5415-55982-0013norm.dr16,2134.34,[2134.34],[-32377.56019],[-41283.17311],[2196.0],[0.58]
spec-1229-52723-0245norm.dr16,0.0,[],[],[],[],[]
spec-5391-56000-0254norm.dr16,203.27,"[200.56, 2.7]",[-32642.49693 -52921.07837],[-38223.64705 -53923.78506],"[212.2, 379.16]","[0.23, 0.72]"
spec-5807-56329-0778norm.dr16,69.72,[69.72],[-40942.38329],[-43378.17873],[107.11],[0.17]
spec-10429-58145-0655norm.dr16,370.43,"[27.14, 343.3]",[-36462.30814 -38229.23051],[-37753.77587 -43445.88292],"[93.08, 368.57]","[0.23, 0.26]"
spec-11377-58434-0650norm.dr16,630.33,[630.33],[-36462.30814],[-43445.88292],[719.27],[0.28]
spec-6442-56369-0246norm.dr16,726.35,[726.35],[-35211.77696],[-41796.97003],[755.04],[0.41]
spec-10479-58159-0770norm.dr16,1617.9,"[1595.28, 22.62]",[-34666.94643 -54704.98357],[-43352.59641 -56038.55107],"[1673.79, 48.03]","[0.47, 0.26]"
spec-1732-53501-0445norm.dr16,0.0,[],[],[],[],[]
spec-5212-56016-0348norm.dr16,362.49,[362.49],[-35942.09495],[-38728.30842],[454.34],[0.36]
spec-6674-56416-0693norm.dr16,1595.12,"[411.94, 293.32, 849.92, 39.94]",[-39520.62114 -42906.95074 -45675.27175 -56065.6676 ],[-42433.5309  -45338.09111 -50919.75614 -58459.93088],"[595.69, 358.15, 934.77, 109.01]","[0.52, 0.51, 0.68, 0.39]"
spec-8221-58198-0399norm.dr16,558.33,"[41.6, 186.72, 97.98, 232.02]",[-39249.24409 -40876.45627 -43785.44247 -45810.13554],[-40469.8835  -42839.21632 -45338.09111 -49242.12312],"[289.1, 404.06, 338.33, 290.9]","[0.58, 0.55, 0.61, 0.46]"
spec-6045-56072-0455norm.dr16,248.73,"[142.11, 106.62]",[-44740.09439 -48041.49482],[-47705.15271 -49318.45959],"[245.38, 248.45]","[0.31, 0.52]"
spec-10730-58244-0836norm.dr16,543.16,[543.16],[-45347.31463],[-49318.45959],[562.61],[0.68]
spec-0885-52379-0063norm.dr16,0,[],[],[],[],[]
spec-6674-56416-0964norm.dr16,363.04,"[361.33, 1.7]",[-35671.57013 -48257.46725],[-40290.12036 -49265.46027],"[422.05, 48.34]","[0.32, 0.24]"
spec-1272-52989-0064norm.dr16,127.74,"[22.08, 62.93, 1.82, 40.9]",[-37921.96837 -39551.13431 -47726.15684 -55028.98352],[-39279.7227  -41922.53459 -48802.0356  -56894.45479],"[73.26, 140.16, 45.79, 61.92]","[0.28, 0.41, 0.3, 0.28]"
spec-5809-56353-0704norm.dr16,169.5,[169.5],[-37854.11438],[-40839.09867],[240.6],[0.35]
spec-0628-52083-0304norm.dr16,6.92,[6.92],[-55153.63893],[-56486.46969],[38.54],[0.2]
spec-6036-56093-0310norm.dr16,594.45,[594.45],[-37913.1836],[-42590.35772],[632.14],[0.43]
spec-8524-57656-0969norm.dr16,295.79,"[288.07, 7.73]",[-36825.8292  -47515.52936],[-41304.49228 -48591.61027],"[327.55, 63.31]","[0.28, 0.26]"
spec-6305-56563-0032norm.dr16,633.89,"[5.04, 628.85]",[-33752.77221 -45147.53897],[-34774.72907 -50462.0435 ],"[170.21, 661.07]","[0.5, 0.47]"
spec-7667-57580-0430norm.dr16,243.91,[243.91],[-46428.47809],[-50193.72642],[301.02],[0.31]
spec-4419-55867-0178norm.dr16,628.53,"[503.02, 125.51]",[-35496.14147 -55117.12592],[-39572.99625 -56516.52292],"[550.22, 241.45]","[0.4, 0.49]"
spec-9446-58082-0782norm.dr16,18.74,[18.74],[-46199.12112],[-47613.2377],[87.68],[0.48]
spec-0790-52441-0583norm.dr16,251.55,[251.55],[-46153.37714],[-49718.42756],[321.39],[0.7]
spec-6806-56419-0302norm.dr16,951.07,[951.07],[-43521.45824],[-51328.03256],[964.35],[0.52]
spec-6786-56448-0829norm.dr16,407.06,[407.06],[-34924.88545],[-38596.49498],[497.21],[0.58]
spec-6976-56448-0440norm.dr16,329.5,[329.5],[-34993.046],[-38392.71574],[417.54],[0.53]
spec-6138-56236-0746norm.dr16,77.01,"[13.31, 63.7]",[-41092.59154 -46227.45857],[-42108.20422 -48179.64727],"[139.27, 150.7]","[0.37, 0.4]"
spec-6138-56598-0754norm.dr16,181.83,"[153.25, 28.57]",[-39737.01677 -55545.32128],[-42040.43076 -56611.03197],"[204.18, 326.04]","[0.5, 0.75]"
spec-5745-55998-0657norm.dr16,322.57,"[24.37, 298.2]",[-32859.98113 -34768.20243],[-34495.84697 -39118.95992],"[64.6, 343.89]","[0.26, 0.36]"
spec-5745-56050-0657norm.dr16,580.83,"[107.92, 404.34, 68.57]",[-32859.98113 -36333.53949 -45073.66278],[-34700.12643 -40814.12076 -46422.01142],"[167.64, 538.33, 115.39]","[0.52, 0.56, 0.44]"
spec-6460-56334-0396norm.dr16,437.01,"[134.1, 302.91]",[-32382.44807 -34972.56457],[-34631.93872 -39661.61764],"[157.91, 372.13]","[0.27, 0.4]"
spec-1933-53381-0566norm.dr16,399.35,"[396.24, 3.11]",[-39402.97975 -44073.62982],[-43600.76551 -45086.1505 ],"[442.2, 36.39]","[0.32, 0.26]"
spec-5179-55957-0836norm.dr16,70.55,[70.55],[-46367.17191],[-48856.84528],[127.14],[0.22]
spec-9609-58136-0331norm.dr16,426.21,[426.21],[-38385.01427],[-42924.71372],[504.94],[0.35]
spec-1521-52945-0532norm.dr16,5106.06,"[4189.94, 916.12]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[4492.08, 975.77]","[0.62, 0.41]"
spec-5143-55828-0900norm.dr16,2894.92,"[2584.08, 310.84]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[2804.19, 348.97]","[0.48, 0.23]"
spec-5144-55829-0475norm.dr16,2168.96,"[2079.67, 89.29]",[-29961.89382 -55907.80092],[-43625.39701 -58833.69925],"[2275.14, 125.05]","[0.43, 0.22]"
spec-9162-58040-0112norm.dr16,2441.7,"[2392.49, 49.21]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[2611.68, 66.78]","[0.46, 0.18]"
spec-9227-57932-0572norm.dr16,2764.33,"[2630.13, 134.21]",[-29961.89382 -55707.74535],[-43828.02909 -58634.56232],"[2886.54, 161.86]","[0.46, 0.22]"
spec-4354-55810-0356norm.dr16,0,[],[],[],[],[]
spec-9345-57713-0464norm.dr16,228.87,"[141.02, 87.85]",[-41747.61577 -52183.44712],[-44721.72271 -54189.16625],"[209.54, 96.69]","[0.25, 0.38]"
spec-2884-54526-0579norm.dr16,0,[],[],[],[],[]
spec-6313-56460-0295norm.dr16,137.54,[137.54],[-46745.26592],[-49233.92631],[179.87],[0.26]
spec-2945-54505-0067norm.dr16,14.84,"[6.32, 8.52]",[-39577.50546 -57784.85376],[-41204.12094 -58914.00676],"[25.89, 317.41]","[0.18, 0.59]"
