NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-1589-52972-0430norm.dr16,0,[],[],[],[],[]
spec-10431-58137-0135norm.dr16,67.21,"[64.77, 2.44]",[-37190.96072 -42818.29739],[-40381.02541 -44574.85895],"[172.42, 40.42]","[0.25, 0.27]"
spec-5187-56074-0092norm.dr16,680.99,[680.99],[-36372.1932],[-45583.97917],[846.86],[0.26]
spec-10720-58250-0895norm.dr16,853.71,[853.71],[-35623.76917],[-43220.95462],[1011.84],[0.36]
spec-2745-54231-0564norm.dr16,243.25,"[132.3, 47.01]",[-39521.01962 -49108.13793 -56199.26551],[-42163.21077 -50719.04333],"[443.07, 249.02]","[0.81, 0.59]"
spec-5454-56015-0104norm.dr16,218.45,[218.45],[-38231.52113],[-41554.03618],[508.35],[0.45]
spec-5778-56328-0973norm.dr16,192.62,"[59.42, 133.2]",[-37868.84957 -45517.89704],[-40582.83489 -49018.13831],"[101.74, 200.22]","[0.25, 0.27]"
spec-9602-58131-0454norm.dr16,42.66,[42.66],[-46798.3516],[-48749.50924],[119.91],[0.31]
spec-1374-53083-0381norm.dr16,0,[],[],[],[],[]
spec-6621-56366-0502norm.dr16,110.3,[110.3],[-34514.3775],[-38051.42022],[176.22],[0.26]
spec-1793-53883-0520norm.dr16,3275.29,[3275.29],[-32104.59127],[-43650.69846],[3487.03],[0.65]
spec-5415-55982-0013norm.dr16,2036.54,[2036.54],[-32377.56019],[-41283.17311],[2196.0],[0.58]
spec-1229-52723-0245norm.dr16,0,[],[],[],[],[]
spec-5391-56000-0254norm.dr16,184.56,[184.56],[-32642.49693],[-38223.64705],[212.2],[0.23]
spec-5807-56329-0778norm.dr16,15.93,[15.93],[-41213.21181],[-43378.17873],[71.08],[0.16]
spec-10429-58145-0655norm.dr16,326.01,[326.01],[-38229.23051],[-43445.88292],[368.57],[0.26]
spec-11377-58434-0650norm.dr16,571.98,[571.98],[-36462.30814],[-43445.88292],[719.27],[0.28]
spec-6442-56369-0246norm.dr16,691.77,[691.77],[-35211.77696],[-41796.97003],[755.04],[0.41]
spec-10479-58159-0770norm.dr16,1512.38,[1512.38],[-34666.94643],[-43352.59641],[1673.79],[0.47]
