NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,REDSHIFT
spec-1589-52972-0430norm.dr16,0,[],[],[],[],[],1.914
spec-10431-58137-0135norm.dr16,36.03,[36.03],[-37190.96072],[-40381.02541],[172.42],[0.25],1.914
spec-5187-56074-0092norm.dr16,627.64,[627.64],[-36372.1932],[-45583.97917],[846.86],[0.26],1.945
spec-10720-58250-0895norm.dr16,791.77,[791.77],[-35623.76917],[-43220.95462],[1011.84],[0.36],1.945
spec-2745-54231-0564norm.dr16,69.08,[28.8],[-39453.27951 -56199.26551],[-42163.21077],[443.07],[0.81],2
spec-5454-56015-0104norm.dr16,109.92,[109.92],[-38231.52113],[-41554.03618],[508.35],[0.45],2
spec-5778-56328-0973norm.dr16,139.64,"[41.99, 97.66]",[-37801.00908 -45517.89704],[-40582.83489 -49018.13831],"[101.74, 200.22]","[0.25, 0.27]",2.015
spec-9602-58131-0454norm.dr16,0,[],[],[],[],[],2.015
spec-1374-53083-0381norm.dr16,0,[],[],[],[],[],2.028
spec-6621-56366-0502norm.dr16,77.34,[77.34],[-34514.3775],[-38051.42022],[176.22],[0.26],2.028
spec-1793-53883-0520norm.dr16,3107.18,[3107.18],[-32104.59127],[-43650.69846],[3487.03],[0.65],2.072
spec-5415-55982-0013norm.dr16,1875.99,[1875.99],[-32377.56019],[-41283.17311],[2196.0],[0.58],2.072
spec-1229-52723-0245norm.dr16,0,[],[],[],[],[],2.079
spec-5391-56000-0254norm.dr16,173.39,[173.39],[-32642.49693],[-38223.64705],[212.2],[0.23],2.079
spec-5807-56329-0778norm.dr16,1.53,[1.53],[-41348.62332],[-43378.17873],[71.08],[0.16],2.089
spec-10429-58145-0655norm.dr16,298.64,[298.64],[-38229.23051],[-43445.88292],[368.57],[0.26],2.089
spec-11377-58434-0650norm.dr16,533.38,[533.38],[-36462.30814],[-43445.88292],[719.27],[0.28],2.089
spec-6442-56369-0246norm.dr16,626.96,[626.96],[-35211.77696],[-41796.97003],[755.04],[0.41],2.093
spec-10479-58159-0770norm.dr16,1433.63,[1433.63],[-34666.94643],[-43352.59641],[1673.79],[0.47],2.093
spec-1732-53501-0445norm.dr16,0,[],[],[],[],[],2.138
spec-5212-56016-0348norm.dr16,113.64,[113.64],[-35942.09495],[-38728.30842],[454.34],[0.36],2.138
spec-6674-56416-0693norm.dr16,1071.07,"[287.94, 57.09, 712.61, 13.43]",[-39520.62114 -42906.95074 -45607.92612 -55932.36379],[-42433.5309  -45338.09111 -50919.75614 -58459.93088],"[595.69, 358.15, 934.77, 109.01]","[0.52, 0.51, 0.68, 0.39]",2.145
spec-8221-58198-0399norm.dr16,199.25,[199.25],[-45944.97235],[-49242.12312],[290.9],[0.46],2.145
spec-6045-56072-0455norm.dr16,28.8,[28.8],[-44740.09439],[-47705.15271],[245.38],[0.31],2.208
spec-10730-58244-0836norm.dr16,420.51,[420.51],[-45347.31463],[-49318.45959],[562.61],[0.68],2.208
spec-0885-52379-0063norm.dr16,0,[],[],[],[],[],2.295
spec-6674-56416-0964norm.dr16,276.6,[276.6],[-35671.57013],[-40290.12036],[422.05],[0.32],2.295
spec-1272-52989-0064norm.dr16,13.57,[13.57],[-39686.77787],[-41922.53459],[140.16],[0.41],2.308
