NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
,,,,,,
spec-1589-52972-0430norm.dr16,0,[],[],[],[],[]
,,,,,,
spec-10431-58137-0135norm.dr16,196.97,"[149.42, 31.0, 2.22, 14.33]",[-37190.96072 -42818.29739 -45721.71    -56244.82753],[-40381.02541 -44574.85895 -46261.04939 -56976.91903],"[172.42, 40.42, 20.15, 29.82]","[0.25, 0.27, 0.26, 0.25]"
,,,,,,
spec-5187-56074-0092norm.dr16,805.38,"[803.75, 1.63]",[-36372.1932  -46594.98791],[-45583.97917 -47133.65298],"[846.86, 7.01]","[0.26, 0.13]"
,,,,,,
spec-10720-58250-0895norm.dr16,1026,"[984.71, 41.29]",[-35691.88757 -53372.806  ],[-43220.95462 -54708.58473],"[1011.84, 66.6]","[0.36, 0.22]"
,,,,,,
spec-2745-54231-0564norm.dr16,962.61,"[37.74, 31.05, 1.49, 21.63, 360.9, 86.85, 19.39, 156.76, 3.92, 18.36, 61.56]","[-31695.17148 -34422.71344 -35716.27755 -38163.71167 -39453.27951
 -44258.60405 -46012.83255 -49175.39339 -53129.44214 -54131.86691
 -55199.65061 -56265.7879 ]","[-32309.37148 -34967.49125 -36260.65616 -39181.85528 -42163.21077
 -45203.5242  -46551.86055 -50719.04333 -53664.23596 -54665.82132
 -55932.74519]","[172.85, 44.17, 13.2, 110.87, 443.07, 168.68, 49.17, 249.02, 36.48, 55.92, 174.65]","[0.58, 0.51, 0.19, 0.65, 0.81, 0.56, 0.36, 0.59, 0.51, 0.52, 0.89]"
,,,,,,
spec-5454-56015-0104norm.dr16,495.25,"[483.27, 11.99]",[-38231.52113 -48906.65617],[-41554.03618 -49712.55115],"[508.35, 29.38]","[0.45, 0.21]"
,,,,,,
spec-5778-56328-0973norm.dr16,298.7,"[97.11, 9.95, 191.64]",[-37868.84957 -40989.28443 -45585.42733],[-40582.83489 -41598.78327 -49018.13831],"[101.74, 26.83, 200.22]","[0.25, 0.18, 0.27]"
,,,,,,
spec-9602-58131-0454norm.dr16,91.91,"[9.67, 82.24]",[-40515.03678 -46933.09917],[-41327.91856 -48749.50924],"[20.32, 119.91]","[0.21, 0.31]"
,,,,,,
spec-1374-53083-0381norm.dr16,0,[],[],[],[],[]
,,,,,,
spec-6621-56366-0502norm.dr16,164.94,[164.94],[-34514.3775],[-38051.42022],[176.22],[0.26]
,,,,,,
spec-1793-53883-0520norm.dr16,3466.24,"[3454.7, 11.54]",[-32104.59127 -56332.47391],[-43650.69846 -56864.94621],"[3487.03, 26.26]","[0.65, 0.26]"
,,,,,,
spec-5415-55982-0013norm.dr16,2190.13,[2190.13],[-32377.56019],[-41283.17311],[2196.0],[0.58]
,,,,,,
spec-1229-52723-0245norm.dr16,206.36,[206.36],[-52921.07837],[-53856.89295],[332.23],[0.7]
,,,,,,
spec-5391-56000-0254norm.dr16,434.73,"[211.49, 223.24]",[-32642.49693 -52921.07837],[-38223.64705 -53923.78506],"[212.2, 379.16]","[0.23, 0.72]"
,,,,,,
spec-5807-56329-0778norm.dr16,55.76,[55.76],[-41213.21181],[-43378.17873],[71.08],[0.16]
,,,,,,
spec-10429-58145-0655norm.dr16,432.79,"[71.2, 361.59]",[-36462.30814 -38229.23051],[-37753.77587 -43445.88292],"[93.08, 368.57]","[0.23, 0.26]"
,,,,,,
spec-11377-58434-0650norm.dr16,697.84,[697.84],[-36462.30814],[-43445.88292],[719.27],[0.28]
,,,,,,
spec-6442-56369-0246norm.dr16,740.21,[740.21],[-35279.76127],[-41796.97003],[755.04],[0.41]
,,,,,,
spec-10479-58159-0770norm.dr16,1688.83,"[1648.92, 31.29, 8.61]",[-34666.94643 -54704.98357 -57835.11603],[-43352.59641 -56038.55107 -58366.55338],"[1673.79, 48.03, 29.39]","[0.47, 0.26, 0.31]"
,,,,,,
spec-1732-53501-0445norm.dr16,54.14,"[4.55, 31.86, 4.41, 7.8, 5.52]",[-38321.00816 -39678.15359 -41236.93954 -44145.07326 -54753.78526],[-39203.29407 -40491.71567 -42049.32899 -45090.09119 -55353.9712 ],"[24.48, 38.92, 5.89, 14.97, 38.37]","[0.21, 0.21, 0.14, 0.16, 0.28]"
,,,,,,
spec-5212-56016-0348norm.dr16,430.59,[430.59],[-35942.09495],[-38728.30842],[454.34],[0.36]
,,,,,,
