#wavelengths flux error
3.566974365234375000e+03 6.621116000000000000e+06 0.000000000000000000e+00
3.567794921875000000e+03 -5.170639000000000000e+06 0.000000000000000000e+00
3.568617675781250000e+03 2.094085125000000000e+06 0.000000000000000000e+00
3.569438476562500000e+03 9.892905625000000000e+05 0.000000000000000000e+00
3.570261718750000000e+03 -2.497694500000000000e+06 0.000000000000000000e+00
3.571083007812500000e+03 1.148804125000000000e+06 0.000000000000000000e+00
3.571906494140625000e+03 4.771776875000000000e+05 0.000000000000000000e+00
3.572728271484375000e+03 -1.245753500000000000e+06 0.000000000000000000e+00
3.573550048828125000e+03 9.635353125000000000e+05 0.000000000000000000e+00
3.574374023437500000e+03 -9.304705625000000000e+05 0.000000000000000000e+00
3.575196289062500000e+03 9.244871250000000000e+05 0.000000000000000000e+00
3.576020751953125000e+03 -2.903198437500000000e+05 0.000000000000000000e+00
3.576843505859375000e+03 -2.993136875000000000e+05 0.000000000000000000e+00
3.577668212890625000e+03 3.797145000000000000e+05 0.000000000000000000e+00
3.578491455078125000e+03 -2.922404062500000000e+05 0.000000000000000000e+00
3.579314453125000000e+03 2.151776718750000000e+05 0.000000000000000000e+00
3.580139892578125000e+03 -1.482693906250000000e+05 0.000000000000000000e+00
3.580963623046875000e+03 3.838078515625000000e+04 0.000000000000000000e+00
3.581789306640625000e+03 4.127024609375000000e+04 0.000000000000000000e+00
3.582613281250000000e+03 -6.980232812500000000e+04 0.000000000000000000e+00
3.583439453125000000e+03 5.842313281250000000e+04 0.000000000000000000e+00
3.584263916015625000e+03 -4.056075000000000000e+04 0.000000000000000000e+00
3.585088378906250000e+03 2.110043554687500000e+04 0.000000000000000000e+00
3.585915039062500000e+03 -4.546863769531250000e+03 0.000000000000000000e+00
3.586739990234375000e+03 -7.996072265625000000e+03 0.000000000000000000e+00
3.587567138671875000e+03 1.000515234375000000e+04 0.000000000000000000e+00
3.588392333984375000e+03 -6.254589355468750000e+03 0.000000000000000000e+00
3.589219970703125000e+03 3.257275146484375000e+03 0.000000000000000000e+00
3.590045654296875000e+03 -1.434721801757812500e+03 0.000000000000000000e+00
3.590871582031250000e+03 1.416572113037109375e+02 0.000000000000000000e+00
3.591699462890625000e+03 5.880474243164062500e+02 0.000000000000000000e+00
3.592525878906250000e+03 -6.586294555664062500e+02 0.000000000000000000e+00
3.593354248046875000e+03 3.704124755859375000e+02 0.000000000000000000e+00
3.594180908203125000e+03 -1.412135162353515625e+02 0.000000000000000000e+00
3.595009765625000000e+03 8.119536590576171875e+01 0.000000000000000000e+00
3.595836669921875000e+03 2.887832832336425781e+01 0.000000000000000000e+00
3.596663818359375000e+03 1.674908161163330078e+00 0.000000000000000000e+00
3.597493408203125000e+03 4.917808151245117188e+01 0.000000000000000000e+00
3.598320800781250000e+03 4.668777942657470703e+00 0.000000000000000000e+00
3.599150634765625000e+03 2.236497688293457031e+01 0.000000000000000000e+00
3.599978759765625000e+03 1.402313041687011719e+01 0.000000000000000000e+00
3.600808837890625000e+03 2.411907768249511719e+01 0.000000000000000000e+00
3.601637207031250000e+03 2.574831199645996094e+01 0.000000000000000000e+00
3.602467773437500000e+03 2.415399551391601562e+01 0.000000000000000000e+00
3.603296386718750000e+03 2.925091361999511719e+01 0.000000000000000000e+00
3.604125244140625000e+03 1.755777549743652344e+01 0.000000000000000000e+00
3.604956542968750000e+03 2.174829101562500000e+01 0.000000000000000000e+00
3.605785888671875000e+03 2.453914642333984375e+01 0.000000000000000000e+00
3.606617187500000000e+03 1.998052597045898438e+01 0.000000000000000000e+00
3.607447021484375000e+03 1.753823089599609375e+01 0.000000000000000000e+00
3.608278808593750000e+03 2.352550315856933594e+01 0.000000000000000000e+00
3.609108886718750000e+03 2.515479469299316406e+01 0.000000000000000000e+00
3.609939208984375000e+03 6.693325996398925781e+00 0.000000000000000000e+00
3.610771728515625000e+03 2.093918418884277344e+01 0.000000000000000000e+00
3.611602294921875000e+03 2.515032196044921875e+01 0.000000000000000000e+00
3.612435058593750000e+03 2.014531517028808594e+01 0.000000000000000000e+00
3.613266113281250000e+03 2.407182693481445312e+01 0.000000000000000000e+00
3.614099365234375000e+03 1.877016448974609375e+01 0.000000000000000000e+00
3.614930664062500000e+03 1.911787605285644531e+01 0.000000000000000000e+00
3.615762451171875000e+03 1.708579063415527344e+01 0.000000000000000000e+00
3.616596191406250000e+03 2.000266838073730469e+01 0.000000000000000000e+00
3.617428222656250000e+03 3.011430740356445312e+01 0.000000000000000000e+00
3.618262451171875000e+03 3.438625717163085938e+01 0.000000000000000000e+00
3.619094726562500000e+03 1.965833854675292969e+01 0.000000000000000000e+00
3.619929199218750000e+03 1.885683059692382812e+01 0.000000000000000000e+00
3.620761962890625000e+03 1.874571037292480469e+01 0.000000000000000000e+00
3.621594970703125000e+03 3.009357070922851562e+01 0.000000000000000000e+00
3.622430175781250000e+03 3.563261795043945312e+01 0.000000000000000000e+00
3.623263427734375000e+03 2.647738456726074219e+01 0.000000000000000000e+00
3.624098876953125000e+03 2.864831542968750000e+01 0.000000000000000000e+00
3.624932617187500000e+03 1.535389804840087891e+01 0.000000000000000000e+00
3.625768554687500000e+03 1.712652969360351562e+01 0.000000000000000000e+00
3.626602783203125000e+03 3.064567565917968750e+01 0.000000000000000000e+00
3.627437011718750000e+03 2.793013191223144531e+01 0.000000000000000000e+00
3.628273437500000000e+03 9.777155876159667969e+00 0.000000000000000000e+00
3.629108154296875000e+03 1.863401603698730469e+01 0.000000000000000000e+00
3.629945068359375000e+03 2.894902229309082031e+01 0.000000000000000000e+00
3.630780029296875000e+03 2.292977714538574219e+01 0.000000000000000000e+00
3.631617431640625000e+03 2.804032707214355469e+01 0.000000000000000000e+00
3.632452880859375000e+03 3.023025131225585938e+01 0.000000000000000000e+00
3.633288330078125000e+03 2.168332672119140625e+01 0.000000000000000000e+00
3.634126220703125000e+03 3.479938888549804688e+01 0.000000000000000000e+00
3.634962158203125000e+03 2.003431129455566406e+01 0.000000000000000000e+00
3.635800537109375000e+03 2.224531173706054688e+01 0.000000000000000000e+00
3.636636962890625000e+03 3.418740844726562500e+01 0.000000000000000000e+00
3.637475585937500000e+03 2.719030952453613281e+01 0.000000000000000000e+00
3.638312255859375000e+03 1.131230258941650391e+01 0.000000000000000000e+00
3.639149169921875000e+03 3.133749008178710938e+01 0.000000000000000000e+00
3.639988525390625000e+03 2.475491142272949219e+01 0.000000000000000000e+00
3.640825927734375000e+03 1.814705085754394531e+01 0.000000000000000000e+00
3.641665283203125000e+03 2.242641830444335938e+01 0.000000000000000000e+00
3.642503173828125000e+03 2.596565437316894531e+01 0.000000000000000000e+00
3.643343017578125000e+03 2.414581489562988281e+01 0.000000000000000000e+00
3.644181152343750000e+03 2.944275093078613281e+01 0.000000000000000000e+00
3.645019531250000000e+03 2.250075912475585938e+01 0.000000000000000000e+00
3.645860107421875000e+03 1.496473312377929688e+01 0.000000000000000000e+00
3.646698974609375000e+03 2.250643730163574219e+01 0.000000000000000000e+00
3.647539794921875000e+03 2.212004470825195312e+01 0.000000000000000000e+00
3.648378906250000000e+03 9.866724967956542969e+00 0.000000000000000000e+00
3.649220214843750000e+03 2.432640647888183594e+01 0.000000000000000000e+00
3.650059570312500000e+03 1.150632476806640625e+01 0.000000000000000000e+00
3.650899414062500000e+03 2.282128906250000000e+01 0.000000000000000000e+00
3.651741210937500000e+03 1.870958137512207031e+01 0.000000000000000000e+00
3.652581298828125000e+03 1.044286346435546875e+01 0.000000000000000000e+00
3.653423583984375000e+03 1.788567733764648438e+01 0.000000000000000000e+00
3.654264160156250000e+03 1.109825134277343750e+01 0.000000000000000000e+00
3.655106689453125000e+03 2.380607795715332031e+01 0.000000000000000000e+00
3.655947509765625000e+03 1.963845634460449219e+01 0.000000000000000000e+00
3.656788574218750000e+03 1.649470520019531250e+01 0.000000000000000000e+00
3.657631835937500000e+03 1.763525581359863281e+01 0.000000000000000000e+00
3.658473388671875000e+03 1.584287548065185547e+01 0.000000000000000000e+00
3.659316894531250000e+03 1.992929267883300781e+01 0.000000000000000000e+00
3.660158691406250000e+03 3.255424880981445312e+01 0.000000000000000000e+00
3.661002929687500000e+03 2.447645759582519531e+01 0.000000000000000000e+00
3.661844970703125000e+03 2.082070350646972656e+01 0.000000000000000000e+00
3.662687500000000000e+03 2.282949447631835938e+01 0.000000000000000000e+00
3.663531982421875000e+03 1.941170310974121094e+01 0.000000000000000000e+00
3.664374755859375000e+03 2.055729293823242188e+01 0.000000000000000000e+00
3.665219726562500000e+03 2.959724807739257812e+01 0.000000000000000000e+00
3.666062988281250000e+03 2.088988685607910156e+01 0.000000000000000000e+00
3.666908447265625000e+03 2.350595283508300781e+01 0.000000000000000000e+00
3.667751953125000000e+03 2.490121650695800781e+01 0.000000000000000000e+00
3.668597656250000000e+03 1.476461887359619141e+01 0.000000000000000000e+00
3.669441650390625000e+03 2.542713165283203125e+01 0.000000000000000000e+00
3.670285888671875000e+03 1.742436599731445312e+01 0.000000000000000000e+00
3.671132080078125000e+03 2.500690650939941406e+01 0.000000000000000000e+00
3.671976806640625000e+03 1.791775512695312500e+01 0.000000000000000000e+00
3.672823486328125000e+03 1.624292755126953125e+01 0.000000000000000000e+00
3.673668457031250000e+03 2.894295883178710938e+01 0.000000000000000000e+00
3.674515625000000000e+03 7.905912876129150391e+00 0.000000000000000000e+00
3.675360839843750000e+03 2.379912376403808594e+01 0.000000000000000000e+00
3.676206298828125000e+03 9.266083717346191406e+00 0.000000000000000000e+00
3.677054199218750000e+03 1.161927127838134766e+01 0.000000000000000000e+00
3.677899902343750000e+03 2.050782585144042969e+01 0.000000000000000000e+00
3.678748046875000000e+03 1.334521198272705078e+01 0.000000000000000000e+00
3.679594482421875000e+03 2.627325630187988281e+01 0.000000000000000000e+00
3.680442871093750000e+03 2.284201240539550781e+01 0.000000000000000000e+00
3.681289550781250000e+03 2.652967643737792969e+01 0.000000000000000000e+00
3.682136474609375000e+03 2.371559906005859375e+01 0.000000000000000000e+00
3.682985595703125000e+03 1.903509330749511719e+01 0.000000000000000000e+00
3.683832763671875000e+03 2.132132911682128906e+01 0.000000000000000000e+00
3.684682373046875000e+03 1.935540008544921875e+01 0.000000000000000000e+00
3.685530029296875000e+03 2.116872215270996094e+01 0.000000000000000000e+00
3.686379882812500000e+03 1.446363162994384766e+01 0.000000000000000000e+00
3.687227783203125000e+03 2.173953437805175781e+01 0.000000000000000000e+00
3.688076171875000000e+03 3.039905548095703125e+01 0.000000000000000000e+00
3.688926513671875000e+03 2.374573326110839844e+01 0.000000000000000000e+00
3.689775146484375000e+03 2.153777313232421875e+01 0.000000000000000000e+00
3.690625976562500000e+03 2.218848991394042969e+01 0.000000000000000000e+00
3.691475097656250000e+03 1.564488220214843750e+01 0.000000000000000000e+00
3.692326416015625000e+03 1.804417610168457031e+01 0.000000000000000000e+00
3.693175781250000000e+03 2.813727188110351562e+01 0.000000000000000000e+00
3.694025390625000000e+03 3.081086540222167969e+01 0.000000000000000000e+00
3.694877197265625000e+03 2.253221321105957031e+01 0.000000000000000000e+00
3.695727294921875000e+03 2.518429374694824219e+01 0.000000000000000000e+00
3.696579345703125000e+03 2.749755287170410156e+01 0.000000000000000000e+00
3.697429931640625000e+03 1.725341606140136719e+01 0.000000000000000000e+00
3.698282470703125000e+03 1.520559215545654297e+01 0.000000000000000000e+00
3.699133300781250000e+03 2.800837326049804688e+01 0.000000000000000000e+00
3.699984130859375000e+03 2.033569908142089844e+01 0.000000000000000000e+00
3.700837402343750000e+03 1.389946937561035156e+01 0.000000000000000000e+00
3.701688720703125000e+03 2.551049041748046875e+01 0.000000000000000000e+00
3.702542480468750000e+03 2.255427169799804688e+01 0.000000000000000000e+00
3.703394287109375000e+03 1.923911285400390625e+01 0.000000000000000000e+00
3.704248291015625000e+03 2.972059249877929688e+01 0.000000000000000000e+00
3.705100341796875000e+03 2.141353607177734375e+01 0.000000000000000000e+00
3.705952636718750000e+03 2.386572647094726562e+01 0.000000000000000000e+00
3.706807373046875000e+03 2.132006263732910156e+01 0.000000000000000000e+00
3.707659912109375000e+03 2.322870445251464844e+01 0.000000000000000000e+00
3.708514892578125000e+03 2.057844352722167969e+01 0.000000000000000000e+00
3.709368164062500000e+03 1.321788120269775391e+01 0.000000000000000000e+00
