#wavelengths flux error
3.566974365234375000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.567794921875000000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.568617675781250000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.569438476562500000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.570261718750000000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.571083007812500000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.571906494140625000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.572728271484375000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.573550048828125000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.574374023437500000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.575196289062500000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.576020751953125000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.576843505859375000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.577668212890625000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.578491455078125000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.579314453125000000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.580139892578125000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.580963623046875000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.581789306640625000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.582613281250000000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.583439453125000000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.584263916015625000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.585088378906250000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.585915039062500000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.586739990234375000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.587567138671875000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.588392333984375000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.589219970703125000e+03 2.137112304687500000e+03 0.000000000000000000e+00
3.590045654296875000e+03 -2.478366699218750000e+03 0.000000000000000000e+00
3.590871582031250000e+03 2.176815185546875000e+03 0.000000000000000000e+00
3.591699462890625000e+03 -1.163094238281250000e+03 0.000000000000000000e+00
3.592525878906250000e+03 7.222252368927001953e+00 0.000000000000000000e+00
3.593354248046875000e+03 1.487356689453125000e+03 0.000000000000000000e+00
3.594180908203125000e+03 -1.856705566406250000e+03 0.000000000000000000e+00
3.595009765625000000e+03 1.869514404296875000e+03 0.000000000000000000e+00
3.595836669921875000e+03 -1.385376953125000000e+03 0.000000000000000000e+00
3.596663818359375000e+03 7.998942260742187500e+02 0.000000000000000000e+00
3.597493408203125000e+03 8.907171630859375000e+01 0.000000000000000000e+00
3.598320800781250000e+03 -9.307001342773437500e+02 0.000000000000000000e+00
3.599150634765625000e+03 1.285446899414062500e+03 0.000000000000000000e+00
3.599978759765625000e+03 -1.129538085937500000e+03 0.000000000000000000e+00
3.600808837890625000e+03 9.608163452148437500e+02 0.000000000000000000e+00
3.601637207031250000e+03 -4.449997863769531250e+02 0.000000000000000000e+00
3.602467773437500000e+03 -4.184456253051757812e+01 0.000000000000000000e+00
3.603296386718750000e+03 6.806730957031250000e+02 0.000000000000000000e+00
3.604125244140625000e+03 -6.605814819335937500e+02 0.000000000000000000e+00
3.604956542968750000e+03 6.862019653320312500e+02 0.000000000000000000e+00
3.605785888671875000e+03 -4.336349792480468750e+02 0.000000000000000000e+00
3.606617187500000000e+03 2.625212402343750000e+02 0.000000000000000000e+00
3.607447021484375000e+03 9.351048278808593750e+01 0.000000000000000000e+00
3.608278808593750000e+03 -2.654132995605468750e+02 0.000000000000000000e+00
3.609108886718750000e+03 3.948060302734375000e+02 0.000000000000000000e+00
3.609939208984375000e+03 -3.126086425781250000e+02 0.000000000000000000e+00
3.610771728515625000e+03 3.323113098144531250e+02 0.000000000000000000e+00
3.611602294921875000e+03 -4.986095428466796875e+01 0.000000000000000000e+00
3.612435058593750000e+03 2.935216331481933594e+01 0.000000000000000000e+00
3.613266113281250000e+03 2.255698242187500000e+02 0.000000000000000000e+00
3.614099365234375000e+03 -1.432942657470703125e+02 0.000000000000000000e+00
3.614930664062500000e+03 2.302371215820312500e+02 0.000000000000000000e+00
3.615762451171875000e+03 -7.445599365234375000e+01 0.000000000000000000e+00
3.616596191406250000e+03 1.255317993164062500e+02 0.000000000000000000e+00
3.617428222656250000e+03 8.028884124755859375e+01 0.000000000000000000e+00
3.618262451171875000e+03 -2.987958526611328125e+01 0.000000000000000000e+00
3.619094726562500000e+03 1.519571685791015625e+02 0.000000000000000000e+00
3.619929199218750000e+03 -3.871498489379882812e+01 0.000000000000000000e+00
3.620761962890625000e+03 1.163630752563476562e+02 0.000000000000000000e+00
3.621594970703125000e+03 1.943729591369628906e+01 0.000000000000000000e+00
3.622430175781250000e+03 2.998843002319335938e+01 0.000000000000000000e+00
3.623263427734375000e+03 8.897849273681640625e+01 0.000000000000000000e+00
3.624098876953125000e+03 6.819490432739257812e+00 0.000000000000000000e+00
3.624932617187500000e+03 6.126941680908203125e+01 0.000000000000000000e+00
3.625768554687500000e+03 5.393526458740234375e+01 0.000000000000000000e+00
3.626602783203125000e+03 5.049441909790039062e+01 0.000000000000000000e+00
3.627437011718750000e+03 5.071503829956054688e+01 0.000000000000000000e+00
3.628273437500000000e+03 3.987732315063476562e+01 0.000000000000000000e+00
3.629108154296875000e+03 3.514841079711914062e+01 0.000000000000000000e+00
3.629945068359375000e+03 6.236198806762695312e+01 0.000000000000000000e+00
3.630780029296875000e+03 5.102517700195312500e+01 0.000000000000000000e+00
3.631617431640625000e+03 3.815127944946289062e+01 0.000000000000000000e+00
3.632452880859375000e+03 3.611223983764648438e+01 0.000000000000000000e+00
3.633288330078125000e+03 4.816429519653320312e+01 0.000000000000000000e+00
3.634126220703125000e+03 5.595195770263671875e+01 0.000000000000000000e+00
3.634962158203125000e+03 3.307308578491210938e+01 0.000000000000000000e+00
3.635800537109375000e+03 5.506928253173828125e+01 0.000000000000000000e+00
3.636636962890625000e+03 4.128723907470703125e+01 0.000000000000000000e+00
3.637475585937500000e+03 4.675437164306640625e+01 0.000000000000000000e+00
3.638312255859375000e+03 5.176872253417968750e+01 0.000000000000000000e+00
3.639149169921875000e+03 3.560887145996093750e+01 0.000000000000000000e+00
3.639988525390625000e+03 6.422886657714843750e+01 0.000000000000000000e+00
3.640825927734375000e+03 3.041172218322753906e+01 0.000000000000000000e+00
3.641665283203125000e+03 4.090760421752929688e+01 0.000000000000000000e+00
3.642503173828125000e+03 6.201327133178710938e+01 0.000000000000000000e+00
3.643343017578125000e+03 5.391878890991210938e+01 0.000000000000000000e+00
3.644181152343750000e+03 3.661774063110351562e+01 0.000000000000000000e+00
3.645019531250000000e+03 5.074210357666015625e+01 0.000000000000000000e+00
3.645860107421875000e+03 2.967961692810058594e+01 0.000000000000000000e+00
3.646698974609375000e+03 4.470901489257812500e+01 0.000000000000000000e+00
3.647539794921875000e+03 5.443238067626953125e+01 0.000000000000000000e+00
3.648378906250000000e+03 4.129380798339843750e+01 0.000000000000000000e+00
3.649220214843750000e+03 3.643200683593750000e+01 0.000000000000000000e+00
3.650059570312500000e+03 5.832864761352539062e+01 0.000000000000000000e+00
3.650899414062500000e+03 4.702718353271484375e+01 0.000000000000000000e+00
3.651741210937500000e+03 4.356657791137695312e+01 0.000000000000000000e+00
3.652581298828125000e+03 4.693479537963867188e+01 0.000000000000000000e+00
3.653423583984375000e+03 5.285025787353515625e+01 0.000000000000000000e+00
3.654264160156250000e+03 5.463432312011718750e+01 0.000000000000000000e+00
3.655106689453125000e+03 3.909634017944335938e+01 0.000000000000000000e+00
3.655947509765625000e+03 4.228010559082031250e+01 0.000000000000000000e+00
3.656788574218750000e+03 5.886412811279296875e+01 0.000000000000000000e+00
3.657631835937500000e+03 4.716206359863281250e+01 0.000000000000000000e+00
3.658473388671875000e+03 3.897607803344726562e+01 0.000000000000000000e+00
3.659316894531250000e+03 5.466532897949218750e+01 0.000000000000000000e+00
3.660158691406250000e+03 3.296163940429687500e+01 0.000000000000000000e+00
3.661002929687500000e+03 5.572505950927734375e+01 0.000000000000000000e+00
3.661844970703125000e+03 5.897550582885742188e+01 0.000000000000000000e+00
3.662687500000000000e+03 5.762925338745117188e+01 0.000000000000000000e+00
3.663531982421875000e+03 6.454550170898437500e+01 0.000000000000000000e+00
3.664374755859375000e+03 6.613552856445312500e+01 0.000000000000000000e+00
3.665219726562500000e+03 5.291444015502929688e+01 0.000000000000000000e+00
3.666062988281250000e+03 5.633816909790039062e+01 0.000000000000000000e+00
3.666908447265625000e+03 6.045888519287109375e+01 0.000000000000000000e+00
3.667751953125000000e+03 5.605146026611328125e+01 0.000000000000000000e+00
3.668597656250000000e+03 5.119704437255859375e+01 0.000000000000000000e+00
3.669441650390625000e+03 5.555988693237304688e+01 0.000000000000000000e+00
3.670285888671875000e+03 6.017541122436523438e+01 0.000000000000000000e+00
3.671132080078125000e+03 4.574426269531250000e+01 0.000000000000000000e+00
3.671976806640625000e+03 6.329196166992187500e+01 0.000000000000000000e+00
3.672823486328125000e+03 6.870075225830078125e+01 0.000000000000000000e+00
3.673668457031250000e+03 5.667811584472656250e+01 0.000000000000000000e+00
3.674515625000000000e+03 5.165299606323242188e+01 0.000000000000000000e+00
3.675360839843750000e+03 4.570570755004882812e+01 0.000000000000000000e+00
