NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-allepoch-59192-4382235955.fits,0,[],[],[],[],[]
spec-allepoch-59193-4399272891.fits,1458.0,"[np.float64(1455.59), np.float64(2.41)]",[-34884.98007 -49429.75147],[-41065.65656 -51442.0225 ],"[np.float64(1969.27), np.float64(415.38)]","[np.float64(0.01), np.float64(0.03)]"
spec-allepoch-59208-4545193917.fits,0,[],[],[],[],[]
spec-allepoch-59221-4401489193.fits,0,[],[],[],[],[]
spec-allepoch-59222-4544989510.fits,0,[],[],[],[],[]
spec-allepoch-59226-4545122230.fits,0,[],[],[],[],[]
spec-allepoch-59227-4492079571.fits,0,[],[],[],[],[]
spec-allepoch-59227-4492079705.fits,0,[],[],[],[],[]
spec-allepoch-59227-4570532345.fits,0,[],[],[],[],[]
spec-allepoch-59227-4570534700.fits,0,[],[],[],[],[]
spec-allepoch-59227-4570538356.fits,0,[],[],[],[],[]
spec-allepoch-59227-4570954608.fits,0,[],[],[],[],[]
spec-allepoch-59230-4375962885.fits,0,[],[],[],[],[]
spec-allepoch-59231-4545152096.fits,0,[],[],[],[],[]
spec-allepoch-59231-4545166551.fits,0,[],[],[],[],[]
spec-allepoch-59232-4554484635.fits,0,[],[],[],[],[]
spec-allepoch-59232-4592645893.fits,0,[],[],[],[],[]
spec-allepoch-59232-4592654591.fits,0,[],[],[],[],[]
spec-allepoch-59232-4592659804.fits,0,[],[],[],[],[]
spec-allepoch-59253-4570367474.fits,0,[],[],[],[],[]
spec-allepoch-59253-4592508328.fits,0,[],[],[],[],[]
spec-allepoch-59254-4570368134.fits,0,[],[],[],[],[]
spec-allepoch-59256-4592534394.fits,0,[],[],[],[],[]
spec-allepoch-59276-4491894434.fits,0,[],[],[],[],[]
spec-allepoch-59279-4544936070.fits,0,[],[],[],[],[]
spec-allepoch-59280-4545040864.fits,0,[],[],[],[],[]
spec-allepoch-59281-4554388877.fits,0,[],[],[],[],[]
spec-allepoch-59288-4545077771.fits,0,[],[],[],[],[]
spec-allepoch-59291-4545148430.fits,0,[],[],[],[],[]
spec-allepoch-59306-4592579951.fits,0,[],[],[],[],[]
spec-allepoch-59310-4592657499.fits,0,[],[],[],[],[]
spec-allepoch-59312-4360799186.fits,0,[],[],[],[],[]
spec-allepoch-59312-4360830522.fits,0,[],[],[],[],[]
spec-allepoch-59314-4592611576.fits,0,[],[],[],[],[]
spec-allepoch-59315-4592601445.fits,0,[],[],[],[],[]
spec-allepoch-59315-4592687264.fits,0,[],[],[],[],[]
spec-allepoch-59316-4592667288.fits,0,[],[],[],[],[]
spec-allepoch-59316-4592682589.fits,0,[],[],[],[],[]
