NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-allepoch-59193-4399288506.fits,0,[],[],[],[],[]
spec-allepoch-59199-4555599936.fits,0,[],[],[],[],[]
spec-allepoch-59200-4492083906.fits,0,[],[],[],[],[]
spec-allepoch-59227-4545132757.fits,0,[],[],[],[],[]
spec-allepoch-59227-4592647837.fits,0,[],[],[],[],[]
spec-allepoch-59253-4570371542.fits,0,[],[],[],[],[]
spec-allepoch-59276-4491870648.fits,0,[],[],[],[],[]
spec-allepoch-59276-4491934837.fits,0,[],[],[],[],[]
spec-allepoch-59292-4592538558.fits,0,[],[],[],[],[]
spec-allepoch-59304-4545240185.fits,0,[],[],[],[],[]
spec-allepoch-59313-4592528790.fits,0,[],[],[],[],[]
spec-allepoch-59315-4592600781.fits,42.47,[42.47],[-30588.0391],[-33522.3582],[175.29],[0.14]
spec-allepoch-59337-4597889172.fits,0,[],[],[],[],[]
spec-allepoch-59340-4592668358.fits,0,[],[],[],[],[]
spec-allepoch-59343-4603782295.fits,0,[],[],[],[],[]
spec-allepoch-59381-6030602531.fits,138.78,[114.42  24.36],[-30383.09125 -56251.70235],[-34544.45927 -58579.11254],[206.96 211.05],[0.2  0.18]
spec-allepoch-59636-27021598102749143.fits,0,[],[],[],[],[]
spec-allepoch-59663-27021598149755602.fits,0,[],[],[],[],[]
spec-allepoch-59879-27021598053198699.fits,0,[],[],[],[],[]
spec-allepoch-59888-27021598104013115.fits,0,[],[],[],[],[]
spec-allepoch-59935-27021597918613886.fits,0,[],[],[],[],[]
spec-allepoch-59937-27021598101838821.fits,0,[],[],[],[],[]
spec-allepoch-59939-27021597973635113.fits,0,[],[],[],[],[]
spec-allepoch-60030-27021598145893772.fits,1372.48,[1372.48],[-31817.11294],[-35837.95021],[2554.36],[0.84]
spec-allepoch-60076-27021598149514059.fits,0,[],[],[],[],[]
spec-allepoch-60119-27021598160703893.fits,0,[],[],[],[],[]
spec-allepoch-59202-4545019543.fits,0,[],[],[],[],[]
spec-allepoch-59227-4492063198.fits,0,[],[],[],[],[]
spec-allepoch-59227-4570537835.fits,0,[],[],[],[],[]
spec-allepoch-59230-4554513354.fits,0,[],[],[],[],[]
spec-allepoch-59254-4570396699.fits,0,[],[],[],[],[]
spec-allepoch-59310-4592651341.fits,0,[],[],[],[],[]
spec-allepoch-59312-4360792822.fits,0,[],[],[],[],[]
spec-allepoch-59314-4570495665.fits,0,[],[],[],[],[]
spec-allepoch-59316-4592699237.fits,0,[],[],[],[],[]
spec-allepoch-59340-4592933781.fits,0,[],[],[],[],[]
spec-allepoch-59375-4368365860.fits,0,[],[],[],[],[]
spec-allepoch-59664-27021598102754588.fits,0,[],[],[],[],[]
spec-allepoch-59731-27021598157856620.fits,0,[],[],[],[],[]
spec-allepoch-59734-27021598155865359.fits,14.84,[14.84],[-37401.94134],[-40116.95768],[79.32],[0.12]
spec-allepoch-60049-27021598157342684.fits,0,[],[],[],[],[]
spec-allepoch-60089-27021598157398162.fits,0,[],[],[],[],[]
spec-allepoch-59200-4382188039.fits,0,[],[],[],[],[]
spec-allepoch-59375-4352008193.fits,0,[],[],[],[],[]
spec-allepoch-59664-27021598102804413.fits,0,[],[],[],[],[]
spec-allepoch-59910-27021598048582114.fits,0,[],[],[],[],[]
spec-allepoch-59913-27021598149860476.fits,0,[],[],[],[],[]
spec-allepoch-59937-27021598149875786.fits,0,[],[],[],[],[]
spec-allepoch-59977-27021598151971696.fits,0,[],[],[],[],[]
spec-allepoch-59999-27021597974202360.fits,0,[],[],[],[],[]
spec-allepoch-60033-27021597920590181.fits,0,[],[],[],[],[]
