#wavelengths flux error
3.566974365234375000e+03 2.989945200000000000e+07 0.000000000000000000e+00
3.567794921875000000e+03 -3.100294800000000000e+07 0.000000000000000000e+00
3.568617675781250000e+03 -1.873077800000000000e+07 0.000000000000000000e+00
3.569438476562500000e+03 -7.073308000000000000e+06 0.000000000000000000e+00
3.570261718750000000e+03 7.043821000000000000e+06 0.000000000000000000e+00
3.571083007812500000e+03 -6.425554000000000000e+06 0.000000000000000000e+00
3.571906494140625000e+03 -4.471670500000000000e+06 0.000000000000000000e+00
3.572728271484375000e+03 4.630267000000000000e+06 0.000000000000000000e+00
3.573550048828125000e+03 -8.796293750000000000e+05 0.000000000000000000e+00
3.574374023437500000e+03 3.489155937500000000e+05 0.000000000000000000e+00
3.575196289062500000e+03 -7.489959375000000000e+05 0.000000000000000000e+00
3.576020751953125000e+03 1.531171250000000000e+06 0.000000000000000000e+00
3.576843505859375000e+03 1.668043875000000000e+06 0.000000000000000000e+00
3.577668212890625000e+03 -8.201816875000000000e+05 0.000000000000000000e+00
3.578491455078125000e+03 -1.119956375000000000e+06 0.000000000000000000e+00
3.579314453125000000e+03 1.823300625000000000e+06 0.000000000000000000e+00
3.580139892578125000e+03 -1.168110000000000000e+06 0.000000000000000000e+00
3.580963623046875000e+03 5.425858125000000000e+05 0.000000000000000000e+00
3.581789306640625000e+03 3.402210000000000000e+05 0.000000000000000000e+00
3.582613281250000000e+03 -9.541216250000000000e+05 0.000000000000000000e+00
3.583439453125000000e+03 1.838215781250000000e+05 0.000000000000000000e+00
3.584263916015625000e+03 -6.957800781250000000e+04 0.000000000000000000e+00
3.585088378906250000e+03 2.112796718750000000e+05 0.000000000000000000e+00
3.585915039062500000e+03 -7.045605468750000000e+04 0.000000000000000000e+00
3.586739990234375000e+03 -6.019725390625000000e+04 0.000000000000000000e+00
3.587567138671875000e+03 1.092890546875000000e+05 0.000000000000000000e+00
3.588392333984375000e+03 -2.151967773437500000e+04 0.000000000000000000e+00
3.589219970703125000e+03 3.087648242187500000e+04 0.000000000000000000e+00
3.590045654296875000e+03 -1.046582421875000000e+05 0.000000000000000000e+00
3.590871582031250000e+03 5.661592187500000000e+04 0.000000000000000000e+00
3.591699462890625000e+03 2.602961914062500000e+04 0.000000000000000000e+00
3.592525878906250000e+03 -4.301112890625000000e+04 0.000000000000000000e+00
3.593354248046875000e+03 6.795211718750000000e+04 0.000000000000000000e+00
3.594180908203125000e+03 -6.111089062500000000e+04 0.000000000000000000e+00
3.595009765625000000e+03 3.190364648437500000e+04 0.000000000000000000e+00
3.595836669921875000e+03 -1.317059375000000000e+04 0.000000000000000000e+00
3.596663818359375000e+03 -7.797093261718750000e+03 0.000000000000000000e+00
3.597493408203125000e+03 2.501862500000000000e+04 0.000000000000000000e+00
3.598320800781250000e+03 -1.498127929687500000e+04 0.000000000000000000e+00
3.599150634765625000e+03 6.053668457031250000e+03 0.000000000000000000e+00
3.599978759765625000e+03 -4.962518066406250000e+03 0.000000000000000000e+00
