MJD,RUN2D,CATALOGID,SDSS_ID,Z
59193,v6_1_3,4399288506,70341045,2.004056930541992
59199,v6_1_3,4555599936,56632077,2.1898163706903575
59200,v6_1_3,4492083906,74319880,2.5118963718414307
59227,v6_1_3,4545132757,74330208,2.089463286342761
59227,v6_1_3,4592647837,79987208,1.9171520502921786
59253,v6_1_3,4570371542,79997995,2.7524207008119013
59276,v6_1_3,4491870648,74336110,2.172566172247336
59276,v6_1_3,4491934837,74314484,2.310551727032996
59292,v6_1_3,4592538558,79996889,2.7930956111401697
59304,v6_1_3,4545240185,55768088,3.368819025088195
59313,v6_1_3,4592528790,55765266,2.593871370787142
59315,v6_1_3,4592600781,55777922,2.3816546164638885
59337,v6_1_3,4597889172,56946436,2.372034408134097
59340,v6_1_3,4592668358,80008921,2.68240710260089
59343,v6_1_3,4603782295,60245449,2.8472510813068843
59381,v6_1_3,6030602531,121062976,2.058942243307514
59636,v6_1_3,27021598102749143,55761071,2.5622767151210173
59663,v6_1_3,27021598149755602,55775206,2.8956889710572242
59879,v6_1_3,27021598053198699,75926037,2.3158680976195303
59888,v6_1_3,27021598104013115,56411645,2.0022845652659536
59935,v6_1_3,27021597918613886,57388325,2.7176310419989846
59937,v6_1_3,27021598101838821,75220768,1.9295874047564308
59939,v6_1_3,27021597973635113,75947354,1.9504667321656228
60030,v6_1_3,27021598145893772,79233657,2.613140696356761
60076,v6_1_3,27021598149514059,78975432,2.2559810123452193
60119,v6_1_3,27021598160703893,60247683,1.9931280612945557
59202,v6_1_3,4545019543,74360632,2.492575732643273
59227,v6_1_3,4492063198,74316469,3.267263640712047
59227,v6_1_3,4570537835,79986057,2.10026819597784
59230,v6_1_3,4554513354,56459263,2.0253127686590306
59254,v6_1_3,4570396699,79999346,2.5149348018439044
59310,v6_1_3,4592651341,79988374,2.6688232871605035
59312,v6_1_3,4360792822,58641371,2.419862325147509
59314,v6_1_3,4570495665,79994667,2.2687677114269857
59316,v6_1_3,4592699237,80010570,3.1322195586177006
59340,v6_1_3,4592933781,80023994,3.123828892539451
59375,v6_1_3,4368365860,71065513,3.178696696473817
59664,v6_1_3,27021598102754588,55767592,3.0455521342779557
59731,v6_1_3,27021598157856620,59427478,2.2205411482597537
59734,v6_1_3,27021598155865359,79033321,1.9657321446471294
60049,v6_1_3,27021598157342684,79051878,2.70112527264489
60089,v6_1_3,27021598157398162,78994120,2.345030183293705
59200,v6_1_3,4382188039,70833223,2.095694236672108
59375,v6_1_3,4352008193,61887272,2.567745316841415
59664,v6_1_3,27021598102804413,55773336,2.0368930924812796
59910,v6_1_3,27021598048582114,74416038,3.4694130431457193
59913,v6_1_3,27021598149860476,80017112,3.3752945672481385
59937,v6_1_3,27021598149875786,80041333,2.243368775563521
59977,v6_1_3,27021598151971696,80269836,2.5675456523895264
59999,v6_1_3,27021597974202360,75626607,3.4679674600587482
60033,v6_1_3,27021597920590181,56661739,2.167981176856948
