MJD,RUN2D,CATALOGID,SDSS_ID,Z
59192,v6_1_3,4382235955,70827301,2.162974784412331
59193,v6_1_3,4399272891,70345276,2.2359326752716986
59208,v6_1_3,4545193917,55762557,3.0012848894330144
59221,v6_1_3,4401489193,70172362,3.697169354132126
59222,v6_1_3,4544989510,74328568,2.3562687976188874
59226,v6_1_3,4545122230,74328899,2.10666436349993
59227,v6_1_3,4492079571,74319115,2.4258947372436523
59227,v6_1_3,4492079705,74319181,2.7914352259259494
59227,v6_1_3,4570532345,79984913,2.2146258131271144
59227,v6_1_3,4570534700,79985062,3.2941395551623653
59227,v6_1_3,4570538356,79985920,3.2040831987472416
59227,v6_1_3,4570954608,79981138,1.9469083664289326
59230,v6_1_3,4375962885,70084823,1.9630011244404084
59231,v6_1_3,4545152096,74333103,2.540474361930045
59231,v6_1_3,4545166551,74331069,2.528826063362811
59232,v6_1_3,4554484635,56414215,2.8759574667562644
59232,v6_1_3,4592645893,80006184,2.42817311430176
59232,v6_1_3,4592654591,79989665,2.9929974073276866
59232,v6_1_3,4592659804,80009785,2.365939766269211
59253,v6_1_3,4570367474,79999980,2.283086058501848
59253,v6_1_3,4592508328,80000117,2.142558326282275
59254,v6_1_3,4570368134,101618351,2.8195320036966423
59256,v6_1_3,4592534394,80003769,2.2548383201638806
59276,v6_1_3,4491894434,74341320,2.588732245313742
59279,v6_1_3,4544936070,74343738,2.935858726501465
59280,v6_1_3,4545040864,74371531,2.3414438099735007
59281,v6_1_3,4554388877,57554460,2.6683535154000837
59288,v6_1_3,4545077771,74370189,2.008309165087283
59291,v6_1_3,4545148430,74361860,2.555539131164551
59306,v6_1_3,4592579951,55781899,2.6032590520236143
59310,v6_1_3,4592657499,80008293,2.197039842605591
59312,v6_1_3,4360799186,58640627,2.8088949465928925
59312,v6_1_3,4360830522,58635004,2.1319399380400212
59314,v6_1_3,4592611576,79996548,2.6347581755134355
59315,v6_1_3,4592601445,55778115,2.55832273431821
59315,v6_1_3,4592687264,55780612,2.1916448036907554
59316,v6_1_3,4592667288,80010224,2.9481363599270134
59316,v6_1_3,4592682589,80016566,2.3759311780845844
59316,v6_1_3,4592692253,80016775,1.9166979789733887
59317,v6_1_3,4592979311,80041710,2.400523029124795
59318,v6_1_3,4570398377,79999097,2.1144776630179254
59318,v6_1_3,4570401106,79993750,2.8779037335559794
59324,v6_1_3,4589582826,78848572,2.052218885323101
59340,v6_1_3,4592937314,80039420,2.6821649074554443
59340,v6_1_3,4592942791,80024282,3.1614226407454975
59343,v6_1_3,4603626164,61551297,2.3021554064861642
59345,v6_1_3,4592703500,80045365,2.211660071347053
59346,v6_1_3,4359803495,57329291,2.287573616480991
59347,v6_1_3,4603653107,61554399,2.2618115645565644
59347,v6_1_3,4603782181,60245647,2.704629758751971
59347,v6_1_3,4603782182,60246004,2.080205352583289
59347,v6_1_3,4603788772,61552314,2.236044045326278
59347,v6_1_3,4603790146,61552891,2.25814271108696
59347,v6_1_3,4603790454,61552902,2.3585172788000963
59351,v6_1_3,4351553170,62054078,2.8619425229411486
59352,v6_1_3,4593055743,79951569,2.101623296737671
59352,v6_1_3,4593057247,79959365,2.805006852363157
59352,v6_1_3,4593060679,80028618,2.390510260610137
59352,v6_1_3,4593062445,79960204,2.0523088831770675
59352,v6_1_3,4593063235,79960276,3.044819558415483
59352,v6_1_3,4593080996,79957991,2.3798650468681655
59352,v6_1_3,4600459061,79072159,1.9614155549840322
59352,v6_1_3,6878947186,79959525,2.6082795762065634
59369,v6_1_3,4602953428,61531171,2.0015755377969473
59374,v6_1_3,5191883450,60770967,1.9080499097598702
59375,v6_1_3,4351932691,61912453,2.296043513931702
59375,v6_1_3,4352006667,61911779,3.0974907605821738
59375,v6_1_3,4603008471,61386039,2.910146058803956
59375,v6_1_3,4603049440,61391758,2.474287651838375
59375,v6_1_3,5189718924,60443278,2.245669938831322
59376,v6_1_3,4603859423,61556690,2.1111204280256732
59376,v6_1_3,4603870110,61557751,2.672092765782583
59381,v6_1_3,4349849827,62109506,2.408247062359749
59381,v6_1_3,4350968445,62238677,1.9006342475949158
59381,v6_1_3,4351093563,62238490,2.037304162979126
59381,v6_1_3,4351098365,61730086,2.079933981896921
