SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
1,spec-allepoch-59193-4399288506.fits,spec-allepoch-59193-4399288506.fits,2.004056930541992,9.53742
2,spec-allepoch-59199-4555599936.fits,spec-allepoch-59199-4555599936.fits,2.1898163706903575,9.06714
3,spec-allepoch-59200-4492083906.fits,spec-allepoch-59200-4492083906.fits,2.5118963718414307,9.15409
4,spec-allepoch-59227-4545132757.fits,spec-allepoch-59227-4545132757.fits,2.089463286342761,9.66921
5,spec-allepoch-59227-4592647837.fits,spec-allepoch-59227-4592647837.fits,1.9171520502921786,9.13668
6,spec-allepoch-59253-4570371542.fits,spec-allepoch-59253-4570371542.fits,2.7524207008119013,9.30693
7,spec-allepoch-59276-4491870648.fits,spec-allepoch-59276-4491870648.fits,2.172566172247336,9.60156
8,spec-allepoch-59276-4491934837.fits,spec-allepoch-59276-4491934837.fits,2.310551727032996,9.1829
9,spec-allepoch-59292-4592538558.fits,spec-allepoch-59292-4592538558.fits,2.7930956111401697,9.48762
10,spec-allepoch-59304-4545240185.fits,spec-allepoch-59304-4545240185.fits,3.368819025088195,9.32369
11,spec-allepoch-59313-4592528790.fits,spec-allepoch-59313-4592528790.fits,2.593871370787142,9.39851
12,spec-allepoch-59315-4592600781.fits,spec-allepoch-59315-4592600781.fits,2.3816546164638885,9.38039
13,spec-allepoch-59337-4597889172.fits,spec-allepoch-59337-4597889172.fits,2.372034408134097,9.95799
14,spec-allepoch-59340-4592668358.fits,spec-allepoch-59340-4592668358.fits,2.68240710260089,9.9725
15,spec-allepoch-59343-4603782295.fits,spec-allepoch-59343-4603782295.fits,2.8472510813068843,9.41236
16,spec-allepoch-59381-6030602531.fits,spec-allepoch-59381-6030602531.fits,2.058942243307514,9.7588
17,spec-allepoch-59636-27021598102749143.fits,spec-allepoch-59636-27021598102749143.fits,2.5622767151210173,9.18125
18,spec-allepoch-59663-27021598149755602.fits,spec-allepoch-59663-27021598149755602.fits,2.8956889710572242,9.06536
19,spec-allepoch-59879-27021598053198699.fits,spec-allepoch-59879-27021598053198699.fits,2.3158680976195303,9.32786
20,spec-allepoch-59888-27021598104013115.fits,spec-allepoch-59888-27021598104013115.fits,2.0022845652659536,9.41585
21,spec-allepoch-59935-27021597918613886.fits,spec-allepoch-59935-27021597918613886.fits,2.7176310419989846,9.47019
22,spec-allepoch-59937-27021598101838821.fits,spec-allepoch-59937-27021598101838821.fits,1.9295874047564308,9.97058
23,spec-allepoch-59939-27021597973635113.fits,spec-allepoch-59939-27021597973635113.fits,1.9504667321656228,9.64275
24,spec-allepoch-60030-27021598145893772.fits,spec-allepoch-60030-27021598145893772.fits,2.613140696356761,9.71734
25,spec-allepoch-60076-27021598149514059.fits,spec-allepoch-60076-27021598149514059.fits,2.2559810123452193,9.49892
26,spec-allepoch-60119-27021598160703893.fits,spec-allepoch-60119-27021598160703893.fits,1.9931280612945557,9.19537
27,spec-allepoch-59202-4545019543.fits,spec-allepoch-59202-4545019543.fits,2.492575732643273,9.83148
28,spec-allepoch-59227-4492063198.fits,spec-allepoch-59227-4492063198.fits,3.267263640712047,9.28017
29,spec-allepoch-59227-4570537835.fits,spec-allepoch-59227-4570537835.fits,2.10026819597784,9.55481
30,spec-allepoch-59230-4554513354.fits,spec-allepoch-59230-4554513354.fits,2.0253127686590306,9.98662
