SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
1,spec-allepoch-59192-4382235955.fits,spec-allepoch-59192-4382235955.fits,2.162974784412331,12.13482
2,spec-allepoch-59193-4399272891.fits,spec-allepoch-59193-4399272891.fits,2.2359326752716986,17.80525
3,spec-allepoch-59208-4545193917.fits,spec-allepoch-59208-4545193917.fits,3.0012848894330144,19.48747
4,spec-allepoch-59221-4401489193.fits,spec-allepoch-59221-4401489193.fits,3.697169354132126,32.24093
5,spec-allepoch-59222-4544989510.fits,spec-allepoch-59222-4544989510.fits,2.3562687976188874,10.98678
6,spec-allepoch-59226-4545122230.fits,spec-allepoch-59226-4545122230.fits,2.10666436349993,15.53883
7,spec-allepoch-59227-4492079571.fits,spec-allepoch-59227-4492079571.fits,2.4258947372436523,21.18915
8,spec-allepoch-59227-4492079705.fits,spec-allepoch-59227-4492079705.fits,2.7914352259259494,11.95337
9,spec-allepoch-59227-4570532345.fits,spec-allepoch-59227-4570532345.fits,2.2146258131271144,10.01943
10,spec-allepoch-59227-4570534700.fits,spec-allepoch-59227-4570534700.fits,3.2941395551623653,14.7252
11,spec-allepoch-59227-4570538356.fits,spec-allepoch-59227-4570538356.fits,3.2040831987472416,15.43038
12,spec-allepoch-59227-4570954608.fits,spec-allepoch-59227-4570954608.fits,1.9469083664289326,10.1383
13,spec-allepoch-59230-4375962885.fits,spec-allepoch-59230-4375962885.fits,1.9630011244404084,12.88922
14,spec-allepoch-59231-4545152096.fits,spec-allepoch-59231-4545152096.fits,2.540474361930045,18.93982
15,spec-allepoch-59231-4545166551.fits,spec-allepoch-59231-4545166551.fits,2.528826063362811,13.20088
16,spec-allepoch-59232-4554484635.fits,spec-allepoch-59232-4554484635.fits,2.8759574667562644,13.25423
17,spec-allepoch-59232-4592645893.fits,spec-allepoch-59232-4592645893.fits,2.42817311430176,10.06421
18,spec-allepoch-59232-4592654591.fits,spec-allepoch-59232-4592654591.fits,2.9929974073276866,10.61483
19,spec-allepoch-59232-4592659804.fits,spec-allepoch-59232-4592659804.fits,2.365939766269211,14.05092
20,spec-allepoch-59253-4570367474.fits,spec-allepoch-59253-4570367474.fits,2.283086058501848,11.2384
21,spec-allepoch-59253-4592508328.fits,spec-allepoch-59253-4592508328.fits,2.142558326282275,13.81598
22,spec-allepoch-59254-4570368134.fits,spec-allepoch-59254-4570368134.fits,2.8195320036966423,10.74949
23,spec-allepoch-59256-4592534394.fits,spec-allepoch-59256-4592534394.fits,2.2548383201638806,27.46571
24,spec-allepoch-59276-4491894434.fits,spec-allepoch-59276-4491894434.fits,2.588732245313742,12.3965
