Spec File Name,mjd,plate,fiber,HeII EW,CIV Distance
spec-3655-55240-0388norm.dr,55240,3655,388,1.133875956,0.6147956338
spec-3766-55213-0046norm.dr,55213,3766,46,1.660090768,0.6231893513
spec-3815-55537-0910norm.dr,55537,3815,910,1.031165367,0.6302345884
spec-4060-55359-0940norm.dr,55359,4060,940,0.901422859,0.6072813383
spec-4202-55445-0258norm.dr,55445,4202,258,1.647408483,0.618887328
spec-4570-55623-0296norm.dr,55623,4570,296,1.161728763,0.6579492743
spec-4776-55652-0216norm.dr,55652,4776,216,1.097244108,0.6439992967
spec-4858-55686-0392norm.dr,55686,4858,392,1.50245073,0.6763912932
spec-5356-55979-0586norm.dr,55979,5356,586,0.455452757,0.693570249
spec-5394-56001-0990norm.dr,56001,5394,990,0.600454989,0.682813164
spec-5476-55986-0599norm.dr,55986,5476,599,0.8586901,0.69084581
spec-5809-56353-0704norm.dr,56353,5809,704,1.228335467,0.608004545
spec-5998-56087-0294norm.dr,56087,5998,294,0.761308714,0.63881208
spec-6138-56598-0754norm.dr,56598,6138,754,0.674321206,0.742700973
spec-6182-56190-0657norm.dr,56190,6182,657,1.821996818,0.556493036
spec-6257-56274-0490norm.dr,56274,6257,490,1.457085822,0.629435763
spec-6313-56460-0295norm.dr,56460,6313,295,0.631124191,0.705693345
spec-6412-56358-0454norm.dr,56358,6412,454,0.69237219,0.750455551
spec-6621-56366-0502norm.dr,56366,6621,502,1.159252409,0.745887039
spec-7089-56661-0060norm.dr,56661,7089,60,0.692021007,0.714617752
spec-7148-56591-0664norm.dr,56591,7148,664,1.112046613,0.623246985
