norm_spectra,mjd,plate,fiber,HeII EW,CIV Distance,vmin,vmax,zem,save_file_name
spec-3826-55563-0860norm.dr,55563,3826,860,0.06542797604,0.7647105638,-35374.9952,-39115.5318,2.46644,spec_below_0
spec-3844-55321-0920norm.dr,55321,3844,920,0.02282897945,1.180927111,-32903.1079,-57528.181,2.708162,spec_below_1
spec-3861-55274-0582norm.dr,55274,3861,582,0.3686978413,0.87914084,-36626.491,-41651.0697,3.08246,spec_below_2
spec-4046-55605-0085norm.dr,55605,4046,85,0.08260076329,0.904084007,-38423.4239,-42221.7875,2.821769,spec_below_3
spec-4181-55685-0543norm.dr,55685,4181,543,0.05578537477,0.8511201902,-36454.6359,-48972.9964,3.03803,spec_below_4
spec-4217-55478-0020norm.dr,55478,4217,20,0.1238813722,0.9354569778,-55349.9876,-58346.7806,2.17095,spec_below_5
spec-4456-55537-0704norm.dr,55537,4456,704,0.4322432526,0.8414332398,-36515.8231,-48562.6564,2.31329,spec_below_6
spec-4498-55615-0502norm.dr,55615,4498,502,0.3382787496,0.7452983547,-46459.4462,-51904.027,2.45809,spec_below_7
spec-4506-55568-0824norm.dr,55568,4506,824,0.006292396827,1.10979654,-35610.45,-39689.6327,3.41397,spec_below_8
spec-4511-55602-0415norm.dr,55602,4511,415,0.1635669153,0.9092023414,-38268.8562,-47874.7508,3.02937,spec_below_9
spec-4567-55589-0454norm.dr,55589,4567,454,0.007873060291,1.155163393,-30027.58,-41805.0618,2.533863,spec_below_10
spec-4571-55629-0730norm.dr,55629,4571,730,0.007426201267,1.069182648,-42277.0515,-50569.5584,2.59291,spec_below_11
spec-4573-55587-0698norm.dr,55587,4573,698,0.01336231899,0.9634530162,-35451.4947,-39734.8955,2.244865,spec_below_12
spec-4622-55629-0678norm.dr,55629,4622,678,0.003757900745,1.228740053,-45807.107,-59993.09,2.075169,spec_below_13
spec-4741-55704-0786norm.dr,55704,4741,786,0.1290410551,0.8227661911,-36857.7629,-40797.0956,3.35574,spec_below_14
spec-4743-55645-0118norm.dr,55645,4743,118,0.3637857091,0.8367588947,-34149.5135,-36329.5372,2.1549,spec_below_15
spec-4772-55654-0106norm.dr,55654,4772,106,0.2107521006,0.8234926769,-51641.5487,-53650.0774,3.39182,spec_below_16
spec-4840-55690-0576norm.dr,55690,4840,576,0.02269038874,0.9216693192,-37574.4978,-43339.1675,2.917555,spec_below_17
spec-4998-55722-0306norm.dr,55722,4998,306,0.01037943985,1.139859685,-33674.0662,-42711.6863,2.477668,spec_below_18
spec-4419-55867-0178norm.dr,55867,4419,178,0.102600544,0.754830495,-35496.14147,-39572.99625,2.362696,spec_below_19
spec-4538-55860-0660norm.dr,55860,4538,660,0.07270201,0.774615135,-35496.14147,-43319.0206,2.32407,spec_below_20
spec-4663-55893-0854norm.dr,55893,4663,854,0.06049445,0.866828617,-37822.46963,-41349.33362,3.1137,spec_below_21
spec-5039-56220-0625norm.dr,56220,5039,625,0.026129214,1.06556339,-36857.85529,-40116.74668,2.404823,spec_below_22
spec-5212-56016-0348norm.dr,56016,5212,348,0.013943411,0.747762952,-35942.09495,-38728.30842,2.140198,spec_below_23
spec-5288-55865-0958norm.dr,55865,5288,958,0.157632026,0.748408034,-35942.09495,-39956.0373,3.20193,spec_below_24
spec-5320-55999-0336norm.dr,55999,5320,336,0.003317855,0.916337177,-45872.34712,-48363.15782,3.05005,spec_below_25
spec-5372-55978-0742norm.dr,55978,5372,742,0.007326399,0.962996598,-31662.62725,-40980.13571,2.384341,spec_below_26
