plate,mjd,norm_spec_filename,PDF Page
3655,55240,spec-3655-55240-0388norm.dr9,1
3766,55213,spec-3766-55213-0046norm.dr9,3
3815,55537,spec-3815-55537-0910norm.dr9,5
4060,55359,spec-4060-55359-0940norm.dr9,12
4202,55445,spec-4202-55445-0258norm.dr9,15
4570,55623,spec-4570-55623-0296norm.dr9,27
4776,55652,spec-4776-55652-0216norm.dr9,36
4858,55686,spec-4858-55686-0392norm.dr9,38
5356,55979,spec-5356-55979-0586norm.dr16,20
5394,56001,spec-5394-56001-0990norm.dr16,25
5476,55986,spec-5476-55986-0599norm.dr16,32
5809,56353,spec-5809-56353-0704norm.dr16,40
5998,56087,spec-5998-56087-0294norm.dr16,43
6138,56598,spec-6138-56598-0754norm.dr16,46
6182,56190,spec-6182-56190-0657norm.dr16,48
6257,56274,spec-6257-56274-0490norm.dr16,50
6313,56460,spec-6313-56460-0295norm.dr16,51
6412,56358,spec-6412-56358-0454norm.dr16,56
6621,56366,spec-6621-56366-0502norm.dr16,62
7089,56661,spec-7089-56661-0060norm.dr16,76
7148,56591,spec-7148-56591-0664norm.dr16,78
