SDSS_Names_14,Plate_14,Mjd_14,Fiber_14,Mbh_14,Mbh_err_14,Lbol_14,Quality_Lbol_14,Redd_14,Quality_Redd_14
004325.78+314830.4,7671,57360,92,8.97201926652903,0.23505539240205595,46.93703260044828,0,-0.17486575248198497,-999
080203.41+145927.9,8823,57446,393,9.350505072299638,0.03424322111139701,46.700759235086906,0,-0.7896249236139711,0
002400.23-010449.5,4421,55858,894,9.321768275242833,0.10827718056725531,46.8507446201033,0,-0.6109027415407731,0
015056.56+222111.6,5297,55913,686,9.182754551323669,0.019358718677535632,46.81092715121652,0,-0.5117064865083895,0
132629.29+463333.7,6138,56598,594,9.144426190852535,0.06296352313405547,46.189525653184205,0,-1.0947796240695686,0
022419.74-040315.8,6783,56284,672,9.276712525483553,0.028226942365538868,46.79549241572539,0,-0.6210991961594009,0
134533.77+513041.1,7644,57327,353,9.453448103380811,0.018988073445161933,47.13429412283024,0,-0.4590330669518093,0
030422.39+002231.8,5326,56002,370,9.543398374810616,0.1498945198671278,46.811487131934555,0,-0.8717903292772996,-999
115035.30+403220.0,5406,55955,486,9.113914562902984,0.017226341184249788,46.696265853917616,0,-0.5575277953866068,0
120248.08+120713.9,5438,56002,285,9.459728106288276,0.05054870043574,46.83567705210453,0,-0.7639301405849858,0
105756.92+232055.3,5862,56045,724,9.429764585718242,0.010683121149895723,47.17104223553423,0,-0.39860143658525105,0
114513.46+104533.2,5994,56101,196,8.948779772149276,0.10093140969401901,46.866474592586314,0,-0.2221842659642005,0
104954.47+284648.4,5450,55986,680,9.51094681685354,0.032885197843697506,47.02357040987172,0,-0.6272554933830553,0
121559.67+142419.2,5469,56037,689,9.369401071613716,0.04658298503406934,46.90462248820789,0,-0.6046576698070628,-999
090053.52+440330.2,6428,56279,192,8.98438089526147,0.09469556809191036,46.43201510901264,0,-0.6922448726500702,0
115723.77+581439.1,7118,56686,18,9.786284247688538,0.030478333782580278,47.16425810733828,0,-0.7619052267515,0
005833.66+024137.5,7235,56603,711,9.45349802951084,0.012090706968989385,47.15705090746389,0,-0.436326208448188,0
123055.48+375735.9,5193,56066,854,9.131032544688205,0.03627154646886252,46.80065267389153,0,-0.4702589571979168,0
094344.52+510657.9,5371,55976,375,9.266031882941064,0.01546021628743531,47.08234838533163,0,-0.32356258401067534,0
105917.98+102725.8,5459,56035,821,9.445978107333675,0.1497832219161769,46.83793350251389,0,-0.747923691221022,10
131532.85+622743.1,5470,56008,24,9.754696848891603,0.051987713642182756,47.0718068638498,0,-0.822769071443041,0
024626.86-024318.5,5787,56254,280,9.586088712518727,0.03183699944714745,47.41082431238268,0,-0.31514348653728613,0
102627.79+411756.4,5973,56067,856,8.681503942122824,0.07283699742360589,46.7770485354787,0,-0.04433449304536382,0
114904.12+351730.2,5986,56328,702,9.32290175424318,0.04447731221151462,46.918431845035585,0,-0.544348995608834,0
110231.93+053422.6,6002,56104,333,8.711672489462208,0.02492447750996892,46.75784440822624,0,-0.09370716763720577,0
094311.55+195954.5,6467,56270,933,9.470003794408933,0.048472873490568,47.22416761712159,0,-0.38571526368858516,-999
110125.22+082743.7,6638,56370,35,9.735708403519236,0.040726125232530885,46.82755905218186,0,-1.048028437738614,0
091644.82+310232.1,7092,56683,634,9.019852279690397,0.06000287548984894,46.75738958564642,0,-0.4023417804452141,0
003058.94+060948.7,7624,57039,348,9.717184476980776,0.02816461131099734,47.34410036297588,0,-0.5129632004061354,0
130159.33+051308.4,7655,57336,586,9.340990850503747,0.024406635398551303,46.76917514426076,0,-0.7116947926442291,0
084937.96+354556.3,7390,57130,961,9.174824424524427,0.10087072811023588,47.02919819953316,0,-0.28550531139250357,-999
141321.77+493643.0,5205,56040,352,8.675140154587396,0.04423651195614151,46.77444324629443,0,-0.04057599469420316,0
023937.44-041012.7,5314,55952,508,9.54966547203126,0.08294022926852829,46.87225264971321,0,-0.8172919087192875,0
114742.56+473815.7,5434,56033,598,9.645686343537223,0.07134301606972142,46.92796190178599,0,-0.8576035281524705,0
023142.20+024623.4,5790,56271,352,9.336786479874378,0.06567647719323427,46.79322053160252,0,-0.6834450346730955,0
024210.25+000611.4,5792,56269,798,9.011360037651421,0.02098895850221463,46.84701646809544,0,-0.3042226559572204,-999
122807.82+323224.4,6709,56429,316,9.050268644389593,0.2764835816247887,46.802470115250024,0,-0.38767761554080776,-999
114249.08+544709.7,6809,56454,922,8.846310655629967,0.10016385057784381,46.9445250598275,0,-0.041664682203707816,0
002817.05+242621.8,7878,57340,670,9.377444134335597,0.023714801011556742,46.95748662083972,0,-0.5598365998971195,0
005850.18+092625.5,8745,57391,609,9.22117582132431,0.033264829962284206,46.772828858627015,0,-0.5882260490985339,0
000717.04+202052.6,7869,57012,602,8.945197703030393,0.06620332423990592,46.6946817828126,0,-0.3903950066190306,-999
141444.58+353217.4,5039,56220,218,9.20358885790196,0.0626956417662089,46.67190870557754,0,-0.6715592387256548,0
141503.61+131955.0,5166,56065,730,9.031759373714404,0.02847648312107642,46.849103537164424,0,-0.32253492295121877,0
081951.02+414628.3,5285,55946,392,9.266497542295708,0.06956592067965031,46.773767293887346,0,-0.632609334809601,0
015302.97+261258.0,5312,56001,140,9.236447146435317,0.17555580778995072,46.858375988553696,0,-0.5179502442828597,0
105405.29+522627.5,5430,56000,420,9.403303604447203,0.024208461753875223,46.73510508961272,0,-0.8080776012357183,0
125223.77+645137.9,5491,56034,704,9.643891699879763,0.19165478762277827,47.032152662401586,0,-0.7516181238794158,10
015740.15+075230.1,5788,56255,570,8.190128753716746,0.03257460087821651,46.66516278702661,0,0.3351549469086253,0
090216.77+454754.8,5891,56034,76,9.258774728583395,0.022551687415458325,46.91508293262966,0,-0.4835708823549753,0
114946.75+492926.6,5986,56328,302,8.623701192635606,0.05622958688664507,46.70940944877599,0,-0.05417083026085134,0
093621.25+330701.8,6434,56362,340,9.484082489394414,0.074880456312292,46.99038015405418,0,-0.6335814217414734,0
102020.71+284724.7,6449,56356,756,9.318743663405744,0.10330625476963477,46.830557414968204,0,-0.6280653348387785,0
090639.84+023038.3,6649,56364,826,9.573725837224167,0.02737015648092282,47.05288792605799,0,-0.6607169975674145,0
124022.66+163454.2,8401,57482,335,9.512372245902188,0.09560083330105892,46.87457542032143,0,-0.7776759119819997,-999
095819.35+013530.5,8864,57428,151,9.34081471943598,0.03559975226789057,46.845922618034386,0,-0.6347711878028318,0
121058.35+183301.5,7584,56957,901,9.426603965296543,0.026637284069036114,47.12560625039318,0,-0.4408768013045991,0
025848.31+003333.2,5289,55893,480,9.328059441017658,0.03945850713092138,46.86550058825712,0,-0.6024379391617761,0
075830.73+380329.9,5811,56334,139,9.340681345068319,0.022866550014648268,46.97184131023212,0,-0.5087191212374356,0
103418.76+103348.2,5992,56066,320,9.108010376907728,0.06521384345860413,46.76842247557731,0,-0.4794669877316569,0
102429.06+132103.6,6623,56367,121,9.096480246013554,0.02730019164794344,46.77735831269254,0,-0.4590010197222512,0
091509.17+645255.4,7088,56657,68,9.087709819328214,0.018242718923475006,46.77295861027486,0,-0.45463029545459055,0
093619.06+403613.4,7108,56686,69,9.29856221202936,0.058707478851187336,46.738042955043404,0,-0.7003983433871942,0
005137.27+063534.7,7629,56988,18,9.299053486339666,0.04112887511044785,46.86327114513214,0,-0.5756614276087665,0
003331.04+160348.4,7660,57357,278,8.850934367029202,0.0976906209877943,46.48158949143211,0,-0.5092239619983304,-999
002318.01-025548.3,7616,56902,364,9.40224230969485,0.019133894002528445,47.0181144580656,0,-0.5240069380304925,0
114036.54+155622.3,8208,57430,769,9.156693306804774,0.17788380201954815,46.79482526196421,0,-0.5017471312417998,-999
104017.06+311012.0,5439,56045,250,8.763729984465579,0.027089544695027824,46.86839227424815,0,-0.0352167966186664,0
114806.05+254745.8,6491,56337,210,8.668205566168265,0.0909729481554415,46.94571882611582,0,0.1376341735463188,-999
005811.46-010807.6,7059,56592,776,9.717367931699131,0.15676295693988093,46.798062243529145,0,-1.0591847745712253,0
114112.18+451915.7,8500,57432,800,9.172967448702305,0.031485789997595826,46.89902764378283,0,-0.41381889132071425,0
130338.51+352236.2,5202,55824,174,9.13942761148718,0.02890655076612278,46.732955588049194,0,-0.5463511098392253,0
111321.23+050201.9,5996,56096,608,9.664709944039046,0.01741645031645611,47.156735191648444,0,-0.647853838791841,0
010107.10+260858.2,6202,56266,584,9.879407905052322,0.011833587078569123,47.568870523677035,0,-0.4504164677765257,-999
084722.83+564010.2,6427,56328,110,9.27627845616623,0.05563794833366478,46.641562647103385,0,-0.7745948954640839,0
105745.63+054421.8,6986,56717,170,9.212259113040622,0.09462329052103143,46.66960720177762,0,-0.6825309976642374,-999
091506.04+303521.7,7088,56657,588,9.130501553842917,0.034886545308965,46.662953525343504,0,-0.6074271149006522,0
