Flagging figure #908, file name: spec-3812-55513-0496.dr9
Flagging figure #915, file name: spec-3813-55532-0510.dr9
Flagging figure #922, file name: spec-3813-55532-0998.dr9
Flagging figure #923, file name: spec-3814-55535-0014.dr9
Flagging figure #924, file name: spec-3814-55535-0306.dr9
Flagging figure #926, file name: spec-3815-55537-0072.dr9
Flagging figure #931, file name: spec-3815-55537-0368.dr9
Flagging figure #933, file name: spec-3815-55537-0878.dr9
Flagging figure #935, file name: spec-3816-55272-0090.dr9
Flagging figure #936, file name: spec-3816-55272-0549.dr9
Flagging figure #938, file name: spec-3816-55272-0614.dr9
Flagging figure #939, file name: spec-3816-55272-0618.dr9
Flagging figure #942, file name: spec-3816-55272-0738.dr9
Flagging figure #946, file name: spec-3817-55277-0218.dr9
Flagging figure #949, file name: spec-3817-55277-0578.dr9
Flagging figure #957, file name: spec-3818-55532-0528.dr9
Flagging figure #960, file name: spec-3818-55532-0810.dr9
Flagging figure #1003, file name: spec-3826-55563-0772.dr9
Flagging figure #1029, file name: spec-3828-55539-0876.dr9
Flagging figure #1038, file name: spec-3829-55300-0802.dr9
Flagging figure #1039, file name: spec-3829-55300-0860.dr9
Flagging figure #1041, file name: spec-3830-55574-0356.dr9
Flagging figure #1049, file name: spec-3831-55543-0642.dr9
Flagging figure #1053, file name: spec-3832-55289-0287.dr9
Flagging figure #1054, file name: spec-3832-55289-0376.dr9
Flagging figure #1058, file name: spec-3832-55289-0560.dr9
Flagging figure #1060, file name: spec-3832-55289-0630.dr9
Flagging figure #1064, file name: spec-3832-55289-0778.dr9
Flagging figure #1097, file name: spec-3836-55302-0764.dr9
Flagging figure #1112, file name: spec-3838-55588-0740.dr9
Flagging figure #1116, file name: spec-3839-55575-0530.dr9
Flagging figure #1117, file name: spec-3839-55575-0876.dr9
Flagging figure #1120, file name: spec-3840-55574-0148.dr9
Flagging figure #1139, file name: spec-3844-55321-0348.dr9
Flagging figure #1142, file name: spec-3844-55321-0920.dr9
Flagging figure #1147, file name: spec-3845-55323-0730.dr9
Flagging figure #1151, file name: spec-3846-55327-0422.dr9
Flagging figure #1152, file name: spec-3846-55327-0564.dr9
Flagging figure #1169, file name: spec-3847-55588-0621.dr9
Flagging figure #1178, file name: spec-3848-55647-0772.dr9
Flagging figure #1183, file name: spec-3848-55647-0908.dr9
Flagging figure #1191, file name: spec-3849-55274-0758.dr9
Flagging figure #1200, file name: spec-3850-55575-0698.dr9
Flagging figure #1204, file name: spec-3851-55302-0050.dr9
Flagging figure #1212, file name: spec-3851-55302-0432.dr9
Flagging figure #1215, file name: spec-3851-55302-0562.dr9
Flagging figure #1220, file name: spec-3852-55243-0040.dr9
Flagging figure #1232, file name: spec-3852-55243-0652.dr9
Flagging figure #1235, file name: spec-3852-55243-0780.dr9
Flagging figure #1238, file name: spec-3853-55268-0220.dr9
Flagging figure #1253, file name: spec-3854-55247-0585.dr9
Flagging figure #1261, file name: spec-3855-55268-0044.dr9
Flagging figure #1262, file name: spec-3855-55268-0048.dr9
Flagging figure #1269, file name: spec-3855-55268-0342.dr9
Flagging figure #1280, file name: spec-3856-55269-0344.dr9
Flagging figure #1292, file name: spec-3857-55272-0464.dr9
Flagging figure #1293, file name: spec-3857-55272-0570.dr9
Flagging figure #1297, file name: spec-3858-55273-0354.dr9
Flagging figure #1311, file name: spec-3859-55246-0636.dr9
Flagging figure #1314, file name: spec-3859-55246-0772.dr9
Flagging figure #1329, file name: spec-3860-55269-0938.dr9
Flagging figure #1359, file name: spec-3864-55649-0066.dr9
Flagging figure #1371, file name: spec-3865-55272-0056.dr9
Flagging figure #1374, file name: spec-3865-55272-0124.dr9
Flagging figure #1394, file name: spec-3865-55272-0912.dr9
Flagging figure #1396, file name: spec-3866-55623-0134.dr9
Flagging figure #1401, file name: spec-3866-55623-0502.dr9
Flagging figure #1405, file name: spec-3866-55623-0770.dr9
Flagging figure #1430, file name: spec-3870-55273-0022.dr9
Flagging figure #1431, file name: spec-3870-55273-0028.dr9
Flagging figure #1434, file name: spec-3870-55273-0194.dr9
Flagging figure #1435, file name: spec-3870-55273-0461.dr9
Flagging figure #1444, file name: spec-3870-55273-0850.dr9
Flagging figure #1457, file name: spec-3872-55382-0226.dr9
Flagging figure #1464, file name: spec-3872-55382-0710.dr9
Flagging figure #1477, file name: spec-3874-55280-0328.dr9
Flagging figure #1499, file name: spec-3876-55245-0146.dr9
Flagging figure #1510, file name: spec-3877-55365-0679.dr9
Flagging figure #1519, file name: spec-3878-55361-0524.dr9
Flagging figure #1523, file name: spec-3879-55244-0020.dr9
