index,spectra index,chi_sq
1,899,7.877966739613503
3,901,6.335378150474825
4,902,9.638961634551038
5,903,2.0344211061675264
6,904,4.1641344262686495
7,905,5.105249231434495
8,906,4.140823954493397
9,907,2.8435089063110586
11,909,5.960812070020061
12,910,3.242660028674059
13,911,3.125366908046989
14,912,3.8149503616750686
15,913,5.211259032302334
16,914,1.7589146281972445
18,916,3.042781430360079
19,917,1.9603796373299898
20,918,3.506347504648162
21,919,1.3977039517694152
22,920,1.0112771437082642
23,921,2.6830866180577644
27,925,3.8658683437372203
28,926,7.147273404295292
29,927,1.082495240570791
30,928,4.790326530465687
31,929,5.197462866911905
32,930,2.9408577324642575
34,932,3.330174719047518
36,934,1.5024639286174772
39,937,1.0159050990484741
41,939,3.446160171802917
42,940,1.6740565895388901
43,941,5.424595349258997
45,943,0.8060379486074765
46,944,7.388005035698253
47,945,1.1084612616132385
48,946,4.86141154367486
50,948,3.6952336155028935
52,950,2.9646828646280747
53,951,3.033591768378562
54,952,6.226102679090818
55,953,2.072543383257204
56,954,1.2289957061853094
57,955,5.126024628554517
58,956,0.5946987486806757
59,957,3.9940894759443424
60,958,0.931668838404296
61,959,0.6761252298861405
63,961,1.1551847660560173
64,962,3.8446101035467026
65,963,7.309452856711071
66,964,4.093237707409039
67,965,2.51931016976215
68,966,7.383309483518027
69,967,2.356208648515421
70,968,2.4118741872619127
71,969,2.968362893091132
72,970,5.401788479117604
73,971,2.1539422114343068
74,972,2.7934480644395263
75,973,2.5133279618294613
76,974,2.279119494183906
77,975,1.4036998092997315
78,976,4.69013059456532
79,977,5.1417997398775235
80,978,1.8171086374959355
81,979,9.519666282434873
82,980,5.025494123925389
83,981,3.9015870650897115
84,982,1.078033725566374
85,983,3.410493234524878
86,984,2.0277592463699383
87,985,37.432503550136026
88,986,32.06339753202098
89,987,1.884752252554594
90,988,2.2892992818292672
91,989,1.2943668345041652
92,990,2.432355887513507
93,991,3.3137210015192244
94,992,4.4107472411257955
95,993,3.348995015430331
96,994,4.187007189449131
97,995,3.3794080073415342
98,996,1.5797111683455887
99,997,3.926556638469776
100,998,18.94544708173851
101,999,2.549987420982632
102,1000,10.624054826706912
103,1001,2.277035851844511
104,1002,2.0784676203046883
106,1004,2.394466022995092
107,1005,2.964224936580951
108,1006,1.2644395331431808
109,1007,1.881141669666558
110,1008,3.5598252504521097
111,1009,2.4183943762420674
112,1010,4.762616219137845
113,1011,2.038671290486383
114,1012,2.913254153917925
115,1013,2.2231833431645422
116,1014,3.9982947454054663
117,1015,2.5628642322854915
118,1016,1.8594792517328649
119,1017,0.784598961423646
120,1018,1.9064352168849634
121,1019,1.3076829092938604
122,1020,0.7889847039867857
123,1021,3.476982281865766
125,1023,1.5602988132358373
126,1024,1.4666142245180567
127,1025,1.2913128672671748
128,1026,23.533675258614736
129,1027,0.8983076076645465
