,Spectra Name,Redshift,SNR
0,spec-10901-58397-0466-dered.dr16,1.9001,19.31803
1,spec-9140-58039-0081-dered.dr16,1.9001,31.09008
2,spec-7671-57360-0092-dered.dr16,1.897991,20.06011
3,spec-8823-57446-0393-dered.dr16,1.91104,15.44042
4,spec-4421-55858-0894-dered.dr16,1.9003,18.3041
5,spec-5297-55913-0686-dered.dr16,1.90225,23.77903
6,spec-6138-56598-0594-dered.dr16,1.90023,15.70327
7,spec-6783-56284-0672-dered.dr16,1.9056,13.96348
8,spec-9155-58043-0456-dered.dr16,1.9011,25.09606
9,spec-9411-58070-0290-dered.dr16,1.9012,17.80546
10,spec-7732-58108-0100-dered.dr16,1.9013,17.0435
11,spec-7743-58107-0994-dered.dr16,1.9014,18.62242
12,spec-7644-57327-0353-dered.dr16,1.90958,28.44327
13,spec-5326-56002-0370-dered.dr16,1.902881,20.34074
14,spec-5406-55955-0486-dered.dr16,1.90362,14.95981
15,spec-5438-56002-0285-dered.dr16,1.90313,22.44028
16,spec-5862-56045-0724-dered.dr16,1.90444,31.98818
17,spec-5994-56101-0196-dered.dr16,1.90428,19.76061
18,spec-5450-55986-0680-dered.dr16,1.91177,21.32121
19,spec-5469-56037-0689-dered.dr16,1.905769,18.99494
20,spec-6428-56279-0192-dered.dr16,1.90517,13.35306
21,spec-7118-56686-0018-dered.dr16,1.91687,20.89119
22,spec-7235-56603-0711-dered.dr16,1.90486,27.99435
23,spec-11314-58436-0494-dered.dr16,1.9032,35.71667
24,spec-5193-56066-0854-dered.dr16,1.90403,15.67236
25,spec-5371-55976-0375-dered.dr16,1.90625,27.01832
26,spec-5459-56035-0821-dered.dr16,1.904,18.74434
27,spec-5470-56008-0024-dered.dr16,1.90537,25.6633
28,spec-5787-56254-0280-dered.dr16,1.90578,41.40524
29,spec-5973-56067-0856-dered.dr16,1.904,19.37706
30,spec-5986-56328-0702-dered.dr16,1.90404,25.50593
31,spec-6002-56104-0333-dered.dr16,1.90306,20.417
32,spec-6467-56270-0933-dered.dr16,1.906567,32.02779
33,spec-6638-56370-0035-dered.dr16,1.90833,21.65079
34,spec-7092-56683-0634-dered.dr16,1.905251,16.41082
35,spec-11124-58430-0782-dered.dr16,1.9041,24.66305
36,spec-11329-58426-0355-dered.dr16,1.9042,16.35815
37,spec-7624-57039-0348-dered.dr16,1.91273,32.9649
38,spec-7655-57336-0586-dered.dr16,1.91345,16.66942
39,spec-7390-57130-0961-dered.dr16,1.90424,23.00856
40,spec-5205-56040-0352-dered.dr16,1.90312,15.93072
41,spec-5314-55952-0508-dered.dr16,1.90772,14.54587
42,spec-5434-56033-0598-dered.dr16,1.9065,19.62886
43,spec-5790-56271-0352-dered.dr16,1.9034,15.6882
44,spec-5792-56269-0798-dered.dr16,1.909349,18.78405
45,spec-6709-56429-0316-dered.dr16,1.902859,19.85194
46,spec-6809-56454-0922-dered.dr16,1.90718,18.31462
47,spec-11284-58420-0350-dered.dr16,1.9051,16.14529
48,spec-7878-57340-0670-dered.dr16,1.91358,28.57374
49,spec-10472-58159-0789-dered.dr16,1.9053,17.68101
50,spec-8745-57391-0609-dered.dr16,1.91242,21.54526
51,spec-7869-57012-0602-dered.dr16,1.90549,19.57504
52,spec-9156-58039-0299-dered.dr16,1.9059,15.66901
53,spec-5039-56220-0218-dered.dr16,1.9057,16.93472
54,spec-5166-56065-0730-dered.dr16,1.9043,17.45895
55,spec-5285-55946-0392-dered.dr16,1.901878,13.24335
56,spec-5312-56001-0140-dered.dr16,1.90526,19.61391
57,spec-5430-56000-0420-dered.dr16,1.90676,13.40771
58,spec-5491-56034-0704-dered.dr16,1.9054,22.96843
59,spec-5788-56255-0570-dered.dr16,1.90275,16.01209
60,spec-5891-56034-0076-dered.dr16,1.90346,19.19935
61,spec-5986-56328-0302-dered.dr16,1.9039,17.36107
62,spec-6434-56362-0340-dered.dr16,1.90468,20.38228
63,spec-6449-56356-0756-dered.dr16,1.90435,15.3303
64,spec-6649-56364-0826-dered.dr16,1.90644,21.73594
65,spec-8401-57482-0335-dered.dr16,1.905197,20.91685
66,spec-8743-57663-0103-dered.dr16,1.906,18.32624
67,spec-8864-57428-0151-dered.dr16,1.91044,16.22151
68,spec-9180-57693-0324-dered.dr16,1.9061,21.65664
69,spec-9203-57692-0186-dered.dr16,1.9065,22.86452
70,spec-7584-56957-0901-dered.dr16,1.91429,21.2536
71,spec-11040-58456-0317-dered.dr16,1.907,18.55968
72,spec-5289-55893-0480-dered.dr16,1.90829,19.92861
73,spec-5811-56334-0139-dered.dr16,1.90998,23.08618
74,spec-5992-56066-0320-dered.dr16,1.90841,14.40646
75,spec-6623-56367-0121-dered.dr16,1.9042,16.31432
76,spec-7088-56657-0068-dered.dr16,1.907,21.37267
77,spec-7108-56686-0069-dered.dr16,1.90968,17.63754
78,spec-7629-56988-0018-dered.dr16,1.90996,18.63976
79,spec-7660-57357-0278-dered.dr16,1.908003,13.55712
80,spec-8822-58167-0348-dered.dr16,1.9075,13.55732
81,spec-7616-56902-0364-dered.dr16,1.91304,24.1359
82,spec-8208-57430-0769-dered.dr16,1.9078,18.38469
83,spec-5439-56045-0250-dered.dr16,1.90618,20.34068
84,spec-6491-56337-0210-dered.dr16,1.909628,19.42003
85,spec-7059-56592-0776-dered.dr16,1.90428,19.38366
86,spec-7696-57655-0835-dered.dr16,1.908,20.86646
87,spec-8500-57432-0800-dered.dr16,1.9115,21.58291
88,spec-9549-57807-0478-dered.dr16,1.9083,12.30335
89,spec-5202-55824-0174-dered.dr16,1.90927,16.12446
90,spec-5996-56096-0608-dered.dr16,1.90907,25.54516
91,spec-6202-56266-0584-dered.dr16,1.907506,43.0472
92,spec-6427-56328-0110-dered.dr16,1.91505,12.66113
93,spec-6986-56717-0170-dered.dr16,1.91037,11.89153
94,spec-7088-56657-0588-dered.dr16,1.91188,13.67434
95,spec-8857-57449-0410-dered.dr16,1.91326,16.17627
96,spec-9606-58103-0149-dered.dr16,1.9092,23.71033
97,spec-9329-57688-0257-dered.dr16,1.9094,25.03324
98,spec-10232-58223-0222-dered.dr16,1.9097,13.83262
99,spec-7892-57333-0134-dered.dr16,1.91742,23.61623
100,spec-8504-57518-0098-dered.dr16,1.9099,17.68532
101,spec-11085-58462-0573-dered.dr16,1.91,16.15208
102,spec-5204-56036-0816-dered.dr16,1.90663,31.33261
103,spec-5360-55983-0014-dered.dr16,1.91136,21.10499
104,spec-5397-55944-0352-dered.dr16,1.908409,16.78625
105,spec-5890-56037-0394-dered.dr16,1.91124,15.43742
106,spec-5894-56039-0220-dered.dr16,1.91767,27.43925
107,spec-5900-56043-0250-dered.dr16,1.91029,20.35825
108,spec-6017-56075-0590-dered.dr16,1.91329,18.6091
109,spec-6406-56330-0854-dered.dr16,1.91302,16.90803
110,spec-6429-56274-0236-dered.dr16,1.91573,12.82956
111,spec-6833-56413-0278-dered.dr16,1.90747,29.54184
112,spec-7565-56809-0200-dered.dr16,1.91,22.11979
113,spec-8490-57104-0424-dered.dr16,1.91,28.03138
114,spec-10467-58138-0567-dered.dr16,1.9101,16.41016
115,spec-10449-58137-0887-dered.dr16,1.9104,13.43921
116,spec-8743-57663-0458-dered.dr16,1.9105,27.38328
117,spec-9143-57665-0035-dered.dr16,1.9106,20.32734
118,spec-7915-57309-0358-dered.dr16,1.91586,14.76672
119,spec-7906-57333-0305-dered.dr16,1.91539,15.7732
120,spec-5200-56091-0107-dered.dr16,1.91139,15.55754
121,spec-5480-56001-0920-dered.dr16,1.91182,16.53866
122,spec-6644-56384-0409-dered.dr16,1.9151,18.40858
123,spec-6737-56365-0860-dered.dr16,1.91102,19.97517
124,spec-7842-56899-0718-dered.dr16,1.91128,20.74003
125,spec-9405-58048-0552-dered.dr16,1.9112,16.68049
126,spec-10938-58514-0582-dered.dr16,1.9114,18.50229
127,spec-7679-57367-0342-dered.dr16,1.91798,22.89444
128,spec-8379-57787-0065-dered.dr16,1.9119,14.33691
129,spec-5339-55922-0676-dered.dr16,1.91668,30.45133
130,spec-5396-55947-1000-dered.dr16,1.912,30.05929
131,spec-5974-56314-0518-dered.dr16,1.91251,20.45921
132,spec-5977-56098-0276-dered.dr16,1.91481,23.86451
133,spec-6040-56101-0884-dered.dr16,1.91513,14.15483
134,spec-6492-56362-0738-dered.dr16,1.91974,18.15277
135,spec-7729-58135-0732-dered.dr16,1.9121,19.80444
136,spec-7633-56931-0960-dered.dr16,1.91721,15.35069
137,spec-8371-57786-0265-dered.dr16,1.9126,15.19113
138,spec-9590-57813-0295-dered.dr16,1.9129,26.94338
139,spec-4468-55894-0786-dered.dr16,1.91227,29.83013
140,spec-4835-56016-0460-dered.dr16,1.913,16.70602
141,spec-5203-56034-0346-dered.dr16,1.91276,21.46691
142,spec-5377-55957-0558-dered.dr16,1.913,24.64495
143,spec-5782-56272-0604-dered.dr16,1.915514,21.56313
