NORM SPECTRA FILE NAME,SDSSJ Name,zem(z_PCA_SDSS),SDSS SNR,BI,,vmin,,vmax,,BI_individual,EW_individual,Depth
spec-10431-58137-0135-dered.dr16,J085117.41+301838.7,1.917139688,13.83831,36.03,,-37190.96072,,-40381.02541,,36.03,172.42,0.25
spec-5187-56074-0092-dered.dr16,J165542.60+381338.3,1.932617325,25.697,627.64,,-36372.1932,,-45583.97917,,627.64,846.86,0.26
spec-7597-56973-0699-dered.dr16,J235137.18+232135.3,1.97478523,14.27573,764.13,,-37001.1429,,-44858.79989,,764.13,1058.18,0.49
spec-5454-56015-0104-dered.dr16,J141415.41+163915.0,1.99838991,11.61473,109.92,,-38231.52113,,-41554.03618,,109.92,508.35,0.45
spec-5778-56328-0973-dered.dr16,J091247.35+254646.2,2.00722398,14.83106,139.64,,-37801.00908,-45517.89704,-49018.13831,-40582.83489,"41.99, 97.66","101.74, 200.22","0.25, 0.27"
spec-6621-56366-0502-dered.dr16,J125924.28+445105.0,2.027446186,19.72603,77.34,,-34514.3775,,-38051.42022,,77.34,176.22,0.26
spec-11634-58484-0334-dered.dr16,J223829.73+312303.0,2.059135959,11.89765,120.84,,-43801.36768,,-47913.53964,,120.84,313.37,0.34
spec-5391-56000-0254-dered.dr16,J120821.01+090130.4,2.078218434,28.13357,173.39,,-32642.49693,,-38223.64705,,173.39,212.2,0.23
spec-7861-57281-0472-dered.dr16,J011620.41+014410.7,2.082299891,11.82054,123.17,,-33308.39392,,-37936.13229,,123.17,365.95,0.34
spec-5807-56329-0778-dered.dr16,J093208.77+314328.0,2.06812604,29.7898,15.15,,-40942.38329,,-43378.17873,,15.15,107.11,0.17
spec-5212-56016-0348-dered.dr16,J162122.54+075808.4,2.133801832,23.86843,113.64,,-35942.09495,,-38728.30842,,113.64,454.34,0.36
spec-6674-56416-0693-dered.dr16,J123615.42+515917.9,2.147157996,11.377,1071.07,,-39520.62114," -42906.95074, -45607.92612, -55932.36379",-58459.93088,"-42433.5309,  -45338.09111, -50919.75614 ","287.94, 57.09, 712.61, 13.43","595.69, 358.15, 934.77, 109.01","0.52, 0.51, 0.68, 0.39"
spec-5372-55978-0916-dered.dr16,J113347.81+121255.2,2.136843382,10.01865,1524.57,,-39565.65096,,-54442.87357,,1524.57,1593.86,0.45
spec-5356-55979-0586-dered.dr16,J105329.83+113248.2,2.209931385,13.247,85.39,,-35046.31101,,-38310.11327,,85.39,192.78,0.28
spec-7148-56591-0664-dered.dr16,J000423.02-060411.9,2.235137737,13.23612,205.35,,-46144.05803,,-49440.49899,,205.35,291.08,0.52
spec-7678-57282-0598-dered.dr16,J010013.15+241123.2,2.255301122,11.63167,993.03,,-32620.17482,-38337.26497,-45982.82829,-38065.57254,"613.8, 379.22","743.68, 577.32","0.39, 0.35"
spec-6674-56416-0964-dered.dr16,J124518.57+515538.2,2.280196705,12.69295,276.6,,-35671.57013,,-40290.12036,,276.6,422.05,0.32
spec-5809-56353-0704-dered.dr16,J090833.41+325434.6,2.304987146,14.85248,53.09,,-37854.11438,,-40839.09867,,53.09,240.6,0.35
spec-8524-57656-0969-dered.dr16,J163514.75+415230.2,2.308140938,19.09821,151.06,,-36825.8292,,-41304.49228,,151.06,327.55,0.28
spec-4538-55860-0660-dered.dr16,J002107.48+090626.6,2.308770872,12.4685,9.94,,-40679.78385,,-43319.0206,,9.94,113.95,0.36
spec-4663-55893-0248-dered.dr16,J010447.39+101031.6,2.361478247,22.08493,125.73,,-33637.26727,,-37176.62098,,125.73,242.05,0.3
spec-4419-55867-0178-dered.dr16,J004300.26+045718.6,2.376538074,16.88509,271.57,,-35496.14147,,-39572.99625,,271.57,550.22,0.4
spec-6318-56186-0342-dered.dr16,J164002.13+472954.9,2.372668834,14.45799,16.67,,-32773.03768,,-35498.38751,,16.67,195.83,0.28
spec-6257-56274-0490-dered.dr16,J005053.61+300548.4,2.369501045,17.30719,76.16,,-46692.48316,,-50053.96362,,76.16,229.32,0.31
spec-6806-56419-0302-dered.dr16,J144412.36+582636.9,2.349587262,13.7273,886.1,,-43521.45824,,-51328.03256,,886.1,964.35,0.52
spec-6976-56448-0440-dered.dr16,J160852.73+584513.5,2.378862459,17.78099,84.92,,-34993.046,,-38392.71574,,84.92,417.54,0.53
spec-6729-56419-0322-dered.dr16,J153734.66+470442.0,2.366437234,18.60493,707.32,,-36118.11684,,-42427.50537,,707.32,863.23,0.69
spec-6138-56598-0754-dered.dr16,J234448.62+165312.2,2.387059947,24.77012,35.38,,-39737.01677,,-42040.43076,,35.38,204.18,0.5
spec-6754-56414-0240-dered.dr16,J131831.10+502759.6,2.381465577,12.28429,547.03,,-39737.01677,-44338.78687,-49322.19269,-42243.39851,"54.64, 492.39","195.35, 697.99","0.43, 0.51"
spec-5039-56220-0625-dered.dr16,J224120.02+164100.8,2.380651092,23.08663,73.57,,-36857.85529,,-40116.74668,,73.57,257.98,0.3
spec-5486-56030-0078-dered.dr16,J151543.98+143444.8,2.415856395,13.20276,370.19,,-34135.12971,,-40523.01356,,370.19,489.84,0.35
spec-5427-56001-0204-dered.dr16,J132241.02+111202.3,2.417443925,18.84151,72.06,,-45434.24122,,-49002.01878,,72.06,373.12,0.36
spec-5745-55998-0657-dered.dr16,J100614.42+340856.6,2.459936983,12.33595,214.84,,-34768.20243,,-39118.95992,,214.84,343.89,0.36
spec-5998-56087-0294-dered.dr16,J133739.05+222129.2,2.536637834,14.16405,176.112,,-35508.79454,,-39042.68985,,176.12,342.8,0.45
spec-6640-56385-0896-dered.dr16,J122325.29+470445.0,2.487972036,10.21153,2036.67,,-34752.88289,,-45732.91221,,2036.67,2211.08,0.58
spec-5430-56000-0964-dered.dr16,J133106.02+103604.2,2.528372937,11.41741,2333.42,,-38673.96819,-54500.09125,-58162.6625,-51959.71884,"2157.35, 176.07","2611.05, 396.81","0.62, 0.49"
spec-6969-56420-0959-dered.dr16,J121843.14+600543.8,2.636628848,12.49892,130.3,,-41547.45875,-52253.20164,-55059.57682,-44657.16609,"108.55, 21.75","430.65, 71.95","0.46, 0.24"
spec-5338-56002-0157-dered.dr16,J102327.38+122405.4,2.555306813,14.23778,55.97,,-56577.32957,,-59102.93196,,55.97,330.3,0.33
spec-9345-57713-0464-dered.dr16,J000022.93-022716.4,2.583245903,27.37706,65.62,,-41747.61577,-52183.44712,-54189.16625,-44721.72271,"59.13, 6.49","209.54, 96.69","0.25, 0.38"
spec-6313-56460-0295-dered.dr16,J162349.61+505501.1,2.596711678,22.95622,35.08,,-46745.26592,,-49233.92631,,35.08,179.87,0.26
spec-11277-58450-0622-dered.dr16,J235818.74+092038.1,2.627166156,23.2907,310.72,,-37686.95465,-45472.1019,-47896.98798,-42567.92729,"295.1, 15.63","569.28, 56.53","0.37, 0.19"
spec-7391-56781-0721-dered.dr16,J104241.00+462720.6,2.613211424,24.88217,683.35,,-34480.84608,,-43911.17242,,683.35,1017.48,0.45
spec-5494-55857-0549-dered.dr16,J075916.12+092743.0,2.611293812,27.59846,39.68,,-37404.92935,,-40187.82348,,39.68,203.24,0.26
spec-7701-57356-0794-dered.dr16,J232919.28+271959.3,2.687225798,20.06602,3635.69,,-32027.28916,,-50240.59287,,3635.69,3783.66,0.78
spec-8205-58143-0500-dered.dr16,J132039.58+544247.7,2.689717665,15.09881,68.83,,-35139.21644,,-38538.57578,,68.83,577.09,0.5
spec-7089-56661-0060-dered.dr16,J103800.50+582343.0,2.681432993,20.75997,924.42,,-34296.77175,,-43931.17663,,924.42,1148.07,0.48
spec-6199-56220-0264-dered.dr16,J004659.89+180739.6,2.770490384,24.14983,2207.49,,-31693.4921,,-42905.6779,,2207.49,2408.15,0.44
spec-5394-56001-0990-dered.dr16,J121815.59+114551.8,2.839510368,26.02273,135.33,,-45632.67722,,-49535.4367,,135.33,257.27,0.28
spec-6670-56389-0168-dered.dr16,J123830.71+480003.4,2.823469068,27.76658,218.7,,-30867.57694,,-34618.91843,,218.7,598.21,0.4
spec-8507-57878-0108-dered.dr16,J154925.34+461115.7,2.842137464,13.61217,58.66,,-32792.59559,,-35722.15947,,58.66,247.93,0.33
spec-8839-57846-0634-dered.dr16,J131405.50+384141.9,2.829643354,14.0669,4593.21,,-30130.97157,-35382.68728,-58068.35267,-32657.09794,"18.82, 4574.39","307.54, 4650.99","0.32, 0.57"
spec-7694-57359-0006-dered.dr16,J002238.35+273533.2,2.834140734,16.13597,125.05,,-33922.71962,,-37325.34785,,125.05,264.83,0.33
spec-5896-56047-0658-dered.dr16,J140958.02+220206.0,2.885945703,17.72636,1303.59,,-33503.91814,,-43888.19979,,1303.59,1497.62,0.39
spec-8381-57512-0320-dered.dr16,J115023.49+414333.9,2.893716767,17.58276,3042.44,,-29953.32707,-49343.14298,-53296.43763,-43414.12085,"2860.12, 182.32","3333.26, 338.26","0.53, 0.33"
spec-6182-56190-0657-dered.dr16,J235954.02+112618.4,2.972586192,17.26976,27.53,,-33434.85851,,-35682.5159,,27.53,409.55,0.58
spec-9312-57784-0360-dered.dr16,J025334.18-031812.7,2.976464666,15.45078,2294.81,,-29948.98694,-54361.22219,-59219.35944,-40906.35536,"1618.28, 676.53","2033.69, 944.67","0.51, 0.45"
spec-5465-55988-0798-dered.dr16,J143212.86+113953.1,2.995842783,19.44058,2160.64,,-31602.50585,-54975.68178,-57373.3975,-42409.65116,"2145.16, 15.48","2440.57, 145.36","0.64, 0.28"
spec-5320-55999-0336-dered.dr16,J094734.19+142116.9,3.030705537,39.49401,23.74,,-45872.34712,,-48363.15782,,23.74,127.05,0.22
spec-6422-56328-0988-dered.dr16,J114851.46+231340.4,3.060731415,35.73123,1219.18,,-29959.04622,-55171.57151,-58366.20417,-40983.90523,"1146.72, 72.46","1349.49, 109.87","0.45, 0.32"
spec-5476-55986-0599-dered.dr16,J144844.69+092834.2,3.148263296,14.28691,789.95,,-33855.64745,,-41938.35759,,789.95,970.12,0.37
spec-8374-57783-0919-dered.dr16,J123815.03+443026.2,3.317957498,27.68614,281.92,,-34931.53804,-42398.22067,-45842.43511,-38942.5305,"215.47, 66.45","457.82, 418.64","0.4, 0.9"
spec-5174-56047-0344-dered.dr16,J144911.37+370734.0,3.571629536,11.74977,1304.93,,-34305.92351,,-41844.23204,,1304.93,1505.88,0.72
spec-5415-55982-0013-dered.dr16,J130236.17+095831.8,2.07092575,17.12489,1875.99,,-32377.56019,,-41283.17311,,1875.99,2196,0.58
spec-6442-56369-0246-dered.dr16,J110018.52+314122.5,2.082762127,19.96256,626.96,,-35211.77696,,-41796.97003,,626.96,755.04,0.41
spec-9142-57664-0368-dered.dr16,J213651.21-014528.3,2.110284577,18.14468,221.17,,-37016.1537,,-41494.0043,,221.17,329.27,0.3
spec-7673-57329-0103-dered.dr16,J004911.12+252207.8,2.18103027,12.4311,6836.36,,-35433.08026,,-53519.71089,,6836.36,7651.83,0.83
spec-7667-57580-0430-dered.dr16,J234150.71+244411.1,2.327163181,14.58467,125.73,,-46428.47809,,-50193.72642,,125.73,301.02,0.31
spec-7098-56661-0163-dered.dr16,J115746.31+585003.8,2.290782713,12.36483,822.98,,-35971.23212,,-43971.42186,,822.98,1137.94,0.45
spec-11395-58488-0418-dered.dr16,J122158.76+300657.2,2.355390336,11.11326,3307.61,,-29933.35948,,-47777.46782,,3307.61,3516.79,0.58
spec-7083-56722-0348-dered.dr16,J102908.60+651815.3,2.360482859,15.86764,388.86,,-29993.57531,"-38712.72092, -55938.5316",-58864.51202,"-35994.45751, -42169.15121","192.84, 108.94, 87.08","361.28, 212.75, 270.66","0.29, 0.28, 0.32"
spec-6727-56369-0773-dered.dr16,J151123.30+495101.2,2.368976533,21.84989,1873.87,,-36027.68514,-54103.61444,-58299.57256,-48743.76912,"1794.58, 79.29","1896.77, 150.75","0.5, 0.25"
