# 	Wavelength	 Divided_Spectra	 Divided_Error
1.000176177917946688e+03 1.094695419389143387e+00 2.118965192103574868e-01
1.000406187977488344e+03 1.069339867482841377e+00 1.987599311554388293e-01
1.000637013675539038e+03 1.600314075277534220e+00 4.090869654521043786e-01
1.000867295614583554e+03 1.666606545216795743e+00 4.917623187664966755e-01
1.001097305674125209e+03 1.182263741626983000e+00 3.005080313789810775e-01
1.001328403251678765e+03 2.449313729446238153e+00 1.403112239980444764e+00
1.001558685190723509e+03 2.109887168515264477e+00 1.371650106852353446e+00
1.001789510888773975e+03 7.621775116778573000e-01 2.040598125329195212e-01
1.002020064707321694e+03 8.879383325761570633e-01 2.211153848643461761e-01
1.002251162284875363e+03 1.012317915010352953e+00 2.531256465677692580e-01
1.002481716103422968e+03 1.112689318807106531e+00 2.625994026055549213e-01
1.002712813680976524e+03 1.893686089251500393e+00 5.825593928306883607e-01
1.002943639379027218e+03 1.457529411550831044e+00 3.696168282952392858e-01
1.003174193197574823e+03 1.498216042611279608e+00 4.000118539049112854e-01
1.003405562654631467e+03 1.063284418553758659e+00 2.163636772777003392e-01
1.003636388352682047e+03 9.963113132303406116e-01 1.878049811160703852e-01
1.003867757809738691e+03 1.088039325155025994e+00 2.129934017913818756e-01
1.004098855387292247e+03 8.599465745560103125e-01 1.390204809305310152e-01
1.004330224844349004e+03 1.327251427803796568e+00 2.678270265479273937e-01
1.004561322421902560e+03 1.662273436611324540e+00 3.855679589434345411e-01
1.004792419999456115e+03 1.384160473130395363e+00 2.821975692022677396e-01
1.005024061336015848e+03 1.003009868212779709e+00 1.736446863232084248e-01
1.005255430793072378e+03 1.048278638203395063e+00 1.938767315275578274e-01
1.005487072129632111e+03 1.796956744044371446e+00 6.094524182929393907e-01
1.005718441586688641e+03 1.031918626744179113e+00 2.392054866509367439e-01
1.005950354802751349e+03 1.212500093269889057e+00 3.096321363978770114e-01
1.006181724259807993e+03 1.068440100567137785e+00 2.474692142049286780e-01
1.006413365596367612e+03 9.707207950150678055e-01 2.015037752645910674e-01
1.006645278812430320e+03 1.172479588745568346e+00 2.664241033838888884e-01
1.006876920148989825e+03 1.051717306506726457e+00 2.212274163725829745e-01
1.007109105244555622e+03 7.048183817689116504e-01 1.045682342508353069e-01
1.007340746581115241e+03 8.776751554829158586e-01 1.437955134081322361e-01
1.007573203556183785e+03 7.814316256126372373e-01 1.156541688933863388e-01
1.007804844892743404e+03 7.691359368175003652e-01 1.059782671394663006e-01
1.008036758108806112e+03 9.878311353698976394e-01 1.601290152769093700e-01
1.008269215083874769e+03 1.046048385114893842e+00 1.676658684747474037e-01
1.008501128299937363e+03 1.001510286703905850e+00 1.625956981533845380e-01
1.008733585275006021e+03 8.047977713567437963e-01 1.199013001287867752e-01
1.008965770370571818e+03 9.003918596901918647e-01 1.480645415882417271e-01
1.009198499225143337e+03 1.011932426596582113e+00 1.913372860356243044e-01
1.009430684320709020e+03 8.912299707214338396e-01 1.916360356525165787e-01
1.009662869416274702e+03 2.115082356735072278e+00 1.031017699185080572e+00
1.009895598270846222e+03 2.104683425953531195e+00 9.679005068508822474e-01
1.010128055245914879e+03 5.120130862973057972e+00 5.916018275770833057e+00
1.010360784100486626e+03 7.824989310023423572e-01 1.680009790743225706e-01
1.010593241075555284e+03 6.283520157532016537e-01 9.807698416408387743e-02
1.010826241809630005e+03 8.370155599216521081e-01 1.569536718781918694e-01
1.011058970664201524e+03 7.878042999671001079e-01 1.444005443668602562e-01
1.011291427639270182e+03 8.420632043463768257e-01 1.724110178385688530e-01
1.011524700252847879e+03 3.288322373585553571e+00 2.355651166871095548e+00
1.011757429107419512e+03 1.635654370369485466e+00 6.341782510103209924e-01
1.011990701720997208e+03 7.546582708049005550e-01 1.595754441869964846e-01
1.012223430575568955e+03 6.615862398382043041e-01 1.100073664033698884e-01
1.012456975068649513e+03 6.600537757081508250e-01 9.137072354511446837e-02
1.012689975802724234e+03 1.076391560152284432e+00 1.867839193880806437e-01
1.012922976536798842e+03 1.016458294752068392e+00 1.566460700714213672e-01
1.013156249150376425e+03 1.048615077956915886e+00 1.636614156766036665e-01
1.013389521763954122e+03 9.479045373018691878e-01 1.373463212731084460e-01
1.013623066257034793e+03 8.020165056706415330e-01 1.049734627701953832e-01
1.013856338870612490e+03 8.732916482081334308e-01 1.193622377085093861e-01
1.014090155243196250e+03 8.495400562991466398e-01 1.094285570464627877e-01
1.014323427856773833e+03 8.836733843439983360e-01 1.200044021270005173e-01
1.014556700470351529e+03 1.010824661648336731e+00 1.650569146342392712e-01
1.014790788722438151e+03 1.188036316850105356e+00 2.327908779962910568e-01
1.015024061336015848e+03 9.466426961678029439e-01 1.737914956096038577e-01
1.015258149588102469e+03 7.088312844313976457e-01 1.141720530085897772e-01
1.015491694081183141e+03 1.015636148183974186e+00 2.286515668819722180e-01
1.015726054212772851e+03 7.482611499608892158e-01 1.377897108279368399e-01
1.015959598705853523e+03 1.053340683133798583e+00 2.625191466829105424e-01
1.016193415078437170e+03 1.072087429935394187e+00 2.784817801802662585e-01
1.016427775210026880e+03 6.465595822332647069e-01 1.253257776229369236e-01
1.016661591582610527e+03 1.006217856814506817e+00 2.404494153947706603e-01
1.016895951714200237e+03 1.062086486948146336e+00 2.466952199137540380e-01
1.017129768086783884e+03 8.088211990331712897e-01 1.406709479301483934e-01
1.017364400097876569e+03 6.431452747776756906e-01 8.409372789468892717e-02
1.017598488349963304e+03 7.288043772797775377e-01 9.396890528449579338e-02
1.017832576602049926e+03 1.126577528133102302e+00 1.883653796679671255e-01
1.018067208613142611e+03 1.289219389246758718e+00 2.177192547258581246e-01
1.018301568744732322e+03 1.016254630445168505e+00 1.420671527872764961e-01
1.018536472635327982e+03 9.375849416608262876e-01 1.278030294951312540e-01
1.018770560887414604e+03 9.056879352904532166e-01 1.241298079255152842e-01
1.019005464778010264e+03 8.950263195563424867e-01 1.207309525006400319e-01
1.019240096789103063e+03 9.234947926441278154e-01 1.298284636631522326e-01
1.019474456920692660e+03 9.485258474710447363e-01 1.395995973545372526e-01
1.019709632690791409e+03 7.920120813927656878e-01 1.032471976273115072e-01
1.019944264701884094e+03 9.928509457242520320e-01 1.418776084180557451e-01
1.020179440471982844e+03 1.038605944743631104e+00 1.479287477790124095e-01
1.020414072483075415e+03 8.351859708283635442e-01 1.016229173717630441e-01
1.020649248253174164e+03 7.217066924399574424e-01 8.318111601200227356e-02
1.020884152143769938e+03 7.814765608317816303e-01 9.925203719037582750e-02
1.021119599793371549e+03 7.489968743675778917e-01 9.127482595682077926e-02
1.021354503683967209e+03 1.100631009864248888e+00 1.718762579203887420e-01
1.021589407574562870e+03 8.822672587299704716e-01 1.203670231321982559e-01
1.021825127103667569e+03 9.173836084241361322e-01 1.296954236300154883e-01
1.022060030994263343e+03 1.325836912479164909e+00 2.595647658953699755e-01
1.022295750523368042e+03 7.436421966649672255e-01 9.284321675847218014e-02
1.022530926293466678e+03 8.492340197758756482e-01 1.158464459417424541e-01
1.022766645822571490e+03 8.236489788191008188e-01 1.080978020855937471e-01
1.023002093472173101e+03 8.231020079767306097e-01 1.018955133259031864e-01
1.023237269242271736e+03 9.584882105066435676e-01 1.205251670378612999e-01
1.023473260650879411e+03 1.051073109218073398e+00 1.418236761197655960e-01
1.023708708300481135e+03 9.421893784431344399e-01 1.191642828321454323e-01
1.023944699709088809e+03 8.973610284174569074e-01 1.056305081907866761e-01
1.024180419238193508e+03 8.037690892452843405e-01 9.187326905912077124e-02
1.024416410646801296e+03 1.111051251462355172e+00 1.710054814927801370e-01
1.024652130175905995e+03 1.187132672316689064e+00 1.856570603979054435e-01
1.024887849705010694e+03 8.254115257512552040e-01 9.669171171637289119e-02
1.025124384872624432e+03 9.884280808460900181e-01 1.322301467830989119e-01
1.025360104401729131e+03 1.075172340120815750e+00 1.544313887427203325e-01
1.025596639569342869e+03 9.880870872460156829e-01 1.353199809903044559e-01
1.025832630977950430e+03 9.100568455863233819e-01 1.215286112190635953e-01
1.026068894266061307e+03 8.920145888708617132e-01 1.190530202321039288e-01
1.026305157554171956e+03 9.169479358386422030e-01 1.294328212448453419e-01
1.026541148962779744e+03 1.049514421629503591e+00 1.529152223428068280e-01
1.026777956009896343e+03 1.077067932638667402e+00 1.596244027144129995e-01
1.027013947418504131e+03 8.450095443385557958e-01 1.086527391652652025e-01
1.027251026345123819e+03 7.269184830282121590e-01 8.640454934696337186e-02
1.027487289633234468e+03 8.813219841282665667e-01 1.160761281279064916e-01
1.027724096680351295e+03 1.204511384244472572e+00 1.989492824766035395e-01
1.027960631847965033e+03 9.774200115180472492e-01 1.394438367771493326e-01
1.028197167015578543e+03 7.284039109704679715e-01 8.653325154703143951e-02
1.028434245942198459e+03 8.095132625345101696e-01 1.016549681263738958e-01
1.028670781109812197e+03 6.890599474126450907e-01 7.448845881307181171e-02
1.028908131915934746e+03 7.106268149521550725e-01 7.617122741653301055e-02
1.029144667083548484e+03 9.204628527053116960e-01 1.126870843722917737e-01
1.029382017889671260e+03 8.093864990917578606e-01 9.186657078693269418e-02
1.029618824936788087e+03 8.208046500120382838e-01 9.347924577281666036e-02
1.029855631983904686e+03 7.640884319214064080e-01 8.340126657818414113e-02
1.030093254669530552e+03 8.736173756759952891e-01 1.023888887466426895e-01
1.030330061716647151e+03 8.521613570055280862e-01 9.989203123713351340e-02
1.030567684402272789e+03 7.540801746741585543e-01 8.132936028628619252e-02
1.030804763328892477e+03 8.402052408432005848e-01 1.005112442373145704e-01
1.031042386014518343e+03 7.592494238297493592e-01 8.928554243336508933e-02
1.031279736820641119e+03 9.014509572458999642e-01 1.418071199710924657e-01
1.031516815747260807e+03 1.995702638191770850e+00 7.371778557670296550e-01
1.031754710312389534e+03 4.832660404879526084e+00 5.248776360586843381e+00
1.031992061118512311e+03 1.755245416468220965e+00 1.018552367155096672e+00
1.032230227563144126e+03 1.836025958632527821e+00 1.169935565600846994e+00
1.032467578369266676e+03 7.778095022826465588e-01 1.744921749388011478e-01
1.032705744813898491e+03 6.422012782521374641e-01 9.493332888738886810e-02
1.032943367499524129e+03 6.178979557640404963e-01 7.430818404561935486e-02
1.033180990185149994e+03 6.085860510456817529e-01 6.275335519469145418e-02
1.033419156629781583e+03 6.052530694993275562e-01 6.133909050701191051e-02
1.033656779315407448e+03 9.336852109101165809e-01 1.251534758181648832e-01
1.033895217639542125e+03 8.729635427792261648e-01 1.102204636842085833e-01
1.034133112204670851e+03 1.034093094709449989e+00 1.477980037323228246e-01
1.034371550528805528e+03 1.015368317941226728e+00 1.356762841763675120e-01
1.034609445093934255e+03 1.111891985355194290e+00 1.427918665343020921e-01
1.034847611538566071e+03 1.379902700446230979e+00 2.097747228822659238e-01
1.035086049862700747e+03 1.199755553064373315e+00 1.651615995271550341e-01
1.035324216307332563e+03 7.676465045818643418e-01 7.684214322650285978e-02
1.035562926510970328e+03 7.869924778870378557e-01 8.002681704600593526e-02
1.035801364835105005e+03 7.881138678518229135e-01 7.848040885053611526e-02
1.036040075038742771e+03 7.122404237786350567e-01 6.660437119535428385e-02
1.036278513362877447e+03 7.401319328323099356e-01 6.883729740745449244e-02
1.036516951687012352e+03 9.841733889557505721e-01 1.073232161112450816e-01
1.036755933770152978e+03 1.017796859281615340e+00 1.152898999893025855e-01
1.036994372094287655e+03 9.441225221365512343e-01 9.924355936093701147e-02
1.037233354177428510e+03 9.834046579674375899e-01 1.029376675159768273e-01
