SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF,NEEDS RECALCULATION,Masked Regions
1,spec-10431-58137-0135-dered.dr16,spec-10431-58137-0135norm.dr16,1.914,13.83831,18.46092,13227.50422,-0.8109277,N,[]
2,spec-10728-58248-0740-dered.dr16,spec-10728-58248-0740norm.dr16,2.035,10.30836,12.45915,357.0119765,-0.47693834,N,[]
3,spec-11277-58450-0622-dered.dr16,spec-11277-58450-0622norm.dr16,2.6276,23.2907,25.41373,40.43199725,-0.089803951,Y,"[[(-40000.0, -39800.0)], [(-47030.0, -46810.0), (-48000.0, -47750.0)]]"
4,spec-11395-58488-0418-dered.dr16,spec-11395-58488-0418norm.dr16,2.3577,11.11326,14.26299,7.815536195,-0.024502731,Y,"[(-46000.0, -45500.0)]"
5,spec-11634-58484-0334-dered.dr16,spec-11634-58484-0334norm.dr16,2.0461,11.89765,17.33883,6960.779256,-0.729374819,N,[nan]
6,spec-4419-55867-0178-dered.dr16,spec-4419-55867-0178norm.dr16,2.362,16.88509,18.15828,46.95636628,-0.149954805,N,[]
7,spec-4485-55836-0092-dered.dr16,spec-4485-55836-0092norm.dr16,2.861,13.44172,13.08521,0.001068381,0.982621142,Y,"[[(-31900.0, -31330.0)]]"
8,spec-4538-55860-0660-dered.dr16,spec-4538-55860-0660norm.dr16,2.323,12.4685,13.37625,231.1421436,-0.427903852,Y,"[(-41650.0, -41400.0), (-42650.0, -42500.0)]"
9,spec-4663-55893-0248-dered.dr16,spec-4663-55893-0248norm.dr16,2.361,22.08493,21.63305,10195.76644,-0.749773756,N,[nan]
10,spec-4663-55893-0854-dered.dr16,spec-4663-55893-0854norm.dr16,3.106,15.94493,13.52017,89459.60932,-1.045109342,Y,"[(-39349.0, -38849.0)]"
11,spec-5039-56220-0625-dered.dr16,spec-5039-56220-0625norm.dr16,2.408,23.08663,23.49805,4354.866665,-0.643649826,N,[nan]
12,spec-5144-55829-0475-dered.dr16,spec-5144-55829-0475norm.dr16,2.548,24.11456,20.90533,121010.1372,-1.033865907,Y,"[(-31980.0, -31650.0), (-33500.0, -33000.0), (-33950.0, -33550.0), (-36980.0, -36550.0), (-39400.0, -38900.0), (-41206.0, -40800.0)]"
13,spec-5174-56047-0344-dered.dr16,spec-5174-56047-0344norm.dr16,3.583,11.74977,10.17009,0.005762067,0.783413251,Y,"[(-38950.0, -37900.0)]"
14,spec-5179-55957-0836-dered.dr16,spec-5179-55957-0836norm.dr16,2.495,18.8045,18.2289,13.37796399,-0.004496367,N,[nan]
15,spec-5187-56074-0092-dered.dr16,spec-5187-56074-0092norm.dr16,1.945,25.697,35.5062,4728187.733,-1.332158616,N,[nan]
16,spec-5212-56016-0348-dered.dr16,spec-5212-56016-0348norm.dr16,2.138,23.86843,27.72645,3772.440566,-0.602807758,N,[nan]
17,spec-5288-55865-0958-dered.dr16,spec-5288-55865-0958norm.dr16,3.204,20.35903,16.79357,15292.03324,-0.845505963,Y,"[(-39700.0, -39300.0)]"
18,spec-5320-55999-0336-dered.dr16,spec-5320-55999-0336norm.dr16,3.031,39.49401,37.88031,58874.37399,-0.844636797,N,[nan]
19,spec-5338-56002-0157-dered.dr16,spec-5338-56002-0157norm.dr16,2.585,14.23778,13.11698,2215079.444,-1.483638145,N,[nan]
