ehvo_SDSS_NAME,	ehvo_PLATE,	ehvo_MJD,	ehvo_FIBER,	ehvo_SPEC_NAME,	ehvo_ZEM,	ehvo_SNR
000022.93-022716.4,	9345,	57713,	0464,	spec-9345-57713-0464-dered.dr16,	2.61,	24.2946
000423.02-060411.9,	7148,	56591,	0664,	spec-7148-56591-0664-dered.dr16,	2.248,	11.89801
002107.48+090626.6,	4538,	55860,	0660,	spec-4538-55860-0660-dered.dr16,	2.323,	13.37625
002238.35+273533.2,	7694,	57359,	0006,	spec-7694-57359-0006-dered.dr16,	2.86,	15.36852
004300.26+045718.6,	4419,	55867,	0178,	spec-4419-55867-0178-dered.dr16,	2.362,	18.15828
004659.89+180739.6,	6199,	56220,	0264,	spec-6199-56220-0264-dered.dr16,	2.762,	25.16328
004911.12+252207.8,	7673,	57329,	0103,	spec-7673-57329-0103-dered.dr16,	2.21,	17.1123
005053.61+300548.4,	6257,	56274,	0490,	spec-6257-56274-0490-dered.dr16,	2.37,	13.35247
010013.15+241123.2,	7678,	57282,	0598,	spec-7678-57282-0598-dered.dr16,	2.250,	16.63723
010447.39+101031.6,	4663,	55893,	0248,	spec-4663-55893-0248-dered.dr16,	2.361,	21.63305
010645.66+114123.8,	4663,	55893,	0854,	spec-4663-55893-0854-dered.dr16,	3.106,	13.52017
011135.35+181826.1,	7622,	56987,	0113,	spec-7622-56987-0113-dered.dr16,	3.45,	20.37095
011620.41+014410.7,	7861,	57281,	0472,	spec-7861-57281-0472-dered.dr16,	2.084,	13.40981
025334.18-031812.7,	9312,	57784,	0360,	spec-9312-57784-0360-dered.dr16,	2.978,	15.13986
075138.04+191310.0,	4485,	55836,	0092,	spec-4485-55836-0092-dered.dr16,	2.861,	13.08521
075916.12+092743.0,	5494,	55857,	0549,	spec-5494-55857-0549-dered.dr16,	2.635,	22.82751
080020.91+452134.1,	6389,	56270,	0061,	spec-6389-56270-0061-dered.dr16,	2.752,	12.88835
085117.41+301838.7,	10431,	58137,	0135,	spec-10431-58137-0135-dered.dr16,	1.914,	18.46092
085119.10+134652.5,	5288,	55865,	0958,	spec-5288-55865-0958-dered.dr16,	3.204,	16.79357
085824.80+265903.0,	5179,	55957,	0836,	spec-5179-55957-0836-dered.dr16,	2.495,	18.2289
090833.41+325434.6,	5809,	56353,	0704,	spec-5809-56353-0704-dered.dr16,	2.308,	11.31122
091247.35+254646.2,	5778,	56328,	0973,	spec-5778-56328-0973-dered.dr16,	2.015,	19.98327
092619.69+591507.5,	5712,	56602,	0074,	spec-5712-56602-0074-dered.dr16,	1.94,	19.64569
093208.77+314328.0,	5807,	56329,	0778,	spec-5807-56329-0778-dered.dr16,	2.089,	35.65065
094734.19+142116.9,	5320,	55999,	0336,	spec-5320-55999-0336-dered.dr16,	3.031,	37.88031
100614.42+340856.6,	5745,	55998,	0657,	spec-5745-55998-0657-dered.dr16,	2.466,	12.95258
102327.38+122405.4,	5338,	56002,	0157,	spec-5338-56002-0157-dered.dr16,	2.585,	13.11698
102908.60+651815.3,	7083,	56722,	0348,	spec-7083-56722-0348-dered.dr16,	2.37,	18.96968
103119.22+294622.9,	6456,	56339,	0894,	spec-6456-56339-0894-dered.dr16,	3.194,	18.74569
103800.50+582343.0,	7089,	56661,	0060,	spec-7089-56661-0060-dered.dr16,	2.702,	16.48688
104121.11+334901.6,	6447,	56362,	0854,	spec-6447-56362-0854-dered.dr16,	4.121,	11.52635
104241.00+462720.6,	7391,	56781,	0721,	spec-7391-56781-0721-dered.dr16,	2.63,	26.41178
105329.83+113248.2,	5356,	55979,	0586,	spec-5356-55979-0586-dered.dr16,	2.231,	12.27479
105853.11+250552.9,	6412,	56358,	0454,	spec-6412-56358-0454-dered.dr16,	3.094,	10.00906
110018.52+314122.5,	6442,	56369,	0246,	spec-6442-56369-0246-dered.dr16,	2.093,	24.68855
112954.72+080935.5,	5374,	55947,	0608,	spec-5374-55947-0608-dered.dr16,	3.07,	19.99345
113050.17+124157.5,	5372,	55978,	0742,	spec-5372-55978-0742-dered.dr16,	2.382,	10.71974
113347.81+121255.2,	5372,	55978,	0916,	spec-5372-55978-0916-dered.dr16,	2.16,	13.53508
113439.19+290148.4,	6405,	56342,	0814,	spec-6405-56342-0814-dered.dr16,	3.195,	21.08894
114022.89+303547.3,	6433,	56339,	0278,	spec-6433-56339-0278-dered.dr16,	2.605,	10.12773
114851.46+231340.4,	6422,	56328,	0988,	spec-6422-56328-0988-dered.dr16,	3.083,	36.92491
115023.49+414333.9,	8381,	57512,	0320,	spec-8381-57512-0320-dered.dr16,	2.929,	19.55694
115746.31+585003.8,	7098,	56661,	0163,	spec-7098-56661-0163-dered.dr16,	2.335,	13.3841
120105.36+290352.1,	6402,	56334,	0966,	spec-6402-56334-0966-dered.dr16,	3.128,	18.40741
120821.01+090130.4,	5391,	56000,	0254,	spec-5391-56000-0254-dered.dr16,	2.079,	34.18243
121815.59+114551.8,	5394,	56001,	0990,	spec-5394-56001-0990-dered.dr16,	2.842,	24.19127
121843.14+600543.8,	6969,	56420,	0959,	spec-6969-56420-0959-dered.dr16,	2.572,	12.73586
122158.76+300657.2,	11395,	58488,	0418,	spec-11395-58488-0418-dered.dr16,	2.358,	14.26299
122325.29+470445.0,	6640,	56385,	0896,	spec-6640-56385-0896-dered.dr16,	2.549,	11.74678
123615.42+515917.9,	6674,	56416,	0693,	spec-6674-56416-0693-dered.dr16,	2.145,	17.60144
123815.03+443026.2,	8374,	57783,	0919,	spec-8374-57783-0919-dered.dr16,	3.3,	26.13533
123830.71+480003.4,	6670,	56389,	0168,	spec-6670-56389-0168-dered.dr16,	2.846,	24.36338
124518.57+515538.2,	6674,	56416,	0964,	spec-6674-56416-0964-dered.dr16,	2.295,	12.22923
125924.28+445105.0,	6621,	56366,	0502,	spec-6621-56366-0502-dered.dr16,	2.028,	25.52207
130236.17+095831.8,	5415,	55982,	0013,	spec-5415-55982-0013-dered.dr16,	2.072,	25.82628
131056.86+105530.1,	5421,	55980,	0918,	spec-5421-55980-0918-dered.dr16,	4.479,	11.01013
