SDSS file,SDSS norm file,SDSSJ name,zem(z_PCA_SDSS),zem_PH*,CIV_blue,CIV_EW,SNR,BI,vmin,vmax,BALQSO?,zem_Rankine,vmin_w_Rankine_z,vmax_w_Rankine_z,Δvmin,Δvmax
spec-3655-55240-0388.dr9,spec-3655-55240-0388norm.dr9,J071843.50+391720.3,2.6298$\pm$0.0006,...,1155.186616102850,39.373452697327500,16.0296,518.28,-38775.3486,-43452.0743,no,2.6303,-38815.9793,-43492.5284,-40.6307,-40.4541
spec-3735-55209-0532.dr9,spec-3735-55209-0532norm.dr9,J005922.65+000301.4,4.1822$\pm$0.0013,4.177$\pm$0.008,,,11.2461,203.8,-35303.0954,-38840.1906,no,,,,35303.0954,38840.1906
spec-3766-55213-0046.dr9,spec-3766-55213-0046norm.dr9,J092125.97-023411.9,2.8047$\pm$0.0005,...,1562.9750417788100,48.01099530520720,12.6629,509.12,-36897.5292,-43410.0408,no,2.791618,-35879.5974,-42398.0395,1017.9318,1012.0013
spec-3808-55513-0892.dr9,spec-3808-55513-0892norm.dr9,J083304.73+415331.3,2.3583$\pm$0.0008,2.329$\pm$0.007,5708.549103881320,7.809153858883550,11.9134,2414.42,-44824.6883,-59956.4888,no,2.35019,-46683.9349,-59993.3305,-1859.2466,-36.8417
spec-3815-55537-0910.dr9,spec-3815-55537-0910norm.dr9,J085825.71+005006.7,2.8684$\pm$0.0007,2.863$\pm$0.003,1317.3738429038200,39.5726053756683,13.0572,20.48,-35811.5025,-38124.518,no,2.86171,-35712.7284,-38025.934,98.7741,98.584
spec-3826-55563-0860.dr9,spec-3826-55563-0860norm.dr9,J094258.03+005359.5,2.4749 -1.0000,...,1984.1240645204800,26.431236838136300,14.5408,300.05,-36095.89,-39834.1414,no,2.46644,-35374.9952,-39115.5318,720.8948,718.6096
spec-3844-55321-0920.dr9,spec-3844-55321-0920norm.dr9,J120609.69+004522.6,2.6905$\pm$0.0006,2.691$\pm$0.003,4661.038755370240,11.408218380349400,28.0675,1385.2,"-31527.6448,-38545.2153,-53716.5752","-34052.9963,-47879.3877,-56186.6544",no,2.708162,"-32903.1079, -39912.9309, -55062.3467","-35425.8465, -49234.4428, -57528.181",,
spec-3861-55274-0582.dr9,spec-3861-55274-0582norm.dr9,J135203.03+333938.3,3.0742$\pm$0.0014,3.079$\pm$0.004,2236.4970265547100,14.489708568194600,12.8638,418.34,-36375.8904,-41401.5772,no,3.08246,-36626.491,-41651.0697,-250.6006,-249.4925
spec-3957-55664-0568.dr9,spec-3957-55664-0568norm.dr9,J150339.76+183423.9,2.1848$\pm$0.0003,2.184$\pm$0.002,4218.405530299900,16.568834787493200,21.9596,78.41,"-37477.5562, -47696.9172, -57005.4817","-39515.7552, -48908.1093, -59066.6654",no,2.1845,"-37523.927, -47742.8322, -57050.8863","-39562.0438, -48953.963, -59111.9448",,
spec-3968-55590-0464.dr9,spec-3968-55590-0464norm.dr9,J123056.28+345201.7,3.4913$\pm$0.0010,3.493$\pm$0.003,,,20.1324,1263.05,-36023.7377,-42947.238,no,,,,36023.7377,42947.238
