000154.90-004956.4  4216  55477  0166  -57200  -53700	100	200	0.20
001306.14+000431.8  4217  55478  0020  -57700  -54700	200	200	0.31
005922.65+000301.4  3735  55209  0532  -38100  -34600	200	300	0.28
012700.69-004559.1  4229  55501  0337  -42500  -37200	400	400	0.33	
014548.55-000812.5  4231  55444  0035  -40900  -32100	1400	1500	0.47	
071843.50+391720.3  3655  55240  0388  -43300  -39100	300	300	0.26  
073505.97+280327.0  4456  55537  0704  -48300  -36200 	400	450	0.27 
074711.14+273903.3  4452  55536  0214  -57800  -50100	800	900	0.34
075240.18+092523.0  4511  55602  0415  -47800  -38200 	300	330	0.24 
075852.68+133530.8  4506  55568  0824  -39600  -35500	200	200	0.23
081337.14+155705.4  4498  55615  0502  -50600  -45200	300	400	0.26
083304.73+415331.3  3808  55513  0892  -60000  -45200	2000	2100	0.41
085825.71+005006.7  3815  55537  0910  -37600  -35300 	20	50	0.21 
092125.97-023411.9  3766  55213  0046  -42300  -35800	500	600	0.38
094023.55+404703.2  4571  55629  0730  -48700  -41500	800	900	0.33
094258.03+005359.5  3826  55563  0860  -38700  -35000	300	500	0.40
095005.90+362455.2  4573  55587  0698  -39700  -35500	500	600	0.34
095254.10+021932.8  4743  55645  0118  -35000  -32800	100	200	0.29
095603.47+382517.2  4570  55623  0296  -37700  -33200	400	500	0.34
100400.20+372551.9  4567  55589  0454  -41400  -30000  	600	900	0.37
103456.31+035859.4  4772  55654  0106  -51600  -49600	40	80	0.17
110841.93+031735.1  4741  55704  0786  -38900  -35000	200	200	0.25
111154.35+372321.2  4622  55629  0678  -59900  -45900  	2400	2500	0.51
113000.22+344625.9  4619  55599  0854  -41900  -32800	2400	2500	0.57
120609.69+004522.6  3844  55321  0920  -56300  -31700 	1400	1570	0.32
123056.28+345201.7  3968  55590  0464  -43100  -36200	1300	1400	0.45
131307.93+065349.0  4840  55690  0576  -41300  -35500	700	800	0.36
133150.25+393417.7  4708  55704  0418  -41100  -32400	1300	1400	0.50
133752.36-011924.7  4046  55605  0085  -41500  -37700	200	200	0.28
135203.03+333938.3  3861  55274  0582  -40000  -34900	400	400	0.32
144356.21+062539.2  4858  55686  0392  -43000  -34600	1100	1200	0.33
150339.76+183423.9  3957  55664  0568  -59100  -37500  	80	210	0.24
151016.40+034200.0  4776  55652  0216  -47700  -45700	30	80	0.22
162445.03+271418.7  5006  55706  0846  -59500  -54500	500	500	0.32
162747.14+192639.7  4060  55359  0940  -40500  -38800	60	100	0.24
164653.72+243942.2  4181  55685  0543  -48700  -36200	3600	3700	0.71
165436.85+222733.8  4178  55653  0608  -47800  -43700	600	600	0.39
171800.39+314203.9  4998  55722  0306  -42100  -33000	1400	1500	0.36
222559.52-004157.5  4202  55445  0258  -39100  -37900	2	10	0.14
231227.48+005231.7  4209  55478  0712  -40300  -37100	300	400	0.39
