# 	Wavelength	 Divided_Spectra	 Divided_Error
9.900940703080394769e+02 1.896386507174436815e+02 1.038102257930030282e+04
9.903219053315571045e+02 1.922294998335671412e+00 1.131819823107740763e+00
9.905502841140805685e+02 7.695311304618127624e-01 2.516294470113063508e-01
9.907781191375981962e+02 1.053604360300097742e+00 4.809663843347342649e-01
9.910064979201217739e+02 6.144603303008531192e-01 2.275578810872314339e-01
9.912346048231423765e+02 7.415633684236611067e-01 2.728141314254536320e-01
9.914627117261629792e+02 3.577712424488443954e+00 4.477839735134709898e+00
9.916913623881895319e+02 1.054521606844141424e+00 8.054570489529143673e-01
9.919194692912100209e+02 1.453516399962194283e+00 9.634047068805451364e-01
9.921481199532366873e+02 7.929257570168694036e-01 2.859606734297756581e-01
9.923764987357602649e+02 1.180883453486974988e+00 5.686864963953975893e-01
9.926051493977868176e+02 1.355328731201512982e+00 6.376518204618010222e-01
9.928335281803103953e+02 1.328992881091575651e+00 4.320723579937266190e-01
9.930619069628340867e+02 3.202414550126448489e+00 2.726538439579266448e+00
9.932911013838665895e+02 4.188987651628938713e-01 1.733734636844140864e-01
9.935194801663902808e+02 6.046163177944168243e-01 2.730035860656609414e-01
9.937486745874227836e+02 1.028968565301761950e+00 5.349532735974136255e-01
9.939773252494493363e+02 7.342786174824033063e-01 3.289096914569223373e-01
9.942065196704820664e+02 8.790132892357562788e-01 2.891282924114088049e-01
9.944351703325086191e+02 1.270103299489226067e+00 4.380350218976944432e-01
9.946638209945351718e+02 9.110472451761225665e-01 2.924769357459649499e-01
9.948932872950707633e+02 1.011773820428164772e+00 4.097062778919248194e-01
9.951222098366004047e+02 6.545350627879995553e-01 2.236003047256273357e-01
9.953516761371359962e+02 8.133635343492906511e-01 2.887680824985239258e-01
9.955805986786655239e+02 1.460995940325060971e+00 6.402194728040452310e-01
9.958100649792011154e+02 7.308765894091950877e-01 1.831972662024820286e-01
9.960392594002338456e+02 1.199764710015914559e+00 3.045724789963270007e-01
9.962684538212663483e+02 1.390317247630087127e+00 3.756993135813996854e-01
9.964981920013049148e+02 1.138477621777314264e+00 3.112385582972385656e-01
9.967273864223376449e+02 9.250949093835254544e-01 2.283116120685040051e-01
9.969571246023762114e+02 8.422031115673668245e-01 1.952778176607479210e-01
9.971865909029118029e+02 7.152214317715330782e-01 2.060622970185376768e-01
9.974166009624533444e+02 5.464625750197886767e-01 1.884215554405570259e-01
9.976460672629890496e+02 5.854064368068406798e-01 1.790102707191676412e-01
9.978755335635246411e+02 7.381297314524892794e-01 2.631167583697004431e-01
9.981055436230661826e+02 6.892390714346212643e-01 3.063887251135323231e-01
9.983352818031047491e+02 8.218034196199625052e-01 2.577571290816106919e-01
9.985652918626464043e+02 9.306091494349564286e-01 2.332425882720382537e-01
9.987950300426850845e+02 6.134613472413140700e-01 1.426769799076237355e-01
9.990255838612326897e+02 5.108765181140318967e-01 1.424003609572132845e-01
9.992553220412712562e+02 6.315238729161979370e-01 1.758228394507406200e-01
9.994850602213099364e+02 6.649999945370871357e-01 1.882387867681195592e-01
9.997156140398575417e+02 5.847214249741755632e-01 1.722110227351917600e-01
9.999456240993990832e+02 4.822152119161129402e-01 1.565040500032921500e-01
1.000176177917946688e+03 8.048588934968383679e-01 2.131918557477895104e-01
1.000406187977488344e+03 8.334807281694867065e-01 2.115432685187393358e-01
1.000637013675539038e+03 1.159278350594636686e+00 3.704340906453021387e-01
1.000867295614583554e+03 1.491773413206634036e+00 5.124496975283820976e-01
1.001097305674125209e+03 1.325976934596941881e+00 3.982717230706345757e-01
1.001328403251678765e+03 3.199532508755871252e+00 1.905313126432014892e+00
1.001558685190723509e+03 3.273446927767096781e+00 2.200865233260433040e+00
1.001789510888773975e+03 1.071252163793342538e+00 3.500073044685989565e-01
1.002020064707321694e+03 9.555094680136065888e-01 3.127348127507772468e-01
1.002251162284875363e+03 1.043861116378601572e+00 3.334995009221423112e-01
1.002481716103422968e+03 8.588116544211280567e-01 2.869395823008735746e-01
1.002712813680976524e+03 1.648019734369125855e+00 5.809356052731193820e-01
1.002943639379027218e+03 1.444091417485389828e+00 4.269442370131450448e-01
1.003174193197574823e+03 1.634008731945745474e+00 4.934671505872074149e-01
1.003405562654631467e+03 1.090011610889827898e+00 2.759411028587965276e-01
1.003636388352682047e+03 8.148715378833046863e-01 2.118983758711386889e-01
1.003867757809738691e+03 7.408823458669656636e-01 2.093096738058861372e-01
1.004098855387292247e+03 4.914912004809783297e-01 1.409675080879934372e-01
1.004330224844349004e+03 6.932767049763812750e-01 2.183426160603459121e-01
1.004561322421902560e+03 1.040448053241639359e+00 3.171939307285630005e-01
1.004792419999456115e+03 1.261548995818799757e+00 3.130493635558096455e-01
1.005024061336015848e+03 8.841744921577255889e-01 2.079204850691767359e-01
1.005255430793072378e+03 5.976560162085309269e-01 1.912011302296311166e-01
1.005487072129632111e+03 9.538101637137123001e-01 4.489161353740999116e-01
1.005718441586688641e+03 2.982034546526692309e-01 2.037329429946339310e-01
1.005950354802751349e+03 2.755178788783390620e-01 2.345188437943144799e-01
1.006181724259807993e+03 3.668903241581951691e-01 2.192284467559033057e-01
1.006413365596367612e+03 7.385817756634655007e-01 2.356025082073754662e-01
1.006645278812430320e+03 9.260789877536204084e-01 2.935951158017053864e-01
1.006876920148989825e+03 1.082219204218231479e+00 2.895666928247926375e-01
1.007109105244555622e+03 5.991142735490058158e-01 1.459916276250575184e-01
1.007340746581115241e+03 5.872616085907970129e-01 1.698842999015334476e-01
1.007573203556183785e+03 4.884369485890264762e-01 1.387761067295532891e-01
1.007804844892743404e+03 4.979915454100108940e-01 1.301288670816261039e-01
1.008036758108806112e+03 8.070114362273267394e-01 1.901446311265375944e-01
1.008269215083874769e+03 9.819277553792346014e-01 2.105365108651628403e-01
1.008501128299937363e+03 1.144076876560096601e+00 2.308631302847424793e-01
1.008733585275006021e+03 1.099656209700139886e+00 2.000692645383385371e-01
1.008965770370571818e+03 1.279637682846666680e+00 2.485296861137573088e-01
1.009198499225143337e+03 1.321408879761752031e+00 2.943700708018253676e-01
1.009430684320709020e+03 1.410875942995087895e+00 3.445945321362945402e-01
1.009662869416274702e+03 3.145059648923622664e+00 1.591098411725537343e+00
1.009895598270846222e+03 2.680407374419917499e+00 1.312515712385653455e+00
1.010128055245914879e+03 6.501107949871455460e+00 7.604091510735153214e+00
1.010360784100486626e+03 8.292061201582900942e-01 2.510153063897052061e-01
1.010593241075555284e+03 4.341786073537787782e-01 1.365331987095342314e-01
1.010826241809630005e+03 5.955092947281590554e-01 1.905650592687020417e-01
1.011058970664201524e+03 7.578471667672792567e-01 2.065095098534426299e-01
1.011291427639270182e+03 7.434332034947970236e-01 2.367012306204345218e-01
1.011524700252847879e+03 2.584344326204099485e+00 2.001460363082333771e+00
1.011757429107419512e+03 1.424249557267483368e+00 6.865587769990725286e-01
1.011990701720997208e+03 5.428066304804286535e-01 2.091305524601391741e-01
1.012223430575568955e+03 3.487025582114999245e-01 1.388598720273188369e-01
1.012456975068649513e+03 4.140803995790873215e-01 1.195767371083394509e-01
1.012689975802724234e+03 7.512559840656386489e-01 2.018991734123226633e-01
1.012922976536798842e+03 8.000600831028912285e-01 1.857784595106895531e-01
1.013156249150376425e+03 9.601628135477402459e-01 2.070827338998872391e-01
1.013389521763954122e+03 9.432427273245681532e-01 1.905267874047023302e-01
1.013623066257034793e+03 7.566083700248387167e-01 1.479812291673282265e-01
1.013856338870612490e+03 6.120193354202768665e-01 1.439348713620910158e-01
1.014090155243196250e+03 6.772095203276288222e-01 1.404630243960147962e-01
1.014323427856773833e+03 7.905086471299708206e-01 1.602559958604932722e-01
1.014556700470351529e+03 8.450911647856711451e-01 2.034915142292864354e-01
1.014790788722438151e+03 8.036543014685023634e-01 2.483466216438265095e-01
1.015024061336015848e+03 9.683257421598521208e-01 2.469530572487001752e-01
1.015258149588102469e+03 6.168037036058153788e-01 1.719377198668550211e-01
1.015491694081183141e+03 7.205724574023878448e-01 2.709395530592668688e-01
1.015726054212772851e+03 5.109168643657071573e-01 1.912835009252066010e-01
1.015959598705853523e+03 8.697933482691185825e-01 3.244539198544225123e-01
1.016193415078437170e+03 8.801508380889186967e-01 3.447498487421329361e-01
1.016427775210026880e+03 4.610936590329391960e-01 1.865730280160843579e-01
1.016661591582610527e+03 8.317576831082079680e-01 2.991291396371453803e-01
1.016895951714200237e+03 8.756969780579292317e-01 3.001016594005235238e-01
1.017129768086783884e+03 7.097321224926409489e-01 1.948483458054320883e-01
1.017364400097876569e+03 5.973715454515567957e-01 1.292213986144710169e-01
1.017598488349963304e+03 7.051179297028895565e-01 1.394724430212473387e-01
1.017832576602049926e+03 9.473461374753180397e-01 2.263410982280731343e-01
1.018067208613142611e+03 1.092154204007751428e+00 2.556731472363164004e-01
1.018301568744732322e+03 8.150167832783296040e-01 1.778663416636400429e-01
1.018536472635327982e+03 7.498215531480593166e-01 1.645460111300805772e-01
1.018770560887414604e+03 8.239985976330119755e-01 1.681227345453495670e-01
1.019005464778010264e+03 8.790394028970244245e-01 1.684547537284634966e-01
1.019240096789103063e+03 8.825373058055339115e-01 1.764918569759366951e-01
1.019474456920692660e+03 1.008246574851374033e+00 1.980104046256956352e-01
1.019709632690791409e+03 8.074058395166862079e-01 1.531008581033689309e-01
1.019944264701884094e+03 8.857785062022297540e-01 1.927558062026369368e-01
1.020179440471982844e+03 8.860250461544070255e-01 2.063298592888903882e-01
1.020414072483075415e+03 8.651273866135623658e-01 1.742351329702716556e-01
