# 	Wavelength	 Divided_Spectra	 Divided_Error
1.000176000000000045e+03 8.095251163096329750e-01 1.477884490227825420e-01
1.000405999999999949e+03 7.764632372255884096e-01 1.355569048807557242e-01
1.000636999999999944e+03 5.874938169636059193e-01 1.453183176222902218e-01
1.000866999999999962e+03 4.003111371520090556e-01 1.146886547749739610e-01
1.001096999999999980e+03 6.065397538638620523e-01 1.463280723948905959e-01
1.001327999999999975e+03 4.644296516051865109e-01 2.624096181307361553e-01
1.001558999999999969e+03 4.180083592234044021e-01 2.669811471965400917e-01
1.001788999999999987e+03 1.964114089776984429e+00 4.732745173560075069e-01
1.002019999999999982e+03 2.101868434172441180e+00 4.820380928382889119e-01
1.002250999999999976e+03 5.501254131674516712e-01 1.284933928672757353e-01
1.002481999999999971e+03 5.028542572015737289e-01 1.117198882842191654e-01
1.002712999999999965e+03 5.583410894570974836e-01 1.674097000475105179e-01
1.002943999999999960e+03 7.655562635982985364e-01 1.866559795475891681e-01
1.003173999999999978e+03 5.195051004244523041e-01 1.335506883307973069e-01
1.003405999999999949e+03 7.502401015981544630e-01 1.430325180216229231e-01
1.003635999999999967e+03 8.428685167796889921e-01 1.479818494718783684e-01
1.003868000000000052e+03 9.339243402611685507e-01 1.721568337233872481e-01
1.004099000000000046e+03 1.079859000969308980e+00 1.595956317605230768e-01
1.004330000000000041e+03 5.544305185579367912e-01 1.063983793581991938e-01
1.004561000000000035e+03 5.719361212924082283e-01 1.279822944132576745e-01
1.004792000000000030e+03 4.934969511577961265e-01 9.567951267447749597e-02
1.005024000000000001e+03 8.558612672084250361e-01 1.365023438550041490e-01
1.005254999999999995e+03 1.075056373653425323e+00 1.840766723306565822e-01
1.005486999999999966e+03 4.637934080333241949e-01 1.528961277644411976e-01
1.005717999999999961e+03 7.674735252809329333e-01 1.656520898927321128e-01
1.005950000000000045e+03 8.612311179240769166e-01 2.075668687983684702e-01
1.006182000000000016e+03 8.347046898349127497e-01 1.800301851823894739e-01
1.006413000000000011e+03 9.265291094484691126e-01 1.767983923703408122e-01
1.006644999999999982e+03 7.703588630790548786e-01 1.649402441493740545e-01
1.006876999999999953e+03 7.315207557018470474e-01 1.435554462245376972e-01
1.007109000000000037e+03 1.140767539225826077e+00 1.482515259315860257e-01
1.007341000000000008e+03 1.207952311418591052e+00 1.792111423104040258e-01
1.007572999999999979e+03 1.057922964643893016e+00 1.395324002199677393e-01
1.007804999999999950e+03 1.215392444729627375e+00 1.482599010459865196e-01
1.008037000000000035e+03 7.986386403286401814e-01 1.191865076206185398e-01
1.008269000000000005e+03 7.408909506269480971e-01 1.098141221396210926e-01
1.008500999999999976e+03 1.059561981518715390e+00 1.584687367503403166e-01
1.008734000000000037e+03 8.324058270384968594e-01 1.109037064735090561e-01
1.008966000000000008e+03 1.198860396083639257e+00 1.787955897546806006e-01
1.009197999999999979e+03 9.728079539283900345e-01 1.706864365275327367e-01
1.009431000000000040e+03 6.741588522562012020e-01 1.323332847142769941e-01
1.009663000000000011e+03 3.504940524118195233e-01 1.675986999083594053e-01
1.009895999999999958e+03 9.473489785534560115e-01 4.263253677498866079e-01
1.010128000000000043e+03 2.125683333320842749e-01 2.446806768041760727e-01
1.010360999999999990e+03 9.260980148533529688e-01 1.773410784354585712e-01
1.010592999999999961e+03 1.512902981315148443e+00 2.023956659678069758e-01
1.010826000000000022e+03 8.890558620712767368e-01 1.516181535254645107e-01
1.011058999999999969e+03 7.829267090048214195e-01 1.283012284706027684e-01
1.011291000000000054e+03 1.111256699410680948e+00 2.036889071614493563e-01
1.011524999999999977e+03 3.021444651351104516e-01 2.144483418467754976e-01
1.011756999999999948e+03 8.702681247090340300e-01 3.250373778617909326e-01
1.011990999999999985e+03 1.165551707073012810e+00 2.185362519891207445e-01
1.012222999999999956e+03 1.322173431898703067e+00 1.900793347575098768e-01
1.012456999999999994e+03 1.318814175467388550e+00 1.563790882434736296e-01
1.012690000000000055e+03 6.476713433719383239e-01 1.044863703421724105e-01
1.012923000000000002e+03 8.598739069216142505e-01 1.214737986901572864e-01
1.013155999999999949e+03 7.242359164666594129e-01 1.042296853334207102e-01
1.013389000000000010e+03 1.076098208213843721e+00 1.416419263536765061e-01
1.013623000000000047e+03 1.215662290020910641e+00 1.412740349294335507e-01
