# 	Wavelength	 Divided_Spectra	 Divided_Error
1.000176177917946688e+03 1.242453811568559274e+00 3.291024500187821333e-01
1.000406187977488344e+03 1.199787788970511082e+00 3.045145758380177203e-01
1.000637013675539038e+03 8.626056024310839732e-01 2.756357192025526426e-01
1.000867295614583554e+03 6.703430904097258392e-01 2.302743237542352051e-01
1.001097305674125209e+03 7.541609313920462077e-01 2.265205116176216005e-01
1.001328403251678765e+03 3.125456601123415279e-01 1.861201119825348083e-01
1.001558685190723509e+03 3.054883803117364183e-01 2.053916774058595907e-01
1.001789510888773975e+03 9.334870292900636635e-01 3.049956769480512975e-01
1.002020064707321694e+03 1.046562104799321435e+00 3.425360133342125191e-01
1.002251162284875363e+03 9.579818467319042297e-01 3.060622364074021551e-01
1.002481716103422968e+03 1.164399661849067735e+00 3.890403103896563630e-01
1.002712813680976524e+03 6.067888503670179068e-01 2.138962542192405503e-01
1.002943639379027218e+03 6.924769359417075609e-01 2.047301393007718018e-01
1.003174193197574823e+03 6.119918336110845569e-01 1.848202279525698322e-01
1.003405562654631467e+03 9.174214201109773814e-01 2.322491576443342920e-01
1.003636388352682047e+03 1.227187297027923840e+00 3.191165515553313070e-01
1.003867757809738691e+03 1.349741973983494159e+00 3.813210746248862915e-01
1.004098855387292247e+03 2.034624422617108408e+00 5.835627056407626245e-01
1.004330224844349004e+03 1.442425503153272892e+00 4.542817544134500896e-01
1.004561322421902560e+03 9.611243895208234633e-01 2.930110946734574839e-01
1.004792419999456115e+03 7.926763077092832122e-01 1.967001000013497425e-01
1.005024061336015848e+03 1.130998472439094682e+00 2.659630571655139941e-01
1.005255430793072378e+03 1.673203268903571628e+00 5.352884392393568724e-01
1.005487072129632111e+03 1.048426655579392408e+00 4.934479211391182285e-01
1.005718441586688641e+03 3.353415208300468464e+00 2.291057124961119129e+00
1.005950354802751349e+03 3.629528523053024536e+00 3.089428665065848456e+00
1.006181724259807993e+03 2.725610173270259562e+00 1.628637348556744469e+00
1.006413365596367612e+03 1.353946215504306716e+00 4.318995334865227687e-01
1.006645278812430320e+03 1.079821498191735341e+00 3.423361527463121279e-01
1.006876920148989825e+03 9.240272175010748601e-01 2.472396575564058674e-01
1.007109105244555622e+03 1.669130655285920195e+00 4.067322576719382132e-01
1.007340746581115241e+03 1.702818616731335499e+00 4.925950280606064546e-01
1.007573203556183785e+03 2.047347160956501710e+00 5.816981474110590744e-01
1.007804844892743404e+03 2.008066219631642557e+00 5.247225271071770392e-01
1.008036758108806112e+03 1.239139812782418026e+00 2.919608967590258675e-01
1.008269215083874769e+03 1.018404861785158211e+00 2.183576185455281815e-01
1.008501128299937363e+03 8.740671369975647753e-01 1.763778986015376582e-01
1.008733585275006021e+03 9.093751221326574763e-01 1.654499017689850526e-01
1.008965770370571818e+03 7.814712034545684416e-01 1.517763938222319864e-01
1.009198499225143337e+03 7.567680339640961984e-01 1.685851087808145077e-01
1.009430684320709020e+03 7.087795386723675373e-01 1.731134156261062151e-01
1.009662869416274702e+03 3.179589933508077948e-01 1.608567422520789103e-01
1.009895598270846222e+03 3.730776185528201228e-01 1.826850056312691040e-01
1.010128055245914879e+03 1.538199346497196307e-01 1.799171569324420072e-01
1.010360784100486626e+03 1.205972768036379650e+00 3.650692107874287107e-01
1.010593241075555284e+03 2.303199612009388719e+00 7.242715439408282663e-01
1.010826241809630005e+03 1.679234915143490214e+00 5.373610520663154588e-01
1.011058970664201524e+03 1.319527265986443210e+00 3.595644885755596154e-01
1.011291427639270182e+03 1.345110758167796128e+00 4.282689692663576575e-01
1.011524700252847879e+03 3.869453423293660044e-01 2.996720512429069672e-01
1.011757429107419512e+03 7.021241431302011060e-01 3.384585872252867667e-01
1.011990701720997208e+03 1.842276685373053446e+00 7.097856204436916450e-01
1.012223430575568955e+03 2.867773626694949840e+00 1.142001024737672399e+00
1.012456975068649513e+03 2.414989941606750623e+00 6.973926263120299174e-01
1.012689975802724234e+03 1.331104205770463622e+00 3.577327097167478653e-01
1.012922976536798842e+03 1.249906127201943606e+00 2.902352457630190674e-01
1.013156249150376425e+03 1.041490032617555572e+00 2.246229496089545974e-01
1.013389521763954122e+03 1.060172499645366306e+00 2.141455795001743212e-01
1.013623066257034793e+03 1.321687731219747031e+00 2.585022619229742635e-01
1.013856338870612490e+03 1.633935305840124697e+00 3.842693432203047599e-01
1.014090155243196250e+03 1.476647876297142892e+00 3.062780726595566438e-01
1.014323427856773833e+03 1.265008300200903157e+00 2.564490162840111775e-01
1.014556700470351529e+03 1.183304289133843001e+00 2.849306579260285077e-01
1.014790788722438151e+03 1.244316117231897945e+00 3.845206868262086020e-01
1.015024061336015848e+03 1.032710333373455969e+00 2.633731222615772749e-01
1.015258149588102469e+03 1.621261341580848114e+00 4.519362914815371335e-01
1.015491694081183141e+03 1.387785488783360499e+00 5.218156428412135117e-01
1.015726054212772851e+03 1.957265593966015516e+00 7.327857840806921708e-01
1.015959598705853523e+03 1.149698376045288795e+00 4.288652534541368411e-01
