SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
18,spec-5807-56329-0778-dered.dr16,spec-5807-56329-0778norm.dr16,2.089,29.7898,24.2946,187379106.83306542,-1.77510852234269
19,spec-10429-58145-0655-dered.dr16,spec-10429-58145-0655norm.dr16,2.089,33.03973,24.2946,12555.677380705873,-0.6604919286920988
20,spec-11377-58434-0650-dered.dr16,spec-11377-58434-0650norm.dr16,2.089,33.15957,24.2946,11491360.429846257,-1.432636498070735
21,spec-6442-56369-0246-dered.dr16,spec-6442-56369-0246norm.dr16,2.093,19.96256,24.2946,434174.5864577572,-1.18182345332757
22,spec-10479-58159-0770-dered.dr16,spec-10479-58159-0770norm.dr16,2.093,13.75838,24.2946,0.002223363795413554,1.0380012535919079
25,spec-6674-56416-0693-dered.dr16,spec-6674-56416-0693norm.dr16,2.145,11.377,24.2946,0.00212916627840976,0.9924682273847113
27,spec-6045-56072-0455-dered.dr16,spec-6045-56072-0455norm.dr16,2.208,26.30587,24.2946,260520.96344211462,-1.070443885124557
28,spec-10730-58244-0836-dered.dr16,spec-10730-58244-0836norm.dr16,2.208,23.77723,24.2946,80628200.02699794,-1.76279429107119
34,spec-6036-56093-0310-dered.dr16,spec-6036-56093-0310norm.dr16,2.314,19.01129,24.2946,2934602.1698768525,-1.4421396855412139
36,spec-6305-56563-0032-dered.dr16,spec-6305-56563-0032norm.dr16,2.32,12.62722,24.2946,0.0003536334633411706,1.2163952905116777
41,spec-6806-56419-0302-dered.dr16,spec-6806-56419-0302norm.dr16,2.37,13.7273,24.2946,83134.48795040374,-1.0699222946410176
50,spec-5179-55957-0836-dered.dr16,spec-5179-55957-0836norm.dr16,2.495,18.8045,24.2946,35.591579810379336,-0.11792193346481353
51,spec-9609-58136-0331-dered.dr16,spec-9609-58136-0331norm.dr16,2.495,15.82084,24.2946,1.3491489404963435,0.2786438763548474
52,spec-1521-52945-0532-dered.dr16,spec-1521-52945-0532norm.dr16,2.548,16.70752,24.2946,7.59124141370789,0.15336649953584236
53,spec-5143-55828-0900-dered.dr16,spec-5143-55828-0900norm.dr16,2.548,38.08239,24.2946,1.3245513953192811,0.38485650512996783
54,spec-5144-55829-0475-dered.dr16,spec-5144-55829-0475norm.dr16,2.548,24.11456,24.2946,3621279.1626527794,-1.4312955931624431
55,spec-9162-58040-0112-dered.dr16,spec-9162-58040-0112norm.dr16,2.548,28.28937,24.2946,24963.451817049936,-0.7996427056832319
56,spec-9227-57932-0572-dered.dr16,spec-9227-57932-0572norm.dr16,2.548,24.10529,24.2946,7.337268041389862,0.035125760774857434
60,spec-6313-56460-0295-dered.dr16,spec-6313-56460-0295norm.dr16,2.615,22.95622,24.2946,1633098.3752343298,-1.3471080808149762
61,spec-2945-54505-0067-dered.dr16,spec-2945-54505-0067norm.dr16,2.635,35.17323,24.2946,6504558.149731922,-1.4818054271583372
63,spec-6587-56537-0015-dered.dr16,spec-6587-56537-0015norm.dr16,2.6636,17.45459,24.2946,551.8035147737729,-0.4489125557865788
64,spec-7701-57356-0794-dered.dr16,spec-7701-57356-0794norm.dr16,2.6636,20.06602,24.2946,21.70966034639243,-0.07468143545371644
66,spec-7089-56661-0060-dered.dr16,spec-7089-56661-0060norm.dr16,2.702,20.75997,24.2946,143412526.96405423,-1.8946441112912504
76,spec-5896-56047-0658-dered.dr16,spec-5896-56047-0658norm.dr16,2.892,17.72636,24.2946,102.26748773811865,-0.2890611834723763
79,spec-1709-53533-0576-dered.dr16,spec-1709-53533-0576norm.dr16,3.003,16.18644,24.2946,8918.768975495952,-0.7158168232774076
82,spec-5320-55999-0336-dered.dr16,spec-5320-55999-0336norm.dr16,3.031,39.49401,24.2946,110757.55509206266,-0.9188671293598523
89,spec-6402-56334-0966-dered.dr16,spec-6402-56334-0966norm.dr16,3.128,21.62929,24.2946,16079237.104641886,-1.6492464328804
92,spec-6456-56339-0894-dered.dr16,spec-6456-56339-0894norm.dr16,3.194,19.93668,24.2946,11334.938048041398,-0.7889480500215912
101,spec-5868-56045-0372-dered.dr16,spec-5868-56045-0372norm.dr16,3.403,18.11065,24.2946,67053.29744809464,-0.9810456503842391
104,spec-5174-56047-0344-dered.dr16,spec-5174-56047-0344norm.dr16,3.583,11.74977,24.2946,13953.660102909846,-0.8871244681729725
105,spec-10748-58224-0461-dered.dr16,spec-10748-58224-0461norm.dr16,3.583,11.28758,24.2946,6384.4602592770325,-0.7968004500675261
106,spec-6122-56246-0696-dered.dr16,spec-6122-56246-0696norm.dr16,3.623,19.12713,24.2946,115768.55904063318,-1.1187903601931104
110,spec-1982-53436-0626-dered.dr16,spec-1982-53436-0626norm.dr16,4.121,13.5287,24.2946,15370256.944659796,-1.6433821939846793
111,spec-6447-56362-0854-dered.dr16,spec-6447-56362-0854norm.dr16,4.121,19.43312,24.2946,4286232.660810649,-1.4926062456397269
