SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
16,spec-1229-52723-0245-dered.dr16,spec-1229-52723-0245norm.dr16,2.079,12.23339,24.2946,2675010.257676732,-1.351625853120009
17,spec-5391-56000-0254-dered.dr16,spec-5391-56000-0254norm.dr16,2.079,28.13357,24.2946,726997.7461491406,-1.1979926528271332
18,spec-5807-56329-0778-dered.dr16,spec-5807-56329-0778norm.dr16,2.089,29.7898,24.2946,187379106.83306542,-1.77510852234269
19,spec-10429-58145-0655-dered.dr16,spec-10429-58145-0655norm.dr16,2.089,33.03973,24.2946,12555.677380705873,-0.6604919286920988
20,spec-11377-58434-0650-dered.dr16,spec-11377-58434-0650norm.dr16,2.089,33.15957,24.2946,11491360.429846257,-1.432636498070735
21,spec-6442-56369-0246-dered.dr16,spec-6442-56369-0246norm.dr16,2.093,19.96256,24.2946,434174.5864577572,-1.18182345332757
22,spec-10479-58159-0770-dered.dr16,spec-10479-58159-0770norm.dr16,2.093,13.75838,24.2946,0.002223363795413554,1.0380012535919079
23,spec-1732-53501-0445-dered.dr16,spec-1732-53501-0445norm.dr16,2.138,15.87258,24.2946,17422543.22734978,-1.5880653200661616
24,spec-5212-56016-0348-dered.dr16,spec-5212-56016-0348norm.dr16,2.138,23.86843,24.2946,5050.325374226239,-0.6407430018950909
25,spec-6674-56416-0693-dered.dr16,spec-6674-56416-0693norm.dr16,2.145,11.377,24.2946,0.00212916627840976,0.9924682273847113
27,spec-6045-56072-0455-dered.dr16,spec-6045-56072-0455norm.dr16,2.208,26.30587,24.2946,260520.96344211462,-1.070443885124557
28,spec-10730-58244-0836-dered.dr16,spec-10730-58244-0836norm.dr16,2.208,23.77723,24.2946,80628200.02699794,-1.76279429107119
30,spec-6674-56416-0964-dered.dr16,spec-6674-56416-0964norm.dr16,2.295,12.69295,24.2946,22962.053693366404,-0.9330846689100082
32,spec-5809-56353-0704-dered.dr16,spec-5809-56353-0704norm.dr16,2.308,14.85248,24.2946,229142.0340793449,-1.2125731110060611
33,spec-0628-52083-0304-dered.dr16,spec-0628-52083-0304norm.dr16,2.314,12.96938,24.2946,1473092.3684036497,-1.3105313455052352
34,spec-6036-56093-0310-dered.dr16,spec-6036-56093-0310norm.dr16,2.314,19.01129,24.2946,2934602.1698768525,-1.4421396855412139
35,spec-8524-57656-0969-dered.dr16,spec-8524-57656-0969norm.dr16,2.314,19.09821,24.2946,41962.97692521375,-0.9619194075702766
36,spec-6305-56563-0032-dered.dr16,spec-6305-56563-0032norm.dr16,2.32,12.62722,24.2946,0.0003536334633411706,1.2163952905116777
37,spec-7667-57580-0430-dered.dr16,spec-7667-57580-0430norm.dr16,2.32,14.58467,24.2946,568.9708093409985,-0.4688993737806233
38,spec-4419-55867-0178-dered.dr16,spec-4419-55867-0178norm.dr16,2.362,16.88509,24.2946,1.1076777786646534,0.2852634593889516
39,spec-9446-58082-0782-dered.dr16,spec-9446-58082-0782norm.dr16,2.362,14.79658,24.2946,66.3555674258751,-0.17587017236261332
41,spec-6806-56419-0302-dered.dr16,spec-6806-56419-0302norm.dr16,2.37,13.7273,24.2946,83134.48795040374,-1.0699222946410176
42,spec-6786-56448-0829-dered.dr16,spec-6786-56448-0829norm.dr16,2.385,19.94619,24.2946,44206.92676163129,-0.9296549695042354
43,spec-6976-56448-0440-dered.dr16,spec-6976-56448-0440norm.dr16,2.385,17.78099,24.2946,1685.9265786173141,-0.5386998011214325
45,spec-6138-56598-0754-dered.dr16,spec-6138-56598-0754norm.dr16,2.395,24.77012,24.2946,33.3681957311835,-0.2690335575395818
46,spec-5745-55998-0657-dered.dr16,spec-5745-55998-0657norm.dr16,2.466,12.33595,24.2946,55896.536867330884,-1.0381375617492703
48,spec-6460-56334-0396-dered.dr16,spec-6460-56334-0396norm.dr16,2.466,12.3902,24.2946,26157.598283657455,-0.9662745022361299
49,spec-1933-53381-0566-dered.dr16,spec-1933-53381-0566norm.dr16,2.495,14.12262,24.2946,2928.2646579545485,-0.6107176996884641
50,spec-5179-55957-0836-dered.dr16,spec-5179-55957-0836norm.dr16,2.495,18.8045,24.2946,35.591579810379336,-0.11792193346481353
51,spec-9609-58136-0331-dered.dr16,spec-9609-58136-0331norm.dr16,2.495,15.82084,24.2946,1.3491489404963435,0.2786438763548474
52,spec-1521-52945-0532-dered.dr16,spec-1521-52945-0532norm.dr16,2.548,16.70752,24.2946,7.59124141370789,0.15336649953584236
53,spec-5143-55828-0900-dered.dr16,spec-5143-55828-0900norm.dr16,2.548,38.08239,24.2946,1.3245513953192811,0.38485650512996783
54,spec-5144-55829-0475-dered.dr16,spec-5144-55829-0475norm.dr16,2.548,24.11456,24.2946,3621279.1626527794,-1.4312955931624431
55,spec-9162-58040-0112-dered.dr16,spec-9162-58040-0112norm.dr16,2.548,28.28937,24.2946,24963.451817049936,-0.7996427056832319
56,spec-9227-57932-0572-dered.dr16,spec-9227-57932-0572norm.dr16,2.548,24.10529,24.2946,7.337268041389862,0.035125760774857434
57,spec-4354-55810-0356-dered.dr16,spec-4354-55810-0356norm.dr16,2.61,24.06247,24.2946,5715354925.872766,-2.3234828502669767
58,spec-9345-57713-0464-dered.dr16,spec-9345-57713-0464norm.dr16,2.61,27.37706,24.2946,2494491.031192905,-1.381289746593706
59,spec-2884-54526-0579-dered.dr16,spec-2884-54526-0579norm.dr16,2.615,19.67011,24.2946,3575809.994538603,-1.4459301245453846
60,spec-6313-56460-0295-dered.dr16,spec-6313-56460-0295norm.dr16,2.615,22.95622,24.2946,1633098.3752343298,-1.3471080808149762
61,spec-2945-54505-0067-dered.dr16,spec-2945-54505-0067norm.dr16,2.635,35.17323,24.2946,6504558.149731922,-1.4818054271583372
62,spec-5494-55857-0549-dered.dr16,spec-5494-55857-0549norm.dr16,2.635,27.59846,24.2946,6674071.308315446,-1.5032133249342883
63,spec-6587-56537-0015-dered.dr16,spec-6587-56537-0015norm.dr16,2.6636,17.45459,24.2946,551.8035147737729,-0.4489125557865788
64,spec-7701-57356-0794-dered.dr16,spec-7701-57356-0794norm.dr16,2.6636,20.06602,24.2946,21.70966034639243,-0.07468143545371644
65,spec-0948-52428-0370-dered.dr16,spec-0948-52428-0370norm.dr16,2.702,10.99696,24.2946,22821.47032001137,-0.8741428260964572
66,spec-7089-56661-0060-dered.dr16,spec-7089-56661-0060norm.dr16,2.702,20.75997,24.2946,143412526.96405423,-1.8946441112912504
67,spec-6199-56220-0264-dered.dr16,spec-6199-56220-0264norm.dr16,2.762,24.14983,24.2946,0.05341099443005809,0.6235559333264317
68,spec-7618-56898-0268-dered.dr16,spec-7618-56898-0268norm.dr16,2.762,18.23495,24.2946,0.13011309168495466,0.49309414865792434
69,spec-1455-53089-0381-dered.dr16,spec-1455-53089-0381norm.dr16,2.846,15.41768,24.2946,1116904.5796806498,-1.2854302722198447
70,spec-6670-56389-0168-dered.dr16,spec-6670-56389-0168norm.dr16,2.846,27.76658,24.2946,140946778.11937565,-1.8344292162629174
71,spec-6280-56570-0623-dered.dr16,spec-6280-56570-0623norm.dr16,2.86,15.50972,24.2946,11110.83927166594,-0.799790515111435
72,spec-7694-57359-0006-dered.dr16,spec-7694-57359-0006norm.dr16,2.86,16.13597,24.2946,157.44849752907504,-0.338056818188185
74,spec-4485-55836-0092-dered.dr16,spec-4485-55836-0092norm.dr16,2.861,13.44172,24.2946,0.00030572467038827457,1.125503435651762
76,spec-5896-56047-0658-dered.dr16,spec-5896-56047-0658norm.dr16,2.892,17.72636,24.2946,102.26748773811865,-0.2890611834723763
77,spec-4341-55538-0324-dered.dr16,spec-4341-55538-0324norm.dr16,2.978,21.5278,24.2946,0.7508867097493752,0.2708773282042622
78,spec-9312-57784-0360-dered.dr16,spec-9312-57784-0360norm.dr16,2.978,15.45078,24.2946,0.24555723274916536,0.3981031109037601
79,spec-1709-53533-0576-dered.dr16,spec-1709-53533-0576norm.dr16,3.003,16.18644,24.2946,8918.768975495952,-0.7158168232774076
80,spec-5465-55988-0798-dered.dr16,spec-5465-55988-0798norm.dr16,3.003,19.44058,24.2946,3.6554454360877644,0.14015246208839174
81,spec-2582-54139-0485-dered.dr16,spec-2582-54139-0485norm.dr16,3.031,27.27496,24.2946,434673.8999406631,-1.0888180115277866
82,spec-5320-55999-0336-dered.dr16,spec-5320-55999-0336norm.dr16,3.031,39.49401,24.2946,110757.55509206266,-0.9188671293598523
83,spec-9587-57784-0340-dered.dr16,spec-9587-57784-0340norm.dr16,3.031,38.34362,24.2946,4081471.9803697816,-1.3218850135322249
84,spec-1618-53116-0538-dered.dr16,spec-1618-53116-0538norm.dr16,3.07,10.4424,24.2946,5016571.654188544,-1.5641821203421749
85,spec-5374-55947-0608-dered.dr16,spec-5374-55947-0608norm.dr16,3.07,22.93383,24.2946,1219983.3365632577,-1.3896157565718623
86,spec-2511-53882-0552-dered.dr16,spec-2511-53882-0552norm.dr16,3.083,21.11811,24.2946,266.3334470941051,-0.27466688167851544
87,spec-6422-56328-0988-dered.dr16,spec-6422-56328-0988norm.dr16,3.083,35.73123,24.2946,12.324330019839664,0.09287073730841379
88,spec-2225-53729-0182-dered.dr16,spec-2225-53729-0182norm.dr16,3.128,16.85705,24.2946,9682582.83180045,-1.542011504096308
89,spec-6402-56334-0966-dered.dr16,spec-6402-56334-0966norm.dr16,3.128,21.62929,24.2946,16079237.104641886,-1.6492464328804
91,spec-5476-55986-0599-dered.dr16,spec-5476-55986-0599norm.dr16,3.159,14.28691,24.2946,55975.03915735153,-1.0313302462811387
92,spec-6456-56339-0894-dered.dr16,spec-6456-56339-0894norm.dr16,3.194,19.93668,24.2946,11334.938048041398,-0.7889480500215912
93,spec-10464-58155-0575-dered.dr16,spec-10464-58155-0575norm.dr16,3.194,17.67838,24.2946,1366244.6860513787,-1.3594423821799686
94,spec-2430-53815-0471-dered.dr16,spec-2430-53815-0471norm.dr16,3.204,12.22531,24.2946,1640424.53350911,-1.3838500052384204
95,spec-5288-55865-0958-dered.dr16,spec-5288-55865-0958norm.dr16,3.204,20.35903,24.2946,58927.68032725186,-1.0004043655482129
96,spec-5290-55862-0164-dered.dr16,spec-5290-55862-0164norm.dr16,3.204,25.84712,24.2946,163148.38593544206,-1.1153932938811821
97,spec-1372-53062-0154-dered.dr16,spec-1372-53062-0154norm.dr16,3.3,16.25852,24.2946,264.3496092918657,-0.3368074682443785
98,spec-6636-56367-0036-dered.dr16,spec-6636-56367-0036norm.dr16,3.3,24.85965,24.2946,2.113752424937256,0.21265838898434777
99,spec-8374-57783-0919-dered.dr16,spec-8374-57783-0919norm.dr16,3.3,27.68614,24.2946,67944.00078092025,-0.9774603510849569
100,spec-5444-56038-0942-dered.dr16,spec-5444-56038-0942norm.dr16,3.403,17.00959,24.2946,371810.23826570995,-1.1579574171263236
101,spec-5868-56045-0372-dered.dr16,spec-5868-56045-0372norm.dr16,3.403,18.11065,24.2946,67053.29744809464,-0.9810456503842391
102,spec-5133-55860-0412-dered.dr16,spec-5133-55860-0412norm.dr16,3.45,15.94405,24.2946,2364.7735771576176,-0.6114273394720419
103,spec-7622-56987-0113-dered.dr16,spec-7622-56987-0113norm.dr16,3.45,21.71429,24.2946,436883.37835360505,-1.2048915873633197
104,spec-5174-56047-0344-dered.dr16,spec-5174-56047-0344norm.dr16,3.583,11.74977,24.2946,13953.660102909846,-0.8871244681729725
105,spec-10748-58224-0461-dered.dr16,spec-10748-58224-0461norm.dr16,3.583,11.28758,24.2946,6384.4602592770325,-0.7968004500675261
106,spec-6122-56246-0696-dered.dr16,spec-6122-56246-0696norm.dr16,3.623,19.12713,24.2946,115768.55904063318,-1.1187903601931104
107,spec-7610-56980-0454-dered.dr16,spec-7610-56980-0454norm.dr16,3.623,17.60462,24.2946,224434.85585098964,-1.205536046083435
108,spec-6720-56390-0552-dered.dr16,spec-6720-56390-0552norm.dr16,3.851,12.08064,24.2946,32940.36945374106,-0.9834554990493631
