SPECTRA INDEX,SPECTRA FILE NAME,CHI SQUARED
5,spec-9140-58039-0081-dered.dr16,5.960736131685195
16,spec-7671-57360-0092-dered.dr16,11.915541204690228
18,spec-8823-57446-0393-dered.dr16,5.86911389977017
20,spec-4421-55858-0894-dered.dr16,10.652344888163183
21,spec-5297-55913-0686-dered.dr16,6.991325512200308
39,spec-9155-58043-0456-dered.dr16,22.453328407893544
40,spec-9411-58070-0290-dered.dr16,4.221488172879516
44,spec-7732-58108-0100-dered.dr16,11.203343398568824
47,spec-7743-58107-0994-dered.dr16,7.595799281212768
53,spec-7644-57327-0353-dered.dr16,9.525572760544856
58,spec-5326-56002-0370-dered.dr16,10.989464439777134
59,spec-5406-55955-0486-dered.dr16,16.762854832375012
60,spec-5438-56002-0285-dered.dr16,17.0482813576089
62,spec-5862-56045-0724-dered.dr16,13.004812469005712
63,spec-5994-56101-0196-dered.dr16,10.011876536528682
87,spec-5450-55986-0680-dered.dr16,16.066750248412273
89,spec-5469-56037-0689-dered.dr16,20.374965897385056
91,spec-6428-56279-0192-dered.dr16,6.834620946954611
96,spec-7118-56686-0018-dered.dr16,11.42364877361641
97,spec-7235-56603-0711-dered.dr16,22.243726565602028
