SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
91,spec-6428-56279-0192-dered.dr16,spec-6428-56279-0192norm.dr16,1.903,10.03351,13.35306,6418064.832203053,-1.6522495408454851
102,spec-11314-58436-0494-dered.dr16,spec-11314-58436-049norm.dr16,1.9032,24.72112,35.71667,5464599187.450724,-2.242266151408906
124,spec-6467-56270-0933-dered.dr16,spec-6467-56270-0933norm.dr16,1.904,22.0838,32.02779,2531085.3879335667,-1.3249800799931208
126,spec-7092-56683-0634-dered.dr16,spec-7092-56683-0634norm.dr16,1.904,10.70151,16.41082,1282979.758694524,-1.3653146762725876
150,spec-5314-55952-0508-dered.dr16,spec-5314-55952-0508norm.dr16,1.905,10.98268,14.54587,851386193.0076324,-2.12877897432661
161,spec-7316-56710-0644-dered.dr16,spec-7316-56710-0644norm.dr16,1.905,10.19784,18.05624,797799.2784605973,-1.3240463015653936
181,spec-9156-58039-0299-dered.dr16,spec-9156-58039-0299norm.dr16,1.9059,10.28383,15.66901,285996097.8239274,-2.020582288665685
192,spec-5788-56255-0570-dered.dr16,spec-5788-56255-0570norm.dr16,1.906,10.20503,16.01209,2042977.0431193982,-1.4433674803830077
194,spec-5986-56328-0302-dered.dr16,spec-5986-56328-0302norm.dr16,1.906,13.58774,17.36107,18962982874.80728,-2.5183531189576476
202,spec-8401-57482-0335-dered.dr16,spec-8401-57482-0335norm.dr16,1.906,11.79521,20.91685,15556.854481087077,-0.8092044807044785
247,spec-8208-57430-0769-dered.dr16,spec-8208-57430-0769norm.dr16,1.9078,10.70527,18.38469,2141561326.687813,-2.230823491355023
301,spec-11085-58462-0573-dered.dr16,spec-11085-58462-057norm.dr16,1.91,11.05147,16.15208,166381690.2139293,-1.9399618064585495
345,spec-5480-56001-0920-dered.dr16,spec-5480-56001-0920norm.dr16,1.911,11.4259,16.53866,139110772.60243887,-1.949020310666552
400,spec-4835-56016-0460-dered.dr16,spec-4835-56016-0460norm.dr16,1.913,12.68171,16.70602,2359910001.7351365,-2.2529502619052626
420,spec-7619-56900-0602-dered.dr16,spec-7619-56900-0602norm.dr16,1.9131,11.27394,16.60622,178920358.64643902,-1.955804956703093
431,spec-8760-57672-0002-dered.dr16,spec-8760-57672-0002norm.dr16,1.9135,11.00845,22.13469,0.003950526787492581,0.9514922775192063
447,spec-7109-56658-0710-dered.dr16,spec-7109-56658-0710norm.dr16,1.914,11.27252,14.77685,184950439.01336855,-2.0045266837659845
464,spec-11294-58451-0910-dered.dr16,spec-11294-58451-091norm.dr16,1.915,10.54615,15.97981,1177062361.527729,-2.198221748551343
628,spec-6815-56419-0970-dered.dr16,spec-6815-56419-0970norm.dr16,1.92,12.84036,13.51829,630922403.3792639,-2.101423144532942
642,spec-11083-58515-0797-dered.dr16,spec-11083-58515-079norm.dr16,1.9206,12.5854,18.52691,174535046.71721515,-1.9935378686362066
652,spec-5455-56009-0188-dered.dr16,spec-5455-56009-0188norm.dr16,1.921,12.459,17.92043,565264831.2769146,-2.095761258365786
690,spec-9316-58082-0815-dered.dr16,spec-9316-58082-0815norm.dr16,1.9218,11.87419,16.73526,738021435.568083,-2.13720144188236
693,spec-5406-55955-0952-dered.dr16,spec-5406-55955-0952norm.dr16,1.922,11.58444,18.09178,904983360.1201681,-2.1276711338107397
732,spec-6059-56093-0316-dered.dr16,spec-6059-56093-0316norm.dr16,1.923,13.6015,17.18519,43888942507.74682,-2.5761927992623055
764,spec-6198-56211-0235-dered.dr16,spec-6198-56211-0235norm.dr16,1.924,12.09247,15.22022,3093244.7155455416,-1.5052967695166475
808,spec-7085-56625-0714-dered.dr16,spec-7085-56625-0714norm.dr16,1.925,18.64249,29.0451,119710162.40236433,-1.833112263988979
813,spec-7892-57333-0683-dered.dr16,spec-7892-57333-0683norm.dr16,1.9252,10.91265,19.02016,28400.92123124236,-0.9341629167744921
822,spec-11061-58428-0556-dered.dr16,spec-11061-58428-055norm.dr16,1.9259,13.51375,17.52602,7902140551.727289,-2.3977877607906004
862,spec-10472-58159-0314-dered.dr16,spec-10472-58159-031norm.dr16,1.9269,13.64458,20.10978,211233.73849724935,-1.1003452471537052
870,spec-5719-56014-0620-dered.dr16,spec-5719-56014-0620norm.dr16,1.927,12.35524,19.85914,258165197.4702013,-1.9598161700650487
875,spec-6452-56366-0974-dered.dr16,spec-6452-56366-0974norm.dr16,1.927,10.9558,13.2174,120112078454.36385,-2.7282418657694727
897,spec-9356-57809-0923-dered.dr16,spec-9356-57809-0923norm.dr16,1.9279,10.94903,14.61281,55226494424.98272,-2.6663301382467566
899,spec-4770-55928-0926-dered.dr16,spec-4770-55928-0926norm.dr16,1.928,16.66436,27.74256,40535412.17993441,-1.7067591785140044
