SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
18,spec-8823-57446-0393-dered.dr16,spec-8823-57446-0393norm.dr16,1.9008,12.59337,15.44042,2673.7194206189233,-0.6645433638875577
59,spec-5406-55955-0486-dered.dr16,spec-5406-55955-0486norm.dr16,1.902,10.75957,14.95981,1539626.2774402343,-1.41167583853394
124,spec-6467-56270-0933-dered.dr16,spec-6467-56270-0933norm.dr16,1.904,22.61164,32.02779,40575518.34526465,-1.6712403318579956
126,spec-7092-56683-0634-dered.dr16,spec-7092-56683-0634norm.dr16,1.904,10.29309,16.41082,1663999.1969426735,-1.3980726427689851
145,spec-7390-57130-0961-dered.dr16,spec-7390-57130-0961norm.dr16,1.9048,14.54282,23.00856,128222948947.97623,-2.669983177686813
150,spec-5314-55952-0508-dered.dr16,spec-5314-55952-0508norm.dr16,1.905,11.51054,14.54587,799565713.2313826,-2.1203208181892856
165,spec-7878-57340-0670-dered.dr16,spec-7878-57340-0670norm.dr16,1.9051,14.18126,28.57374,3936435.115730357,-1.4477490742454966
192,spec-5788-56255-0570-dered.dr16,spec-5788-56255-0570norm.dr16,1.906,10.11551,16.01209,3357431.0461207484,-1.505107107622804
194,spec-5986-56328-0302-dered.dr16,spec-5986-56328-0302norm.dr16,1.906,13.62908,17.36107,43857526080.38899,-2.6213981038112975
198,spec-6449-56356-0756-dered.dr16,spec-6449-56356-0756norm.dr16,1.906,10.25697,15.3303,331508013.4451082,-2.0147207915595207
211,spec-9203-57692-0186-dered.dr16,spec-9203-57692-0186norm.dr16,1.9065,15.02852,22.86452,45411045684.94912,-2.601927773353182
247,spec-8208-57430-0769-dered.dr16,spec-8208-57430-0769norm.dr16,1.9078,10.90801,18.38469,93093868893.149,-2.693641241549149
256,spec-6491-56337-0210-dered.dr16,spec-6491-56337-0210norm.dr16,1.908,14.78608,19.42003,2549067313336.9346,-3.0395112448175885
301,spec-11085-58462-0573-dered.dr16,spec-11085-58462-0573norm.dr16,1.91,10.72162,16.15208,343971149.1802844,-2.0303995845949814
305,spec-5397-55944-0352-dered.dr16,spec-5397-55944-0352norm.dr16,1.91,10.87149,16.78625,3227537.7500064583,-1.5021075320055606
324,spec-8490-57104-0424-dered.dr16,spec-8490-57104-0424norm.dr16,1.91,15.93071,28.03138,420067.5800795518,-1.1698880150315485
345,spec-5480-56001-0920-dered.dr16,spec-5480-56001-0920norm.dr16,1.911,11.40237,16.53866,183125014.74139583,-1.9830665542878347
366,spec-10938-58514-0582-dered.dr16,spec-10938-58514-0582norm.dr16,1.9114,13.55791,18.50229,19112947558.952724,-2.4973141306476827
377,spec-5396-55947-1000-dered.dr16,spec-5396-55947-1000norm.dr16,1.912,10.73318,30.05929,2.2492745971225714e-09,2.665782991170624
400,spec-4835-56016-0460-dered.dr16,spec-4835-56016-0460norm.dr16,1.913,12.78679,16.70602,3031699245.5912867,-2.283640653891328
409,spec-5987-56339-0860-dered.dr16,spec-5987-56339-0860norm.dr16,1.913,10.29221,20.07308,376.1666118911796,-0.39606613377000666
426,spec-11379-58438-0758-dered.dr16,spec-11379-58438-0758norm.dr16,1.9133,13.79405,17.21589,618368080.8397026,-2.1195783331348372
437,spec-10431-58137-0135-dered.dr16,spec-10431-58137-0135norm.dr16,1.914,13.83831,18.46092,6017.576506757087,-0.7232986804666385
447,spec-7109-56658-0710-dered.dr16,spec-7109-56658-0710norm.dr16,1.914,11.1722,14.77685,371261557.03093463,-2.09114567906382
467,spec-5779-56338-0292-dered.dr16,spec-5779-56338-0292norm.dr16,1.915,12.12565,24.67933,127591.55669864052,-1.0691650639060462
499,spec-7748-58396-0649-dered.dr16,spec-7748-58396-0649norm.dr16,1.9159,18.09393,26.24769,229262955052039.75,-3.5437901570664216
506,spec-7580-56955-0827-dered.dr16,spec-7580-56955-0827norm.dr16,1.916,13.03433,21.14927,881889139.3671247,-2.117600435562733
526,spec-11303-58428-0234-dered.dr16,spec-11303-58428-0234norm.dr16,1.9169,10.16554,16.1271,530042.7318552221,-1.29982257097528
544,spec-9331-57711-0233-dered.dr16,spec-9331-57711-0233norm.dr16,1.9173,20.42874,28.0675,2088212767.3021684,-2.208644054566135
555,spec-8761-58430-0769-dered.dr16,spec-8761-58430-0769norm.dr16,1.9179,10.58005,17.55743,340.7398272693664,-0.41446778490762576
557,spec-4373-55811-0056-dered.dr16,spec-4373-55811-0056norm.dr16,1.918,10.65012,14.92987,1.5148833282290003e-12,3.522571575125044
628,spec-6815-56419-0970-dered.dr16,spec-6815-56419-0970norm.dr16,1.92,12.1504,13.51829,1030160874.304591,-2.161836362024983
642,spec-11083-58515-0797-dered.dr16,spec-11083-58515-0797norm.dr16,1.9206,12.36969,18.52691,351691445.712433,-2.0798318195554444
643,spec-7642-57651-0556-dered.dr16,spec-7642-57651-0556norm.dr16,1.9206,13.69764,21.90914,3868241542.4673853,-2.27692425671563
652,spec-5455-56009-0188-dered.dr16,spec-5455-56009-0188norm.dr16,1.921,12.46977,17.92043,924219996.1368481,-2.1565548016263505
653,spec-5485-56063-0068-dered.dr16,spec-5485-56063-0068norm.dr16,1.921,26.92743,37.20966,24740836939.8188,-2.3717731576531
664,spec-8303-57805-0398-dered.dr16,spec-8303-57805-0398norm.dr16,1.921,18.42694,31.0041,2360422.0322520025,-1.354345089109457
690,spec-9316-58082-0815-dered.dr16,spec-9316-58082-0815norm.dr16,1.9218,11.20826,16.73526,1481284935.3669732,-2.2230741271046233
692,spec-5386-56008-0340-dered.dr16,spec-5386-56008-0340norm.dr16,1.922,10.3527,14.80801,5821171.127388274,-1.5690398463582895
732,spec-6059-56093-0316-dered.dr16,spec-6059-56093-0316norm.dr16,1.923,13.52797,17.18519,71343418851.48276,-2.635671240483188
763,spec-6172-56269-0318-dered.dr16,spec-6172-56269-0318norm.dr16,1.924,10.97808,14.69335,3694537.9388085995,-1.5371091278158653
813,spec-7892-57333-0683-dered.dr16,spec-7892-57333-0683norm.dr16,1.9252,10.60888,19.02016,32207.731517088076,-0.950749062446637
822,spec-11061-58428-0556-dered.dr16,spec-11061-58428-0556norm.dr16,1.9259,13.43324,17.52602,7691748775.367892,-2.393923504188934
862,spec-10472-58159-0314-dered.dr16,spec-10472-58159-0314norm.dr16,1.9269,13.31499,20.10978,238702.77664047785,-1.115924903250183
