SPECTRA INDEX,SPECTRA FILE NAME,SDSS SNR,CALCULATED SNR
15013,spec-5375-55973-0532-dered.dr16,10.26802,9.77561
15022,spec-7137-56566-0194-dered.dr16,10.71673,9.7785
15049,spec-6802-56456-0642-dered.dr16,11.01338,8.71556
15097,spec-6490-56330-0193-dered.dr16,10.19848,9.47432
15124,spec-6627-56369-0300-dered.dr16,11.69073,9.66859
15158,spec-6019-56074-0764-dered.dr16,10.05893,9.89793
15178,spec-5872-56027-0262-dered.dr16,13.74978,5.74109
15230,spec-5988-56072-0499-dered.dr16,11.34706,9.97156
15281,spec-7027-56448-0412-dered.dr16,10.40448,8.85592
15327,spec-9150-58043-0241-dered.dr16,10.20143,9.07115
15341,spec-6448-56365-0326-dered.dr16,10.18085,8.59404
15380,spec-7848-56959-0702-dered.dr16,10.29886,8.89056
15444,spec-7826-56931-0270-dered.dr16,10.09732,8.92102
15447,spec-5330-56000-0818-dered.dr16,10.99181,9.63222
15465,spec-4651-56008-0104-dered.dr16,12.76768,8.72766
15480,spec-4535-55860-0700-dered.dr16,10.17662,7.50883
15509,spec-7736-57728-0448-dered.dr16,10.54247,9.71001
15521,spec-5438-56002-0596-dered.dr16,10.5787,8.47698
15549,spec-6001-56072-0804-dered.dr16,10.9046,9.86933
15650,spec-9583-57809-0294-dered.dr16,10.70789,9.66653
15723,spec-8413-57897-0494-dered.dr16,10.67217,8.70629
15729,spec-5419-55983-0906-dered.dr16,12.86303,9.27287
15731,spec-5852-56034-0142-dered.dr16,10.14308,9.62041
15746,spec-6455-56370-0300-dered.dr16,10.57636,9.70859
15781,spec-6491-56337-0839-dered.dr16,10.56731,9.87408
15788,spec-7637-56933-0348-dered.dr16,11.6879,9.84162
15856,spec-5376-55987-0576-dered.dr16,10.60422,7.70103
15898,spec-5396-55947-0878-dered.dr16,12.54247,8.23347
15899,spec-5784-56029-0334-dered.dr16,10.67701,9.31695
15913,spec-5212-56016-0652-dered.dr16,11.03601,9.81816
15958,spec-7138-56572-0900-dered.dr16,10.5955,9.73552
15964,spec-5330-56000-0398-dered.dr16,10.17854,9.20145
16026,spec-7097-56667-0233-dered.dr16,11.31152,8.99979
16030,spec-10237-58154-0787-dered.dr16,10.17614,9.38428
16048,spec-8848-57875-0624-dered.dr16,10.00119,8.71578
16049,spec-10724-58391-0076-dered.dr16,10.68104,9.60316
16061,spec-6115-56237-0582-dered.dr16,10.1965,9.47768
16079,spec-6379-56340-0141-dered.dr16,11.43332,9.64967
16105,spec-7757-58392-0043-dered.dr16,10.83575,9.748
16213,spec-6455-56370-0732-dered.dr16,11.91322,8.70889
16246,spec-5392-56010-0778-dered.dr16,10.33644,9.96538
16271,spec-4396-55829-0765-dered.dr16,11.75943,8.90331
16278,spec-5968-56356-0574-dered.dr16,10.17289,9.91173
16331,spec-6433-56339-0278-dered.dr16,10.12773,9.27045
16474,spec-6005-56090-0577-dered.dr16,10.19438,9.7553
16478,spec-7283-57063-0630-dered.dr16,10.49457,9.92017
16539,spec-6675-56415-0348-dered.dr16,10.38341,9.49342
16553,spec-7643-57302-0545-dered.dr16,11.06798,9.3361
16638,spec-4289-55856-0720-dered.dr16,18.18007,3.53011
16665,spec-5351-55952-0762-dered.dr16,10.18504,9.00206
16673,spec-7839-56900-0563-dered.dr16,10.61974,7.41155
16722,spec-8060-57894-0736-dered.dr16,11.18332,7.38094
16855,spec-7286-57096-0698-dered.dr16,10.95083,7.19676
16860,spec-6757-56416-0804-dered.dr16,10.83109,8.98874
16896,spec-6431-56311-0740-dered.dr16,15.01404,4.2497
16911,spec-7640-57311-0252-dered.dr16,10.14291,9.59773
16941,spec-7101-56659-0514-dered.dr16,11.67792,8.47109
17001,spec-6012-56101-0456-dered.dr16,10.12451,9.52445
17008,spec-4544-55855-0200-dered.dr16,14.76845,9.59301
17058,spec-5881-56038-0730-dered.dr16,10.93299,9.78428
17089,spec-6685-56412-0592-dered.dr16,10.38628,8.82241
17155,spec-4768-55944-0842-dered.dr16,10.00779,9.29278
17233,spec-7047-56572-0010-dered.dr16,10.48456,8.85207
17251,spec-5973-56067-0370-dered.dr16,10.30615,9.66511
17378,spec-5397-55944-0818-dered.dr16,10.29165,9.43108
17530,spec-6468-56311-0010-dered.dr16,10.09336,8.21733
17577,spec-7237-56662-0915-dered.dr16,10.54588,9.98488
17592,spec-5439-56045-0646-dered.dr16,10.46688,9.86069
17659,spec-5324-55947-0950-dered.dr16,10.09996,8.87165
17714,spec-6595-56569-0763-dered.dr16,11.80008,9.79596
17747,spec-7642-57651-0532-dered.dr16,11.15236,4.4707
17849,spec-5991-56076-0882-dered.dr16,10.14234,9.33953
17884,spec-5113-55924-0694-dered.dr16,11.15207,9.15235
18008,spec-6507-56478-0940-dered.dr16,10.76243,9.8298
18216,spec-11097-58522-0070-dered.dr16,10.13132,9.69356
18332,spec-6417-56308-0862-dered.dr16,10.47072,9.49807
18423,spec-8495-57481-0766-dered.dr16,10.95309,9.40774
18425,spec-5388-55983-0896-dered.dr16,10.24408,9.89043
18439,spec-6453-56365-0322-dered.dr16,10.09412,7.89781
18563,spec-5351-55952-0766-dered.dr16,10.00824,9.93279
18654,spec-8870-57779-0580-dered.dr16,12.86847,8.45833
18656,spec-5431-56011-0720-dered.dr16,10.95516,8.75018
18704,spec-5993-56070-0934-dered.dr16,10.20032,9.98526
18792,spec-5372-55978-0388-dered.dr16,12.08702,9.83963
18935,spec-6973-56741-0388-dered.dr16,10.07347,9.80703
18983,spec-6582-56274-0754-dered.dr16,11.09546,9.04386
19441,spec-7317-56992-0693-dered.dr16,10.20582,9.27117
19457,spec-6667-56412-0388-dered.dr16,10.02966,8.20896
19573,spec-7093-56657-0042-dered.dr16,10.45963,8.74696
19648,spec-6189-56237-0912-dered.dr16,10.59527,9.87957
19919,spec-5851-56075-0413-dered.dr16,10.16903,9.44337
19931,spec-4989-56069-0880-dered.dr16,10.96965,8.49793
20262,spec-8865-57426-0906-dered.dr16,13.30121,7.90947
20733,spec-8379-57787-0692-dered.dr16,14.15342,8.90609
20853,spec-7714-57363-0238-dered.dr16,12.54859,7.71735
20857,spec-5443-56010-0816-dered.dr16,10.19847,9.45474
20976,spec-6809-56454-0182-dered.dr16,10.37695,9.60407
21287,spec-9562-57817-0307-dered.dr16,10.39735,9.8008
21320,spec-6701-56367-0340-dered.dr16,10.0803,9.81157
21321,spec-6788-56428-0314-dered.dr16,10.3613,9.59708
21486,spec-5119-55836-0824-dered.dr16,11.2417,9.85263
