SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
1,spec-10901-58397-0466-dered.dr16,spec-10901-58397-0466norm.dr16,1.9001,10.13723,19.31803,11408338.81230444,-1.5747192710811204
5,spec-9140-58039-0081-dered.dr16,spec-9140-58039-0081norm.dr16,1.9001,14.52915,31.09008,9.136363226131122,0.12921567597762829
16,spec-7671-57360-0092-dered.dr16,spec-7671-57360-0092norm.dr16,1.9007,14.24904,20.06011,398706632.10629,-2.0117904521946732
18,spec-8823-57446-0393-dered.dr16,spec-8823-57446-0393norm.dr16,1.9008,12.59337,15.44042,3111.334973513592,-0.6811473117333722
20,spec-4421-55858-0894-dered.dr16,spec-4421-55858-0894norm.dr16,1.901,11.72487,18.3041,124123.74971952119,-1.0709912072901155
21,spec-5297-55913-0686-dered.dr16,spec-5297-55913-0686norm.dr16,1.901,13.68913,23.77903,69693742.41467804,-1.82252436099494
27,spec-6138-56598-0594-dered.dr16,spec-6138-56598-0594norm.dr16,1.901,10.93293,15.70327,15917.486941077032,-1.003691898643563
33,spec-6783-56284-0672-dered.dr16,spec-6783-56284-0672norm.dr16,1.901,10.35758,13.96348,21795902.144430317,-1.7030035027428596
40,spec-9411-58070-0290-dered.dr16,spec-9411-58070-0290norm.dr16,1.9012,10.98391,17.80546,711.579219808027,-0.5022636935092263
44,spec-7732-58108-0100-dered.dr16,spec-7732-58108-0100norm.dr16,1.9013,12.21121,17.0435,9317239311854.86,-3.2138792169684143
47,spec-7743-58107-0994-dered.dr16,spec-7743-58107-0994norm.dr16,1.9014,13.30036,18.62242,17780098.476843677,-1.673663318354766
53,spec-7644-57327-0353-dered.dr16,spec-7644-57327-0353norm.dr16,1.9018,20.09637,28.44327,8315647181.505486,-2.311126027510497
58,spec-5326-56002-0370-dered.dr16,spec-5326-56002-0370norm.dr16,1.902,11.92705,20.34074,238012.82857579578,-1.1620729411286543
60,spec-5438-56002-0285-dered.dr16,spec-5438-56002-0285norm.dr16,1.902,12.85572,22.44028,95785.08665394782,-1.035844498430574
62,spec-5862-56045-0724-dered.dr16,spec-5862-56045-0724norm.dr16,1.902,22.61036,31.98818,5975800938.643607,-2.23580578830149
63,spec-5994-56101-0196-dered.dr16,spec-5994-56101-0196norm.dr16,1.902,14.15947,19.76061,9142689424.536436,-2.3944817132356446
87,spec-5450-55986-0680-dered.dr16,spec-5450-55986-0680norm.dr16,1.903,13.94217,21.32121,95662948.45000093,-1.8129850909918876
89,spec-5469-56037-0689-dered.dr16,spec-5469-56037-0689norm.dr16,1.903,12.09683,18.99494,10535126.199132757,-1.5756824746044682
96,spec-7118-56686-0018-dered.dr16,spec-7118-56686-0018norm.dr16,1.903,17.97948,20.89119,1058277.310224937,-1.2358321302842428
112,spec-5193-56066-0854-dered.dr16,spec-5193-56066-0854norm.dr16,1.904,11.22798,15.67236,13944642774.414734,-2.4657955784457477
114,spec-5371-55976-0375-dered.dr16,spec-5371-55976-0375norm.dr16,1.904,18.73816,27.01832,1980025.0578397128,-1.3442002887250932
116,spec-5459-56035-0821-dered.dr16,spec-5459-56035-0821norm.dr16,1.904,12.20822,18.74434,4067358.4139335672,-1.4876537744470455
117,spec-5470-56008-0024-dered.dr16,spec-5470-56008-0024norm.dr16,1.904,18.12188,25.6633,176943.17113171035,-1.05535349825497
119,spec-5787-56254-0280-dered.dr16,spec-5787-56254-0280norm.dr16,1.904,29.5747,41.40524,27233568.2658209,-1.5590676751272041
120,spec-5973-56067-0856-dered.dr16,spec-5973-56067-0856norm.dr16,1.904,10.97665,19.37706,1611798.1355923004,-1.3837909206934336
121,spec-5986-56328-0702-dered.dr16,spec-5986-56328-0702norm.dr16,1.904,16.3425,25.50593,1123157.3734040044,-1.3093719428126651
122,spec-6002-56104-0333-dered.dr16,spec-6002-56104-0333norm.dr16,1.904,11.7778,20.417,884693.9126987146,-1.3203068660993285
125,spec-6638-56370-0035-dered.dr16,spec-6638-56370-0035norm.dr16,1.904,15.21235,21.65079,278824.0841125625,-1.1605802585656235
127,spec-11124-58430-0782-dered.dr16,spec-11124-58430-0782norm.dr16,1.9041,16.63003,24.66305,1577614.3253798399,-1.3336413638610687
130,spec-11329-58426-0355-dered.dr16,spec-11329-58426-0355norm.dr16,1.9042,10.59265,16.35815,6536615.010279048,-1.5707462480829621
134,spec-7624-57039-0348-dered.dr16,spec-7624-57039-0348norm.dr16,1.9043,23.302,32.9649,3561233352.9599895,-2.1625607010091596
140,spec-7655-57336-0586-dered.dr16,spec-7655-57336-0586norm.dr16,1.9045,10.88304,16.66942,361445.0871373081,-1.2226543141546444
151,spec-5434-56033-0598-dered.dr16,spec-5434-56033-0598norm.dr16,1.905,14.05713,19.62886,7622015.589650861,-1.5390529962706665
152,spec-5790-56271-0352-dered.dr16,spec-5790-56271-0352norm.dr16,1.905,13.10794,15.6882,18047443.789900478,-1.6835887510875425
153,spec-5792-56269-0798-dered.dr16,spec-5792-56269-0798norm.dr16,1.905,10.11066,18.78405,527537.5918867157,-1.2464271726473992
157,spec-6709-56429-0316-dered.dr16,spec-6709-56429-0316norm.dr16,1.905,12.91772,19.85194,37806555.851624124,-1.747634992976902
158,spec-6809-56454-0922-dered.dr16,spec-6809-56454-0922norm.dr16,1.905,13.62789,18.31462,20728588.54663517,-1.6538034899042513
163,spec-11284-58420-0350-dered.dr16,spec-11284-58420-0350norm.dr16,1.9051,10.58393,16.14529,0.005550157835960318,0.8844324172952551
165,spec-7878-57340-0670-dered.dr16,spec-7878-57340-0670norm.dr16,1.9051,14.18126,28.57374,2589906.2384146554,-1.3939660229012287
171,spec-10472-58159-0789-dered.dr16,spec-10472-58159-0789norm.dr16,1.9053,13.49381,17.68101,62396148.90504401,-1.7968611395138565
179,spec-8745-57391-0609-dered.dr16,spec-8745-57391-0609norm.dr16,1.9058,10.51513,21.54526,44594.041046606726,-0.957835778325786
180,spec-7869-57012-0602-dered.dr16,spec-7869-57012-0602norm.dr16,1.9059,11.88078,19.57504,9320658.131776389,-1.6026286714108706
182,spec-5039-56220-0218-dered.dr16,spec-5039-56220-0218norm.dr16,1.906,12.08321,16.93472,14891673.048669394,-1.6852161121360751
183,spec-5166-56065-0730-dered.dr16,spec-5166-56065-0730norm.dr16,1.906,11.1709,17.45895,1491308544.8437972,-2.181646108296825
184,spec-5285-55946-0392-dered.dr16,spec-5285-55946-0392norm.dr16,1.906,10.13265,13.24335,994205.8443676257,-1.3393211679515704
185,spec-5312-56001-0140-dered.dr16,spec-5312-56001-0140norm.dr16,1.906,14.03535,19.61391,8917456.660057202,-1.579829638000047
187,spec-5430-56000-0420-dered.dr16,spec-5430-56000-0420norm.dr16,1.906,10.90569,13.40771,28909767.341205012,-1.7523204537509673
