SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
21824,spec-7282-56660-0528-dered.dr16,spec-7282-56660-0528norm.dr16,2.764,32.93279,30.82418,205030.64552451545,-1.0883209876015212
21825,spec-10908-58392-0076-dered.dr16,spec-10908-58392-0076norm.dr16,5.1181,26.01303,27.39786,38991462933.10533,-2.4375740010519835
21826,spec-11077-58433-0622-dered.dr16,spec-11077-58433-0622norm.dr16,5.1485,14.44489,17.29906,6815753434899835.0,-3.8408992325083946
21827,spec-10918-58254-0746-dered.dr16,spec-10918-58254-0746norm.dr16,5.1902,46.35591,45.21476,14324998.59722983,-1.3276350008998081
21828,spec-7742-58076-0406-dered.dr16,spec-7742-58076-0406norm.dr16,5.1951,17.03736,13.68393,137776.15372227505,-1.0732962714424175
21829,spec-8376-57786-0890-dered.dr16,spec-8376-57786-0890norm.dr16,5.205,18.74618,16.97055,51005.27392517381,-0.9813972591330803
21830,spec-11060-58523-0040-dered.dr16,spec-11060-58523-0040norm.dr16,5.3312,10.06377,13.31896,7.145568684348907e+23,-5.982439646810875
21831,spec-7687-57007-0061-dered.dr16,spec-7687-57007-0061norm.dr16,5.343,36.1471,35.28068,28740.956084542842,-0.8025684543291766
21832,spec-5298-55979-0232-dered.dr16,spec-5298-55979-0232norm.dr16,5.36,10.40867,17.18507,0.0009557048146899078,0.9164359929683001
21834,spec-6793-56430-0992-dered.dr16,spec-6793-56430-0992norm.dr16,5.414,15.16176,16.50621,1.2295470703458629,0.2083028431072122
21835,spec-11349-58441-0723-dered.dr16,spec-11349-58441-0723norm.dr16,5.438,28.97126,25.67547,177.47595174545305,-0.2582879822983788
21836,spec-7586-57186-0008-dered.dr16,spec-7586-57186-0008norm.dr16,5.5133,18.43726,20.43214,618570186.993053,-1.9978701080993537
21838,spec-9565-58127-0536-dered.dr16,spec-9565-58127-0536norm.dr16,5.6085,29.80147,36.41808,697715.2910180372,-1.1439273437931328
21840,spec-11084-58427-0766-dered.dr16,spec-11084-58427-0766norm.dr16,5.6481,17.55311,18.08028,1.811483865770071e+18,-4.4245663039501375
21841,spec-9239-58018-0738-dered.dr16,spec-9239-58018-0738norm.dr16,5.7212,16.61864,17.43774,5294013.214123692,-1.5483559437493333
21843,spec-8533-58017-0582-dered.dr16,spec-8533-58017-0582norm.dr16,5.7842,17.65605,19.08708,56134424178.51345,-2.5004177266472665
21844,spec-10740-58223-0592-dered.dr16,spec-10740-58223-0592norm.dr16,5.7952,12.77428,12.49315,34.29731008797523,-0.2160175562860582
21845,spec-8746-58396-0731-dered.dr16,spec-8746-58396-0731norm.dr16,5.8526,17.38361,17.37194,19.440617411100746,-0.11687274310815089
21846,spec-10742-58198-0490-dered.dr16,spec-10742-58198-0490norm.dr16,5.9661,16.46105,19.67464,11434.855055255344,-0.7665144427886644
21847,spec-5422-55986-0380-dered.dr16,spec-5422-55986-0380norm.dr16,6.0049,17.08656,13.37795,5894418.279663036,-1.4316711147418095
21850,spec-10447-58143-0881-dered.dr16,spec-10447-58143-0881norm.dr16,6.1647,14.33248,13.83521,337956475849.9063,-2.688643959411042
21851,spec-9167-58064-0914-dered.dr16,spec-9167-58064-0914norm.dr16,6.2465,10.39791,10.63817,0.002331200006246738,0.83470332430185
