SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
1,spec-10901-58397-0466-dered.dr16,spec-10901-58397-0466norm.dr16,1.9001,10.13723,19.31803,14018280.543005684,-1.6005247086857584
5,spec-9140-58039-0081-dered.dr16,spec-9140-58039-0081norm.dr16,1.9001,14.52915,31.09008,8.91154284240097,0.1324715998482844
16,spec-7671-57360-0092-dered.dr16,spec-7671-57360-0092norm.dr16,1.9007,14.24904,20.06011,423326726.62057346,-2.0181350617296197
20,spec-4421-55858-0894-dered.dr16,spec-4421-55858-0894norm.dr16,1.901,11.72487,18.3041,130121.30936861674,-1.0761771720165356
21,spec-5297-55913-0686-dered.dr16,spec-5297-55913-0686norm.dr16,1.901,13.68913,23.77903,160040131.66517556,-1.926277031503324
27,spec-6138-56598-0594-dered.dr16,spec-6138-56598-0594norm.dr16,1.901,10.93293,15.70327,15794.948066997662,-1.0042957953469471
33,spec-6783-56284-0672-dered.dr16,spec-6783-56284-0672norm.dr16,1.901,10.35758,13.96348,33989427.152613744,-1.7595497360775547
39,spec-9155-58043-0456-dered.dr16,spec-9155-58043-0456norm.dr16,1.9011,15.2926,25.09606,56982.60530925338,-0.9090983150017686
40,spec-9411-58070-0290-dered.dr16,spec-9411-58070-0290norm.dr16,1.9012,10.98391,17.80546,621.7179403230168,-0.4861102277093327
44,spec-7732-58108-0100-dered.dr16,spec-7732-58108-0100norm.dr16,1.9013,12.21121,17.0435,21994868260494.863,-3.318656300478582
47,spec-7743-58107-0994-dered.dr16,spec-7743-58107-0994norm.dr16,1.9014,13.30036,18.62242,27769621.037287068,-1.7300353530214014
53,spec-7644-57327-0353-dered.dr16,spec-7644-57327-0353norm.dr16,1.9018,20.09637,28.44327,12677975873.069056,-2.3632685295922706
58,spec-5326-56002-0370-dered.dr16,spec-5326-56002-0370norm.dr16,1.902,11.92705,20.34074,313335.2886646911,-1.1981570894149673
60,spec-5438-56002-0285-dered.dr16,spec-5438-56002-0285norm.dr16,1.902,12.85572,22.44028,109985.13969219339,-1.0537481784404161
62,spec-5862-56045-0724-dered.dr16,spec-5862-56045-0724norm.dr16,1.902,22.61036,31.98818,8598036078.05369,-2.2808318873896716
63,spec-5994-56101-0196-dered.dr16,spec-5994-56101-0196norm.dr16,1.902,14.15947,19.76061,23490987938.734028,-2.511365217149542
87,spec-5450-55986-0680-dered.dr16,spec-5450-55986-0680norm.dr16,1.903,13.94217,21.32121,160236096.99905762,-1.877252142403762
89,spec-5469-56037-0689-dered.dr16,spec-5469-56037-0689norm.dr16,1.903,12.09683,18.99494,16862228.604303155,-1.6339915300147339
91,spec-6428-56279-0192-dered.dr16,spec-6428-56279-0192norm.dr16,1.903,10.40129,13.35306,9026859.480376683,-1.6958237712336865
96,spec-7118-56686-0018-dered.dr16,spec-7118-56686-0018norm.dr16,1.903,17.97948,20.89119,1221758.5651888663,-1.2568302568034562
97,spec-7235-56603-0711-dered.dr16,spec-7235-56603-0711norm.dr16,1.903,16.17547,27.99435,2566035504.224767,-2.1660624973763833
102,spec-11314-58436-0494-dered.dr16,spec-11314-58436-0494norm.dr16,1.9032,25.26122,35.71667,10652775407.017904,-2.324660745518196
112,spec-5193-56066-0854-dered.dr16,spec-5193-56066-0854norm.dr16,1.904,11.22798,15.67236,26830214826.37651,-2.5467707816774574
114,spec-5371-55976-0375-dered.dr16,spec-5371-55976-0375norm.dr16,1.904,18.73816,27.01832,2075429.174218999,-1.3511921814640528
116,spec-5459-56035-0821-dered.dr16,spec-5459-56035-0821norm.dr16,1.904,12.20822,18.74434,6500208.389929349,-1.5464006829980588
117,spec-5470-56008-0024-dered.dr16,spec-5470-56008-0024norm.dr16,1.904,18.12188,25.6633,177756.0309885943,-1.0573338742461134
119,spec-5787-56254-0280-dered.dr16,spec-5787-56254-0280norm.dr16,1.904,29.5747,41.40524,33932285.30719286,-1.5861593231503681
120,spec-5973-56067-0856-dered.dr16,spec-5973-56067-0856norm.dr16,1.904,10.97665,19.37706,2111263.2789215147,-1.4184169770466186
121,spec-5986-56328-0702-dered.dr16,spec-5986-56328-0702norm.dr16,1.904,16.3425,25.50593,1144003.484700296,-1.3125619785196205
122,spec-6002-56104-0333-dered.dr16,spec-6002-56104-0333norm.dr16,1.904,11.7778,20.417,1090292.8421446672,-1.347212221999972
125,spec-6638-56370-0035-dered.dr16,spec-6638-56370-0035norm.dr16,1.904,15.21235,21.65079,317927.617459796,-1.1781941369160367
127,spec-11124-58430-0782-dered.dr16,spec-11124-58430-0782norm.dr16,1.9041,16.63003,24.66305,1837563.2808550447,-1.3543975856716646
130,spec-11329-58426-0355-dered.dr16,spec-11329-58426-0355norm.dr16,1.9042,10.59265,16.35815,10714490.607959038,-1.6333204575421791
134,spec-7624-57039-0348-dered.dr16,spec-7624-57039-0348norm.dr16,1.9043,23.302,32.9649,4464901835.163984,-2.1906689113816924
140,spec-7655-57336-0586-dered.dr16,spec-7655-57336-0586norm.dr16,1.9045,10.88304,16.66942,353590.42413032614,-1.2199790979601914
149,spec-5205-56040-0352-dered.dr16,spec-5205-56040-0352norm.dr16,1.905,10.28742,15.93072,332809133.49031395,-2.0249859708029323
151,spec-5434-56033-0598-dered.dr16,spec-5434-56033-0598norm.dr16,1.905,14.05713,19.62886,10733061.287650667,-1.5832577589514572
152,spec-5790-56271-0352-dered.dr16,spec-5790-56271-0352norm.dr16,1.905,13.10794,15.6882,28735307.16609373,-1.7427130435240068
153,spec-5792-56269-0798-dered.dr16,spec-5792-56269-0798norm.dr16,1.905,10.11066,18.78405,588880.3933185573,-1.2628709727019238
157,spec-6709-56429-0316-dered.dr16,spec-6709-56429-0316norm.dr16,1.905,12.91772,19.85194,46100445.95225272,-1.771695766718778
158,spec-6809-56454-0922-dered.dr16,spec-6809-56454-0922norm.dr16,1.905,13.62789,18.31462,23146432.467383932,-1.667744865321412
163,spec-11284-58420-0350-dered.dr16,spec-11284-58420-0350norm.dr16,1.9051,10.58393,16.14529,0.005550157835960318,0.8844324172952551
171,spec-10472-58159-0789-dered.dr16,spec-10472-58159-0789norm.dr16,1.9053,13.49381,17.68101,75562963.95236687,-1.8207188329619812
179,spec-8745-57391-0609-dered.dr16,spec-8745-57391-0609norm.dr16,1.9058,10.51513,21.54526,42242.13771110599,-0.9524571912178845
180,spec-7869-57012-0602-dered.dr16,spec-7869-57012-0602norm.dr16,1.9059,11.88078,19.57504,12649891.076536002,-1.6413846091222102
181,spec-9156-58039-0299-dered.dr16,spec-9156-58039-0299norm.dr16,1.9059,10.24178,15.66901,797603905.7879663,-2.1477073353083282
182,spec-5039-56220-0218-dered.dr16,spec-5039-56220-0218norm.dr16,1.906,12.08321,16.93472,22028122.906282876,-1.7336124594795532
183,spec-5166-56065-0730-dered.dr16,spec-5166-56065-0730norm.dr16,1.906,11.1709,17.45895,2477474121.3557806,-2.244633464970577
184,spec-5285-55946-0392-dered.dr16,spec-5285-55946-0392norm.dr16,1.906,10.13265,13.24335,994205.8443676257,-1.3393211679515704
185,spec-5312-56001-0140-dered.dr16,spec-5312-56001-0140norm.dr16,1.906,14.03535,19.61391,10568625.770246707,-1.6018526261555908
187,spec-5430-56000-0420-dered.dr16,spec-5430-56000-0420norm.dr16,1.906,10.90569,13.40771,57697233.478951305,-1.8389892491710618
189,spec-5491-56034-0704-dered.dr16,spec-5491-56034-0704norm.dr16,1.906,12.75222,22.96843,3474736.5492211804,-1.4233825360970038
193,spec-5891-56034-0076-dered.dr16,spec-5891-56034-0076norm.dr16,1.906,14.30996,19.19935,2419245.910983836,-1.4058497422539609
196,spec-6434-56362-0340-dered.dr16,spec-6434-56362-0340norm.dr16,1.906,14.06034,20.38228,57603.92392808654,-0.943087215567642
199,spec-6649-56364-0826-dered.dr16,spec-6649-56364-0826norm.dr16,1.906,15.73706,21.73594,19324458.575524833,-1.6113445111400662
202,spec-8401-57482-0335-dered.dr16,spec-8401-57482-0335norm.dr16,1.906,12.53725,20.91685,22274.92581517661,-0.847390556841694
203,spec-8743-57663-0103-dered.dr16,spec-8743-57663-0103norm.dr16,1.906,14.83578,18.32624,197486024574.50327,-2.779709601662074
204,spec-8864-57428-0151-dered.dr16,spec-8864-57428-0151norm.dr16,1.9061,11.02471,16.22151,17056341.270877466,-1.662264316089842
205,spec-9180-57693-0324-dered.dr16,spec-9180-57693-0324norm.dr16,1.9061,13.27971,21.65664,216507.25041641996,-1.1281083922597859
215,spec-7584-56957-0901-dered.dr16,spec-7584-56957-0901norm.dr16,1.9069,14.24583,21.2536,55360619.64704512,-1.7363371718310903
216,spec-11040-58456-0317-dered.dr16,spec-11040-58456-0317norm.dr16,1.907,11.54183,18.55968,111388254.01855494,-1.8831009321206804
218,spec-5289-55893-0480-dered.dr16,spec-5289-55893-0480norm.dr16,1.907,14.36515,19.92861,16748436888.373724,-2.483548416021036
221,spec-5811-56334-0139-dered.dr16,spec-5811-56334-0139norm.dr16,1.907,13.13076,23.08618,6460.7141290653335,-0.6823060648644442
223,spec-5992-56066-0320-dered.dr16,spec-5992-56066-0320norm.dr16,1.907,11.91509,14.40646,29969074129.83223,-2.572284749317325
227,spec-6623-56367-0121-dered.dr16,spec-6623-56367-0121norm.dr16,1.907,11.8914,16.31432,2536935393.563535,-2.265394014219686
229,spec-7088-56657-0068-dered.dr16,spec-7088-56657-0068norm.dr16,1.907,16.99714,21.37267,521956442.9502073,-2.080070899006928
230,spec-7108-56686-0069-dered.dr16,spec-7108-56686-0069norm.dr16,1.907,10.7677,17.63754,1000753.8525220235,-1.3527170527517602
232,spec-7629-56988-0018-dered.dr16,spec-7629-56988-0018norm.dr16,1.907,12.74775,18.63976,17015.816115335943,-0.8352997566655711
236,spec-7660-57357-0278-dered.dr16,spec-7660-57357-0278norm.dr16,1.9073,10.12223,13.55712,147.1034223231557,-0.3650075506684667
240,spec-8822-58167-0348-dered.dr16,spec-8822-58167-0348norm.dr16,1.9075,10.27527,13.55732,18568.83285756223,-0.910050978290953
246,spec-7616-56902-0364-dered.dr16,spec-7616-56902-0364norm.dr16,1.9078,14.37535,24.1359,1348.0376143053768,-0.48420809005907667
252,spec-5439-56045-0250-dered.dr16,spec-5439-56045-0250norm.dr16,1.908,13.0907,20.34068,32749282.809447136,-1.7155907024074728
258,spec-7059-56592-0776-dered.dr16,spec-7059-56592-0776norm.dr16,1.908,10.22679,19.38366,78395200544.08388,-2.6813830247747457
260,spec-7696-57655-0835-dered.dr16,spec-7696-57655-0835norm.dr16,1.908,10.8935,20.86646,143408.48558809093,-1.1004416483487964
262,spec-8500-57432-0800-dered.dr16,spec-8500-57432-0800norm.dr16,1.908,15.07525,21.58291,168245634.1860686,-1.91303687049315
268,spec-9549-57807-0478-dered.dr16,spec-9549-57807-0478norm.dr16,1.9083,10.28649,12.30335,4448991001.436545,-2.387962462432433
276,spec-5202-55824-0174-dered.dr16,spec-5202-55824-0174norm.dr16,1.909,11.2569,16.12446,641351483.2971395,-2.116708685760326
279,spec-5996-56096-0608-dered.dr16,spec-5996-56096-0608norm.dr16,1.909,15.89536,25.54516,6979789.700581313,-1.4635627144911865
280,spec-6202-56266-0584-dered.dr16,spec-6202-56266-0584norm.dr16,1.909,26.06862,43.0472,0.6252464649520992,0.5674190557266295
281,spec-6427-56328-0110-dered.dr16,spec-6427-56328-0110norm.dr16,1.909,10.09838,12.66113,8757836.162543673,-1.6409259051734526
282,spec-6986-56717-0170-dered.dr16,spec-6986-56717-0170norm.dr16,1.909,10.1873,11.89153,70981545.4976871,-1.8835167748374226
283,spec-7088-56657-0588-dered.dr16,spec-7088-56657-0588norm.dr16,1.909,12.6598,13.67434,108577201.01633132,-1.9407172438939941
285,spec-8857-57449-0410-dered.dr16,spec-8857-57449-0410norm.dr16,1.909,10.5118,16.17627,76962133.62411682,-1.871744403470078
288,spec-9606-58103-0149-dered.dr16,spec-9606-58103-0149norm.dr16,1.9092,14.48105,23.71033,16397702.763760276,-1.6041645253185626
291,spec-9329-57688-0257-dered.dr16,spec-9329-57688-0257norm.dr16,1.9094,12.94911,25.03324,5165.115739239945,-0.722575532858647
294,spec-10232-58223-0222-dered.dr16,spec-10232-58223-0222norm.dr16,1.9097,10.1277,13.83262,51634528.60513333,-1.8323837891236314
296,spec-7892-57333-0134-dered.dr16,spec-7892-57333-0134norm.dr16,1.9098,15.68693,23.61623,3799033.754383092,-1.4484088265175872
299,spec-8504-57518-0098-dered.dr16,spec-8504-57518-0098norm.dr16,1.9099,10.65081,17.68532,3162.821965298582,-0.6384396680433079
302,spec-5204-56036-0816-dered.dr16,spec-5204-56036-0816norm.dr16,1.91,19.6716,31.33261,562694955.6222513,-1.941186717178274
303,spec-5360-55983-0014-dered.dr16,spec-5360-55983-0014norm.dr16,1.91,11.55566,21.10499,4050.341964334059,-0.6398956500849095
311,spec-5890-56037-0394-dered.dr16,spec-5890-56037-0394norm.dr16,1.91,12.6032,15.43742,22854182.963428397,-1.6996463510514455
312,spec-5894-56039-0220-dered.dr16,spec-5894-56039-0220norm.dr16,1.91,20.66136,27.43925,371155144.15515727,-1.9477832581006114
313,spec-5900-56043-0250-dered.dr16,spec-5900-56043-0250norm.dr16,1.91,14.19224,20.35825,48718481.31049215,-1.7635281664835463
315,spec-6017-56075-0590-dered.dr16,spec-6017-56075-0590norm.dr16,1.91,11.75031,18.6091,366141.45102498034,-1.1795953318097454
316,spec-6406-56330-0854-dered.dr16,spec-6406-56330-0854norm.dr16,1.91,10.98707,16.90803,4269864.739760529,-1.5100014556833168
317,spec-6429-56274-0236-dered.dr16,spec-6429-56274-0236norm.dr16,1.91,10.233,12.82956,33574209.12301246,-1.837848340815957
320,spec-6833-56413-0278-dered.dr16,spec-6833-56413-0278norm.dr16,1.91,18.38328,29.54184,128.59229914184291,-0.15436479429267283
322,spec-7565-56809-0200-dered.dr16,spec-7565-56809-0200norm.dr16,1.91,12.03942,22.11979,34653871.53249951,-1.6992730329714545
325,spec-10467-58138-0567-dered.dr16,spec-10467-58138-0567norm.dr16,1.9101,10.04609,16.41016,42308.19861776106,-0.9418763940218075
330,spec-10449-58137-0887-dered.dr16,spec-10449-58137-0887norm.dr16,1.9104,10.05336,13.43921,1518050668.971994,-2.27584041008375
334,spec-8743-57663-0458-dered.dr16,spec-8743-57663-0458norm.dr16,1.9105,19.2688,27.38328,235595.6711235135,-1.0607505535172908
336,spec-9143-57665-0035-dered.dr16,spec-9143-57665-0035norm.dr16,1.9106,13.93511,20.32734,786.9932606923679,-0.46867876392861313
340,spec-7915-57309-0358-dered.dr16,spec-7915-57309-0358norm.dr16,1.9108,10.60537,14.76672,2833397.417972756,-1.5186401867999506
341,spec-7906-57333-0305-dered.dr16,spec-7906-57333-0305norm.dr16,1.9109,10.145,15.7732,148664.33528486543,-1.126539064964506
343,spec-5200-56091-0107-dered.dr16,spec-5200-56091-0107norm.dr16,1.911,11.20204,15.55754,106761914.71862319,-1.9144046182495353
348,spec-6644-56384-0409-dered.dr16,spec-6644-56384-0409norm.dr16,1.911,12.73893,18.40858,45363369.15003428,-1.758773578437905
349,spec-6737-56365-0860-dered.dr16,spec-6737-56365-0860norm.dr16,1.911,14.01903,19.97517,473076.7831892389,-1.246335724630533
361,spec-7842-56899-0718-dered.dr16,spec-7842-56899-0718norm.dr16,1.9111,10.9797,20.74003,39740594.74717692,-1.8027566150536007
365,spec-9405-58048-0552-dered.dr16,spec-9405-58048-0552norm.dr16,1.9112,10.09337,16.68049,14.402774372528947,-0.007363777382147215
368,spec-7679-57367-0342-dered.dr16,spec-7679-57367-0342norm.dr16,1.9116,12.0147,22.89444,4739343.72560544,-1.4815923545330825
374,spec-8379-57787-0065-dered.dr16,spec-8379-57787-0065norm.dr16,1.9119,10.49657,14.33691,642972159.6865005,-2.156225337145432
376,spec-5339-55922-0676-dered.dr16,spec-5339-55922-0676norm.dr16,1.912,15.73516,30.45133,10.693342597908723,0.009222448045248258
380,spec-5974-56314-0518-dered.dr16,spec-5974-56314-0518norm.dr16,1.912,14.05225,20.45921,484507023.3399422,-1.999637810890824
381,spec-5977-56098-0276-dered.dr16,spec-5977-56098-0276norm.dr16,1.912,18.25204,23.86451,215455873.52481148,-1.9253534083618469
382,spec-6040-56101-0884-dered.dr16,spec-6040-56101-0884norm.dr16,1.912,10.82732,14.15483,637184934.8471258,-2.1195689785278344
383,spec-6492-56362-0738-dered.dr16,spec-6492-56362-0738norm.dr16,1.912,14.22259,18.15277,5718946.703725239,-1.5253120210896358
388,spec-7729-58135-0732-dered.dr16,spec-7729-58135-0732norm.dr16,1.9121,10.46063,19.80444,14894.219399585358,-0.8687688777754798
392,spec-7633-56931-0960-dered.dr16,spec-7633-56931-0960norm.dr16,1.9126,10.45819,15.35069,2912188542.8262935,-2.281868480178037
393,spec-8371-57786-0265-dered.dr16,spec-8371-57786-0265norm.dr16,1.9126,11.2065,15.19113,3508906.0187084717,-1.531016288588948
398,spec-9590-57813-0295-dered.dr16,spec-9590-57813-0295norm.dr16,1.9129,19.11131,26.94338,19040709745.04784,-2.378060037809602
399,spec-4468-55894-0786-dered.dr16,spec-4468-55894-0786norm.dr16,1.913,21.70401,29.83013,329786387.7487433,-1.917035180776292
402,spec-5203-56034-0346-dered.dr16,spec-5203-56034-0346norm.dr16,1.913,15.6459,21.46691,1653998.8519834927,-1.350007644778391
404,spec-5377-55957-0558-dered.dr16,spec-5377-55957-0558norm.dr16,1.913,12.16359,24.64495,0.4176042613419098,0.42846315345808644
406,spec-5782-56272-0604-dered.dr16,spec-5782-56272-0604norm.dr16,1.913,13.73779,21.56313,1352579586.3512135,-2.169841629389428
410,spec-5997-56309-0870-dered.dr16,spec-5997-56309-0870norm.dr16,1.913,19.14384,29.64623,2663586.284257198,-1.3746269044638229
412,spec-6482-56358-0520-dered.dr16,spec-6482-56358-0520norm.dr16,1.913,10.22304,12.9117,246893.4651267608,-1.1848846734893677
413,spec-6627-56369-0996-dered.dr16,spec-6627-56369-0996norm.dr16,1.913,11.76809,15.53,26428660.2205488,-1.692459032067915
415,spec-7382-56991-0118-dered.dr16,spec-7382-56991-0118norm.dr16,1.913,11.70747,14.40089,1451068353.4065354,-2.247845991113014
416,spec-8862-57461-0960-dered.dr16,spec-8862-57461-0960norm.dr16,1.913,18.94481,28.0976,3223578405686.3164,-3.063099169020463
418,spec-9549-57807-0304-dered.dr16,spec-9549-57807-0304norm.dr16,1.913,14.78586,19.78879,146943125.90467286,-1.914003326380521
420,spec-7619-56900-0602-dered.dr16,spec-7619-56900-0602norm.dr16,1.9131,10.8122,16.60622,265617206.8843059,-2.0043663333726176
423,spec-7668-57579-0707-dered.dr16,spec-7668-57579-0707norm.dr16,1.9132,10.0733,18.30951,9512645.446623452,-1.6218760914191255
431,spec-8760-57672-0002-dered.dr16,spec-8760-57672-0002norm.dr16,1.9135,10.66012,22.13469,0.001736950157938664,1.046478683332094
439,spec-5352-56269-0584-dered.dr16,spec-5352-56269-0584norm.dr16,1.914,22.91808,31.11114,9960339.413479201,-1.557192950711057
456,spec-10434-58140-0572-dered.dr16,spec-10434-58140-0572norm.dr16,1.9143,11.81527,16.16488,52731003.391177624,-1.7808597327087512
457,spec-9147-58038-0241-dered.dr16,spec-9147-58038-0241norm.dr16,1.9144,10.13732,15.83046,0.23069106037310164,0.4685892084871083
459,spec-7630-57006-0180-dered.dr16,spec-7630-57006-0180norm.dr16,1.9147,16.91822,23.55755,457622652.65623647,-2.0343964038038114
460,spec-7821-57279-0079-dered.dr16,spec-7821-57279-0079norm.dr16,1.9147,10.14557,15.78055,204089.55929322116,-1.169318037181586
464,spec-11294-58451-0910-dered.dr16,spec-11294-58451-0910norm.dr16,1.915,10.3628,15.97981,1688648930.0979733,-2.242686301064928
466,spec-5403-55979-0500-dered.dr16,spec-5403-55979-0500norm.dr16,1.915,14.56991,22.25524,3014756.7455020268,-1.4006031365821126
