SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
1,spec-10431-58137-0135-dered.dr16,spec-10431-58137-0135norm.dr16,1.914,13.83831,18.46092,13227.504217737913,-0.810927699799062
2,spec-5187-56074-0092-dered.dr16,spec-5187-56074-0092norm.dr16,1.945,25.697,35.5062,4728187.733202282,-1.3321586160969443
3,spec-7597-56973-0699-dered.dr16,spec-7597-56973-0699norm.dr16,1.969,14.27573,24.8772,112.30474189891285,-0.22024092954088803
4,spec-5454-56015-0104-dered.dr16,spec-5454-56015-0104norm.dr16,2.0,11.61473,15.97827,5389.961847574197,-0.7352848763192458
5,spec-5778-56328-0973-dered.dr16,spec-5778-56328-0973norm.dr16,2.015,14.83106,19.98327,311587.7969790464,-1.17861598770986
6,spec-6621-56366-0502-dered.dr16,spec-6621-56366-0502norm.dr16,2.028,19.72603,25.52207,29865.740916068593,-0.7989193801368341
7,spec-11634-58484-0334-dered.dr16,spec-11634-58484-0334norm.dr16,2.0461,11.89765,17.33883,6960.779256418846,-0.7293748188959766
8,spec-5391-56000-0254-dered.dr16,spec-5391-56000-0254norm.dr16,2.079,28.13357,34.18243,768286.2718735784,-1.2015702377978155
9,spec-7861-57281-0472-dered.dr16,spec-7861-57281-0472norm.dr16,2.0838,11.82054,13.40981,75559595.50467254,-1.8761621694857078
10,spec-5807-56329-0778-dered.dr16,spec-5807-56329-0778norm.dr16,2.089,29.7898,35.65065,24449754.488636106,-1.5318623144639127
11,spec-5212-56016-0348-dered.dr16,spec-5212-56016-0348norm.dr16,2.138,23.86843,27.72645,3772.440566005882,-0.6028077575814481
12,spec-6674-56416-0693-dered.dr16,spec-6674-56416-0693norm.dr16,2.145,11.377,17.60144,0.007152796081309793,0.8501503530628451
13,spec-5372-55978-0916-dered.dr16,spec-5372-55978-0916norm.dr16,2.16,10.01865,13.53508,212.97479914807616,-0.40391532700513155
14,spec-5356-55979-0586-dered.dr16,spec-5356-55979-0586norm.dr16,2.231,13.247,12.27479,86306.11755854455,-1.0842496351279365
15,spec-7148-56591-0664-dered.dr16,spec-7148-56591-0664norm.dr16,2.248,13.23612,11.89801,123495.54863392933,-1.1624788088925075
16,spec-7678-57282-0598-dered.dr16,spec-7678-57282-0598norm.dr16,2.2507,11.63167,16.63723,372.54357415140305,-0.43478559264504313
17,spec-6674-56416-0964-dered.dr16,spec-6674-56416-0964norm.dr16,2.295,12.69295,12.22923,60242.50091035486,-1.0487882916643756
18,spec-5809-56353-0704-dered.dr16,spec-5809-56353-0704norm.dr16,2.308,14.85248,11.31122,3798048.2661575307,-1.5407353355523026
19,spec-8524-57656-0969-dered.dr16,spec-8524-57656-0969norm.dr16,2.314,19.09821,21.21054,29118.16215807677,-0.9124588738417315
20,spec-4538-55860-0660-dered.dr16,spec-4538-55860-0660norm.dr16,2.323,12.4685,13.37625,231.14214363897526,-0.4279038520059982
21,spec-4663-55893-0248-dered.dr16,spec-4663-55893-0248norm.dr16,2.361,22.08493,21.63305,10195.766439136807,-0.7497737560395826
22,spec-4419-55867-0178-dered.dr16,spec-4419-55867-0178norm.dr16,2.362,16.88509,18.15828,46.95636628418955,-0.14995480508951664
23,spec-6318-56186-0342-dered.dr16,spec-6318-56186-0342norm.dr16,2.369,14.45799,14.48885,2144.838878926951,-0.6550902124719042
24,spec-6257-56274-0490-dered.dr16,spec-6257-56274-0490norm.dr16,2.37,17.30719,13.35247,121314579.09356776,-1.8493770980618354
25,spec-6806-56419-0302-dered.dr16,spec-6806-56419-0302norm.dr16,2.37,13.7273,13.58384,667.2230144234039,-0.509125071830422
26,spec-6976-56448-0440-dered.dr16,spec-6976-56448-0440norm.dr16,2.385,17.78099,19.57809,1485.0102349965002,-0.5223591291664057
27,spec-6729-56419-0322-dered.dr16,spec-6729-56419-0322norm.dr16,2.394,18.60493,18.61889,1008.9168479304252,-0.5026153551467315
28,spec-6138-56598-0754-dered.dr16,spec-6138-56598-0754norm.dr16,2.395,24.77012,24.75767,9.7565318388881,-0.12017408751496773
29,spec-6754-56414-0240-dered.dr16,spec-6754-56414-0240norm.dr16,2.395,12.28429,13.84518,441.4854081099413,-0.47125616365414547
30,spec-5039-56220-0625-dered.dr16,spec-5039-56220-0625norm.dr16,2.408,23.08663,23.49805,4354.866665146233,-0.6436498264752945
31,spec-5486-56030-0078-dered.dr16,spec-5486-56030-0078norm.dr16,2.419,13.20276,13.96658,1131.4111478767882,-0.5823096545329622
32,spec-5427-56001-0204-dered.dr16,spec-5427-56001-0204norm.dr16,2.444,18.84151,18.02541,14566.149152528442,-0.8392389688194599
33,spec-5745-55998-0657-dered.dr16,spec-5745-55998-0657norm.dr16,2.466,12.33595,12.95258,1691.2211902061056,-0.6300467158945394
34,spec-5998-56087-0294-dered.dr16,spec-5998-56087-0294norm.dr16,2.545,14.16405,12.33379,1818404.8048707847,-1.47387907075325
35,spec-6640-56385-0896-dered.dr16,spec-6640-56385-0896norm.dr16,2.549,10.21153,11.74678,0.46577637856054555,0.30044618909522036
36,spec-5430-56000-0964-dered.dr16,spec-5430-56000-0964norm.dr16,2.552,11.41741,14.76131,1486.7871594176247,-0.6213028289048442
37,spec-6969-56420-0959-dered.dr16,spec-6969-56420-0959norm.dr16,2.572,12.49892,12.73586,53.636681638793654,-0.2170553882421973
38,spec-5338-56002-0157-dered.dr16,spec-5338-56002-0157norm.dr16,2.585,14.23778,13.11698,2215079.4439161345,-1.4836381451212972
39,spec-9345-57713-0464-dered.dr16,spec-9345-57713-0464norm.dr16,2.61,27.37706,24.2946,628172.8776853272,-1.2220187160201443
40,spec-6313-56460-0295-dered.dr16,spec-6313-56460-0295norm.dr16,2.615,22.95622,20.66545,4868228.213158866,-1.4730812365813366
41,spec-11277-58450-0622-dered.dr16,spec-11277-58450-0622norm.dr16,2.6276,23.2907,25.41373,40.43199724745892,-0.08980395120598812
42,spec-7391-56781-0721-dered.dr16,spec-7391-56781-0721norm.dr16,2.63,24.88217,26.41178,7886.297809243295,-0.6788880819750231
43,spec-5494-55857-0549-dered.dr16,spec-5494-55857-0549norm.dr16,2.635,27.59846,22.82751,6460147.370713243,-1.499575097496838
44,spec-7701-57356-0794-dered.dr16,spec-7701-57356-0794norm.dr16,2.6636,20.06602,23.62581,126.81782170598468,-0.2771938318402423
45,spec-8205-58143-0500-dered.dr16,spec-8205-58143-0500norm.dr16,2.6904,15.09881,15.98601,100.90786991992002,-0.24773920893727855
46,spec-7089-56661-0060-dered.dr16,spec-7089-56661-0060norm.dr16,2.702,20.75997,16.48688,139090.44879710104,-1.0911470804712586
47,spec-6199-56220-0264-dered.dr16,spec-6199-56220-0264norm.dr16,2.762,24.14983,25.16328,2.031859367709555,0.22282244440583115
48,spec-5394-56001-0990-dered.dr16,spec-5394-56001-0990norm.dr16,2.842,26.02273,24.19127,474946.03301110666,-1.1717971102983258
49,spec-6670-56389-0168-dered.dr16,spec-6670-56389-0168norm.dr16,2.846,27.76658,24.36338,54661357.68522703,-1.7157991925627571
50,spec-8507-57878-0108-dered.dr16,spec-8507-57878-0108norm.dr16,2.8586,13.61217,12.48467,1321.0129902892718,-0.6468945111283647
51,spec-8839-57846-0634-dered.dr16,spec-8839-57846-0634norm.dr16,2.8595,14.0669,17.82099,0.24569565127683907,0.4072547880389313
52,spec-7694-57359-0006-dered.dr16,spec-7694-57359-0006norm.dr16,2.86,16.13597,15.36852,429.5361251573829,-0.44593368073425155
53,spec-5896-56047-0658-dered.dr16,spec-5896-56047-0658norm.dr16,2.892,17.72636,19.92415,83.28533401346263,-0.2611518946380719
54,spec-8381-57512-0320-dered.dr16,spec-8381-57512-0320norm.dr16,2.9289,17.58276,19.55694,32.05287044304527,-0.12517579632707468
55,spec-6182-56190-0657-dered.dr16,spec-6182-56190-0657norm.dr16,2.968,17.26976,14.60183,226705.30025962333,-1.1892947753663707
56,spec-9312-57784-0360-dered.dr16,spec-9312-57784-0360norm.dr16,2.978,15.45078,15.13986,239.07732499157413,-0.37589196569039773
57,spec-5465-55988-0798-dered.dr16,spec-5465-55988-0798norm.dr16,3.003,19.44058,20.54525,100.44058003471064,-0.2233414086476543
58,spec-5320-55999-0336-dered.dr16,spec-5320-55999-0336norm.dr16,3.031,39.49401,37.88031,58874.37399115439,-0.8446367972968448
59,spec-6422-56328-0988-dered.dr16,spec-6422-56328-0988norm.dr16,3.083,35.73123,36.92491,156.59974175546316,-0.1868204022642668
60,spec-5476-55986-0599-dered.dr16,spec-5476-55986-0599norm.dr16,3.159,14.28691,12.20843,14951.49956022712,-0.867347572790193
61,spec-8374-57783-0919-dered.dr16,spec-8374-57783-0919norm.dr16,3.3,27.68614,26.13533,16769.04274822167,-0.7851276888953261
62,spec-5174-56047-0344-dered.dr16,spec-5174-56047-0344norm.dr16,3.583,11.74977,10.17009,0.005762066783653217,0.7834132512881404
63,spec-5415-55982-0013-dered.dr16,spec-5415-55982-0013norm.dr16,2.072,17.12489,25.82628,21815.79776226161,-0.7983464018465539
64,spec-6442-56369-0246-dered.dr16,spec-6442-56369-0246norm.dr16,2.093,19.96256,24.68855,181662.7629737748,-1.0752666360059577
65,spec-9142-57664-0368-dered.dr16,spec-9142-57664-0368norm.dr16,2.1098,18.14468,25.19914,22.079828728947838,-0.025579314270172928
66,spec-7673-57329-0103-dered.dr16,spec-7673-57329-0103norm.dr16,2.21,12.4311,17.1123,103836.36807419862,-1.0670712807530776
67,spec-7667-57580-0430-dered.dr16,spec-7667-57580-0430norm.dr16,2.32,14.58467,17.16351,2009.3205055334618,-0.6158471254690786
68,spec-7098-56661-0163-dered.dr16,spec-7098-56661-0163norm.dr16,2.335,12.36483,13.3841,5.753316480422897,0.023336484934250317
69,spec-11395-58488-0418-dered.dr16,spec-11395-58488-0418norm.dr16,2.3577,11.11326,14.26299,7.8155361946716,-0.02450273053370678
70,spec-7083-56722-0348-dered.dr16,spec-7083-56722-0348norm.dr16,2.37,15.86764,18.96968,1192.622136304775,-0.4918092985065272
71,spec-6727-56369-0773-dered.dr16,spec-6727-56369-0773norm.dr16,2.4,21.84989,26.10978,61.7735575401563,-0.12432711895978353
72,spec-5179-55957-0836-dered.dr16,spec-5179-55957-0836norm.dr16,2.495,18.8045,18.2289,13.377963994283746,-0.004496367177130722
73,spec-5144-55829-0475-dered.dr16,spec-5144-55829-0475norm.dr16,2.548,24.11456,20.90533,121010.13721764713,-1.0338659074340135
74,spec-5483-56017-0061-dered.dr16,spec-5483-56017-0061norm.dr16,2.809,18.65701,19.04989,123.0317072174924,-0.27063882858137145
75,spec-6754-56414-0561-dered.dr16,spec-6754-56414-0561norm.dr16,2.81,14.9462,12.84301,360401.5608705869,-1.242661574593316
76,spec-8059-57895-0912-dered.dr16,spec-8059-57895-0912norm.dr16,2.995,16.87417,16.08408,4665.699143658397,-0.7350679818286662
77,spec-5374-55947-0608-dered.dr16,spec-5374-55947-0608norm.dr16,3.07,22.93383,19.99345,2761.3961261971363,-0.6874139275800145
78,spec-6412-56358-0454-dered.dr16,spec-6412-56358-0454norm.dr16,3.094,12.16403,10.00906,5906754.0047186855,-1.6184779528545812
79,spec-4663-55893-0854-dered.dr16,spec-4663-55893-0854norm.dr16,3.106,15.94493,13.52017,89459.60931904988,-1.0451093424354916
80,spec-6402-56334-0966-dered.dr16,spec-6402-56334-0966norm.dr16,3.128,21.62929,18.40741,9224075.423473395,-1.582731562945565
81,spec-6456-56339-0894-dered.dr16,spec-6456-56339-0894norm.dr16,3.194,19.93668,18.74569,19143.70385207391,-0.8486819996117428
82,spec-6405-56342-0814-dered.dr16,spec-6405-56342-0814norm.dr16,3.195,19.9061,21.08894,12.14009452351548,-0.0014172134342639434
83,spec-5288-55865-0958-dered.dr16,spec-5288-55865-0958norm.dr16,3.204,20.35903,16.79357,15292.03323865333,-0.845505963237489
84,spec-5868-56045-0372-dered.dr16,spec-5868-56045-0372norm.dr16,3.403,18.11065,17.29355,235562.19597239955,-1.1210731739924609
85,spec-7622-56987-0113-dered.dr16,spec-7622-56987-0113norm.dr16,3.45,21.71429,20.37095,31248.32459219028,-0.9043310153661801
86,spec-6122-56246-0696-dered.dr16,spec-6122-56246-0696norm.dr16,3.623,19.12713,17.13663,47546.893232444556,-1.013449184791254
87,spec-8396-57837-0736-dered.dr16,spec-8396-57837-0736norm.dr16,3.851,19.70139,14.32041,75485.72145548467,-1.041756035935886
88,spec-6447-56362-0854-dered.dr16,spec-6447-56362-0854norm.dr16,4.121,19.43312,11.52635,1614591.4975380006,-1.3827934794770058
