SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
1,spec-7585-57190-0598-dered.dr16,spec-7585-57190-0598norm.dr16,2.044,18.63765,27.35593,40.26954489329928,-0.10117929215930765
2,spec-5419-55983-0924-dered.dr16,spec-5419-55983-0924norm.dr16,2.167,11.95649,16.75492,13168.118356193141,-0.8548483353337458
3,spec-9204-57712-0327-dered.dr16,spec-9204-57712-0327norm.dr16,2.1674,15.06619,21.57188,111.92933138308531,-0.2738179106976165
4,spec-4980-56048-0282-dered.dr16,spec-4980-56048-0282norm.dr16,2.21,12.009,13.73831,96.55572613587148,-0.29431982664908085
5,spec-4538-55860-0660-dered.dr16,spec-4538-55860-0660norm.dr16,2.323,12.4685,13.37625,179.65807765632712,-0.3961572490292579
6,spec-4663-55893-0248-dered.dr16,spec-4663-55893-0248norm.dr16,2.361,22.08493,21.63305,420.06816550292774,-0.37717632298068177
7,spec-6318-56186-0342-dered.dr16,spec-6318-56186-0342norm.dr16,2.369,14.45799,14.48885,28160.15467348509,-0.9578593616640564
8,spec-5973-56067-0132-dered.dr16,spec-5973-56067-0132norm.dr16,2.388,27.72058,30.24664,904.3229906659304,-0.41524896757157104
9,spec-5039-56220-0625-dered.dr16,spec-5039-56220-0625norm.dr16,2.408,23.08663,23.49805,28481.659902844578,-0.8599127260737479
10,spec-5486-56030-0078-dered.dr16,spec-5486-56030-0078norm.dr16,2.419,13.20276,13.96658,7240.2761074897535,-0.7888667333915053
11,spec-5745-55998-0657-dered.dr16,spec-5745-55998-0657norm.dr16,2.466,12.33595,12.95258,857.1827878603318,-0.5480529606382568
12,spec-5998-56087-0294-dered.dr16,spec-5998-56087-0294norm.dr16,2.545,14.16405,12.33379,3476393.6828002366,-1.5494086911754381
13,spec-6640-56385-0896-dered.dr16,spec-6640-56385-0896norm.dr16,2.549,10.21153,11.74678,18.07369825546204,-0.1189649147643508
14,spec-6969-56420-0959-dered.dr16,spec-6969-56420-0959norm.dr16,2.572,12.49892,12.73586,200.7759540813776,-0.3677981759551851
15,spec-5338-56002-0157-dered.dr16,spec-5338-56002-0157norm.dr16,2.585,14.23778,13.11698,1001775.734532551,-1.3884555893268913
16,spec-7391-56781-0721-dered.dr16,spec-7391-56781-0721norm.dr16,2.63,24.88217,26.41178,3506.1608531619627,-0.5871139726142498
17,spec-7701-57356-0794-dered.dr16,spec-7701-57356-0794norm.dr16,2.6636,20.06602,23.62581,5.573549222113238,0.0848430241113236
18,spec-8205-58143-0500-dered.dr16,spec-8205-58143-0500norm.dr16,2.6904,15.09881,15.98601,392.9960855301,-0.4012939847605684
19,spec-7089-56661-0060-dered.dr16,spec-7089-56661-0060norm.dr16,2.702,20.75997,16.48688,1094798.135849967,-1.3249595975845885
20,spec-9624-57814-0461-dered.dr16,spec-9624-57814-0461norm.dr16,2.824,14.66063,16.01081,3008.744369424251,-0.730911212403278
21,spec-6700-56384-0258-dered.dr16,spec-6700-56384-0258norm.dr16,2.847,11.69843,10.50557,45602.97459790005,-1.0562531830743191
22,spec-5482-56017-0574-dered.dr16,spec-5482-56017-0574norm.dr16,2.898,20.58182,19.93772,3853.454535869052,-0.6489991371977343
23,spec-6182-56190-0657-dered.dr16,spec-6182-56190-0657norm.dr16,2.968,17.26976,14.60183,3471057.0704611344,-1.4902478167104911
24,spec-5465-55988-0798-dered.dr16,spec-5465-55988-0798norm.dr16,3.003,19.44058,20.54525,111.77018741307063,-0.23583282541083928
25,spec-6422-56328-0988-dered.dr16,spec-6422-56328-0988norm.dr16,3.083,35.73123,36.92491,519.8046019625635,-0.32452833028556755
26,spec-5174-56047-0344-dered.dr16,spec-5174-56047-0344norm.dr16,3.583,11.74977,10.17009,70.73546270719592,-0.26896580936881825
27,spec-7878-57340-0670-dered.dr16,spec-7878-57340-0670norm.dr16,1.9051,14.18126,28.57374,987088.1057750083,-1.2768259764304886
28,spec-9203-57692-0186-dered.dr16,spec-9203-57692-0186norm.dr16,1.9065,15.02852,22.86452,23623296.65455596,-1.6998558756781412
29,spec-6491-56337-0210-dered.dr16,spec-6491-56337-0210norm.dr16,1.908,14.78608,19.42003,65965810.750852965,-1.7789815441427896
30,spec-11546-58488-0812-dered.dr16,spec-11546-58488-0812norm.dr16,1.9295,10.58897,22.73339,1469.270096837505,-0.5539194946055388
31,spec-5782-56272-0645-dered.dr16,spec-5782-56272-0645norm.dr16,1.947,17.96264,29.57814,625164.4402310944,-1.2028235792082922
32,spec-8730-57672-0396-dered.dr16,spec-8730-57672-0396norm.dr16,1.9739,11.49538,15.56362,20456.795392380198,-0.9219896576209877
33,spec-6442-56369-0246-dered.dr16,spec-6442-56369-0246norm.dr16,2.093,19.96256,24.68855,662827.8077851094,-1.2274953470049428
34,spec-7667-57580-0430-dered.dr16,spec-7667-57580-0430norm.dr16,2.32,14.58467,17.16351,4616.043903835141,-0.7128195285011796
35,spec-11395-58488-0418-dered.dr16,spec-11395-58488-0418norm.dr16,2.3577,11.11326,14.26299,165.03105354262132,-0.37850651160952953
36,spec-7083-56722-0348-dered.dr16,spec-7083-56722-0348norm.dr16,2.37,15.86764,18.96968,1705.6316210449677,-0.5321967961299734
37,spec-5896-56047-0352-dered.dr16,spec-5896-56047-0352norm.dr16,2.393,14.46326,17.06431,152265.19222901203,-1.139576215724992
38,spec-6718-56398-0684-dered.dr16,spec-6718-56398-0684norm.dr16,2.402,17.89295,18.50105,72017.40719265715,-1.0024365826736623
39,spec-7609-56959-0772-dered.dr16,spec-7609-56959-0772norm.dr16,2.458,14.92988,16.72404,172.79707508023625,-0.33058709834567207
40,spec-5179-55957-0836-dered.dr16,spec-5179-55957-0836norm.dr16,2.495,18.8045,18.2289,370.44939922334765,-0.3900208771444021
41,spec-5144-55829-0475-dered.dr16,spec-5144-55829-0475norm.dr16,2.548,24.11456,20.90533,21249977.673145793,-1.6295550077086567
42,spec-6035-56076-0813-dered.dr16,spec-6035-56076-0813norm.dr16,2.606,13.60413,11.05625,24742854.430813737,-1.7970445351272994
43,spec-5438-56002-0100-dered.dr16,spec-5438-56002-0100norm.dr16,2.668,16.3383,12.54737,592397847.6253642,-2.1111569061616944
44,spec-5338-56002-0726-dered.dr16,spec-5338-56002-0726norm.dr16,2.687,17.1534,16.79401,5720976.68762443,-1.5508865348609893
45,spec-5483-56017-0061-dered.dr16,spec-5483-56017-0061norm.dr16,2.809,18.65701,19.04989,32.67760943155082,-0.1181514720672313
