SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
15000,spec-6142-56219-0563-dered.dr16,spec-6142-56219-0563norm.dr16,2.514,12.72705,10.76984,20285266156.267887,-2.5496733179858233
15002,spec-6673-56419-0218-dered.dr16,spec-6673-56419-0218norm.dr16,2.514,21.32281,19.33285,18631657.94342746,-1.6707934971966338
15004,spec-8860-57458-0803-dered.dr16,spec-8860-57458-0803norm.dr16,2.5144,11.5756,11.52843,4992971.20250153,-1.6063832021743132
15006,spec-8526-57898-0177-dered.dr16,spec-8526-57898-0177norm.dr16,2.5148,14.62659,12.36842,313014959.1873238,-2.074036005237036
15009,spec-4873-55926-0718-dered.dr16,spec-4873-55926-0718norm.dr16,2.515,12.98031,12.37935,385021.73579914967,-1.2828866892152972
15011,spec-5028-55836-0856-dered.dr16,spec-5028-55836-0856norm.dr16,2.515,14.97925,14.0737,10273256.150269091,-1.6620459971676287
15012,spec-5351-55952-0309-dered.dr16,spec-5351-55952-0309norm.dr16,2.515,13.00124,11.45913,29434.177326922185,-0.967903668165554
15013,spec-5375-55973-0532-dered.dr16,spec-5375-55973-0532norm.dr16,2.515,10.24373,10.26802,99.23408778927622,-0.3264979160183151
15015,spec-6054-56089-0846-dered.dr16,spec-6054-56089-0846norm.dr16,2.515,16.38914,14.68226,231981.26224196047,-1.2445602316521833
15017,spec-6420-56304-0381-dered.dr16,spec-6420-56304-0381norm.dr16,2.515,17.40081,17.95627,3755.152581273364,-0.6649655672399238
15019,spec-6501-56563-0674-dered.dr16,spec-6501-56563-0674norm.dr16,2.515,13.30365,11.59276,856406.4710426955,-1.3791523661256857
15020,spec-6641-56383-0118-dered.dr16,spec-6641-56383-0118norm.dr16,2.515,15.9521,14.82148,1598524.6458350946,-1.4408736764079015
15023,spec-7295-57067-0160-dered.dr16,spec-7295-57067-0160norm.dr16,2.515,27.52565,24.1518,592861982.300797,-2.0018403497667894
15025,spec-9365-57749-0848-dered.dr16,spec-9365-57749-0848norm.dr16,2.515,16.10604,17.69143,1834.116848181052,-0.6080308416990524
15026,spec-4606-56223-0517-dered.dr16,spec-4606-56223-0517norm.dr16,2.516,15.74964,13.5088,7382347.625575671,-1.6165304924387087
15027,spec-4663-55893-0404-dered.dr16,spec-4663-55893-0404norm.dr16,2.516,19.11563,14.39764,58308249.95558575,-1.8043222056723998
