SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
21784,spec-5172-56071-0498-dered.dr16,spec-5172-56071-0498norm.dr16,4.174,51.09085,44.08674,3331299.309423279,-1.2240814545474
21785,spec-5042-55856-0220-dered.dr16,spec-5042-55856-0220norm.dr16,4.175,21.85014,11.79466,760798.302966952,-1.3350612568481597
21786,spec-5793-56337-0290-dered.dr16,spec-5793-56337-0290norm.dr16,4.178,21.91291,12.26935,1018526.6730793478,-1.2893737721932736
21787,spec-8760-57672-0318-dered.dr16,spec-8760-57672-0318norm.dr16,4.189,49.36391,45.74984,2743395.17905628,-1.2519100550496154
21788,spec-5808-56325-0064-dered.dr16,spec-5808-56325-0064norm.dr16,4.201,39.89233,28.16081,110611275.92667834,-1.7394750711712372
21789,spec-8545-58041-0298-dered.dr16,spec-8545-58041-0298norm.dr16,4.2303,17.02233,10.35578,282741844819.8674,-2.782538809917371
21790,spec-7581-57195-0357-dered.dr16,spec-7581-57195-0357norm.dr16,4.241,43.82477,36.60767,216.34861697521274,-0.2180354441673443
21791,spec-6445-56366-0700-dered.dr16,spec-6445-56366-0700norm.dr16,4.26,19.17036,11.32685,403.27284201462595,-0.44159700402520885
21792,spec-11061-58428-0345-dered.dr16,spec-11061-58428-0345norm.dr16,4.2694,34.80514,28.5974,3059764.473666018,-1.3628910935017768
21793,spec-8828-57445-0708-dered.dr16,spec-8828-57445-0708norm.dr16,4.3251,12.66159,10.38867,192328.1083739701,-1.2135029419416699
21794,spec-6056-56092-0646-dered.dr16,spec-6056-56092-0646norm.dr16,4.336,20.95772,10.68842,944283.1994309302,-1.2873514521609624
21795,spec-6681-56419-0008-dered.dr16,spec-6681-56419-0008norm.dr16,4.34,22.24223,12.14143,4778122.42983525,-1.438098549530254
21796,spec-11321-58425-0150-dered.dr16,spec-11321-58425-0150norm.dr16,4.3552,18.61023,12.47161,298361545.23777103,-1.97072590353714
21797,spec-11634-58484-0234-dered.dr16,spec-11634-58484-0234norm.dr16,4.3566,25.35164,17.21433,221717.1529005793,-1.0976417116602517
21798,spec-5719-56014-0240-dered.dr16,spec-5719-56014-0240norm.dr16,4.358,20.32004,10.6306,772839.6523896535,-1.2644639916925577
21800,spec-8738-57402-0576-dered.dr16,spec-8738-57402-0576norm.dr16,4.4225,25.29496,19.25303,7786749.627801138,-1.5588866858529347
21801,spec-7742-58076-0131-dered.dr16,spec-7742-58076-0131norm.dr16,4.4509,22.53245,17.54029,772744.0831825607,-1.2516154102721964
21802,spec-7895-57659-0798-dered.dr16,spec-7895-57659-0798norm.dr16,4.4717,26.28517,22.5149,283212544591.4869,-2.7239114238845437
21803,spec-5421-55980-0918-dered.dr16,spec-5421-55980-0918norm.dr16,4.479,19.5288,11.01013,328911.43664638174,-1.1851134632273832
21804,spec-11281-58424-0375-dered.dr16,spec-11281-58424-0375norm.dr16,4.5109,18.86202,12.46955,9251.996119119267,-0.8052924519318686
21806,spec-7759-58401-0448-dered.dr16,spec-7759-58401-0448norm.dr16,4.5859,14.34541,10.08879,195713709.39409342,-1.967187646748803
21807,spec-9178-58081-0892-dered.dr16,spec-9178-58081-0892norm.dr16,4.5883,15.91307,12.47232,1312322924.0173635,-2.1774128667341226
21808,spec-8857-57449-0066-dered.dr16,spec-8857-57449-0066norm.dr16,4.6638,21.10074,15.85556,91528.01911527726,-1.028614208983897
21809,spec-6061-56076-0706-dered.dr16,spec-6061-56076-0706norm.dr16,4.68,26.38092,12.92191,501979.6874236708,-1.1690917440697068
21810,spec-11311-58429-0659-dered.dr16,spec-11311-58429-0659norm.dr16,4.7033,15.79138,11.8179,30803.391028604914,-0.9718514184441661
