SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
1,spec-8401-57482-0335-dered.dr16,spec-8401-57482-0335norm.dr16,1.906,12.79488,20.91685,298143.0012656875,-1.1567311354615764
2,spec-6815-56419-0970-dered.dr16,spec-6815-56419-0970norm.dr16,1.92,12.14472,13.51829,34019774.27450792,-1.7549185739493562
3,spec-5485-56063-0068-dered.dr16,spec-5485-56063-0068norm.dr16,1.921,25.51713,37.20966,4195360689.744083,-2.1573799507547045
4,spec-9356-57809-0923-dered.dr16,spec-9356-57809-0923norm.dr16,1.9279,10.4147,14.61281,1995624403.782251,-2.270839568156137
5,spec-7291-56992-0102-dered.dr16,spec-7291-56992-0102norm.dr16,1.939,30.25475,42.87424,21484781.28292888,-1.5038690128240657
6,spec-8171-57135-0694-dered.dr16,spec-8171-57135-0694norm.dr16,1.948,11.80967,22.82864,0.24892278788553243,0.4857107653578655
7,spec-6709-56429-0062-dered.dr16,spec-6709-56429-0062norm.dr16,1.971,10.55482,16.09967,1559372.8625229816,-1.4314964289178511
8,spec-5354-55927-0380-dered.dr16,spec-5354-55927-0380norm.dr16,1.972,19.12052,24.21714,588070735.2174988,-2.0441692289203637
9,spec-8396-57837-0275-dered.dr16,spec-8396-57837-0275norm.dr16,1.984,10.05596,15.21832,7982706.456708935,-1.6032542145278166
10,spec-6839-56425-0124-dered.dr16,spec-6839-56425-0124norm.dr16,2.078,11.62348,13.96191,223856049.56631827,-1.9979069890684031
