SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
11,spec-11341-58428-0374-dered.dr16,spec-11341-58428-0374norm.dr16,2.0803,12.46006,15.1522,213710.250649354,-1.1773845258459656
12,spec-7615-56977-0230-dered.dr16,spec-7615-56977-0230norm.dr16,2.09,12.41977,13.98566,10374.108971987398,-0.8553692183705005
13,spec-8865-57426-0393-dered.dr16,spec-8865-57426-0393norm.dr16,2.096,10.79154,11.40162,136312.04938942695,-1.16078338667358
14,spec-6963-56724-0084-dered.dr16,spec-6963-56724-0084norm.dr16,2.104,11.66369,11.10952,83571.16151460698,-1.0918170064597232
15,spec-5474-56036-0486-dered.dr16,spec-5474-56036-0486norm.dr16,2.105,25.09017,29.94678,210263.6368166778,-1.0269753118627292
16,spec-5992-56066-0424-dered.dr16,spec-5992-56066-0424norm.dr16,2.119,11.99209,14.19038,2000634.407199828,-1.4350057817058046
17,spec-10725-58250-0410-dered.dr16,spec-10725-58250-0410norm.dr16,2.1214,23.44207,27.67203,250.16131444051402,-0.25182362893628163
18,spec-6816-56444-0438-dered.dr16,spec-6816-56444-0438norm.dr16,2.133,14.52762,15.14923,47790.459810118686,-0.9659589920207793
19,spec-5456-55980-0188-dered.dr16,spec-5456-55980-0188norm.dr16,2.135,14.2449,20.53066,4.428714194114393,0.15771192698086914
20,spec-4873-55926-0114-dered.dr16,spec-4873-55926-0114norm.dr16,2.178,22.23095,23.83231,392865.0402784538,-1.143341561414223
