SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
1,spec-6449-56356-0756-dered.dr16,spec-6449-56356-0756norm.dr16,1.906,10.25697,15.3303,331508013.4451082,-2.0147207915595207
2,spec-5712-56602-0074-dered.dr16,spec-5712-56602-0074norm.dr16,1.94,10.08214,19.64569,11.182833234212254,0.04649055618437476
3,spec-6197-56191-0296-dered.dr16,spec-6197-56191-0296norm.dr16,1.973,10.11014,12.27674,756208.4205499423,-1.361382171602332
4,spec-5327-55979-0458-dered.dr16,spec-5327-55979-0458norm.dr16,1.978,10.14134,14.24691,80293.37027640585,-1.0529321771263511
5,spec-10465-58144-0594-dered.dr16,spec-10465-58144-0594norm.dr16,1.9908,10.15903,12.38874,8275578.857301472,-1.6318151292501164
6,spec-5321-55945-0422-dered.dr16,spec-5321-55945-0422norm.dr16,2.094,10.13016,11.25987,1659678.4509502356,-1.464390751831388
7,spec-4855-55926-0570-dered.dr16,spec-4855-55926-0570norm.dr16,2.098,11.07874,11.51129,24.62134501904928,-0.1605268651040694
8,spec-6874-56550-0881-dered.dr16,spec-6874-56550-0881norm.dr16,2.351,10.23123,10.48485,5564.383208484927,-0.8385497099259043
9,spec-6461-56329-0904-dered.dr16,spec-6461-56329-0904norm.dr16,2.392,10.21167,10.74206,1537876.8226005486,-1.4845454514631236
10,spec-7619-56900-0858-dered.dr16,spec-7619-56900-0858norm.dr16,2.499,10.56962,11.38684,77476.79628550699,-1.1267965435136795
