SPECTRA INDEX,SPECTRA FILE NAME,NORM SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR,SDSS SNR,BF,CF
15483,spec-5435-55982-0440-dered.dr16,spec-5435-55982-0440norm.dr16,2.544,14.71734,10.69199,1488773.5287104985,-1.4818450088752857
15541,spec-6147-56239-0932-dered.dr16,spec-6147-56239-0932norm.dr16,2.548,11.4479,11.88559,68.41682098934959,-0.32962963481465524
15593,spec-9402-58039-0085-dered.dr16,spec-9402-58039-0085norm.dr16,2.5525,16.38525,16.89839,1464.1566193419958,-0.5738316274223344
15627,spec-5311-55956-0944-dered.dr16,spec-5311-55956-0944norm.dr16,2.555,12.12232,11.5669,1963798.0723729036,-1.5100453134626424
15834,spec-5998-56087-0818-dered.dr16,spec-5998-56087-0818norm.dr16,2.569,11.67686,10.48141,191806.77213498164,-1.2791630125658966
16002,spec-6584-56568-0182-dered.dr16,spec-6584-56568-0182norm.dr16,2.58,13.38042,12.3933,13.628126981173159,-0.07198116646289697
16161,spec-8386-57518-0822-dered.dr16,spec-8386-57518-0822norm.dr16,2.591,10.09248,10.72254,55.827394019293486,-0.24864934981699868
16176,spec-9381-58073-0720-dered.dr16,spec-9381-58073-0720norm.dr16,2.5925,18.97327,17.40063,26623.864309268174,-0.9474123972130167
16296,spec-9551-57801-0308-dered.dr16,spec-9551-57801-0308norm.dr16,2.601,12.68774,10.83778,13319144.831705516,-1.7012696280425708
16367,spec-5318-55983-0462-dered.dr16,spec-5318-55983-0462norm.dr16,2.609,13.10316,10.8714,368089.34572364925,-1.277564575605956
16508,spec-5491-56034-0876-dered.dr16,spec-5491-56034-0876norm.dr16,2.62,18.5134,18.71654,52545.387213476926,-0.9742349916240117
16702,spec-9158-57664-0236-dered.dr16,spec-9158-57664-0236norm.dr16,2.634,15.34885,12.56059,1467376.9624562832,-1.4300142073340532
17280,spec-6165-56208-0664-dered.dr16,spec-6165-56208-0664norm.dr16,2.682,13.52825,12.24037,64438.520222039435,-1.0763614060204154
17543,spec-7645-57573-0595-dered.dr16,spec-7645-57573-0595norm.dr16,2.7066,11.94411,10.18578,2258456.7896097586,-1.5100852824122215
17686,spec-8831-57448-0926-dered.dr16,spec-8831-57448-0926norm.dr16,2.7215,17.57148,15.14336,327839.14065448026,-1.244630311936515
17756,spec-7704-57572-0879-dered.dr16,spec-7704-57572-0879norm.dr16,2.7295,11.42616,10.8415,2831845.7951588356,-1.5561145031488905
17781,spec-7415-57097-0870-dered.dr16,spec-7415-57097-0870norm.dr16,2.731,12.36403,10.09928,52851.630936503985,-1.080685220316051
18267,spec-6044-56090-0378-dered.dr16,spec-6044-56090-0378norm.dr16,2.789,11.58764,10.45108,20826745.343481045,-1.768931090101812
18367,spec-6122-56246-0424-dered.dr16,spec-6122-56246-0424norm.dr16,2.801,25.20694,22.97847,57295.44244111,-0.9972463038305147
18727,spec-6700-56384-0258-dered.dr16,spec-6700-56384-0258norm.dr16,2.847,11.69843,10.50557,81.8780836591977,-0.3324498371808015
18806,spec-9548-57785-0822-dered.dr16,spec-9548-57785-0822norm.dr16,2.857,12.8252,11.94359,15840843.88730781,-1.690245856455313
18938,spec-11097-58522-0367-dered.dr16,spec-11097-58522-0367norm.dr16,2.878,12.84061,11.93764,14572915.015990559,-1.6784989032549278
19128,spec-9144-57666-0821-dered.dr16,spec-9144-57666-0821norm.dr16,2.902,13.45128,12.28191,77.38808783355323,-0.3079938216458923
19219,spec-4608-55973-0374-dered.dr16,spec-4608-55973-0374norm.dr16,2.915,13.45004,10.8106,215222.8967029949,-1.213463046966105
19271,spec-6659-56607-0832-dered.dr16,spec-6659-56607-0832norm.dr16,2.921,17.77008,14.23694,42072.16922707229,-0.9755707664337432
19651,spec-9180-57693-0759-dered.dr16,spec-9180-57693-0759norm.dr16,2.9827,14.95188,12.83876,1030.319667866667,-0.6014603003978835
19881,spec-5324-55947-0918-dered.dr16,spec-5324-55947-0918norm.dr16,3.027,12.96004,10.52475,7505336.830559456,-1.643521095915731
20126,spec-5484-56039-0246-dered.dr16,spec-5484-56039-0246norm.dr16,3.075,10.7864,10.01642,6648.43232370667,-0.8404357228802302
20287,spec-6833-56413-0682-dered.dr16,spec-6833-56413-0682norm.dr16,3.108,12.47526,11.00285,1501722.9613369303,-1.4523529352220352
20343,spec-5411-55953-0378-dered.dr16,spec-5411-55953-0378norm.dr16,3.12,10.89919,10.06621,15.019168194502202,-0.17458912229867848
20380,spec-6599-56567-0472-dered.dr16,spec-6599-56567-0472norm.dr16,3.128,11.74238,10.34313,95.71011973764163,-0.32425833428825673
20469,spec-5202-55824-0190-dered.dr16,spec-5202-55824-0190norm.dr16,3.15,15.71874,13.15526,1840620.6720834381,-1.4353976973806644
20639,spec-4849-55945-0238-dered.dr16,spec-4849-55945-0238norm.dr16,3.19,11.94966,10.00588,4837373.485527246,-1.563851520837433
20739,spec-11086-58401-0644-dered.dr16,spec-11086-58401-0644norm.dr16,3.2162,14.69614,13.16932,33683.103378586275,-0.9872587258293714
21338,spec-6975-56720-0618-dered.dr16,spec-6975-56720-0618norm.dr16,3.43,12.09466,11.48496,530.7369094536963,-0.5160343563416867
21634,spec-5412-55981-0863-dered.dr16,spec-5412-55981-0863norm.dr16,3.695,15.345,12.69276,135899.40704439743,-1.0969473034801722
21751,spec-5993-56070-0187-dered.dr16,spec-5993-56070-0187norm.dr16,3.97,24.51143,14.20718,1512859.7014144317,-1.3484602724292833
