Flagging figure #908, file name: spec-3812-55513-0496.dr9
Flagging figure #915, file name: spec-3813-55532-0510.dr9
Flagging figure #922, file name: spec-3813-55532-0998.dr9
Flagging figure #923, file name: spec-3814-55535-0014.dr9
Flagging figure #924, file name: spec-3814-55535-0306.dr9
Flagging figure #926, file name: spec-3815-55537-0072.dr9
Flagging figure #931, file name: spec-3815-55537-0368.dr9
Flagging figure #933, file name: spec-3815-55537-0878.dr9
Flagging figure #935, file name: spec-3816-55272-0090.dr9
Flagging figure #936, file name: spec-3816-55272-0549.dr9
Flagging figure #938, file name: spec-3816-55272-0614.dr9
Flagging figure #939, file name: spec-3816-55272-0618.dr9
Flagging figure #942, file name: spec-3816-55272-0738.dr9
Flagging figure #946, file name: spec-3817-55277-0218.dr9
Flagging figure #949, file name: spec-3817-55277-0578.dr9
Flagging figure #957, file name: spec-3818-55532-0528.dr9
Flagging figure #960, file name: spec-3818-55532-0810.dr9
Flagging figure #1003, file name: spec-3826-55563-0772.dr9
