,objectName,spec1,spec2,I01,I02,I1,I2,alpha,minOpt,minCov1,minCov2,Spec_Cf1,Spec_Cf2,Spec_Cf2Cf1,save_fig,t_t_plot
0,120122.09+060750.9,"Spectra(plate='4847', mjd='55931', fiber='0994')","Spectra(plate='0841', mjd='52375', fiber='0580')",11.827988,2.6274567,0.365121,0.2906065,0.22,2.07,0.9721,0.8744,"[10.21514948  5.36274088  3.75064946  2.94861725  2.4705864   2.15453251
  1.93101236  1.76530076  1.63810297  1.53783956  1.45713966  1.3910875
  1.33627833  1.29027885  1.25130356  1.21801248  1.18938016  1.16460849
  1.14306694  1.1242508   1.10775126  1.09323375  1.08042184  1.06908522
  1.05903052  1.05009426  1.04213738  1.0350409   1.02870253  1.02303386
  1.01795821  1.01340878  1.00932718  1.00566224  1.00236892  0.99940753
  0.996743    0.99434425  0.99218369  0.99023682  0.98848179  0.98689912
  0.98547143  0.98418315  0.98302037  0.98197061  0.98102267  0.98016652
  0.97939313]","[9.18848545 4.82376363 3.37369395 2.65226924 2.22228243 1.93799324
 1.73693777 1.58788086 1.47346696 1.38328043 1.3106912  1.25127756
 1.20197693 1.16060058 1.12554247 1.09559727 1.06984262 1.0475606
 1.02818407 1.01125903 0.99641776 0.98335932 0.97183506 0.96163781
 0.95259365 0.94455552 0.93739834 0.93101509 0.92531374 0.9202148
 0.91564927 0.91155708 0.9078857  0.9045891  0.90162677 0.89896302
 0.89656628 0.89440861 0.8924652  0.890714   0.88913535 0.88771175
 0.88642754 0.88526875 0.88422283 0.88327857 0.88242591 0.8816558
 0.88096014]",0.9,yes,0.91
1,122933.32+262131.2,"Spectra(plate='5980', mjd='56338', fiber='0786')","Spectra(plate='2235', mjd='53847', fiber='0259')",12.305624,2.7053485,2.0224626,1.7988925,0.22,0.35,0.8448,0.294,"[8.87743883 4.66047062 3.25948839 2.56248519 2.1470542  1.87238871
 1.67813933 1.53412826 1.42358748 1.33645392 1.26632196 1.20891958
 1.16128786 1.12131218 1.08744085 1.05850935 1.03362654 1.01209881
 0.99337821 0.9770261  0.96268724 0.95007085 0.93893671 0.92908466
 0.92034665 0.91258063 0.90566573 0.89949856 0.89399022 0.88906388
 0.88465291 0.88069924 0.87715215 0.87396714 0.87110509 0.86853151
 0.86621591 0.86413128 0.86225366 0.86056174 0.85903653 0.85766112
 0.85642039 0.85530082 0.85429031 0.85337802 0.85255422 0.85181018
 0.85113807]","[3.08944959 1.62189674 1.134339   0.89177397 0.74719926 0.65161255
 0.58401156 0.53389407 0.49542462 0.46510115 0.44069443 0.42071775
 0.40414137 0.39022938 0.37844177 0.36837328 0.35971378 0.35222189
 0.3457069  0.34001619 0.3350261  0.33063545 0.32676064 0.32333202
 0.32029109 0.31758843 0.31518197 0.31303572 0.31111876 0.30940433
 0.30786926 0.30649334 0.30525892 0.3041505  0.30315447 0.30225884
 0.30145298 0.30072751 0.30007407 0.29948526 0.29895448 0.29847582
 0.29804403 0.2976544  0.29730274 0.29698525 0.29669856 0.29643962
 0.29620572]",0.35,yes,0.93
2,155441.57+535751.4,"Spectra(plate='6709', mjd='56429', fiber='0316')","Spectra(plate='0619', mjd='52056', fiber='0304')",7.238903,1.8508977,0.40972987,0.34376645,0.26,1.58,0.9475,0.7947,"[9.95664452 5.22703115 3.65573538 2.87399943 2.40806564 2.10000983
 1.88214609 1.72062799 1.59664907 1.49892293 1.42026522 1.35588459
 1.30246242 1.257627   1.21963803 1.18718941 1.15928166 1.13513686
 1.11414045 1.09580047 1.07971847 1.06556834 1.05308065 1.04203091
 1.03223065 1.02352053 1.01576501 1.00884812 1.00267014 0.99714492
 0.99219772 0.98776341 0.98378511 0.98021291 0.97700293 0.97411649
 0.97151939 0.96918133 0.96707546 0.96517785 0.96346723 0.96192461
 0.96053305 0.95927737 0.95814402 0.95712082 0.95619688 0.95536239
 0.95460857]","[8.3509714  4.38408618 3.06618776 2.41051963 2.01972535 1.76134862
 1.57861899 1.44314836 1.33916308 1.25719689 1.19122404 1.13722584
 1.09241887 1.05481391 1.02295128 0.99573554 0.97232837 0.95207732
 0.93446693 0.91908457 0.90559606 0.89372787 0.88325403 0.87398624
 0.86576644 0.85846097 0.85195615 0.84615472 0.84097304 0.83633886
 0.83218947 0.82847027 0.82513354 0.82213741 0.8194451  0.81702414
 0.81484586 0.81288486 0.81111859 0.809527   0.80809225 0.80679841
 0.80563126 0.80457808 0.8036275  0.80276931 0.80199436 0.80129445
 0.8006622 ]",0.84,yes,1.19
3,091824.20+183957.1,"Spectra(plate='5768', mjd='56017', fiber='0152')","Spectra(plate='9554', mjd='57807', fiber='0616')",5.2284575,1.8329537,0.72601694,0.4444951,0.35,1.15,0.8891,0.6836,"[9.34295793 4.90485846 3.4304109  2.69685794 2.25964239 1.97057387
 1.76613835 1.61457557 1.49823819 1.40653549 1.33272592 1.27231345
 1.222184   1.18011205 1.14446456 1.11401594 1.08782831 1.0651717
 1.04546942 1.02825984 1.01316906 0.99989109 0.98817309 0.97780442
 0.9686082  0.96043494 0.95315743 0.94666687 0.94086968 0.93568501
 0.93104273 0.92688174 0.92314865 0.91979662 0.91678449 0.91407596
 0.91163893 0.90944499 0.90746891 0.90568826 0.90408308 0.90263554
 0.90132975 0.90015147 0.89908797 0.89812783 0.89726084 0.89647779
 0.89577043]","[7.18349572 3.77118575 2.63753109 2.07352613 1.73736535 1.51511
 1.35792619 1.24139451 1.15194649 1.08143928 1.02468951 0.97824032
 0.93969742 0.90734968 0.87994148 0.85653053 0.83639572 0.81897579
 0.80382735 0.79059546 0.77899266 0.76878366 0.75977407 0.75180193
 0.74473126 0.73844711 0.73285167 0.72786129 0.72340402 0.7194177
 0.7158484  0.71264915 0.70977889 0.70720163 0.7048857  0.7028032
 0.70092945 0.6992426  0.69772325 0.69635417 0.69512    0.69400704
 0.69300305 0.69209711 0.69127942 0.69054121 0.6898746  0.68927254
 0.68872868]",0.77,yes,0.96
4,024627.48-033214.3,"Spectra(plate='7053', mjd='56564', fiber='0862')","Spectra(plate='9315', mjd='57713', fiber='0643')",6.609217,2.665764,0.91537505,0.9737393,0.4,1.03,0.8563,0.6436,"[8.99828464 4.72391216 3.30385879 2.59736751 2.17628138 1.89787696
 1.70098332 1.55501187 1.44296633 1.35464665 1.28356001 1.22537623
 1.17709611 1.13657625 1.10224385 1.07291851 1.04769698 1.02587619
 1.00690076 0.99032606 0.975792   0.96300387 0.95171816 0.941732
 0.93287505 0.92500331 0.91799428 0.91174316 0.90615983 0.90116643
 0.89669541 0.89268793 0.88909255 0.88586418 0.88296318 0.88035456
 0.87800744 0.87589443 0.87399125 0.8722763  0.87073033 0.8693362
 0.86807858 0.86694376 0.8659195  0.86499479 0.86415977 0.86340561
 0.86272435]","[6.76316244 3.55051952 2.48319925 1.95219634 1.63570559 1.42645523
 1.27846883 1.16875586 1.08454178 1.01816021 0.96473108 0.92099981
 0.8847122  0.85425724 0.82845281 0.80641172 0.78745507 0.77105444
 0.75679239 0.74433475 0.73341088 0.72379924 0.71531684 0.70781118
 0.70115425 0.6952378  0.68996977 0.6852714  0.68107494 0.67732187
 0.67396142 0.67094938 0.66824707 0.66582061 0.6636402  0.66167955
 0.65991544 0.65832729 0.65689685 0.65560788 0.65444592 0.65339808
 0.65245284 0.65159991 0.65083007 0.65013505 0.64950745 0.64894062
 0.64842858]",0.75,yes,0.98
5,223538.24-015537.7,"Spectra(plate='4381', mjd='55824', fiber='0682')","Spectra(plate='9149', mjd='58039', fiber='0164')",6.320884,2.602372,0.54254436,0.4533322,0.41,1.67,0.9225,0.8117,"[9.69393622 5.08911476 3.55927798 2.79816831 2.34452829 2.0446006
 1.83248524 1.67522884 1.55452112 1.45937351 1.38279121 1.32010927
 1.26809666 1.22444423 1.18745761 1.15586515 1.12869375 1.10518602
 1.0847436  1.06688753 1.05122985 1.03745308 1.02529488 1.01453669
 1.00499501 0.99651471 0.98896382 0.98222943 0.97621446 0.97083503
 0.96601836 0.96170105 0.95782772 0.95434977 0.95122449 0.94841421
 0.94588563 0.94360927 0.94155895 0.93971141 0.93804593 0.93654402
 0.93518917 0.93396663 0.93286317 0.93186697 0.93096741 0.93015494
 0.92942101]","[8.52961304 4.47786932 3.13177879 2.46208479 2.06293075 1.79902689
 1.61238837 1.47401978 1.36781008 1.28409049 1.21670637 1.16155306
 1.11578759 1.07737819 1.04483397 1.01703603 0.99312815 0.97244389
 0.95445678 0.93874537 0.92496832 0.91284625 0.90214835 0.89268231
 0.88428667 0.87682492 0.87018096 0.86425543 0.8589629  0.85422959
 0.84999144 0.84619268 0.84278456 0.83972435 0.83697444 0.83450169
 0.83227682 0.83027387 0.82846981 0.82684418 0.82537873 0.82405721
 0.82286509 0.82178939 0.82081847 0.81994192 0.8191504  0.81843552
 0.81778974]",0.88,yes,0.92
6,024627.48-033214.3,"Spectra(plate='7053', mjd='56564', fiber='0862')","Spectra(plate='9315', mjd='57713', fiber='0643')",3.432968,1.4793531,0.5721887,0.36042994,0.43,1.17,0.866,0.6891,"[9.10021546 4.77742372 3.34128426 2.62678998 2.20093388 1.91937574
 1.72025173 1.57262675 1.45931197 1.36999183 1.29809993 1.23925705
 1.19043003 1.14945117 1.11472985 1.08507232 1.05956508 1.03749712
 1.01830673 1.00154428 0.98684559 0.97391259 0.96249904 0.95239976
 0.94344247 0.93548156 0.92839314 0.92207121 0.91642463 0.91137467
 0.906853   0.90280012 0.89916402 0.89589908 0.89296521 0.89032705
 0.88795334 0.8858164  0.88389166 0.88215727 0.8805938  0.87918387
 0.877912   0.87676433 0.87572846 0.87479328 0.87394881 0.8731861
 0.87249712]","[7.24129154 3.80152735 2.65875171 2.09020898 1.75134357 1.52730003
 1.36885158 1.25138232 1.16121464 1.09014015 1.03293379 0.98611089
 0.94725789 0.91464988 0.88702118 0.86342187 0.84312506 0.82556497
 0.81029465 0.79695631 0.78526015 0.77496901 0.76588694 0.75785066
 0.75072311 0.74438839 0.73874793 0.7337174  0.72922427 0.72520587
 0.72160786 0.71838287 0.71548952 0.71289152 0.71055696 0.7084577
 0.70656887 0.70486845 0.70333688 0.70195679 0.70071268 0.69959077
 0.69857871 0.69766548 0.69684121 0.69609705 0.69542508 0.69481818
 0.69426994]",0.8,yes,1.11
7,223302.70+241642.4,"Spectra(plate='7653', mjd='57306', fiber='0538')","Spectra(plate='6300', mjd='56449', fiber='0092')",4.384104,1.872729,0.80380905,0.89628994,0.43,0.79,0.8061,0.5461,"[8.47076638 4.44697605 3.11017234 2.44509862 2.04869838 1.78661522
 1.60126434 1.46385037 1.35837342 1.27523142 1.20831219 1.15353939
 1.10808966 1.06994525 1.03762556 1.0100194  0.98627646 0.96573491
 0.94787189 0.93226887 0.91858687 0.90654843 0.89592434 0.88652361
 0.87818589 0.87077562 0.86417749 0.85829284 0.85303683 0.84833617
 0.84412726 0.84035471 0.83697011 0.833931   0.83120007 0.82874438
 0.82653486 0.82454572 0.82275412 0.8211397  0.81968436 0.81837196
 0.81718806 0.81611978 0.81515556 0.81428506 0.813499   0.81278905
 0.81214773]","[5.73860008 3.0126456  2.1070154  1.65645498 1.38790992 1.21035923
 1.08479153 0.99169915 0.9202428  0.86391748 0.81858242 0.78147607
 0.75068573 0.72484444 0.70294916 0.68424711 0.66816223 0.65424616
 0.6421447  0.63157428 0.62230528 0.61414973 0.60695234 0.60058373
 0.59493526 0.58991511 0.58544514 0.58145853 0.5778978  0.57471329
 0.57186192 0.56930617 0.56701324 0.56495437 0.56310428 0.56144065
 0.55994378 0.55859623 0.55738249 0.55628878 0.55530285 0.55441375
 0.55361171 0.55288799 0.55223477 0.55164505 0.55111252 0.55063156
 0.55019709]",0.68,yes,0.97
8,234147.40+161118.4,"Spectra(plate='6138', mjd='56598', fiber='0613')","Spectra(plate='6138', mjd='56236', fiber='0609')",1.2585678,0.5548709,0.25752813,0.20779106,0.44,0.88,0.8173,0.5855,"[8.5884597  4.50876259 3.15338525 2.47907096 2.07716311 1.81143856
 1.6235124  1.48418919 1.37724674 1.29294956 1.22510055 1.16956673
 1.12348552 1.08481113 1.05204239 1.02405267 0.99997984 0.97915288
 0.96104168 0.94522187 0.93134977 0.91914407 0.90837236 0.89884102
 0.89038745 0.88287423 0.87618442 0.87021801 0.86488898 0.860123
 0.85585561 0.85203065 0.84859902 0.84551769 0.84274881 0.840259
 0.83801878 0.83600201 0.83418551 0.83254866 0.8310731  0.82974247
 0.82854212 0.827459   0.82648138 0.82559878 0.8248018  0.82408199
 0.82343175]","[6.15262835 3.23000183 2.25903226 1.77596482 1.48804479 1.29768418
 1.16305703 1.06324822 0.98663644 0.92624736 0.87764147 0.83785797
 0.80484617 0.77714048 0.7536655  0.73361414 0.71636877 0.70144869
 0.68847412 0.67714108 0.66720334 0.65845938 0.65074271 0.64391462
 0.63785862 0.63247628 0.62768381 0.62340958 0.61959194 0.61617768
 0.61312059 0.61038045 0.60792209 0.60571468 0.6037311  0.60194744
 0.60034259 0.59889781 0.5975965  0.59642388 0.59536682 0.59441357
 0.59355367 0.59277773 0.59207739 0.59144511 0.59087416 0.5903585
 0.58989268]",0.72,yes,1.01
9,223538.24-015537.7,"Spectra(plate='4381', mjd='55824', fiber='0682')","Spectra(plate='9149', mjd='58039', fiber='0164')",4.193113,1.8590608,0.56915194,0.52218777,0.44,1.24,0.8712,0.7095,"[9.15485879 4.80611033 3.3613474  2.64256285 2.21414964 1.93090086
 1.73058118 1.58206977 1.46807458 1.37821811 1.30589453 1.24669832
 1.19757811 1.15635318 1.12142338 1.09158777 1.06592737 1.0437269
 1.02442128 1.00755817 0.99277122 0.97976057 0.96827848 0.95811855
 0.94910749 0.94109877 0.93396778 0.92760789 0.92192742 0.91684713
 0.91229831 0.90822109 0.90456315 0.90127861 0.89832713 0.89567312
 0.89328516 0.89113539 0.88919909 0.88745429 0.88588143 0.88446303
 0.88318353 0.88202897 0.88098688 0.88004608 0.87919654 0.87842925
 0.87773614]","[7.45566151 3.91406712 2.73746095 2.15208717 1.80319005 1.57251396
 1.40937483 1.28842803 1.19559104 1.12241247 1.06351259 1.01530355
 0.97530035 0.94172703 0.9132804  0.88898246 0.86808479 0.85000486
 0.83428248 0.82054927 0.80850686 0.79791107 0.78856013 0.78028594
 0.77294739 0.76642514 0.7606177  0.75543825 0.7508121  0.74667475
 0.74297022 0.73964975 0.73667075 0.73399584 0.73159217 0.72943076
 0.72748602 0.72573526 0.72415835 0.7227374  0.72145646 0.72030133
 0.71925931 0.71831905 0.71747038 0.71670419 0.71601233 0.71538746
 0.71482299]",0.81,yes,1.09
