Unnamed: 0,objectName,spec1,spec2,I01,I02,I1,I2,alpha,minOpt,minCov1,minCov2,Spec_Cf1,Spec_Cf2,Spec_Cf2Cf1,save_fig
0,000951.17+092710.5,"Spectra(plate='4534', mjd='55863', fiber='0968')","Spectra(plate='5648', mjd='55923', fiber='0386')",3.790716,3.5910115,3.3798451,3.2896967,0.95,0.08,0.1215,0.0727,"[1.27676233 0.67027365 0.46878295 0.36853924 0.30879153 0.26928886
 0.24135171 0.2206399  0.20474181 0.19221017 0.18212372 0.17386805
 0.16701761 0.16126826 0.15639686 0.1522359  0.14865723 0.14556109
 0.14286867 0.14051689 0.13845466 0.13664016 0.13503884 0.13362191
 0.1323652  0.13124828 0.13025377 0.1293668  0.12857459 0.12786608
 0.12723169 0.12666307 0.12615292 0.12569485 0.12528323 0.12491309
 0.12458006 0.12428025 0.1240102  0.12376687 0.12354751 0.1233497
 0.12317126 0.12301024 0.12286491 0.1227337  0.12261522 0.12250821
 0.12241155]","[0.76395573 0.40106086 0.28049811 0.2205169  0.18476662 0.16113004
 0.14441374 0.13202074 0.12250806 0.11500971 0.10897444 0.10403463
 0.09993564 0.0964955  0.09358067 0.09109094 0.08894963 0.08709704
 0.08548603 0.08407883 0.08284489 0.08175917 0.08080102 0.07995319
 0.07920123 0.07853292 0.07793785 0.07740713 0.07693311 0.07650917
 0.07612958 0.07578934 0.07548409 0.07521    0.07496371 0.07474224
 0.07454296 0.07436357 0.07420199 0.07405639 0.07392514 0.07380678
 0.0737     0.07360366 0.0735167  0.07343819 0.0733673  0.07330327
 0.07324543]",0.6,yes
1,001025.20-030959.3,"Spectra(plate='9342', mjd='57722', fiber='0981')","Spectra(plate='4365', mjd='55539', fiber='0206')",11.0518875,8.162217,6.191407,6.194312,0.74,0.28,0.4399,0.2416,"[4.62261522 2.42677678 1.69726437 1.33432438 1.11800325 0.97498082
 0.87383226 0.79884354 0.7412833  0.69591155 0.65939279 0.62950251
 0.60469997 0.58388403 0.56624672 0.55118166 0.5382248  0.52701499
 0.5172669  0.50875211 0.50128565 0.49471611 0.48891839 0.48378828
 0.47923827 0.47519439 0.4715937  0.46838236 0.46551408 0.46294887
 0.46065201 0.45859327 0.45674625 0.45508777 0.45359746 0.45225735
 0.45105159 0.44996609 0.44898838 0.44810737 0.44731318 0.44659698
 0.44595091 0.44536793 0.44484175 0.4443667  0.44393774 0.44355031
 0.44320033]","[2.538813   1.33282398 0.93216429 0.73283194 0.61402497 0.5354748
 0.47992242 0.43873744 0.40712445 0.38220557 0.3621489  0.34573268
 0.33211073 0.32067829 0.31099161 0.30271764 0.29560153 0.28944492
 0.28409112 0.27941466 0.27531396 0.27170587 0.26852167 0.26570414
 0.2632052  0.26098423 0.25900668 0.25724296 0.25566766 0.2542588
 0.25299733 0.25186664 0.25085222 0.24994136 0.24912286 0.24838685
 0.24772463 0.24712845 0.24659148 0.24610762 0.24567143 0.24527809
 0.24492326 0.24460308 0.24431408 0.24405318 0.24381759 0.24360481
 0.24341259]",0.55,yes
2,001126.16+073525.2,"Spectra(plate='11309', mjd='58428', fiber='0984')","Spectra(plate='11311', mjd='58429', fiber='0504')",5.2710295,4.4865947,3.9182763,3.7553456,0.85,0.16,0.2715,0.1441,"[2.85301212 1.49777199 1.04752734 0.82352596 0.69001564 0.60174424
 0.53931679 0.49303483 0.45750947 0.42950668 0.40696782 0.38851996
 0.37321219 0.36036489 0.34947939 0.34018145 0.33218467 0.32526613
 0.31924974 0.31399454 0.30938635 0.30533172 0.30175345 0.29858722
 0.29577902 0.29328319 0.2910609  0.28907891 0.28730865 0.28572543
 0.28430784 0.28303722 0.28189726 0.28087367 0.27995387 0.27912678
 0.2783826  0.27771265 0.27710922 0.27656547 0.27607531 0.27563328
 0.27523454 0.27487473 0.27454997 0.27425678 0.27399203 0.27375292
 0.27353692]","[1.51425063 0.79495007 0.55598044 0.43709057 0.3662293  0.3193788
 0.28624512 0.26168073 0.24282547 0.22796284 0.21600023 0.20620894
 0.19808426 0.19126549 0.18548796 0.18055303 0.17630869 0.17263665
 0.16944342 0.16665419 0.16420837 0.16205636 0.16015717 0.15847668
 0.15698621 0.15566154 0.15448205 0.15343009 0.15249052 0.15165022
 0.15089783 0.15022344 0.1496184  0.14907512 0.14858694 0.14814795
 0.14775297 0.14739739 0.14707712 0.14678853 0.14652837 0.14629376
 0.14608212 0.14589116 0.14571879 0.14556318 0.14542266 0.14529575
 0.1451811 ]",0.53,yes
3,001249.89+285552.6,"Spectra(plate='7135', mjd='56564', fiber='0944')","Spectra(plate='7746', mjd='58074', fiber='0103')",8.510925,9.257643,3.3161557,3.3672118,0.92,1.02,0.6076,0.6392,"[6.38486249 3.35191992 2.3443006  1.84299953 1.5442118  1.34666594
 1.20695722 1.10338108 1.02387755 0.96120905 0.9107685  0.86948335
 0.8352255  0.80647405 0.782113   0.76130479 0.74340848 0.72792523
 0.71446094 0.70270012 0.69238727 0.68331327 0.67530533 0.66821951
 0.66193493 0.65634942 0.65137606 0.64694049 0.64297876 0.63943563
 0.63626315 0.63341958 0.63086843 0.62857769 0.62651924 0.62466826
 0.62300283 0.62150351 0.62015308 0.61893621 0.61783925 0.61685002
 0.61595766 0.61515244 0.61442565 0.61376951 0.61317701 0.61264189
 0.61215849]","[6.71692578 3.52624624 2.46622275 1.93885006 1.62452302 1.4167032
 1.26972853 1.16076561 1.07712727 1.01119951 0.95813565 0.91470336
 0.87866383 0.84841707 0.82278905 0.80089865 0.7820716  0.76578309
 0.75161855 0.73924608 0.72839688 0.71885096 0.71042654 0.7029722
 0.69636077 0.69048477 0.68525276 0.68058651 0.67641874 0.67269133
 0.66935386 0.6663624  0.66367857 0.6612687  0.65910319 0.65715595
 0.6554039  0.65382661 0.65240594 0.65112578 0.64997177 0.6489311
 0.64799232 0.64714522 0.64638064 0.64569037 0.64506706 0.64450411
 0.64399557]",1.05,yes
4,002051.90+250100.1,"Spectra(plate='7662', mjd='57358', fiber='0253')","Spectra(plate='6279', mjd='56243', fiber='0860')",8.201893,7.4733787,1.9538168,1.8759246,0.91,1.36,0.7659,0.7431,"[8.04833144 4.2252065  2.95506884 2.32316218 1.94653032 1.69751718
 1.5214097  1.39084853 1.29063169 1.21163596 1.14805397 1.09601267
 1.05282952 1.01658736 0.98587944 0.95964999 0.93709111 0.91757395
 0.90060176 0.88577686 0.87277718 0.86133909 0.85124482 0.8423129
 0.83439098 0.82735026 0.82108118 0.81549    0.81049611 0.80602986
 0.80203085 0.79844644 0.79523062 0.79234308 0.78974833 0.78741511
 0.78531578 0.78342584 0.78172358 0.78018967 0.77880691 0.77755996
 0.77643511 0.7754201  0.77450396 0.77367687 0.77293001 0.77225547
 0.77164613]","[7.80874147 4.09942675 2.86709969 2.2540042  1.88858425 1.64698396
 1.476119   1.3494445  1.252211   1.17556689 1.11387767 1.06338558
 1.02148794 0.98632467 0.95653089 0.93108227 0.90919493 0.89025879
 0.87379184 0.85940826 0.84679556 0.83569798 0.8259042  0.81723817
 0.80955208 0.80272096 0.7966385  0.79121376 0.78636853 0.78203524
 0.77815527 0.77467756 0.77155748 0.7687559  0.76623839 0.76397463
 0.76193779 0.76010412 0.75845253 0.75696428 0.75562269 0.75441286
 0.75332149 0.75233669 0.75144783 0.75064536 0.74992074 0.74926627
 0.74867507]",0.97,yes
5,002111.05+202128.5,"Spectra(plate='7592', mjd='56947', fiber='0922')","Spectra(plate='6180', mjd='56301', fiber='0610')",5.3878355,3.8924181,2.926632,2.7096171,0.72,0.32,0.4766,0.2755,"[5.008271   2.62923804 1.83886383 1.44564446 1.21127608 1.05632157
 0.94673438 0.8654895  0.80312712 0.7539701  0.71440465 0.68202068
 0.65514891 0.63259634 0.61348758 0.59716567 0.58312785 0.57098283
 0.56042146 0.55119631 0.54310694 0.53598931 0.5297079  0.5241498
 0.51922019 0.51483893 0.51093784 0.50745859 0.50435102 0.50157179
 0.4990833  0.49685282 0.4948517  0.49305485 0.49144021 0.4899883
 0.48868194 0.48750588 0.48644661 0.4854921  0.48463164 0.4838557
 0.48315573 0.48252411 0.48195403 0.48143935 0.4809746  0.48055484
 0.48017567]","[2.89504545 1.51983861 1.06296052 0.83565894 0.70018162 0.61060972
 0.54726253 0.50029869 0.46424994 0.43583458 0.41296366 0.39424402
 0.37871071 0.36567413 0.35462826 0.34519333 0.33707873 0.33005826
 0.32395324 0.31862061 0.31394453 0.30983016 0.30619918 0.3029863
 0.30013672 0.29760412 0.29534909 0.2933379  0.29154156 0.28993501
 0.28849654 0.2872072  0.28605045 0.28501177 0.28407843 0.28323915
 0.282484   0.28180418 0.28119186 0.2806401  0.28014271 0.27969418
 0.27928956 0.27892445 0.27859491 0.2782974  0.27802875 0.27778611
 0.27756693]",0.58,yes
6,002142.87+354659.6,"Spectra(plate='7132', mjd='56565', fiber='0506')","Spectra(plate='7743', mjd='58107', fiber='0726')",4.2420745,4.1459007,1.6597477,1.6677366,0.98,0.91,0.6063,0.5972,"[6.37120166 3.34474827 2.33928481 1.83905631 1.54090786 1.34378466
 1.20437485 1.10102032 1.02168689 0.95915248 0.90881985 0.86762304
 0.83343848 0.80474855 0.78043962 0.75967592 0.74181791 0.72636779
 0.7129323  0.70119665 0.69090586 0.68185127 0.67386047 0.66678981
 0.66051867 0.65494512 0.6499824  0.64555632 0.64160307 0.63806751
 0.63490182 0.63206434 0.62951864 0.62723281 0.62517876 0.62333174
 0.62166987 0.62017377 0.61882623 0.61761196 0.61651734 0.61553023
 0.61463978 0.61383628 0.61311105 0.61245631 0.61186508 0.6113311
 0.61084874]","[6.27557584 3.2945467  2.30417432 1.81145378 1.51778027 1.3236157
 1.1862983  1.08449503 1.00635232 0.94475649 0.89517931 0.85460082
 0.82092935 0.79267002 0.76872594 0.74827389 0.73068391 0.71546568
 0.70223185 0.69067234 0.68053601 0.67161732 0.66374645 0.65678191
 0.6506049  0.645115   0.64022677 0.63586712 0.6319732  0.62849071
 0.62537253 0.62257764 0.62007015 0.61781863 0.61579541 0.61397611
 0.61233918 0.61086553 0.60953822 0.60834218 0.60726399 0.60629169
 0.6054146  0.60462316 0.60390882 0.60326391 0.60268156 0.60215559
 0.60168046]",0.98,yes
7,002244.63+342220.0,"Spectra(plate='7131', mjd='56570', fiber='0062')","Spectra(plate='7744', mjd='58396', fiber='0961')",7.092598,5.3519745,1.177699,1.1691658,0.75,1.52,0.835,0.7814,"[8.77445717 4.6064074  3.22167709 2.53275939 2.12214756 1.85066829
 1.65867228 1.51633179 1.40707332 1.32095055 1.25163215 1.19489566
 1.14781648 1.10830453 1.07482613 1.04623024 1.02163608 1.00035808
 0.98185464 0.96569223 0.9515197  0.93904967 0.92804469 0.91830692
 0.90967028 0.90199435 0.89515966 0.88906404 0.8836196  0.87875041
 0.8743906  0.8704828  0.86697685 0.86382879 0.86099995 0.85845622
 0.85616748 0.85410703 0.85225119 0.8505789  0.84907138 0.84771193
 0.84648559 0.84537901 0.84438022 0.84347851 0.84266426 0.84192886
 0.84126455]","[8.21121058 4.31071466 3.01487243 2.37017747 1.98592348 1.7318709
 1.55219942 1.41899601 1.31675101 1.2361566  1.17128786 1.11819337
 1.07413629 1.03716067 1.0058313  0.97907103 0.95605561 0.93614348
 0.91882781 0.90370289 0.89044012 0.87877055 0.868472   0.85935932
 0.85127708 0.84409387 0.83769792 0.83199358 0.82689863 0.822342
 0.81826205 0.8146051  0.81132421 0.80837822 0.80573097 0.80335053
 0.8012087  0.79928052 0.79754381 0.79597886 0.79456812 0.79329593
 0.79214831 0.79111276 0.79017809 0.78933426 0.78857228 0.78788409
 0.78726241]",0.94,yes
8,002500.40-041732.2,"Spectra(plate='9341', mjd='57743', fiber='0404')","Spectra(plate='7037', mjd='56570', fiber='0922')",9.293078,6.813319,4.1968617,4.2289734,0.73,0.48,0.547,0.3821,"[5.74805757 3.01761059 2.11048786 1.6591849  1.39019726 1.21235396
 1.08657932 0.99333352 0.92175941 0.86534126 0.81993148 0.78276398
 0.75192289 0.72603902 0.70410765 0.68537478 0.6692634  0.65532439
 0.64320298 0.63261515 0.62333087 0.61516188 0.60795263 0.60157352
 0.59591574 0.59088732 0.58640998 0.5824168  0.5788502  0.57566045
 0.57280438 0.57024442 0.56794771 0.56588545 0.5640323  0.56236593
 0.5608666  0.55951682 0.55830108 0.55720558 0.55621802 0.55532746
 0.55452409 0.55379918 0.55314488 0.55255418 0.55202078 0.55153903
 0.55110384]","[4.01523364 2.10791409 1.47425487 1.15900283 0.97110489 0.84687468
 0.75901638 0.69388069 0.64388349 0.6044733  0.57275287 0.54678998
 0.52524632 0.50716546 0.49184558 0.47875997 0.46750556 0.45776865
 0.44930139 0.44190539 0.43541997 0.42971363 0.42467769 0.42022165
 0.41626948 0.41275693 0.40962935 0.40683996 0.40434856 0.4021204
 0.40012533 0.3983371  0.39673276 0.39529219 0.3939977  0.39283368
 0.39178634 0.39084347 0.38999423 0.38922898 0.38853913 0.38791704
 0.38735586 0.38684948 0.38639243 0.38597981 0.3856072  0.38527068
 0.38496669]",0.7,yes
9,002508.07-023325.1,"Spectra(plate='9341', mjd='57743', fiber='0662')","Spectra(plate='4367', mjd='55566', fiber='0270')",6.9310875,5.058857,3.0890448,3.1086133,0.73,0.49,0.5527,0.3872,"[5.80795507 3.04905553 2.13248015 1.67647439 1.40468378 1.22498727
 1.097902   1.00368453 0.93136458 0.87435853 0.82847556 0.79092075
 0.75975829 0.73360469 0.71144479 0.69251671 0.67623744 0.66215319
 0.64990546 0.6392073  0.62982628 0.62157216 0.61428778 0.6078422
 0.60212547 0.59704464 0.59252065 0.58848586 0.5848821  0.5816591
 0.57877327 0.57618664 0.573866   0.57178224 0.56990978 0.56822605
 0.5667111  0.56534725 0.56411884 0.56301192 0.56201408 0.56111423
 0.5603025  0.55957003 0.55890892 0.55831206 0.5577731  0.55728633
 0.5568466 ]","[4.06882613 2.13604904 1.49393218 1.17447238 0.98406651 0.85817816
 0.76914719 0.70314212 0.65247759 0.61254138 0.58039757 0.55408814
 0.53225694 0.51393475 0.49841039 0.48515012 0.4737455  0.46387862
 0.45529834 0.44780363 0.44123165 0.43544914 0.43034599 0.42583047
 0.42182555 0.41826612 0.41509679 0.41227018 0.40974552 0.40748761
 0.40546592 0.40365382 0.40202807 0.40056827 0.3992565  0.39807694
 0.39701563 0.39606017 0.3951996  0.39442413 0.39372508 0.39309468
 0.39252601 0.39201288 0.39154972 0.39113159 0.39075402 0.390413
 0.39010495]",0.7,yes
