,objectName,spec1,spec2,I01,I02,I1,I2
0,000951.17+092710.5,"Spectra(plate='4534', mjd='55863', fiber='0968')","Spectra(plate='5648', mjd='55923', fiber='0386')",3.790716,3.5910115,3.3798451,3.2896967
1,001025.20-030959.3,"Spectra(plate='9342', mjd='57722', fiber='0981')","Spectra(plate='4365', mjd='55539', fiber='0206')",11.0518875,8.162217,6.191407,6.194312
2,001126.16+073525.2,"Spectra(plate='11309', mjd='58428', fiber='0984')","Spectra(plate='11311', mjd='58429', fiber='0504')",5.2710295,4.4865947,3.9182763,3.7553456
3,001249.89+285552.6,"Spectra(plate='7135', mjd='56564', fiber='0944')","Spectra(plate='7746', mjd='58074', fiber='0103')",8.510925,9.257643,3.3161557,3.3672118
4,002051.90+250100.1,"Spectra(plate='7662', mjd='57358', fiber='0253')","Spectra(plate='6279', mjd='56243', fiber='0860')",8.201893,7.4733787,1.9538168,1.8759246
5,002111.05+202128.5,"Spectra(plate='7592', mjd='56947', fiber='0922')","Spectra(plate='6180', mjd='56301', fiber='0610')",5.3878355,3.8924181,2.926632,2.7096171
6,002142.87+354659.6,"Spectra(plate='7132', mjd='56565', fiber='0506')","Spectra(plate='7743', mjd='58107', fiber='0726')",4.2420745,4.1459007,1.6597477,1.6677366
7,002244.63+342220.0,"Spectra(plate='7131', mjd='56570', fiber='0062')","Spectra(plate='7744', mjd='58396', fiber='0961')",7.092598,5.3519745,1.177699,1.1691658
8,002500.40-041732.2,"Spectra(plate='9341', mjd='57743', fiber='0404')","Spectra(plate='7037', mjd='56570', fiber='0922')",9.293078,6.813319,4.1968617,4.2289734
9,002508.07-023325.1,"Spectra(plate='9341', mjd='57743', fiber='0662')","Spectra(plate='4367', mjd='55566', fiber='0270')",6.9310875,5.058857,3.0890448,3.1086133
10,002945.97-032201.4,"Spectra(plate='7902', mjd='57362', fiber='0929')","Spectra(plate='9346', mjd='57751', fiber='0604')",21.739109,25.405201,1.7468948,1.7450525
11,003150.73+062901.1,"Spectra(plate='4418', mjd='55862', fiber='0752')","Spectra(plate='2327', mjd='53710', fiber='0292')",9.00918,5.2456675,5.446385,5.050844
12,003713.64+241121.5,"Spectra(plate='7672', mjd='57339', fiber='0394')","Spectra(plate='6283', mjd='56239', fiber='0922')",3.007683,4.0521545,1.3711013,1.3862946
13,004111.17+303359.0,"Spectra(plate='6529', mjd='56535', fiber='0374')","Spectra(plate='7715', mjd='57364', fiber='0084')",12.150806,12.127101,10.522806,10.504126
14,004244.99+201920.5,"Spectra(plate='7616', mjd='56902', fiber='0196')","Spectra(plate='6194', mjd='56190', fiber='0814')",16.167501,18.543686,13.95898,14.405193
15,004258.76+190343.9,"Spectra(plate='7618', mjd='56898', fiber='0556')","Spectra(plate='6193', mjd='56237', fiber='0968')",7.3076096,9.19768,3.332957,3.3465302
16,004317.05+304343.2,"Spectra(plate='7718', mjd='57362', fiber='0636')","Spectra(plate='6254', mjd='56268', fiber='0555')",4.39972,3.6258879,2.6691031,2.6607637
17,004621.15+241056.4,"Spectra(plate='7675', mjd='57327', fiber='0516')","Spectra(plate='2058', mjd='53349', fiber='0006')",18.510466,15.602423,9.147756,9.122202
18,004708.76+132855.6,"Spectra(plate='6202', mjd='56266', fiber='0927')","Spectra(plate='6203', mjd='56266', fiber='0304')",3.794119,5.6073294,3.2471483,3.194665
19,005011.77+184731.7,"Spectra(plate='6199', mjd='56220', fiber='0935')","Spectra(plate='7619', mjd='56900', fiber='0367')",12.036105,15.259237,2.3041484,2.3291545
20,005419.98+002727.9,"Spectra(plate='7872', mjd='57279', fiber='0642')","Spectra(plate='9412', mjd='58096', fiber='0012')",11.74301,10.930785,8.301587,8.288601
21,005419.98+002727.9,"Spectra(plate='7872', mjd='57279', fiber='0642')","Spectra(plate='9412', mjd='58096', fiber='0012')",11.74301,12.291253,8.601546,8.619956
22,005757.32+141900.0,"Spectra(plate='5704', mjd='56187', fiber='0256')","Spectra(plate='0420', mjd='51871', fiber='0012')",6.949888,5.0455475,5.3323107,5.4360666
23,011146.34-033039.0,"Spectra(plate='7915', mjd='57309', fiber='0986')","Spectra(plate='9332', mjd='58072', fiber='0174')",10.634715,12.140006,3.3682249,3.3601055
24,012221.70-030004.6,"Spectra(plate='9334', mjd='57712', fiber='0592')","Spectra(plate='4352', mjd='55533', fiber='0442')",6.1296177,5.3431163,1.4827901,1.4587586
25,012451.54+084742.5,"Spectra(plate='4552', mjd='55884', fiber='0408')","Spectra(plate='4556', mjd='55912', fiber='0836')",4.0364795,3.506428,1.3912472,1.3926998
26,013726.11+150453.9,"Spectra(plate='5130', mjd='55835', fiber='0453')","Spectra(plate='0426', mjd='51882', fiber='0416')",9.996823,8.474272,0.84599084,0.8358894
27,013727.60-015416.3,"Spectra(plate='7845', mjd='56980', fiber='0570')","Spectra(plate='9379', mjd='58081', fiber='0138')",8.207109,5.922058,2.1414251,2.1579585
28,014206.86+025713.0,"Spectra(plate='7842', mjd='56899', fiber='0824')","Spectra(plate='9433', mjd='58131', fiber='0085')",10.173834,10.78603,4.0961156,4.0784926
29,014345.09-040046.4,"Spectra(plate='9331', mjd='57711', fiber='0775')","Spectra(plate='7050', mjd='56573', fiber='0636')",10.3869705,13.100077,8.246555,8.366477
30,014724.00+222545.4,"Spectra(plate='5108', mjd='55888', fiber='0830')","Spectra(plate='7638', mjd='56981', fiber='0217')",7.1462884,5.508221,1.1747024,1.1586871
31,015006.47-080203.5,"Spectra(plate='7164', mjd='56597', fiber='0258')","Spectra(plate='0664', mjd='52174', fiber='0601')",9.47699,11.028807,9.459494,9.878969
32,020107.78+045406.9,"Spectra(plate='8736', mjd='57400', fiber='0595')","Spectra(plate='9425', mjd='58112', fiber='0621')",9.583816,9.770485,5.5522404,5.808718
33,021646.94-092107.3,"Spectra(plate='4395', mjd='55828', fiber='0336')","Spectra(plate='0668', mjd='52162', fiber='0260')",12.484707,11.361462,4.0314107,4.0153775
34,022557.57+000856.3,"Spectra(plate='3615', mjd='56544', fiber='0672')","Spectra(plate='3647', mjd='55241', fiber='0658')",2.6157913,2.1733103,2.185107,2.0331318
